date,strat,right,center,desk_pnl,straddle,straddle_k,straddle_cr,straddle_exit,vix252,vix252_k,vix252_cr,vix252_exit,vix365,vix365_k,vix365_cr,vix365_exit
2026-08-04,eodic_c,C,7600.5,-866.3,-46.52,7625.0,14.3,stop,-921.52,7675.0,1.95,stop,-841.52,7665.0,3.25,stop
2026-08-04,openic_p,P,7630.6,32.4,66.74,7605.0,0.7,settle,11.74,7555.0,0.15,settle,16.74,7570.0,0.2,settle
2026-08-04,openic_c,C,7630.6,-786.3,-206.52,7655.0,11.1,stop,-861.52,7705.0,0.95,stop,-881.52,7695.0,1.65,stop
2026-08-05,eodic_p,P,7736.5,17.4,51.74,7690.0,0.55,settle,11.74,7655.0,0.15,settle,26.74,7670.0,0.3,settle
2026-08-05,openic_p,P,7771.6,77.4,51.74,7725.0,2.0,settle,61.74,7690.0,0.65,settle,101.74,7705.0,1.05,settle
2026-08-05,openic_c,C,7771.6,27.4,196.74,7820.0,2.0,settle,51.74,7850.0,0.55,settle,86.74,7840.0,0.9,settle
2026-08-06,eodic_p,P,7723.6,62.4,231.74,7685.0,2.35,settle,66.74,7645.0,0.7,settle,101.74,7660.0,1.05,settle
2026-08-06,eodic_c,C,7723.6,37.4,281.74,7760.0,2.85,settle,31.74,7800.0,0.35,settle,71.74,7785.0,0.75,settle
2026-08-06,openic_p,P,7713.8,52.4,91.74,7675.0,0.95,settle,16.74,7635.0,0.2,settle,36.74,7650.0,0.4,settle
2026-08-06,openic_c,C,7713.8,12.4,561.74,7750.0,5.65,settle,66.74,7790.0,0.7,settle,121.74,7780.0,1.25,settle
2026-08-07,eodic_p,P,7710.0,42.4,166.74,7675.0,1.7,settle,41.74,7635.0,0.45,settle,71.74,7650.0,0.75,settle
2026-08-07,eodic_c,C,7710.0,157.4,-346.52,7745.0,7.6,stop,161.74,7785.0,1.65,settle,311.74,7770.0,3.15,settle
2026-08-07,openic_p,P,7735.2,67.4,376.74,7700.0,3.8,settle,101.74,7660.0,1.05,settle,166.74,7675.0,1.7,settle
2026-08-07,openic_c,C,7735.2,57.4,346.74,7770.0,3.5,settle,41.74,7810.0,0.45,settle,101.74,7795.0,1.05,settle
2026-08-10,eodic_p,P,7757.6,7.4,171.74,7730.0,1.75,settle,16.74,7685.0,0.2,settle,21.74,7695.0,0.25,settle
2026-08-10,openic_p,P,7751.7,7.4,111.74,7725.0,1.15,settle,11.74,7680.0,0.15,settle,16.74,7690.0,0.2,settle
2026-08-11,eodic_p,P,7753.1,12.4,-401.52,7725.0,1.7,stop,16.74,7680.0,0.2,settle,31.74,7690.0,0.35,settle
2026-08-11,eodic_c,C,7753.1,12.4,396.74,7780.0,4.0,settle,11.74,7830.0,0.15,settle,36.74,7815.0,0.4,settle
2026-08-11,openic_p,P,7767.5,32.4,-301.52,7740.0,3.8,stop,31.74,7690.0,0.35,settle,71.74,7705.0,0.75,settle
2026-08-12,eodic_p,P,7728.2,12.4,76.74,7695.0,0.8,settle,11.74,7655.0,0.15,settle,16.74,7665.0,0.2,settle
2026-08-12,eodic_c,C,7728.2,177.4,1006.74,7760.0,10.1,settle,161.74,7805.0,1.65,settle,346.74,7790.0,3.5,settle
2026-08-12,openic_p,P,7765.5,27.4,626.74,7735.0,6.3,settle,106.74,7690.0,1.1,settle,191.74,7705.0,1.95,settle
2026-08-12,openic_c,C,7765.5,12.4,51.74,7795.0,0.55,settle,-3.26,7840.0,0.0,settle,1.74,7825.0,0.05,settle
2026-08-13,eodic_p,P,7748.5,7.4,126.74,7725.0,1.3,settle,6.74,7675.0,0.1,settle,16.74,7690.0,0.2,settle
2026-08-13,eodic_c,C,7748.5,32.4,-521.52,7770.0,7.45,stop,26.74,7820.0,0.3,settle,-946.52,7810.0,0.6,stop
2026-08-13,openic_p,P,7763.2,17.4,216.74,7740.0,2.2,settle,16.74,7690.0,0.2,settle,41.74,7705.0,0.45,settle
2026-08-14,eodic_p,P,7799.0,17.4,221.74,7775.0,2.25,settle,16.74,7725.0,0.2,settle,36.74,7740.0,0.4,settle
2026-08-14,eodic_c,C,7799.0,12.4,266.74,7825.0,2.7,settle,6.74,7870.0,0.1,settle,16.74,7860.0,0.2,settle
2026-08-14,openic_p,P,7806.6,7.4,-491.52,7785.0,1.85,stop,6.74,7735.0,0.1,settle,11.74,7745.0,0.15,settle
2026-08-17,eodic_p,P,7785.8,17.4,-641.52,7765.0,2.4,stop,21.74,7715.0,0.25,settle,41.74,7730.0,0.45,settle
2026-08-17,openic_p,P,7790.7,22.4,-26.52,7770.0,3.0,stop,21.74,7720.0,0.25,settle,46.74,7735.0,0.5,settle
2026-08-18,eodic_p,P,7745.1,157.4,103.48,7715.0,9.7,stop,206.74,7670.0,2.1,settle,366.74,7685.0,3.7,settle
2026-08-18,eodic_c,C,7745.1,-2.6,21.74,7775.0,0.25,settle,-3.26,7820.0,0.0,settle,1.74,7805.0,0.05,settle
2026-08-18,openic_p,P,7700.0,47.4,281.74,7670.0,2.85,settle,31.74,7625.0,0.35,settle,76.74,7640.0,0.8,settle
2026-08-19,eodic_c,C,7691.8,72.4,-216.52,7720.0,9.7,stop,56.74,7770.0,0.6,settle,156.74,7755.0,1.6,settle
2026-08-19,openic_p,P,7716.7,17.4,236.74,7690.0,2.4,settle,16.74,7640.0,0.2,settle,41.74,7655.0,0.45,settle
2026-08-19,openic_c,C,7716.7,-2.6,176.74,7745.0,1.8,settle,-3.26,7795.0,0.0,settle,6.74,7780.0,0.1,settle
2026-08-20,eodic_p,P,7708.0,162.4,-146.52,7680.0,8.2,stop,186.74,7635.0,1.9,settle,-606.52,7650.0,3.1,stop
2026-08-20,openic_p,P,7690.5,47.4,-676.52,7660.0,3.35,stop,71.74,7620.0,0.75,settle,111.74,7630.0,1.15,settle
2026-08-20,openic_c,C,7690.5,12.4,176.74,7720.0,1.8,settle,1.74,7765.0,0.05,settle,16.74,7750.0,0.2,settle
2026-08-21,eodic_p,P,7641.2,7.4,91.74,7615.0,0.95,settle,6.74,7565.0,0.1,settle,16.74,7575.0,0.2,settle
2026-08-21,eodic_c,C,7641.2,117.4,-306.52,7670.0,9.8,stop,91.74,7720.0,0.95,settle,196.74,7705.0,2.0,settle
2026-08-21,openic_p,P,7665.7,52.4,186.74,7635.0,1.9,settle,31.74,7590.0,0.35,settle,46.74,7600.0,0.5,settle
2026-08-21,openic_c,C,7665.7,12.4,301.74,7695.0,3.05,settle,16.74,7745.0,0.2,settle,41.74,7730.0,0.45,settle
2026-08-24,eodic_p,P,7674.4,57.4,-226.52,7650.0,6.1,stop,76.74,7600.0,0.8,settle,146.74,7615.0,1.5,settle
2026-08-24,openic_p,P,7663.4,27.4,411.74,7640.0,4.15,settle,31.74,7590.0,0.35,settle,71.74,7605.0,0.75,settle
2026-08-25,eodic_c,C,7652.9,22.4,133.48,7675.0,10.9,stop,26.74,7730.0,0.3,settle,81.74,7715.0,0.85,settle
2026-08-25,openic_c,C,7676.7,-2.6,96.74,7700.0,1.0,settle,-3.26,7755.0,0.0,settle,1.74,7740.0,0.05,settle
2026-08-26,eodic_p,P,7677.3,32.4,416.74,7655.0,4.2,settle,36.74,7605.0,0.4,settle,56.74,7615.0,0.6,settle
2026-08-27,eodic_c,C,7675.7,92.4,-206.52,7705.0,9.4,stop,101.74,7750.0,1.05,settle,-431.52,7735.0,2.65,stop
2026-08-27,openic_p,P,7710.3,27.4,296.74,7680.0,3.0,settle,36.74,7635.0,0.4,settle,76.74,7650.0,0.8,settle
2026-08-28,eodic_p,P,7731.0,92.4,301.74,7695.0,3.05,settle,96.74,7660.0,1.0,settle,131.74,7670.0,1.35,settle
2026-08-28,eodic_c,C,7731.0,52.4,-446.52,7765.0,4.45,stop,66.74,7800.0,0.7,settle,126.74,7790.0,1.3,settle
2026-08-28,openic_p,P,7735.2,97.4,286.74,7700.0,2.9,settle,86.74,7665.0,0.9,settle,121.74,7675.0,1.25,settle
2026-08-28,openic_c,C,7735.2,17.4,181.74,7770.0,1.85,settle,11.74,7805.0,0.15,settle,31.74,7795.0,0.35,settle
2026-08-31,eodic_p,P,7711.8,97.4,-436.52,7685.0,6.0,stop,91.74,7640.0,0.95,settle,176.74,7655.0,1.8,settle
2026-08-31,openic_p,P,7697.5,42.4,476.74,7670.0,4.8,settle,61.74,7625.0,0.65,settle,131.74,7640.0,1.35,settle
2026-08-31,openic_c,C,7697.5,7.4,91.74,7725.0,0.95,settle,-3.26,7770.0,0.0,settle,6.74,7755.0,0.1,settle
