date,settle_pnl,stopped_pnl,live_gx,n_legs
2026-08-04,-1403.04,-288.04,-71.30000000000028,1
2026-08-05,1656.96,-38.04,108.69999999999979,1
2026-08-06,476.96,341.96,274.8,2
2026-08-10,724.46,719.46,454.79999999999995,2
2026-08-11,581.96,576.96,444.79999999999995,2
2026-08-12,229.46,229.46,42.4,1
2026-08-13,-913.04,-398.04,-158.89999999999986,2
2026-08-14,929.46,1.96,173.7,1
2026-08-17,-2095.54,-293.04,-81.29999999999998,1
2026-08-18,-1223.04,206.96,-101.3,1
2026-08-19,824.46,-263.04,589.8,2
2026-08-20,-1083.04,391.96,251.10000000000002,2
2026-08-21,499.46,489.46,474.79999999999995,2
2026-08-24,284.46,279.46,277.4,1
2026-08-25,-631.04,-900.54,201.0999999999999,2
2026-08-26,136.96,126.96,262.4,1
2026-08-27,182.96,-25.54,-168.90000000000015,2
2026-08-28,1106.96,-383.04,-558.8999999999999,2
2026-08-31,-329.04,-368.04,-98.89999999999996,2
2026-09-01,-463.04,6.96,246.10000000000022,2
2026-09-02,44.46,44.46,32.4,1
2026-09-03,-663.04,-228.04,-193.9000000000003,2
2026-09-04,644.46,639.46,354.79999999999995,2
