date,net_cr_err,net_ps_err,tot_cr_err,tot_ps_err
2021-09-27,70.0,0.0,50.0,
2021-09-28,70.0,100.0,50.0,300.0
2021-09-29,0.0,0.0,100.0,150.0
2021-09-30,0.0,0.0,50.0,200.0
2021-10-01,0.0,0.0,50.0,200.0
2021-10-04,0.0,0.0,50.0,200.0
2021-10-05,0.0,0.0,50.0,200.0
2021-10-06,0.0,100.0,50.0,50.0
2021-10-08,0.0,0.0,50.0,50.0
2021-10-11,0.0,0.0,50.0,50.0
2021-10-12,0.0,0.0,100.0,0.0
2021-10-13,0.0,0.0,100.0,50.0
2021-10-14,0.0,50.0,50.0,50.0
2021-10-15,0.0,0.0,0.0,150.0
2021-10-18,0.0,0.0,0.0,150.0
2021-10-19,100.0,0.0,100.0,200.0
2021-10-20,0.0,0.0,0.0,200.0
2021-10-21,0.0,0.0,0.0,200.0
2021-10-22,100.0,0.0,100.0,200.0
2021-10-25,0.0,0.0,100.0,200.0
2021-10-26,0.0,0.0,100.0,200.0
2021-10-27,100.0,0.0,0.0,200.0
2021-10-28,0.0,0.0,100.0,200.0
2021-10-29,100.0,0.0,200.0,200.0
2021-11-01,50.0,0.0,200.0,200.0
2021-11-02,50.0,0.0,200.0,200.0
2021-11-03,0.0,0.0,0.0,200.0
2021-11-04,0.0,0.0,0.0,300.0
2021-11-05,0.0,0.0,0.0,200.0
2021-11-09,0.0,0.0,0.0,350.0
2021-11-10,0.0,0.0,0.0,300.0
2021-11-11,0.0,100.0,0.0,300.0
2021-11-12,0.0,0.0,0.0,350.0
2021-11-15,0.0,0.0,0.0,350.0
2021-11-16,0.0,340.0,50.0,400.0
2021-11-17,0.0,100.0,50.0,350.0
2021-11-18,0.0,100.0,25.0,400.0
2021-11-19,50.0,400.0,100.0,650.0
2021-11-22,50.0,400.0,100.0,650.0
2021-11-23,50.0,0.0,100.0,250.0
2021-11-24,50.0,0.0,100.0,300.0
2021-11-26,50.0,400.0,100.0,500.0
2021-11-29,50.0,0.0,100.0,250.0
2021-11-30,0.0,100.0,50.0,200.0
2021-12-01,50.0,0.0,50.0,100.0
2021-12-02,50.0,0.0,50.0,100.0
2021-12-03,50.0,200.0,250.0,200.0
2021-12-06,100.0,100.0,0.0,200.0
2021-12-07,0.0,100.0,50.0,300.0
2021-12-08,0.0,100.0,50.0,400.0
2021-12-09,0.0,100.0,50.0,300.0
2021-12-10,0.0,400.0,50.0,700.0
2021-12-13,0.0,0.0,50.0,200.0
2021-12-14,0.0,0.0,50.0,200.0
2021-12-15,0.0,0.0,50.0,300.0
2021-12-16,50.0,400.0,0.0,650.0
2021-12-17,50.0,400.0,100.0,600.0
2021-12-20,200.0,0.0,400.0,100.0
2021-12-21,170.0,0.0,150.0,200.0
2021-12-22,0.0,0.0,100.0,250.0
2021-12-23,0.0,0.0,100.0,300.0
2021-12-27,0.0,0.0,0.0,300.0
2021-12-28,0.0,0.0,0.0,300.0
2021-12-29,50.0,400.0,50.0,700.0
2021-12-30,0.0,600.0,0.0,700.0
2021-12-31,0.0,700.0,50.0,700.0
2022-01-03,0.0,700.0,50.0,700.0
2022-01-04,0.0,300.0,50.0,300.0
2022-01-05,100.0,300.0,200.0,300.0
2022-01-06,0.0,400.0,100.0,300.0
2022-01-07,200.0,200.0,300.0,200.0
2022-01-10,200.0,0.0,300.0,0.0
2022-01-11,0.0,0.0,100.0,100.0
2022-01-12,0.0,0.0,100.0,100.0
2022-01-13,200.0,0.0,300.0,0.0
2022-01-14,200.0,0.0,300.0,0.0
2022-01-18,0.0,50.0,400.0,50.0
2022-01-19,200.0,50.0,400.0,0.0
2022-01-20,100.0,50.0,300.0,0.0
2022-01-21,200.0,0.0,400.0,0.0
2022-01-24,200.0,100.0,400.0,200.0
2022-01-25,200.0,100.0,400.0,100.0
2022-01-26,300.0,100.0,700.0,100.0
2022-01-27,0.0,100.0,400.0,100.0
2022-01-28,0.0,100.0,300.0,200.0
2022-01-31,0.0,100.0,100.0,300.0
2022-02-01,0.0,100.0,100.0,300.0
2022-02-02,0.0,100.0,100.0,300.0
2022-02-03,0.0,100.0,200.0,200.0
2022-02-04,0.0,100.0,100.0,300.0
2022-02-07,0.0,100.0,200.0,200.0
2022-02-08,0.0,0.0,200.0,100.0
2022-02-09,0.0,100.0,100.0,300.0
2022-02-10,0.0,0.0,200.0,100.0
2022-02-11,300.0,100.0,500.0,100.0
2022-02-14,300.0,0.0,500.0,100.0
2022-02-15,300.0,100.0,500.0,0.0
2022-02-16,300.0,0.0,500.0,50.0
2022-02-17,300.0,0.0,600.0,100.0
2022-02-18,0.0,300.0,300.0,300.0
2022-02-22,0.0,0.0,300.0,0.0
2022-02-23,400.0,100.0,1000.0,100.0
2022-02-24,0.0,100.0,300.0,300.0
2022-02-25,0.0,200.0,200.0,300.0
2022-02-28,150.0,200.0,200.0,300.0
2022-03-01,0.0,100.0,300.0,300.0
2022-03-02,0.0,200.0,200.0,300.0
2022-03-03,0.0,300.0,200.0,300.0
2022-03-04,0.0,200.0,300.0,300.0
2022-03-07,200.0,100.0,400.0,0.0
2022-03-08,200.0,100.0,400.0,200.0
2022-03-09,0.0,100.0,100.0,0.0
2022-03-10,0.0,0.0,100.0,100.0
2022-03-11,400.0,0.0,700.0,100.0
2022-03-14,500.0,0.0,1000.0,100.0
