strike,oi_c,oi_p,iv_c,iv_p,gamma_c,gamma_p,call_raw,put_raw,net_raw,gl_call,gl_put,gl_net
7645.0,63.0,495.0,,0.14408337321276976,0.000714181589382876,0.000714181589382876,0.044993440131121186,-0.3535198867445236,-0.30852644661340245,190947.0,-1500297.0,-1309350.0
7650.0,571.0,993.0,,0.14166065902301028,0.00078519124008792,0.00078519124008792,0.4483441980902023,-0.7796949014073046,-0.33135070331710226,5191937.0,-9029060.0,-3837123.0
7655.0,64.0,144.0,,0.13989549120963196,0.0008758318107538142,0.0008758318107538142,0.05605323588824411,-0.12611978074854924,-0.07006654486030513,892298.0,-2007670.0,-1115372.0
7660.0,210.0,643.0,,0.13703242094637677,0.0009568691640217888,0.0009568691640217888,0.20094252444457567,-0.6152668724660102,-0.41432434802143453,3691640.0,-11303449.0,-7611810.0
7665.0,19.0,399.0,,0.1340067185410583,0.0010442339964336926,0.0010442339964336926,0.01984044593224016,-0.4166493645770433,-0.39680891864480317,426145.0,-8949044.0,-8522899.0
7670.0,86.0,425.0,,0.13219942946175925,0.0011670465092868494,0.0011670465092868494,0.10036599979866904,-0.495994766446911,-0.3956287666482419,2450182.0,-12108457.0,-9658275.0
7675.0,798.0,746.0,,0.13004914774254714,0.0012968931688032237,0.0012968931688032237,1.0349207487049725,-0.9674823039272049,0.06743844477776761,29023927.0,-27132643.0,1891283.0
7680.0,53.0,364.0,,0.12759820572534336,0.0014354056065560001,0.0014354056065560001,0.076076497147468,-0.5224876407863841,-0.4464111436389161,2377440.0,-16328080.0,-13950640.0
7685.0,30.0,459.0,,0.1254002310856429,0.0015963236624203813,0.0015963236624203813,0.04788970987261144,-0.7327125610509551,-0.6848228511783436,1673058.0,-25597794.0,-23924735.0
7690.0,101.0,418.0,,0.12287868680903277,0.001768630065039047,0.001768630065039047,0.17863163656894376,-0.7392873671863217,-0.560655730617378,6918339.0,-28632334.0,-21713995.0
7695.0,32.0,234.0,,0.12094378468532638,0.001975633703574995,0.001975633703574995,0.06322027851439985,-0.46229828663654887,-0.399078008122149,2676893.0,-19574784.0,-16897890.0
7700.0,961.0,4577.0,,0.11900492095474895,0.0022057663604043622,0.0022057663604043622,2.119741472348592,-10.095792631570767,-7.976051159222175,96701564.0,-460565099.0,-363863535.0
7705.0,44.0,331.0,,0.11700804721946832,0.0024598111598282645,0.0024598111598282645,0.10823169103244364,-0.8141974939031555,-0.7059658028707119,5281045.0,-39727863.0,-34446818.0
7710.0,215.0,341.0,,0.11491044917396485,0.0027390383377355904,0.0027390383377355904,0.5888932426131519,-0.9340120731678363,-0.3451188305546844,30496945.0,-48369574.0,-17872628.0
7715.0,94.0,254.0,,0.11237429072734556,0.0030393789286488585,0.0030393789286488585,0.2857016192929927,-0.77200224787681,-0.48630062858381734,15669768.0,-42341714.0,-26671946.0
7720.0,126.0,578.0,,0.11000276686656961,0.0033763905139107316,0.0033763905139107316,0.4254252047527522,-1.951553717040403,-1.5261285122876507,24441201.0,-112119162.0,-87677960.0
7725.0,2652.0,1061.0,,0.10744079579265822,0.0037464109895012404,0.0037464109895012404,9.93548194415729,-3.9749420598608163,5.960539884296474,593201049.0,-237325156.0,355875893.0
7730.0,182.0,437.0,,0.10514328687084062,0.004158414259366705,0.004158414259366705,0.7568313952047403,-1.8172270313432501,-1.0603956361385098,46557094.0,-111788187.0,-65231093.0
7735.0,167.0,426.0,,0.1032003267030167,0.004610275255367253,0.004610275255367253,0.7699159676463313,-1.9639772587864497,-1.1940612911401183,48388972.0,-123435341.0,-75046369.0
7740.0,251.0,430.0,,0.10064706470178349,0.005098672493297536,0.005098672493297536,1.2797667958176815,-2.1924291721179405,-0.912662376300259,81857414.0,-140233817.0,-58376403.0
7745.0,195.0,451.0,,0.09828348319557367,0.0056267856544144484,0.0056267856544144484,1.0972232026108175,-2.5376803301409163,-1.4404571275300988,71041334.0,-164305854.0,-93264521.0
7750.0,1076.0,2105.0,0.039949000190835304,0.09668456942829634,0.006172856285657038,0.006172856285657038,6.641993363366973,-12.993862481308065,-6.351869117941092,435050958.0,-851098762.0,-416047803.0
7755.0,643.0,367.0,0.04973846678645209,0.0949563254709308,0.006736089819958281,0.006736089819958281,4.331305754233174,-2.472144963924689,1.859160790308485,286094203.0,-163291714.0,122802488.0
7760.0,403.0,1467.0,0.05411890305983416,0.09333552439548098,0.007298372434178078,0.007298372434178078,2.9412440909737656,-10.70671236093924,-7.765468269965475,195432621.0,-711413538.0,-515980916.0
7765.0,299.0,396.0,0.05704533331337462,0.09199943651432729,0.007829559940919726,0.007829559940919726,2.341038422334998,-3.1005057366042115,-0.7594673142692137,156779516.0,-207641099.0,-50861582.0
7770.0,449.0,693.0,0.058803659121552686,0.09109165461056022,0.008289405734701234,0.008289405734701234,3.721943174880854,-5.744558174147955,-2.0226149992671014,251489778.0,-388156828.0,-136667051.0
7775.0,1545.0,2492.0,0.06110433414433527,0.09101210657216127,0.00860846284207804,0.00860846284207804,13.300075091010571,-21.452289402458476,-8.152214311447905,913135283.0,-1472836974.0,-559701691.0
7780.0,447.0,589.0,0.06175030231054427,0.09111543463281933,0.00881152177061972,0.00881152177061972,3.938750231467015,-5.189986322895015,-1.2512360914279999,274756201.0,-362038931.0,-87282730.0
7785.0,268.0,208.0,0.0627568892993707,0.09136660757150405,0.008891807846340409,0.008891807846340409,2.3830045028192295,-1.8494960320388052,0.5335084707804243,168304828.0,-130624642.0,37680185.0
7790.0,379.0,285.0,0.06336779114968319,0.09201385759708222,0.01278253300803988,0.01278253300803988,4.844580010047115,-3.6430219072913657,1.2015581027557491,238013171.0,-178980880.0,59032290.0
7795.0,461.0,292.0,0.06416262954732473,0.0933434151289886,0.012289693688584251,0.012289693688584251,5.66554879043734,-3.5885905570666012,2.0769582333707386,283640990.0,-179659803.0,103981187.0
7800.0,2126.0,973.0,0.0649890919938529,0.09517850140483088,0.011541673491868272,0.011541673491868272,24.537597843711946,-11.230048307587829,13.307549536124117,1257810171.0,-575658183.0,682151988.0
7805.0,374.0,132.0,0.0660014420579486,0.09736767176896138,0.010591249557523335,0.010591249557523335,3.9611273345137272,-1.3980449415930802,2.5630823929206468,207894482.0,-73374523.0,134519959.0
7810.0,612.0,83.0,0.06678369316165221,0.10032921759576467,0.009558230142243728,0.009558230142243728,5.849636847053161,-0.7933331018062294,5.0563037452469315,314593177.0,-42665414.0,271927762.0
7815.0,305.0,58.0,0.06783634652640651,0.10337485121633086,0.008460524295943102,0.008460524295943102,2.580459910262646,-0.49071040916469993,2.089749501097946,142361511.0,-27072025.0,115289486.0
7820.0,736.0,61.0,0.06909036544502016,0.10599854320653282,0.007377360990764165,0.007377360990764165,5.429737689202425,-0.450019020436614,4.979718668765811,307842750.0,-25514141.0,282328609.0
7825.0,1951.0,64.0,0.0701859650123186,0.11019276607763281,0.0063546785411857445,0.0063546785411857445,12.397977833853387,-0.40669942663588765,11.9912784072175,720238921.0,-23626495.0,696612426.0
7830.0,963.0,39.0,0.07157712905386607,0.11457090310537048,0.005422073959116798,0.005422073959116798,5.221457222629476,-0.2114608844055551,5.009996338223921,309972262.0,-12553394.0,297418868.0
7835.0,492.0,52.0,0.07274068442749258,0.11923461325810014,0.00457891243445763,0.00457891243445763,2.252824917753154,-0.23810344659179675,2.0147214711613572,136296068.0,-14405275.0,121890793.0
7840.0,519.0,32.0,0.07417830001440213,0.1242861933887343,0.0038499787210678313,0.0038499787210678313,1.9981389562342045,-0.1231993190741706,1.8749396371600338,122382405.0,-7545736.0,114836669.0
7845.0,458.0,15.0,0.07586841718982727,0.12982576335322643,0.0032355812564857558,0.0032355812564857558,1.4818962154704762,-0.048533718847286335,1.43336249662319,90507611.0,-2964223.0,87543388.0
7850.0,9016.0,37.0,0.07718089831977484,0.13515365482290032,0.0026901672104521967,0.0026901672104521967,24.254547569437005,-0.09953618678673128,24.155011382650272,1475637528.0,-6055744.0,1469581784.0
7855.0,936.0,3.0,0.07986022841060564,0.14110242833556805,0.0023064120490923945,0.0023064120490923945,2.158801677950481,-0.006919236147277184,2.151882441803204,125392092.0,-401898.0,124990194.0
7860.0,592.0,29.0,0.0814564837387013,0.14691245355027208,0.0019280081857376019,0.0019280081857376019,1.1413808459566603,-0.05591223738639046,1.0854686085702698,63876886.0,-3129104.0,60747781.0
