spx_close,open_settle,realized,day_total
7580,-4453,-95,-4548
7590,-3953,-95,-4048
7600,-2953,-95,-3048
7610,-1953,-95,-2048
7620,-953,-95,-1048
7630,47,-95,-48
7640,547,-95,452
7650,547,-95,452
7660,547,-95,452
7670,547,-95,452
7680,547,-95,452
