ts_et,spot,expiry,strike,right,bid,ask
2026-09-21 11:06:03,7719.75,20260921,7555.0,P,0.15,0.2
2026-09-21 11:06:03,7719.75,20260921,7555.0,C,169.5,170.3
2026-09-21 11:06:03,7719.75,20260921,7580.0,P,0.15,0.2
2026-09-21 11:06:03,7719.75,20260921,7580.0,C,144.6,145.4
2026-09-21 11:06:03,7719.75,20260921,7600.0,P,0.2,0.25
2026-09-21 11:06:03,7719.75,20260921,7600.0,C,124.6,125.4
2026-09-21 11:06:03,7719.75,20260921,7625.0,P,0.25,0.3
2026-09-21 11:06:03,7719.75,20260921,7625.0,C,99.6,100.3
2026-09-21 11:06:03,7719.75,20260921,7630.0,P,0.25,0.3
2026-09-21 11:06:03,7719.75,20260921,7630.0,C,94.7,95.3
2026-09-21 11:06:03,7719.75,20260921,7635.0,P,0.3,0.35
2026-09-21 11:06:03,7719.75,20260921,7635.0,C,89.7,90.3
2026-09-21 11:06:03,7719.75,20260921,7640.0,P,0.3,0.35
2026-09-21 11:06:03,7719.75,20260921,7640.0,C,84.7,85.4
2026-09-21 11:06:03,7719.75,20260921,7645.0,P,0.35,0.4
2026-09-21 11:06:03,7719.75,20260921,7645.0,C,79.7,80.4
2026-09-21 11:06:03,7719.75,20260921,7650.0,P,0.35,0.4
2026-09-21 11:06:03,7719.75,20260921,7650.0,C,74.8,75.4
2026-09-21 11:06:03,7719.75,20260921,7655.0,P,0.4,0.45
2026-09-21 11:06:03,7719.75,20260921,7655.0,C,69.9,70.5
2026-09-21 11:06:03,7719.75,20260921,7660.0,P,0.45,0.5
2026-09-21 11:06:03,7719.75,20260921,7660.0,C,65.2,65.6
2026-09-21 11:06:03,7719.75,20260921,7665.0,P,0.45,0.5
2026-09-21 11:06:03,7719.75,20260921,7665.0,C,60.0,60.6
2026-09-21 11:06:03,7719.75,20260921,7670.0,P,0.5,0.55
2026-09-21 11:06:03,7719.75,20260921,7670.0,C,55.0,55.7
2026-09-21 11:06:03,7719.75,20260921,7675.0,P,0.6,0.65
2026-09-21 11:06:03,7719.75,20260921,7675.0,C,50.1,50.7
2026-09-21 11:06:03,7719.75,20260921,7680.0,P,0.65,0.7
2026-09-21 11:06:03,7719.75,20260921,7680.0,C,45.4,45.8
2026-09-21 11:06:03,7719.75,20260921,7685.0,P,0.8,0.85
2026-09-21 11:06:03,7719.75,20260921,7750.0,C,0.95,1.0
2026-09-21 11:06:03,7719.75,20260921,7760.0,P,35.5,35.8
2026-09-21 11:06:03,7719.75,20260921,7760.0,C,0.5,0.55
2026-09-21 11:06:03,7719.75,20260921,7765.0,P,40.4,40.7
2026-09-21 11:06:03,7719.75,20260921,7765.0,C,0.35,0.45
2026-09-21 11:06:03,7719.75,20260921,7770.0,P,45.3,45.6
2026-09-21 11:06:03,7719.75,20260921,7770.0,C,0.3,0.35
2026-09-21 11:06:03,7719.75,20260921,7775.0,P,50.3,50.6
2026-09-21 11:06:03,7719.75,20260921,7775.0,C,0.25,0.3
2026-09-21 11:06:03,7719.75,20260921,7780.0,P,55.2,55.5
2026-09-21 11:06:03,7719.75,20260921,7780.0,C,0.2,0.25
2026-09-21 11:06:03,7719.75,20260921,7785.0,P,60.2,60.5
2026-09-21 11:06:03,7719.75,20260921,7785.0,C,0.15,0.2
2026-09-21 11:06:03,7719.75,20260921,7790.0,P,65.2,65.5
2026-09-21 11:06:03,7719.75,20260921,7790.0,C,0.15,0.2
2026-09-21 11:06:03,7719.75,20260921,7795.0,P,70.2,70.5
2026-09-21 11:06:03,7719.75,20260921,7795.0,C,0.1,0.15
2026-09-21 11:06:03,7719.75,20260921,7800.0,P,75.1,75.5
2026-09-21 11:06:03,7719.75,20260921,7800.0,C,0.1,0.15
2026-09-21 11:06:03,7719.75,20260921,7805.0,P,80.1,80.4
2026-09-21 11:06:03,7719.75,20260921,7805.0,C,0.1,0.15
2026-09-21 11:06:03,7719.75,20260921,7810.0,P,85.1,85.6
2026-09-21 11:06:03,7719.75,20260921,7810.0,C,0.05,0.1
2026-09-21 11:06:03,7719.75,20260921,7815.0,P,90.0,90.6
2026-09-21 11:06:03,7719.75,20260921,7815.0,C,0.05,0.1
2026-09-21 11:06:03,7719.75,20260921,7685.0,C,40.5,40.8
2026-09-21 11:06:03,7719.75,20260921,7690.0,P,0.9,1.0
2026-09-21 11:06:03,7719.75,20260921,7690.0,C,35.6,35.9
2026-09-21 11:06:03,7719.75,20260921,7695.0,P,1.15,1.2
2026-09-21 11:06:03,7719.75,20260921,7695.0,C,30.8,31.1
2026-09-21 11:06:03,7719.75,20260921,7700.0,P,1.45,1.5
2026-09-21 11:06:03,7719.75,20260921,7700.0,C,26.2,26.4
2026-09-21 11:06:03,7719.75,20260921,7705.0,P,1.9,1.95
2026-09-21 11:06:03,7719.75,20260921,7705.0,C,21.6,21.9
2026-09-21 11:06:03,7719.75,20260921,7710.0,P,2.6,2.65
2026-09-21 11:06:03,7719.75,20260921,7710.0,C,17.3,17.6
2026-09-21 11:06:03,7719.75,20260921,7715.0,P,3.6,3.7
2026-09-21 11:06:03,7719.75,20260921,7715.0,C,13.4,13.5
2026-09-21 11:06:03,7719.75,20260921,7720.0,P,5.1,5.2
2026-09-21 11:06:03,7719.75,20260921,7720.0,C,9.9,10.0
2026-09-21 11:06:03,7719.75,20260921,7725.0,P,7.2,7.3
2026-09-21 11:06:03,7719.75,20260921,7725.0,C,7.0,7.1
2026-09-21 11:06:03,7719.75,20260921,7730.0,P,9.9,10.1
2026-09-21 11:06:03,7719.75,20260921,7730.0,C,4.8,4.9
2026-09-21 11:06:03,7719.75,20260921,7735.0,P,13.3,13.5
2026-09-21 11:06:03,7719.75,20260921,7735.0,C,3.1,3.2
2026-09-21 11:06:03,7719.75,20260921,7740.0,P,17.2,17.4
2026-09-21 11:06:03,7719.75,20260921,7740.0,C,2.05,2.1
2026-09-21 11:06:03,7719.75,20260921,7745.0,P,21.5,21.7
2026-09-21 11:06:03,7719.75,20260921,7745.0,C,1.35,1.4
2026-09-21 11:06:03,7719.75,20260921,7750.0,P,26.1,26.3
2026-09-21 11:06:03,7719.75,20260921,7755.0,P,30.8,31.1
2026-09-21 11:06:03,7719.75,20260921,7755.0,C,0.65,0.7
2026-09-21 11:06:17,7719.28,20260921,7555.0,P,0.15,0.2
2026-09-21 11:06:17,7719.28,20260921,7555.0,C,169.6,170.3
2026-09-21 11:06:17,7719.28,20260921,7580.0,P,0.15,0.2
2026-09-21 11:06:17,7719.28,20260921,7580.0,C,144.6,145.4
2026-09-21 11:06:17,7719.28,20260921,7600.0,P,0.2,0.25
2026-09-21 11:06:17,7719.28,20260921,7600.0,C,124.7,125.4
2026-09-21 11:06:17,7719.28,20260921,7625.0,P,0.25,0.3
2026-09-21 11:06:17,7719.28,20260921,7625.0,C,99.9,100.2
2026-09-21 11:06:17,7719.28,20260921,7630.0,P,0.25,0.3
2026-09-21 11:06:17,7719.28,20260921,7630.0,C,94.9,95.3
2026-09-21 11:06:17,7719.28,20260921,7635.0,P,0.3,0.35
2026-09-21 11:06:17,7719.28,20260921,7635.0,C,90.0,90.3
2026-09-21 11:06:17,7719.28,20260921,7640.0,P,0.3,0.35
2026-09-21 11:06:17,7719.28,20260921,7640.0,C,85.0,85.3
2026-09-21 11:06:17,7719.28,20260921,7645.0,P,0.35,0.4
2026-09-21 11:06:17,7719.28,20260921,7645.0,C,80.0,80.3
2026-09-21 11:06:17,7719.28,20260921,7650.0,P,0.35,0.4
2026-09-21 11:06:17,7719.28,20260921,7650.0,C,75.0,75.3
2026-09-21 11:06:17,7719.28,20260921,7655.0,P,0.4,0.45
2026-09-21 11:06:17,7719.28,20260921,7655.0,C,70.2,70.5
2026-09-21 11:06:17,7719.28,20260921,7660.0,P,0.45,0.5
2026-09-21 11:06:17,7719.28,20260921,7660.0,C,65.2,65.6
2026-09-21 11:06:17,7719.28,20260921,7665.0,P,0.45,0.5
2026-09-21 11:06:17,7719.28,20260921,7665.0,C,60.2,60.5
2026-09-21 11:06:17,7719.28,20260921,7670.0,P,0.5,0.6
2026-09-21 11:06:17,7719.28,20260921,7670.0,C,55.2,55.6
2026-09-21 11:06:17,7719.28,20260921,7675.0,P,0.6,0.65
2026-09-21 11:06:17,7719.28,20260921,7675.0,C,50.3,50.6
2026-09-21 11:06:17,7719.28,20260921,7680.0,P,0.65,0.7
2026-09-21 11:06:17,7719.28,20260921,7680.0,C,45.4,45.7
2026-09-21 11:06:17,7719.28,20260921,7685.0,P,0.75,0.8
2026-09-21 11:06:17,7719.28,20260921,7685.0,C,40.7,41.0
2026-09-21 11:06:17,7719.28,20260921,7690.0,P,0.9,1.0
2026-09-21 11:06:17,7719.28,20260921,7690.0,C,35.9,36.2
2026-09-21 11:06:17,7719.28,20260921,7695.0,P,1.15,1.2
2026-09-21 11:06:17,7719.28,20260921,7695.0,C,31.1,31.4
2026-09-21 11:06:17,7719.28,20260921,7700.0,P,1.4,1.5
2026-09-21 11:06:17,7719.28,20260921,7700.0,C,26.4,26.7
2026-09-21 11:06:17,7719.28,20260921,7705.0,P,1.85,1.95
2026-09-21 11:06:17,7719.28,20260921,7705.0,C,21.9,22.1
2026-09-21 11:06:17,7719.28,20260921,7710.0,P,2.55,2.6
2026-09-21 11:06:17,7719.28,20260921,7710.0,C,17.8,18.0
2026-09-21 11:06:17,7719.28,20260921,7715.0,P,3.5,3.6
2026-09-21 11:06:17,7719.28,20260921,7715.0,C,13.7,14.0
2026-09-21 11:06:17,7719.28,20260921,7720.0,P,5.0,5.1
2026-09-21 11:06:17,7719.28,20260921,7720.0,C,10.2,10.4
2026-09-21 11:06:17,7719.28,20260921,7725.0,P,7.0,7.1
2026-09-21 11:06:17,7719.28,20260921,7725.0,C,7.3,7.4
2026-09-21 11:06:17,7719.28,20260921,7730.0,P,9.7,9.8
2026-09-21 11:06:17,7719.28,20260921,7730.0,C,5.0,5.1
2026-09-21 11:06:17,7719.28,20260921,7735.0,P,13.0,13.1
2026-09-21 11:06:17,7719.28,20260921,7735.0,C,3.3,3.4
