occ_root,theta_root,theta_root_alt,expiry,date,right,right_v3,strike,strike_v3,strike_v2,n_trades,n_legs,n_order_fills,first_fill_ts_et,last_fill_ts_et
SPXW,SPXW,SPX,20260804,20260804,P,put,7560.0,7560.000,7560000,1,1,1,2026-08-04 10:05:15,2026-08-04 10:05:15
SPXW,SPXW,SPX,20260804,20260804,P,put,7575.0,7575.000,7575000,1,1,3,2026-08-04 03:46:52,2026-08-04 09:33:51
SPXW,SPXW,SPX,20260804,20260804,P,put,7585.0,7585.000,7585000,1,1,1,2026-08-04 10:05:16,2026-08-04 10:05:16
SPXW,SPXW,SPX,20260804,20260804,C,call,7600.0,7600.000,7600000,1,1,3,2026-08-04 09:34:06,2026-08-04 09:49:42
SPXW,SPXW,SPX,20260804,20260804,P,put,7600.0,7600.000,7600000,1,1,1,2026-08-04 09:33:52,2026-08-04 09:33:52
SPXW,SPXW,SPX,20260804,20260804,C,call,7625.0,7625.000,7625000,1,1,2,2026-08-04 09:34:05,2026-08-04 09:49:43
SPXW,SPXW,SPX,20260804,20260804,C,call,7630.0,7630.000,7630000,1,1,2,2026-08-04 10:09:40,2026-08-04 10:21:38
SPXW,SPXW,SPX,20260804,20260804,P,put,7635.0,7635.000,7635000,1,1,2,2026-08-04 10:05:56,2026-08-04 10:08:41
SPXW,SPXW,SPX,20260804,20260804,C,call,7655.0,7655.000,7655000,1,1,2,2026-08-04 10:09:31,2026-08-04 10:21:45
SPXW,SPXW,SPX,20260804,20260804,C,call,7660.0,7660.000,7660000,1,1,2,2026-08-04 10:07:13,2026-08-04 10:18:57
SPXW,SPXW,SPX,20260804,20260804,P,put,7660.0,7660.000,7660000,1,1,1,2026-08-04 10:09:17,2026-08-04 10:09:17
SPXW,SPXW,SPX,20260804,20260804,C,call,7675.0,7675.000,7675000,1,1,2,2026-08-04 09:33:37,2026-08-04 10:51:00
SPXW,SPXW,SPX,20260804,20260804,C,call,7685.0,7685.000,7685000,1,1,2,2026-08-04 10:06:58,2026-08-04 10:18:58
SPXW,SPXW,SPX,20260804,20260804,C,call,7700.0,7700.000,7700000,1,1,2,2026-08-04 09:33:35,2026-08-04 10:51:01
SPXW,SPXW,SPX,20260804,20260804,C,call,7735.0,7735.000,7735000,1,1,2,2026-08-04 10:05:32,2026-08-04 13:22:19
SPXW,SPXW,SPX,20260804,20260804,C,call,7760.0,7760.000,7760000,1,1,2,2026-08-04 10:05:30,2026-08-04 13:22:20
SPXW,SPXW,SPX,20260805,20260805,P,put,7630.0,7630.000,7630000,1,1,1,2026-08-05 10:26:39,2026-08-05 10:26:39
SPXW,SPXW,SPX,20260805,20260805,P,put,7655.0,7655.000,7655000,1,1,1,2026-08-05 10:26:40,2026-08-05 10:26:40
SPXW,SPXW,SPX,20260805,20260805,P,put,7675.0,7675.000,7675000,1,1,1,2026-08-05 10:29:29,2026-08-05 10:29:29
SPXW,SPXW,SPX,20260805,20260805,P,put,7700.0,7700.000,7700000,1,1,1,2026-08-05 10:29:30,2026-08-05 10:29:30
SPXW,SPXW,SPX,20260805,20260805,P,put,7710.0,7710.000,7710000,1,1,2,2026-08-05 10:27:55,2026-08-05 12:08:29
SPXW,SPXW,SPX,20260805,20260805,P,put,7735.0,7735.000,7735000,1,1,2,2026-08-05 10:28:13,2026-08-05 12:08:28
SPXW,SPXW,SPX,20260805,20260805,C,call,7750.0,7750.000,7750000,1,1,2,2026-08-05 10:34:47,2026-08-05 10:45:02
SPXW,SPXW,SPX,20260805,20260805,P,put,7755.0,7755.000,7755000,1,1,3,2026-08-05 10:33:31,2026-08-05 10:47:13
SPXW,SPXW,SPX,20260805,20260805,C,call,7760.0,7760.000,7760000,1,1,2,2026-08-05 10:28:28,2026-08-05 10:31:01
SPXW,SPXW,SPX,20260805,20260805,C,call,7775.0,7775.000,7775000,1,1,3,2026-08-05 10:32:51,2026-08-05 10:45:13
SPXW,SPXW,SPX,20260805,20260805,C,call,7780.0,7780.000,7780000,1,1,1,2026-08-05 10:34:32,2026-08-05 10:34:32
SPXW,SPXW,SPX,20260805,20260805,P,put,7780.0,7780.000,7780000,1,1,2,2026-08-05 10:35:05,2026-08-05 10:46:37
SPXW,SPXW,SPX,20260805,20260805,C,call,7805.0,7805.000,7805000,1,1,2,2026-08-05 10:31:28,2026-08-05 10:34:31
SPXW,SPXW,SPX,20260805,20260805,C,call,7840.0,7840.000,7840000,1,1,2,2026-08-05 10:26:55,2026-08-05 10:30:45
SPXW,SPXW,SPX,20260805,20260805,C,call,7860.0,7860.000,7860000,1,1,1,2026-08-05 10:29:45,2026-08-05 10:29:45
SPXW,SPXW,SPX,20260805,20260805,C,call,7885.0,7885.000,7885000,1,1,1,2026-08-05 10:29:44,2026-08-05 10:29:44
SPXW,SPXW,SPX,20260806,20260806,P,put,7620.0,7620.000,7620000,1,1,0,,
SPXW,SPXW,SPX,20260806,20260806,P,put,7635.0,7635.000,7635000,1,1,0,,
SPXW,SPXW,SPX,20260806,20260806,P,put,7645.0,7645.000,7645000,1,1,0,,
SPXW,SPXW,SPX,20260806,20260806,P,put,7660.0,7660.000,7660000,1,1,0,,
SPXW,SPXW,SPX,20260806,20260806,P,put,7675.0,7675.000,7675000,1,1,0,,
SPXW,SPXW,SPX,20260806,20260806,P,put,7700.0,7700.000,7700000,2,2,0,,
SPXW,SPXW,SPX,20260806,20260806,P,put,7710.0,7710.000,7710000,1,1,0,,
SPXW,SPXW,SPX,20260806,20260806,C,call,7725.0,7725.000,7725000,1,1,0,,
SPXW,SPXW,SPX,20260806,20260806,P,put,7725.0,7725.000,7725000,1,1,0,,
SPXW,SPXW,SPX,20260806,20260806,C,call,7735.0,7735.000,7735000,1,1,0,,
SPXW,SPXW,SPX,20260806,20260806,P,put,7735.0,7735.000,7735000,1,1,0,,
SPXW,SPXW,SPX,20260806,20260806,C,call,7750.0,7750.000,7750000,1,1,0,,
SPXW,SPXW,SPX,20260806,20260806,C,call,7760.0,7760.000,7760000,1,1,0,,
SPXW,SPXW,SPX,20260806,20260806,C,call,7800.0,7800.000,7800000,2,2,0,,
SPXW,SPXW,SPX,20260806,20260806,C,call,7815.0,7815.000,7815000,1,1,0,,
SPXW,SPXW,SPX,20260806,20260806,C,call,7825.0,7825.000,7825000,2,2,0,,
SPXW,SPXW,SPX,20260806,20260806,C,call,7840.0,7840.000,7840000,1,1,0,,
SPXW,SPXW,SPX,20260807,20260807,P,put,7610.0,7610.000,7610000,1,1,0,,
SPXW,SPXW,SPX,20260807,20260807,P,put,7630.0,7630.000,7630000,1,1,0,,
SPXW,SPXW,SPX,20260807,20260807,P,put,7635.0,7635.000,7635000,1,1,0,,
SPXW,SPXW,SPX,20260807,20260807,P,put,7655.0,7655.000,7655000,1,1,0,,
SPXW,SPXW,SPX,20260807,20260807,P,put,7685.0,7685.000,7685000,1,1,0,,
SPXW,SPXW,SPX,20260807,20260807,P,put,7705.0,7705.000,7705000,1,1,0,,
SPXW,SPXW,SPX,20260807,20260807,C,call,7710.0,7710.000,7710000,1,1,0,,
SPXW,SPXW,SPX,20260807,20260807,P,put,7710.0,7710.000,7710000,1,1,0,,
SPXW,SPXW,SPX,20260807,20260807,C,call,7730.0,7730.000,7730000,1,1,0,,
SPXW,SPXW,SPX,20260807,20260807,P,put,7730.0,7730.000,7730000,1,1,0,,
SPXW,SPXW,SPX,20260807,20260807,C,call,7735.0,7735.000,7735000,1,1,0,,
SPXW,SPXW,SPX,20260807,20260807,C,call,7755.0,7755.000,7755000,1,1,0,,
SPXW,SPXW,SPX,20260807,20260807,C,call,7785.0,7785.000,7785000,1,1,0,,
SPXW,SPXW,SPX,20260807,20260807,C,call,7805.0,7805.000,7805000,1,1,0,,
SPXW,SPXW,SPX,20260807,20260807,C,call,7810.0,7810.000,7810000,1,1,0,,
SPXW,SPXW,SPX,20260807,20260807,C,call,7830.0,7830.000,7830000,1,1,0,,
SPXW,SPXW,SPX,20260810,20260810,P,put,7655.0,7655.000,7655000,2,2,0,,
SPXW,SPXW,SPX,20260810,20260810,P,put,7680.0,7680.000,7680000,2,2,0,,
SPXW,SPXW,SPX,20260810,20260810,P,put,7705.0,7705.000,7705000,1,1,0,,
SPXW,SPXW,SPX,20260810,20260810,P,put,7730.0,7730.000,7730000,1,1,0,,
SPXW,SPXW,SPX,20260810,20260810,P,put,7735.0,7735.000,7735000,2,2,0,,
SPXW,SPXW,SPX,20260810,20260810,C,call,7760.0,7760.000,7760000,2,2,0,,
SPXW,SPXW,SPX,20260810,20260810,P,put,7760.0,7760.000,7760000,2,2,0,,
SPXW,SPXW,SPX,20260810,20260810,C,call,7775.0,7775.000,7775000,1,1,0,,
SPXW,SPXW,SPX,20260810,20260810,C,call,7785.0,7785.000,7785000,2,2,0,,
SPXW,SPXW,SPX,20260810,20260810,C,call,7800.0,7800.000,7800000,1,1,0,,
SPXW,SPXW,SPX,20260811,20260811,P,put,7650.0,7650.000,7650000,1,1,0,,
SPXW,SPXW,SPX,20260811,20260811,P,put,7660.0,7660.000,7660000,1,1,0,,
SPXW,SPXW,SPX,20260811,20260811,P,put,7675.0,7675.000,7675000,2,2,0,,
SPXW,SPXW,SPX,20260811,20260811,P,put,7685.0,7685.000,7685000,1,1,0,,
SPXW,SPXW,SPX,20260811,20260811,P,put,7700.0,7700.000,7700000,1,1,0,,
SPXW,SPXW,SPX,20260811,20260811,P,put,7730.0,7730.000,7730000,1,1,0,,
SPXW,SPXW,SPX,20260811,20260811,P,put,7740.0,7740.000,7740000,1,1,0,,
SPXW,SPXW,SPX,20260811,20260811,C,call,7755.0,7755.000,7755000,1,1,0,,
SPXW,SPXW,SPX,20260811,20260811,P,put,7755.0,7755.000,7755000,1,1,0,,
SPXW,SPXW,SPX,20260811,20260811,C,call,7765.0,7765.000,7765000,1,1,0,,
SPXW,SPXW,SPX,20260811,20260811,P,put,7765.0,7765.000,7765000,1,1,0,,
