layer,wing,slip,n,win,pf,total,mdd,avg,avgL,tail,breach,roc
L0 flat-1sigma,25,0.0,606,89.93399339933993,1.2181725635956875,18431.000000000076,-10326.999999999985,30.41419141914204,-1384.9016393442614,-2151.3500000000004,11.881188118811881,1.31709739774827
L1 vix-scaled,25,0.0,602,91.69435215946844,1.434812527004755,27171.000000000102,-8988.000000000004,45.13455149501678,-1249.7799999999986,-1873.3166666666673,9.800664451827243,1.9289050370468255
L0 flat-1sigma,25,0.25,605,89.91735537190083,1.119141788864872,10196.750000000073,-12918.499999999987,16.854132231405078,-1403.032786885245,-2173.4375000000005,11.900826446280991,0.7256919356155961
L1 vix-scaled,25,0.25,602,91.69435215946844,1.3164410042702899,19970.750000000102,-9161.250000000007,33.1740033222593,-1262.2099999999984,-1888.3208333333343,9.800664451827243,1.4105397690001278
L0 flat-1sigma,25,0.5,602,89.70099667774086,1.0473942703633716,4031.250000000078,-13864.749999999984,6.696428571428702,-1371.8991935483864,-2195.933333333334,11.794019933554816,0.286841525260471
L1 vix-scaled,25,0.5,598,91.47157190635451,1.236743895811109,14701.50000000011,-9334.500000000004,24.5844481605353,-1217.6225490196066,-1912.2241379310356,9.698996655518394,1.0406517071140475
L0 flat-1sigma,50,0.0,609,90.47619047619048,1.291497200238001,35763.50000000011,-17412.000000000007,58.72495894909706,-2115.327586206895,-3469.4666666666662,11.986863711001643,1.2431697099502452
L1 vix-scaled,50,0.0,606,92.24422442244224,1.420219877007284,40077.00000000012,-16003.000000000007,66.13366336633682,-2029.1808510638273,-2953.816666666667,10.066006600660065,1.384532631710593
L0 flat-1sigma,50,0.25,609,90.14778325123153,1.2271072078826186,28096.625000000102,-18862.874999999964,46.135673234811335,-2061.9208333333318,-3490.7,11.986863711001643,0.974066650369606
L1 vix-scaled,50,0.25,606,91.91419141914191,1.347409860813776,33368.50000000012,-17026.0,55.0635313531355,-1960.1913265306105,-2971.8875000000003,10.066006600660065,1.1501098719674094
L0 flat-1sigma,50,0.5,608,90.13157894736842,1.1646453148859943,20539.750000000106,-21289.249999999964,33.78248355263175,-2079.1916666666652,-3511.9333333333334,12.006578947368421,0.7114488282729916
L1 vix-scaled,50,0.5,606,91.91419141914191,1.275591873864516,26660.000000000116,-18049.0,43.993399339934186,-1974.2295918367329,-2989.958333333334,10.066006600660065,0.9167686826866245
