ts_et,strike,side,bid,ask
08:50:00,7530.0,sell,40.6,41.2
08:50:00,7470.0,buy,29.5,29.9
08:50:05,7530.0,sell,40.5,41.1
08:50:05,7470.0,buy,29.4,29.8
08:50:10,7530.0,sell,40.7,41.2
08:50:10,7470.0,buy,29.5,29.9
08:50:15,7530.0,sell,40.7,41.3
08:50:15,7470.0,buy,29.5,29.9
08:50:20,7530.0,sell,40.7,41.3
08:50:20,7470.0,buy,29.6,30.0
08:50:25,7530.0,sell,40.7,41.3
08:50:25,7470.0,buy,29.6,30.0
08:52:47,7530.0,sell,41.4,41.9
08:52:47,7470.0,buy,30.0,30.4
08:52:52,7530.0,sell,41.5,42.0
08:52:52,7470.0,buy,30.2,30.6
08:52:57,7530.0,sell,41.5,42.1
08:52:57,7470.0,buy,30.2,30.6
08:53:02,7530.0,sell,41.5,42.0
08:53:02,7470.0,buy,30.1,30.6
08:53:07,7530.0,sell,41.7,42.2
08:53:07,7470.0,buy,30.3,30.7
08:53:12,7530.0,sell,41.7,42.2
08:53:12,7470.0,buy,30.3,30.8
