date,gex_em,cur,vix,open,atm_k,straddle,vix252,vix365,iv252,iv365
20260804,75.0,7600.0,15.859999656677246,7630.62,7630.0,26.2,75.9,63.1,15.7,18.9
20260805,80.0,7737.0,16.5,7771.62,7770.0,47.65,80.4,66.8,16.4,19.8
20260806,78.0,7723.55,15.8100004196167,7713.79,7715.0,37.0,76.9,63.9,16.0,19.3
20260810,76.0,7757.64,14.899999618530272,7751.74,7750.0,28.15,72.8,60.5,15.6,18.7
20260811,76.0,7753.11,15.460000038146973,7767.51,7770.0,25.7,75.5,62.7,15.6,18.7
20260812,75.0,7728.2,15.279999732971191,7765.46,7765.0,31.65,74.4,61.8,15.4,18.5
20260813,71.0,7748.5,14.550000190734863,7763.18,7765.0,23.8,71.0,59.0,14.5,17.5
20260814,72.0,7798.99,14.630000114440918,7806.6,7805.0,23.8,71.9,59.7,14.7,17.6
20260817,73.0,7785.76,14.25,7790.68,7790.0,20.95,69.9,58.1,14.9,17.9
20260818,78.0,7745.06,15.1899995803833,7700.04,7700.0,29.25,74.1,61.6,16.0,19.2
20260819,77.0,7691.76,15.84000015258789,7716.74,7715.0,26.0,76.8,63.8,15.9,19.1
20260820,74.0,7707.98,14.890000343322754,7690.49,7690.0,29.7,72.3,60.1,15.2,18.3
20260821,76.0,7641.16,16.010000228881836,7665.68,7665.0,28.35,77.1,64.0,15.8,19.0
20260824,77.0,7674.37,15.130000114440918,7663.38,7665.0,25.3,73.1,60.8,15.9,19.2
20260825,76.0,7652.86,15.850000381469728,7676.66,7675.0,24.38,76.4,63.5,15.8,19.0
20260826,76.0,7677.28,15.449999809265137,7666.88,7665.0,21.7,74.7,62.1,15.7,18.9
20260827,72.0,7675.7,15.210000038146973,7710.34,7710.0,29.5,73.5,61.1,14.9,17.9
20260828,71.0,7730.99,14.510000228881836,7735.17,7735.0,36.4,70.7,58.7,14.6,17.5
20260831,74.0,7711.76,14.43000030517578,7697.52,7700.0,25.75,70.1,58.2,15.2,18.3
