day,n,end_pnl,intraday_trough,trough_ct,recovered_by,ended_green,vix,booked_realized,recon_gap
2026-08-04,8,-1150,-1270,13:18,120,False,16.4,-1334.0,184.0
2026-08-05,7,218,-258,12:09,475,True,15.6,-600.0,818.0
2026-08-06,10,-295,-1160,12:01,865,False,15.3,-386.0,91.0
2026-08-07,8,1380,-375,10:13,1755,True,14.9,1367.0,13.0
2026-08-11,9,978,-30,09:32,1008,True,15.3,970.0,8.0
2026-08-12,9,1225,18,10:35,1208,True,14.4,1231.0,-6.0
2026-08-13,9,-30,-1008,09:41,978,False,14.6,126.0,-156.0
2026-08-14,8,580,-78,09:32,658,True,14.3,434.0,146.0
2026-08-17,7,918,-408,09:34,1325,True,15.2,1031.0,-113.0
2026-08-18,8,1415,-125,09:34,1540,True,15.8,1168.0,247.0
2026-08-19,9,1285,-48,09:50,1332,True,15.2,2026.0,-741.0
2026-08-20,9,585,-18,09:32,602,True,16.0,452.0,133.0
2026-08-21,10,628,-88,11:53,715,True,15.2,748.0,-120.0
2026-08-24,7,-392,-998,12:22,605,False,15.7,-499.0,107.0
2026-08-25,8,240,-275,10:30,515,True,15.5,254.0,-14.0
2026-08-26,6,-342,-638,15:04,295,False,15.4,-425.0,83.0
2026-08-27,8,518,-465,10:08,982,True,14.5,498.0,20.0
2026-08-28,10,-1375,-2222,13:02,848,False,14.4,-1344.0,-31.0
2026-08-31,9,332,-680,09:46,1012,True,15.0,301.0,31.0
2026-09-01,8,212,-285,14:47,498,True,16.4,254.0,-42.0
2026-09-02,8,655,-75,09:46,730,True,15.1,592.0,63.0
2026-09-03,9,-1435,-1800,11:31,365,False,14.3,-1407.0,-28.0
2026-09-04,10,1635,18,09:32,1618,True,14.1,1567.0,68.0
