ts_et,spot,expiry,strike,right,bid,ask
2026-09-17 09:30:36,7639.4,20260917,7450.0,P,0.15,0.2
2026-09-17 09:30:36,7639.4,20260917,7450.0,C,189.6,191.6
2026-09-17 09:30:36,7639.4,20260917,7475.0,P,0.2,0.25
2026-09-17 09:30:36,7639.4,20260917,7475.0,C,164.6,165.9
2026-09-17 09:30:36,7639.4,20260917,7500.0,P,0.3,0.35
2026-09-17 09:30:36,7639.4,20260917,7500.0,C,139.6,141.0
2026-09-17 09:30:36,7639.4,20260917,7525.0,P,0.45,0.5
2026-09-17 09:30:36,7639.4,20260917,7525.0,C,114.8,116.1
2026-09-17 09:30:36,7639.4,20260917,7545.0,P,0.7,0.75
2026-09-17 09:30:36,7639.4,20260917,7545.0,C,95.5,96.4
2026-09-17 09:30:36,7639.4,20260917,7550.0,P,0.8,0.85
2026-09-17 09:30:36,7639.4,20260917,7550.0,C,90.6,91.6
2026-09-17 09:30:36,7639.4,20260917,7555.0,P,0.9,0.95
2026-09-17 09:30:36,7639.4,20260917,7555.0,C,85.7,86.6
2026-09-17 09:30:36,7639.4,20260917,7560.0,P,1.0,1.05
2026-09-17 09:30:36,7639.4,20260917,7560.0,C,80.8,81.8
2026-09-17 09:30:36,7639.4,20260917,7565.0,P,1.15,1.25
2026-09-17 09:30:36,7639.4,20260917,7565.0,C,76.0,77.0
2026-09-17 09:30:36,7639.4,20260917,7570.0,P,1.35,1.45
2026-09-17 09:30:36,7639.4,20260917,7570.0,C,71.2,72.2
2026-09-17 09:30:36,7639.4,20260917,7575.0,P,1.55,1.65
2026-09-17 09:30:36,7639.4,20260917,7575.0,C,66.4,67.4
2026-09-17 09:30:36,7639.4,20260917,7580.0,P,1.8,1.9
2026-09-17 09:30:36,7639.4,20260917,7580.0,C,61.7,62.6
2026-09-17 09:30:36,7639.4,20260917,7585.0,P,2.15,2.2
2026-09-17 09:30:36,7639.4,20260917,7585.0,C,57.0,57.8
2026-09-17 09:30:36,7639.4,20260917,7590.0,P,2.5,2.6
2026-09-17 09:30:36,7639.4,20260917,7590.0,C,52.4,53.2
2026-09-17 09:30:36,7639.4,20260917,7595.0,P,2.95,3.1
2026-09-17 09:30:36,7639.4,20260917,7595.0,C,47.8,48.8
2026-09-17 09:30:36,7639.4,20260917,7600.0,P,3.7,3.8
2026-09-17 09:30:36,7639.4,20260917,7600.0,C,41.7,42.0
2026-09-17 09:30:36,7639.4,20260917,7605.0,P,4.3,4.5
2026-09-17 09:30:36,7639.4,20260917,7605.0,C,37.4,37.7
2026-09-17 09:30:36,7639.4,20260917,7610.0,P,5.1,5.3
2026-09-17 09:30:36,7639.4,20260917,7610.0,C,33.2,33.5
2026-09-17 09:30:36,7639.4,20260917,7615.0,P,6.1,6.3
2026-09-17 09:30:36,7639.4,20260917,7615.0,C,29.1,29.4
2026-09-17 09:30:36,7639.4,20260917,7620.0,P,7.3,7.4
2026-09-17 09:30:36,7639.4,20260917,7620.0,C,25.2,25.5
2026-09-17 09:30:36,7639.4,20260917,7625.0,P,8.6,8.8
2026-09-17 09:30:36,7639.4,20260917,7625.0,C,21.6,21.9
2026-09-17 09:30:36,7639.4,20260917,7630.0,P,10.2,10.3
2026-09-17 09:30:36,7639.4,20260917,7630.0,C,18.3,18.5
2026-09-17 09:30:36,7639.4,20260917,7635.0,P,12.1,12.3
2026-09-17 09:30:36,7639.4,20260917,7635.0,C,15.2,15.4
2026-09-17 09:30:36,7639.4,20260917,7640.0,P,14.3,14.4
2026-09-17 09:30:36,7639.4,20260917,7640.0,C,12.4,12.6
2026-09-17 09:30:36,7639.4,20260917,7645.0,P,16.7,17.0
2026-09-17 09:30:36,7639.4,20260917,7645.0,C,9.9,10.1
2026-09-17 09:30:36,7639.4,20260917,7650.0,P,19.8,20.0
2026-09-17 09:30:36,7639.4,20260917,7650.0,C,7.7,7.9
2026-09-17 09:30:36,7639.4,20260917,7655.0,P,23.0,23.4
2026-09-17 09:30:36,7639.4,20260917,7655.0,C,5.9,6.1
2026-09-17 09:30:36,7639.4,20260917,7660.0,P,26.3,26.9
2026-09-17 09:30:36,7639.4,20260917,7660.0,C,4.4,4.6
2026-09-17 09:30:36,7639.4,20260917,7665.0,P,30.2,30.9
2026-09-17 09:30:36,7639.4,20260917,7665.0,C,3.3,3.4
2026-09-17 09:30:36,7639.4,20260917,7670.0,P,34.6,35.3
2026-09-17 09:30:36,7639.4,20260917,7670.0,C,2.4,2.5
2026-09-17 09:30:36,7639.4,20260917,7675.0,P,38.7,39.2
2026-09-17 09:30:36,7639.4,20260917,7675.0,C,1.8,1.85
2026-09-17 09:30:36,7639.4,20260917,7680.0,P,43.2,43.8
2026-09-17 09:30:36,7639.4,20260917,7680.0,C,1.3,1.35
2026-09-17 09:30:36,7639.4,20260917,7685.0,P,47.8,48.5
2026-09-17 09:30:36,7639.4,20260917,7685.0,C,0.95,1.0
2026-09-17 09:30:36,7639.4,20260917,7690.0,P,52.2,53.2
2026-09-17 09:30:36,7639.4,20260917,7690.0,C,0.7,0.75
2026-09-17 09:30:36,7639.4,20260917,7695.0,P,57.4,58.0
2026-09-17 09:30:36,7639.4,20260917,7695.0,C,0.55,0.6
2026-09-17 09:30:36,7639.4,20260917,7700.0,P,61.9,62.8
2026-09-17 09:30:36,7639.4,20260917,7700.0,C,0.4,0.45
2026-09-17 09:30:36,7639.4,20260917,7705.0,P,67.5,68.0
2026-09-17 09:30:36,7639.4,20260917,7705.0,C,0.3,0.4
2026-09-17 09:30:36,7639.4,20260917,7710.0,P,72.4,72.9
2026-09-17 09:30:36,7639.4,20260917,7710.0,C,0.25,0.3
2026-09-17 09:30:36,7639.4,20260917,7715.0,P,77.4,77.8
2026-09-17 09:30:36,7639.4,20260917,7715.0,C,0.2,0.25
2026-09-17 09:30:36,7639.4,20260917,7720.0,P,82.3,82.8
2026-09-17 09:30:36,7639.4,20260917,7720.0,C,0.2,0.25
