n,pnl,avg,win%,PF,strategy_id
16,-859.0,-53.69,81.2,0.49,eodic_c
19,1330.6,70.03,100.0,inf,eodic_p
20,453.4,22.67,70.0,1.22,gx_bcs
17,2302.3,135.43,82.4,8.83,gx_bps
24,2888.4,120.35,41.7,1.8,openfly_c
24,2039.0,84.96,37.5,1.88,openfly_p
