ts_et,strike,side,bid,ask
15:59:08,7325.0,buy,24.9,25.2
15:59:08,7225.0,sell,14.5,14.7
15:59:13,7325.0,buy,24.9,25.1
15:59:13,7225.0,sell,14.4,14.7
15:59:18,7325.0,buy,25.0,25.3
15:59:18,7225.0,sell,14.5,14.8
15:59:23,7325.0,buy,24.8,25.2
15:59:23,7225.0,sell,14.4,14.8
15:59:28,7325.0,buy,24.8,25.1
15:59:28,7225.0,sell,14.4,14.7
15:59:33,7325.0,buy,24.6,25.0
15:59:33,7225.0,sell,14.3,14.6
15:59:38,7325.0,buy,24.8,25.1
15:59:38,7225.0,sell,14.4,14.7
15:59:43,7325.0,buy,24.7,25.0
15:59:43,7225.0,sell,14.4,14.6
15:59:49,7325.0,buy,24.5,24.8
15:59:49,7225.0,sell,14.2,14.5
15:59:54,7325.0,buy,24.8,25.3
15:59:54,7225.0,sell,14.4,14.8
15:59:59,7325.0,buy,25.0,25.4
15:59:59,7225.0,sell,14.6,15.0
16:00:04,7325.0,buy,24.8,25.1
16:00:04,7225.0,sell,14.4,14.7
16:00:09,7325.0,buy,24.8,25.2
16:00:09,7225.0,sell,14.5,14.8
16:00:14,7325.0,buy,25.0,25.3
16:00:14,7225.0,sell,14.6,14.9
16:00:19,7325.0,buy,25.0,25.2
16:00:19,7225.0,sell,14.5,14.8
16:00:24,7325.0,buy,24.9,25.2
16:00:24,7225.0,sell,14.5,14.8
16:00:29,7325.0,buy,25.0,25.4
16:00:29,7225.0,sell,14.6,14.8
16:00:34,7325.0,buy,25.0,25.3
16:00:34,7225.0,sell,14.6,14.8
16:00:39,7325.0,buy,25.3,25.5
16:00:39,7225.0,sell,14.7,15.0
16:00:44,7325.0,buy,25.3,25.5
16:00:44,7225.0,sell,14.7,14.9
16:00:49,7325.0,buy,25.2,25.4
16:00:49,7225.0,sell,14.7,14.9
16:00:54,7325.0,buy,25.1,25.3
16:00:54,7225.0,sell,14.6,14.9
16:00:59,7325.0,buy,25.1,25.4
16:00:59,7225.0,sell,14.6,14.9
16:01:04,7325.0,buy,25.0,25.2
16:01:04,7225.0,sell,14.5,14.8
16:01:09,7325.0,buy,25.1,25.3
16:01:09,7225.0,sell,14.6,14.8
16:01:14,7325.0,buy,25.2,25.4
16:01:14,7225.0,sell,14.7,14.9
16:01:19,7325.0,buy,25.1,25.4
16:01:19,7225.0,sell,14.6,14.9
16:01:24,7325.0,buy,25.1,25.4
16:01:24,7225.0,sell,14.7,14.9
16:01:29,7325.0,buy,25.2,25.6
16:01:29,7225.0,sell,14.7,14.9
16:01:34,7325.0,buy,25.2,25.5
16:01:34,7225.0,sell,14.7,14.9
16:01:39,7325.0,buy,25.1,25.3
16:01:39,7225.0,sell,14.6,14.9
16:01:44,7325.0,buy,25.0,25.2
16:01:44,7225.0,sell,14.6,14.8
16:01:49,7325.0,buy,25.0,25.3
16:01:49,7225.0,sell,14.6,14.8
16:01:54,7325.0,buy,25.1,25.3
16:01:54,7225.0,sell,14.6,14.9
16:01:59,7325.0,buy,25.2,25.4
16:01:59,7225.0,sell,14.7,14.9
16:02:04,7325.0,buy,25.2,25.5
16:02:04,7225.0,sell,14.7,15.0
16:02:09,7325.0,buy,25.2,25.4
16:02:09,7225.0,sell,14.7,14.9
16:02:14,7325.0,buy,25.3,25.6
16:02:14,7225.0,sell,14.8,15.0
16:02:19,7325.0,buy,25.4,25.6
16:02:19,7225.0,sell,14.8,15.0
16:02:24,7325.0,buy,25.4,25.6
16:02:24,7225.0,sell,14.8,15.0
16:02:29,7325.0,buy,25.4,25.6
16:02:29,7225.0,sell,14.8,15.0
16:02:34,7325.0,buy,25.4,25.6
16:02:34,7225.0,sell,14.8,15.0
16:02:39,7325.0,buy,25.4,25.6
16:02:39,7225.0,sell,14.8,15.0
16:02:44,7325.0,buy,25.4,25.8
16:02:44,7225.0,sell,14.8,15.0
16:02:49,7325.0,buy,25.5,25.7
16:02:49,7225.0,sell,14.9,15.1
16:02:54,7325.0,buy,25.5,25.7
16:02:54,7225.0,sell,14.9,15.1
16:02:59,7325.0,buy,25.5,25.7
16:02:59,7225.0,sell,14.8,15.0
16:03:04,7325.0,buy,25.5,25.7
16:03:04,7225.0,sell,14.8,15.1
16:03:09,7325.0,buy,25.5,25.7
16:03:09,7225.0,sell,14.9,15.1
16:03:14,7325.0,buy,25.5,25.7
16:03:14,7225.0,sell,14.8,15.1
16:03:19,7325.0,buy,25.5,25.7
16:03:19,7225.0,sell,14.8,15.1
16:03:24,7325.0,buy,25.5,25.7
16:03:24,7225.0,sell,14.8,15.1
16:03:29,7325.0,buy,25.6,25.8
16:03:29,7225.0,sell,14.9,15.1
16:03:34,7325.0,buy,25.5,25.7
16:03:34,7225.0,sell,14.8,15.1
16:03:39,7325.0,buy,25.5,25.8
16:03:39,7225.0,sell,14.9,15.1
16:03:44,7325.0,buy,25.6,25.8
16:03:44,7225.0,sell,14.9,15.1
16:03:49,7325.0,buy,25.6,25.8
16:03:49,7225.0,sell,14.9,15.1
16:03:54,7325.0,buy,25.5,25.7
16:03:54,7225.0,sell,14.9,15.1
16:03:59,7325.0,buy,25.6,25.8
16:03:59,7225.0,sell,14.9,15.1
16:04:04,7325.0,buy,25.5,25.7
16:04:04,7225.0,sell,14.9,15.1
16:04:09,7325.0,buy,25.5,25.8
16:04:09,7225.0,sell,14.9,15.1
16:04:14,7325.0,buy,25.6,25.8
16:04:14,7225.0,sell,14.9,15.1
16:04:19,7325.0,buy,25.5,25.7
16:04:19,7225.0,sell,14.9,15.1
16:04:24,7325.0,buy,25.5,25.7
16:04:24,7225.0,sell,14.9,15.1
16:04:29,7325.0,buy,25.5,25.8
16:04:29,7225.0,sell,14.9,15.1
16:04:34,7325.0,buy,25.6,25.8
16:04:34,7225.0,sell,14.9,15.1
16:04:39,7325.0,buy,25.6,25.8
16:04:39,7225.0,sell,14.9,15.1
16:04:44,7325.0,buy,25.6,25.8
16:04:44,7225.0,sell,14.9,15.2
16:04:49,7325.0,buy,25.6,25.9
16:04:49,7225.0,sell,14.9,15.2
16:04:54,7325.0,buy,25.5,25.8
16:04:54,7225.0,sell,14.9,15.1
16:04:59,7325.0,buy,25.6,25.8
16:04:59,7225.0,sell,14.9,15.1
16:05:04,7325.0,buy,25.5,25.8
16:05:04,7225.0,sell,14.9,15.1
16:05:09,7325.0,buy,25.5,25.7
16:05:09,7225.0,sell,14.8,15.1
16:05:14,7325.0,buy,25.5,25.7
16:05:14,7225.0,sell,14.8,15.1
16:05:19,7325.0,buy,25.5,25.8
16:05:19,7225.0,sell,14.9,15.1
16:05:24,7325.0,buy,25.5,25.7
16:05:24,7225.0,sell,14.9,15.1
16:05:29,7325.0,buy,25.5,25.8
16:05:29,7225.0,sell,14.9,15.1
16:05:34,7325.0,buy,25.5,25.7
16:05:34,7225.0,sell,14.9,15.1
16:05:39,7325.0,buy,25.5,25.7
16:05:39,7225.0,sell,14.9,15.1
16:05:44,7325.0,buy,25.4,25.6
16:05:44,7225.0,sell,14.8,15.0
16:05:49,7325.0,buy,25.4,25.6
16:05:49,7225.0,sell,14.8,15.0
16:05:54,7325.0,buy,25.3,25.5
16:05:54,7225.0,sell,14.7,15.0
16:05:59,7325.0,buy,25.3,25.5
16:05:59,7225.0,sell,14.7,15.0
16:06:04,7325.0,buy,25.4,25.6
16:06:04,7225.0,sell,14.8,15.0
16:06:09,7325.0,buy,25.4,25.7
16:06:09,7225.0,sell,14.8,15.0
16:06:14,7325.0,buy,25.5,25.8
16:06:14,7225.0,sell,14.8,15.1
16:06:19,7325.0,buy,25.6,25.8
16:06:19,7225.0,sell,14.9,15.1
16:06:24,7325.0,buy,25.6,25.8
16:06:24,7225.0,sell,14.9,15.1
16:06:29,7325.0,buy,25.6,25.8
16:06:29,7225.0,sell,14.9,15.1
16:06:34,7325.0,buy,25.6,25.8
16:06:34,7225.0,sell,14.9,15.1
16:06:39,7325.0,buy,25.5,25.7
16:06:39,7225.0,sell,14.9,15.1
16:06:44,7325.0,buy,25.4,25.6
16:06:44,7225.0,sell,14.8,15.0
16:06:49,7325.0,buy,25.3,25.5
16:06:49,7225.0,sell,14.7,15.0
16:06:54,7325.0,buy,25.3,25.6
16:06:54,7225.0,sell,14.7,15.0
16:06:59,7325.0,buy,25.3,25.5
16:06:59,7225.0,sell,14.7,15.0
16:07:04,7325.0,buy,25.2,25.5
16:07:04,7225.0,sell,14.7,14.9
16:07:09,7325.0,buy,25.2,25.5
16:07:09,7225.0,sell,14.7,14.9
16:07:14,7325.0,buy,25.2,25.5
16:07:14,7225.0,sell,14.7,14.9
16:07:19,7325.0,buy,25.2,25.4
16:07:19,7225.0,sell,14.7,14.9
16:07:24,7325.0,buy,25.2,25.4
16:07:24,7225.0,sell,14.7,14.9
16:07:29,7325.0,buy,25.2,25.5
16:07:29,7225.0,sell,14.7,14.9
16:07:34,7325.0,buy,25.2,25.5
16:07:34,7225.0,sell,14.7,15.0
16:07:39,7325.0,buy,25.2,25.5
