strategy,open,pnl,roi,date
eodic_p,False,62.4,2.5626283367556466,2026-08-06
eodic_c,False,37.4,1.5203252032520325,2026-08-06
openfly_p,False,-41.30000000000003,-2.4879518072289173,2026-08-06
openfly_c,False,-181.30000000000007,-11.4746835443038,2026-08-06
gx_bps,False,232.4,10.260485651214129,2026-08-06
gx_bcs,False,42.4,1.7270875763747453,2026-08-06
eodic_p,False,42.4,1.7270875763747453,2026-08-07
eodic_c,False,157.4,6.726495726495727,2026-08-07
openfly_p,False,787.4,46.04678362573099,2026-08-07
openfly_c,False,-31.30000000000007,-2.4453125000000053,2026-08-07
eodic_p,False,7.4,0.2971887550200803,2026-08-10
openfly_p,False,73.7,4.117318435754191,2026-08-10
openfly_c,False,-176.3,-10.309941520467836,2026-08-10
gx_bps,False,147.4,6.272340425531915,2026-08-10
gx_bcs,False,307.4,14.036529680365295,2026-08-10
eodic_p,False,12.4,0.49899396378269617,2026-08-11
eodic_c,False,12.4,0.49899396378269617,2026-08-11
openfly_p,False,-41.30000000000003,-2.771812080536915,2026-08-11
openfly_c,False,682.4,37.5977961432507,2026-08-11
gx_bps,False,62.4,2.5626283367556466,2026-08-11
gx_bcs,False,382.4,18.080378250591014,2026-08-11
eodic_p,False,12.4,0.49899396378269617,2026-08-12
eodic_c,False,177.4,7.6465517241379315,2026-08-12
openfly_p,False,628.7,33.983783783783785,2026-08-12
openfly_c,False,-61.29999999999996,-4.378571428571426,2026-08-12
gx_bcs,False,42.4,1.7270875763747453,2026-08-12
eodic_p,False,7.399999999999999,0.2971887550200803,2026-08-13
eodic_c,False,32.4,1.3144016227180528,2026-08-13
openfly_p,False,617.4,32.84042553191489,2026-08-13
openfly_c,False,-321.29999999999995,-22.15862068965517,2026-08-13
gx_bps,False,82.4,3.412008281573499,2026-08-13
gx_bcs,False,-241.29999999999987,-28.726190476190467,2026-08-13
eodic_p,False,17.4,0.7016129032258064,2026-08-14
eodic_c,False,12.4,0.49899396378269617,2026-08-14
openfly_p,False,-226.3000000000001,-12.607242339832874,2026-08-14
openfly_c,False,712.4,39.91036414565826,2026-08-14
gx_bcs,False,173.7,12.678832116788321,2026-08-14
eodic_p,False,17.4,0.7016129032258064,2026-08-17
openfly_p,False,-101.3,-6.102409638554216,2026-08-17
openfly_c,False,662.4,36.098092643051764,2026-08-17
gx_bps,False,-81.29999999999998,-4.054862842892767,2026-08-17
eodic_p,False,157.4,6.726495726495727,2026-08-18
eodic_c,False,-2.6,,2026-08-18
openfly_p,False,-31.30000000000007,-2.019354838709682,2026-08-18
openfly_c,False,1007.4,67.61073825503355,2026-08-18
gx_bps,False,-101.3,-8.235772357723576,2026-08-18
eodic_c,False,72.4,2.9855670103092784,2026-08-19
openfly_p,False,-4.6,-0.25555555555555554,2026-08-19
openfly_c,False,947.4,61.122580645161285,2026-08-19
gx_bps,False,7.4,0.2971887550200803,2026-08-19
gx_bcs,False,582.4,30.412532637075724,2026-08-19
eodic_p,False,162.4,6.955032119914348,2026-08-20
openfly_p,False,-271.3000000000001,-15.156424581005595,2026-08-20
openfly_c,False,-321.29999999999995,-22.78723404255319,2026-08-20
gx_bps,False,238.70000000000002,18.361538461538462,2026-08-20
gx_bcs,False,12.4,0.49899396378269617,2026-08-20
eodic_p,False,7.4,0.2971887550200803,2026-08-21
eodic_c,False,117.4,4.932773109243698,2026-08-21
openfly_p,False,38.70000000000004,2.4187500000000024,2026-08-21
openfly_c,False,-131.30000000000007,-7.335195530726262,2026-08-21
gx_bps,False,272.4,12.242696629213482,2026-08-21
gx_bcs,False,202.39999999999998,8.81917211328976,2026-08-21
eodic_p,False,57.4,2.3524590163934427,2026-08-24
openfly_p,False,-411.29999999999995,-29.589928057553955,2026-08-24
openfly_c,False,-196.30000000000004,-9.79052369077307,2026-08-24
gx_bps,False,277.4,12.495495495495494,2026-08-24
eodic_c,False,22.4,0.905050505050505,2026-08-25
openfly_p,False,-206.29999999999998,-10.886543535620053,2026-08-25
openfly_c,False,58.70000000000006,3.514970059880243,2026-08-25
gx_bps,False,222.4,9.775824175824175,2026-08-25
gx_bcs,False,-21.300000000000107,-1.429530201342289,2026-08-25
eodic_p,False,32.4,1.3144016227180528,2026-08-26
openfly_p,False,-261.29999999999995,-14.124324324324322,2026-08-26
openfly_c,False,238.69999999999993,13.7183908045977,2026-08-26
gx_bcs,False,262.4,11.740492170022371,2026-08-26
eodic_c,False,92.4,3.8419958419958418,2026-08-27
openfly_p,False,707.4,39.519553072625705,2026-08-27
gx_bps,False,317.4,14.559633027522933,2026-08-27
gx_bcs,False,-486.3000000000001,-22.56612529002321,2026-08-27
openfly_c,False,-191.29999999999987,-12.5032679738562,2026-08-27
eodic_p,False,92.4,3.8419958419958418,2026-08-28
