date,structure,right,K,stopped_pnl,settle_pnl,reason
2026-05-13,eodic_p,P,7320.0,40.98,40.98,time_stop
2026-05-13,eodic_c,C,7485.0,3.48,3.48,time_stop
2026-05-13,eodfly_p,P,7400.0,-206.52,798.48,acceptance
2026-05-13,eodfly_c,C,7400.0,-121.52,-1576.52,acceptance
2026-05-13,openic_p,P,7315.0,33.48,33.48,time_stop
2026-05-13,openic_c,C,7485.0,3.48,3.48,time_stop
2026-05-13,openfly_p,P,7400.0,-206.52,798.48,acceptance
2026-05-13,openfly_c,C,7400.0,-121.52,-1576.52,acceptance
2026-05-13,gx_bps,P,7375.0,335.98,335.98,time_stop
2026-05-13,gx_bcs,C,7450.0,-844.02,75.98,acceptance
2026-05-14,eodic_p,P,7360.0,18.48,18.48,time_stop
2026-05-14,eodic_c,C,7530.0,20.98,25.98,time_stop
2026-05-14,eodfly_p,P,7445.0,483.48,483.48,time_stop
2026-05-14,eodfly_c,C,7445.0,-376.52,-1041.52,acceptance
2026-05-14,openic_p,P,7380.0,40.98,40.98,time_stop
2026-05-14,openic_c,C,7545.0,8.48,8.48,time_stop
2026-05-14,openfly_p,P,7465.0,893.48,893.48,time_stop
2026-05-14,openfly_c,C,7465.0,-441.52,-1581.52,acceptance
2026-05-14,gx_bps,P,7400.0,90.98,90.98,time_stop
2026-05-14,gx_bcs,C,7500.0,-824.02,101.98,acceptance
2026-05-15,eodic_p,P,7410.0,530.98,473.48,time_stop
2026-05-15,eodic_c,C,7590.0,-1.52,-1.52,time_stop
2026-05-15,eodfly_p,P,7500.0,-136.52,-341.52,acceptance
2026-05-15,eodfly_c,C,7500.0,123.48,123.48,time_stop
2026-05-15,openic_p,P,7340.0,78.48,78.48,time_stop
2026-05-15,openic_c,C,7520.0,48.48,48.48,time_stop
2026-05-15,openfly_p,P,7430.0,-281.52,-1206.52,acceptance
2026-05-15,openfly_c,C,7430.0,-141.52,1063.48,acceptance
2026-05-15,gx_bps,P,7500.0,-136.52,-341.52,acceptance
2026-05-15,gx_bcs,C,7525.0,38.48,38.48,time_stop
2026-05-18,eodic_p,P,7320.0,53.48,53.48,time_stop
2026-05-18,eodic_c,C,7500.0,30.98,30.98,time_stop
2026-05-18,eodfly_p,P,7410.0,-196.52,23.48,acceptance
2026-05-18,eodfly_c,C,7410.0,-96.52,1183.48,acceptance
2026-05-18,openic_p,P,7325.0,60.98,60.98,time_stop
2026-05-18,openic_c,C,7505.0,25.98,25.98,time_stop
2026-05-18,openfly_p,P,7415.0,-331.52,-376.52,acceptance
2026-05-18,openfly_c,C,7415.0,-86.52,1058.48,acceptance
2026-05-18,gx_bps,P,7350.0,135.98,135.98,time_stop
2026-05-18,gx_bcs,C,7500.0,30.98,30.98,time_stop
2026-05-19,eodic_p,P,7320.0,315.98,315.98,time_stop
2026-05-19,eodic_c,C,7490.0,5.98,5.98,time_stop
