date,structure,right,K,stopped_pnl,settle_pnl,reason
2026-05-19,eodfly_p,P,7405.0,-76.52,-781.52,acceptance
2026-05-19,eodfly_c,C,7405.0,360.98,360.98,time_stop
2026-05-19,openic_p,P,7280.0,93.48,93.48,time_stop
2026-05-19,openic_c,C,7450.0,55.98,55.98,time_stop
2026-05-19,openfly_p,P,7365.0,-371.52,-205.52,acceptance
2026-05-19,openfly_c,C,7365.0,-56.52,1053.48,acceptance
2026-05-19,gx_bps,P,7400.0,-66.52,-866.52,acceptance
2026-05-19,gx_bcs,C,7425.0,165.98,165.98,time_stop
2026-05-20,eodic_p,P,7270.0,28.48,28.48,time_stop
2026-05-20,eodic_c,C,7435.0,-59.02,115.98,time_stop
2026-05-20,eodfly_p,P,7355.0,568.48,568.48,time_stop
2026-05-20,eodfly_c,C,7355.0,63.48,-1036.52,acceptance
2026-05-20,openic_p,P,7290.0,63.48,63.48,time_stop
2026-05-20,openic_c,C,7460.0,20.98,25.98,time_stop
2026-05-20,openfly_p,P,7375.0,-56.52,923.48,acceptance
2026-05-20,openfly_c,C,7375.0,-86.52,-1476.52,acceptance
2026-05-20,gx_bps,P,7340.0,368.48,368.48,time_stop
2026-05-20,gx_bcs,C,7400.0,-851.52,-1996.52,acceptance
2026-05-21,eodic_p,P,7355.0,383.48,383.48,time_stop
2026-05-21,eodic_c,C,7515.0,18.48,18.48,time_stop
2026-05-21,eodfly_p,P,7435.0,-81.52,1593.48,acceptance
2026-05-21,eodfly_c,C,7435.0,-516.52,-593.52,acceptance
2026-05-21,openic_p,P,7320.0,158.48,158.48,time_stop
2026-05-21,openic_c,C,7480.0,88.48,88.48,time_stop
2026-05-21,openfly_p,P,7400.0,-31.52,963.48,acceptance
2026-05-21,openfly_c,C,7400.0,-411.52,-1426.52,acceptance
2026-05-21,gx_bps,P,7400.0,-31.52,963.48,acceptance
2026-05-21,gx_bcs,C,7475.0,105.98,110.98,time_stop
2026-05-22,eodic_p,P,7365.0,25.98,25.98,time_stop
2026-05-22,eodic_c,C,7525.0,293.48,293.48,time_stop
2026-05-22,eodfly_p,P,7445.0,308.48,313.48,time_stop
2026-05-22,eodfly_c,C,7445.0,-171.52,-636.52,acceptance
2026-05-22,openic_p,P,7405.0,95.98,95.98,time_stop
2026-05-22,openic_c,C,7565.0,33.48,33.48,time_stop
2026-05-22,openfly_p,P,7485.0,-141.52,-264.52,acceptance
2026-05-22,openfly_c,C,7485.0,-231.52,1058.48,acceptance
2026-05-22,gx_bps,P,7400.0,78.48,78.48,time_stop
2026-05-22,gx_bcs,C,7500.0,713.48,718.48,time_stop
2026-05-26,eodic_p,P,7395.0,13.48,13.48,time_stop
2026-05-26,eodic_c,C,7550.0,265.98,265.98,time_stop
2026-05-26,eodfly_p,P,7475.0,208.48,208.48,time_stop
2026-05-26,eodfly_c,C,7475.0,-101.52,-511.52,acceptance
2026-05-26,openic_p,P,7440.0,60.98,60.98,time_stop
2026-05-26,openic_c,C,7595.0,28.48,28.48,time_stop
2026-05-26,openfly_p,P,7515.0,-176.52,783.48,acceptance
2026-05-26,openfly_c,C,7515.0,-301.52,606.48,acceptance
2026-05-26,gx_bps,P,7375.0,3.48,3.48,time_stop
2026-05-26,gx_bcs,C,7500.0,-106.52,-463.52,acceptance
2026-05-27,eodic_p,P,7440.0,28.48,28.48,time_stop
2026-05-27,eodic_c,C,7600.0,15.98,15.98,time_stop
2026-05-27,eodfly_p,P,7520.0,-181.52,683.48,acceptance
2026-05-27,eodfly_c,C,7520.0,128.48,1132.48,acceptance
2026-05-27,openic_p,P,7445.0,33.48,33.48,time_stop
2026-05-27,openic_c,C,7605.0,13.48,13.48,time_stop
2026-05-27,openfly_p,P,7525.0,-371.52,324.48,acceptance
2026-05-27,openfly_c,C,7525.0,425.98,1033.48,acceptance
2026-05-27,gx_bps,P,7450.0,43.48,43.48,time_stop
2026-05-27,gx_bcs,C,7530.0,808.48,893.48,time_stop
2026-05-28,eodic_p,P,7440.0,45.98,45.98,time_stop
2026-05-28,eodic_c,C,7600.0,5.98,5.98,time_stop
2026-05-28,eodfly_p,P,7520.0,-261.52,793.48,acceptance
2026-05-28,eodfly_c,C,7520.0,-651.52,-1516.52,acceptance
2026-05-28,openic_p,P,7440.0,45.98,45.98,time_stop
2026-05-28,openic_c,C,7600.0,5.98,5.98,time_stop
2026-05-28,openfly_p,P,7520.0,-261.52,793.48,acceptance
2026-05-28,openfly_c,C,7520.0,-651.52,-1516.52,acceptance
2026-05-28,gx_bps,P,7475.0,168.48,168.48,time_stop
2026-05-28,gx_bcs,C,7530.0,-581.52,-1816.52,acceptance
2026-05-29,eodic_p,P,7490.0,23.48,23.48,time_stop
2026-05-29,eodic_c,C,7640.0,23.48,23.48,time_stop
2026-05-29,eodfly_p,P,7565.0,643.48,658.48,time_stop
2026-05-29,eodfly_c,C,7565.0,-491.52,-317.52,acceptance
2026-05-29,openic_p,P,7495.0,30.98,30.98,time_stop
2026-05-29,openic_c,C,7650.0,8.48,8.48,time_stop
2026-05-29,openfly_p,P,7575.0,-116.52,888.48,acceptance
2026-05-29,openfly_c,C,7575.0,-511.52,397.48,acceptance
2026-05-29,gx_bps,P,7550.0,378.48,383.48,time_stop
2026-05-29,gx_bcs,C,7600.0,255.98,310.98,time_stop
2026-06-01,eodic_p,P,7505.0,143.48,143.48,time_stop
2026-06-01,eodic_c,C,7655.0,3.48,3.48,time_stop
2026-06-01,eodfly_p,P,7580.0,178.48,1158.48,acceptance
2026-06-01,eodfly_c,C,7580.0,-446.52,-1302.52,acceptance
2026-06-01,openic_p,P,7490.0,88.48,88.48,time_stop
2026-06-01,openic_c,C,7640.0,23.48,23.48,time_stop
2026-06-01,openfly_p,P,7565.0,813.48,818.48,time_stop
2026-06-01,openfly_c,C,7565.0,-361.52,-1431.52,acceptance
2026-06-01,gx_bps,P,7550.0,543.48,543.48,time_stop
2026-06-01,gx_bcs,C,7600.0,-1091.52,308.48,acceptance
2026-06-02,eodic_p,P,7525.0,68.48,68.48,time_stop
2026-06-02,eodic_c,C,7675.0,-4.02,-4.02,time_stop
2026-06-02,eodfly_p,P,7600.0,-26.52,1118.48,acceptance
2026-06-02,eodfly_c,C,7600.0,-371.52,-412.02,acceptance
2026-06-02,openic_p,P,7510.0,38.48,38.48,time_stop
2026-06-02,openic_c,C,7665.0,0.98,0.98,time_stop
2026-06-02,openfly_p,P,7590.0,813.48,818.48,time_stop
2026-06-02,openfly_c,C,7590.0,-16.52,-1109.52,acceptance
2026-06-02,gx_bps,P,7550.0,178.48,178.48,time_stop
2026-06-02,gx_bcs,C,7615.0,-646.52,245.98,acceptance
2026-06-03,eodic_p,P,7535.0,48.48,48.48,time_stop
2026-06-03,eodic_c,C,7685.0,-6.52,-6.52,time_stop
2026-06-03,eodfly_p,P,7610.0,-286.52,-1441.52,acceptance
2026-06-03,eodfly_c,C,7610.0,613.48,613.48,time_stop
2026-06-03,openic_p,P,7525.0,30.98,30.98,time_stop
2026-06-03,openic_c,C,7675.0,-4.02,-4.02,time_stop
2026-06-03,openfly_p,P,7600.0,-541.52,-1746.52,acceptance
2026-06-03,openfly_c,C,7600.0,918.48,918.48,time_stop
2026-06-03,gx_bps,P,7580.0,-559.02,-2159.02,acceptance
2026-06-03,gx_bcs,C,7630.0,185.98,185.98,time_stop
2026-06-04,eodic_p,P,7475.0,128.48,128.48,time_stop
2026-06-04,eodic_c,C,7635.0,3.48,3.48,time_stop
2026-06-04,eodfly_p,P,7555.0,143.48,1353.48,acceptance
2026-06-04,eodfly_c,C,7555.0,-646.52,-2006.52,acceptance
2026-06-04,openic_p,P,7455.0,60.98,60.98,time_stop
2026-06-04,openic_c,C,7615.0,13.48,13.48,time_stop
2026-06-04,openfly_p,P,7535.0,863.48,863.48,time_stop
2026-06-04,openfly_c,C,7535.0,-161.52,-1506.52,acceptance
2026-06-04,gx_bps,P,7550.0,153.48,1223.48,acceptance
2026-06-04,gx_bcs,C,7600.0,-1.52,33.48,time_stop
2026-06-05,eodic_p,P,7510.0,-741.52,-2071.52,acceptance
2026-06-05,eodic_c,C,7660.0,-1.52,-1.52,time_stop
2026-06-05,eodfly_p,P,7585.0,-171.52,-421.52,acceptance
2026-06-05,eodfly_c,C,7585.0,128.48,128.48,time_stop
2026-06-05,openic_p,P,7460.0,-1014.02,-2434.02,acceptance
2026-06-05,openic_c,C,7610.0,33.48,33.48,time_stop
2026-06-05,openfly_p,P,7535.0,-501.52,-1601.52,acceptance
2026-06-05,openfly_c,C,7535.0,933.48,933.48,time_stop
2026-06-05,gx_bps,P,7550.0,-286.52,-1216.52,acceptance
2026-06-05,gx_bcs,C,7600.0,60.98,60.98,time_stop
2026-06-08,eodic_p,P,7290.0,10.98,10.98,time_stop
2026-06-08,eodic_c,C,7475.0,743.48,743.48,time_stop
2026-06-08,eodfly_p,P,7385.0,148.48,178.48,time_stop
2026-06-08,eodfly_c,C,7385.0,238.48,75.48,acceptance
2026-06-08,openic_p,P,7365.0,100.98,105.98,time_stop
2026-06-08,openic_c,C,7550.0,33.48,33.48,time_stop
2026-06-08,openfly_p,P,7455.0,-426.52,-1626.52,acceptance
2026-06-08,openfly_c,C,7455.0,-61.52,1143.48,acceptance
2026-06-08,gx_bps,P,7375.0,128.48,138.48,time_stop
2026-06-08,gx_bcs,C,7500.0,335.98,335.98,time_stop
2026-06-09,eodic_p,P,7320.0,-1246.52,8.48,acceptance
2026-06-09,eodic_c,C,7490.0,220.98,220.98,time_stop
2026-06-09,eodfly_p,P,7405.0,-1166.52,-1611.52,acceptance
2026-06-09,eodfly_c,C,7405.0,-176.52,1988.48,acceptance
2026-06-09,openic_p,P,7365.0,-1619.02,50.98,acceptance
2026-06-09,openic_c,C,7535.0,8.48,8.48,time_stop
2026-06-09,openfly_p,P,7450.0,-811.52,-1641.52,acceptance
2026-06-09,openfly_c,C,7450.0,-511.52,1033.48,acceptance
2026-06-09,gx_bps,P,7375.0,-1734.02,75.98,acceptance
2026-06-09,gx_bcs,C,7450.0,-511.52,1033.48,acceptance
2026-06-10,eodic_p,P,7290.0,-906.52,-1882.52,acceptance
2026-06-10,eodic_c,C,7485.0,38.48,38.48,time_stop
2026-06-10,eodfly_p,P,7385.0,18.48,-996.52,acceptance
2026-06-10,eodfly_c,C,7385.0,643.48,643.48,time_stop
2026-06-10,openic_p,P,7250.0,183.48,203.48,time_stop
2026-06-10,openic_c,C,7445.0,135.98,135.98,time_stop
2026-06-10,openfly_p,P,7345.0,-376.52,-1561.52,acceptance
2026-06-10,openfly_c,C,7345.0,-276.52,1203.48,acceptance
2026-06-10,gx_bps,P,7355.0,-76.52,-1426.52,acceptance
2026-06-10,gx_bcs,C,7525.0,13.48,13.48,time_stop
2026-06-11,eodic_p,P,7170.0,128.48,128.48,time_stop
2026-06-11,eodic_c,C,7360.0,-821.52,-2106.52,acceptance
2026-06-11,eodfly_p,P,7265.0,613.48,613.48,time_stop
2026-06-11,eodfly_c,C,7265.0,223.48,-886.52,acceptance
2026-06-11,openic_p,P,7200.0,218.48,218.48,time_stop
2026-06-11,openic_c,C,7390.0,-1294.02,-264.02,acceptance
2026-06-11,openfly_p,P,7295.0,-251.52,918.48,acceptance
2026-06-11,openfly_c,C,7295.0,-391.52,-1256.52,acceptance
2026-06-11,gx_bps,P,7220.0,293.48,293.48,time_stop
2026-06-11,gx_bcs,C,7350.0,-741.52,-2006.52,acceptance
2026-06-12,eodic_p,P,7305.0,168.48,168.48,time_stop
2026-06-12,eodic_c,C,7480.0,313.48,313.48,time_stop
2026-06-12,eodfly_p,P,7395.0,-541.52,858.48,acceptance
2026-06-12,eodfly_c,C,7395.0,83.48,-1191.52,acceptance
2026-06-12,openic_p,P,7320.0,233.48,233.48,time_stop
2026-06-12,openic_c,C,7495.0,210.98,210.98,time_stop
2026-06-12,openfly_p,P,7410.0,-341.52,1043.48,acceptance
2026-06-12,openfly_c,C,7410.0,-431.52,-1037.52,acceptance
2026-06-12,gx_bps,P,7350.0,418.48,418.48,time_stop
2026-06-12,gx_bcs,C,7450.0,585.98,598.48,time_stop
2026-06-15,eodic_p,P,7355.0,5.98,5.98,time_stop
2026-06-15,eodic_c,C,7510.0,-136.52,-801.52,acceptance
2026-06-15,eodfly_p,P,7430.0,40.98,40.98,time_stop
2026-06-15,eodfly_c,C,7430.0,-66.52,-106.52,acceptance
2026-06-15,openic_p,P,7460.0,85.98,85.98,time_stop
2026-06-15,openic_c,C,7615.0,48.48,48.48,time_stop
2026-06-15,openfly_p,P,7535.0,778.48,783.48,time_stop
2026-06-15,openfly_c,C,7535.0,-141.52,-875.52,acceptance
2026-06-15,gx_bps,P,7400.0,20.98,20.98,time_stop
2026-06-15,gx_bcs,C,7600.0,88.48,88.48,time_stop
2026-06-22,eodic_p,P,7420.0,43.48,43.48,time_stop
2026-06-22,eodic_c,C,7585.0,60.98,60.98,time_stop
2026-06-22,eodfly_p,P,7500.0,-716.52,-2056.52,acceptance
2026-06-22,eodfly_c,C,7500.0,43.48,1513.48,acceptance
2026-06-22,openic_p,P,7435.0,60.98,65.98,time_stop
2026-06-22,openic_c,C,7600.0,28.48,28.48,time_stop
2026-06-22,openfly_p,P,7520.0,-326.52,-1666.52,acceptance
2026-06-22,openfly_c,C,7520.0,-116.52,918.48,acceptance
2026-06-22,gx_bps,P,7500.0,-716.52,-2056.52,acceptance
2026-06-22,gx_bcs,C,7550.0,290.98,290.98,time_stop
2026-06-23,eodic_p,P,7380.0,303.48,-130.52,acceptance
2026-06-23,eodic_c,C,7565.0,-1.52,-1.52,time_stop
2026-06-23,eodfly_p,P,7475.0,-41.52,-196.52,acceptance
2026-06-23,eodfly_c,C,7475.0,48.48,48.48,time_stop
2026-06-23,openic_p,P,7265.0,188.48,188.48,time_stop
2026-06-23,openic_c,C,7450.0,115.98,115.98,time_stop
2026-06-23,openfly_p,P,7355.0,923.48,953.48,time_stop
2026-06-23,openfly_c,C,7355.0,-576.52,107.48,acceptance
2026-06-23,gx_bps,P,7450.0,178.48,-181.52,acceptance
2026-06-23,gx_bcs,C,7500.0,20.98,20.98,time_stop
2026-06-24,eodic_p,P,7275.0,78.48,78.48,time_stop
2026-06-24,eodic_c,C,7455.0,88.48,88.48,time_stop
2026-06-24,eodfly_p,P,7365.0,-391.52,75.48,acceptance
2026-06-24,eodfly_c,C,7365.0,-51.52,1318.48,acceptance
2026-06-24,openic_p,P,7290.0,128.48,128.48,time_stop
2026-06-24,openic_c,C,7465.0,53.48,53.48,time_stop
2026-06-24,openfly_p,P,7375.0,-401.52,-774.52,acceptance
2026-06-24,openfly_c,C,7375.0,-31.52,1128.48,acceptance
2026-06-24,gx_bps,P,7350.0,-404.02,553.48,acceptance
2026-06-24,gx_bcs,C,7500.0,8.48,8.48,time_stop
2026-06-25,eodic_p,P,7275.0,18.48,18.48,time_stop
2026-06-25,eodic_c,C,7440.0,678.48,678.48,time_stop
2026-06-25,eodfly_p,P,7360.0,-1024.02,-30.02,acceptance
2026-06-25,eodfly_c,C,7360.0,413.48,2058.48,acceptance
2026-06-25,openic_p,P,7335.0,30.98,110.98,time_stop
2026-06-25,openic_c,C,7500.0,48.48,48.48,time_stop
2026-06-25,openfly_p,P,7420.0,-586.52,-1591.52,acceptance
2026-06-25,openfly_c,C,7420.0,1088.48,1088.48,time_stop
2026-06-25,gx_bps,P,7320.0,63.48,70.98,time_stop
2026-06-25,gx_bcs,C,7375.0,513.48,1893.48,acceptance
2026-06-26,eodic_p,P,7265.0,433.48,433.48,time_stop
2026-06-26,eodic_c,C,7450.0,13.48,13.48,time_stop
2026-06-26,eodfly_p,P,7355.0,-151.52,1475.48,acceptance
2026-06-26,eodfly_c,C,7355.0,-741.52,558.48,acceptance
2026-06-26,openic_p,P,7220.0,155.98,155.98,time_stop
2026-06-26,openic_c,C,7410.0,105.98,105.98,time_stop
2026-06-26,openfly_p,P,7315.0,993.48,993.48,time_stop
2026-06-26,openfly_c,C,7315.0,-366.52,-1371.52,acceptance
2026-06-26,gx_bps,P,7325.0,-71.52,1153.48,acceptance
2026-06-26,gx_bcs,C,7400.0,153.48,153.48,time_stop
2026-06-29,eodic_p,P,7270.0,48.48,48.48,time_stop
2026-06-29,eodic_c,C,7440.0,85.98,182.98,time_stop
2026-06-29,eodfly_p,P,7355.0,408.48,408.48,time_stop
2026-06-29,eodfly_c,C,7355.0,-326.52,-721.52,acceptance
2026-06-29,openic_p,P,7305.0,118.48,118.48,time_stop
2026-06-29,openic_c,C,7475.0,25.98,28.48,time_stop
2026-06-29,openfly_p,P,7390.0,-631.52,873.48,acceptance
2026-06-29,openfly_c,C,7390.0,-431.52,-1366.52,acceptance
2026-06-29,gx_bps,P,7325.0,193.48,193.48,time_stop
2026-06-29,gx_bcs,C,7400.0,-521.52,-1586.52,acceptance
2026-06-30,eodic_p,P,7360.0,123.48,123.48,time_stop
2026-06-30,eodic_c,C,7520.0,25.98,45.98,time_stop
2026-06-30,eodfly_p,P,7440.0,853.48,853.48,time_stop
2026-06-30,eodfly_c,C,7440.0,-96.52,-1366.52,acceptance
2026-06-30,openic_p,P,7360.0,123.48,123.48,time_stop
2026-06-30,openic_c,C,7525.0,23.48,33.48,time_stop
2026-06-30,openfly_p,P,7440.0,853.48,853.48,time_stop
2026-06-30,openfly_c,C,7440.0,-96.52,-1366.52,acceptance
2026-06-30,gx_bps,P,7400.0,343.48,343.48,time_stop
2026-06-30,gx_bcs,C,7450.0,-501.52,-1576.52,acceptance
2026-07-01,eodic_p,P,7420.0,218.48,218.48,time_stop
2026-07-01,eodic_c,C,7580.0,3.48,3.48,time_stop
2026-07-01,eodfly_p,P,7500.0,-311.52,-238.52,acceptance
2026-07-01,eodfly_c,C,7500.0,-574.02,468.48,acceptance
2026-07-01,openic_p,P,7395.0,113.48,113.48,time_stop
2026-07-01,openic_c,C,7555.0,23.48,23.48,time_stop
2026-07-01,openfly_p,P,7475.0,-286.52,873.48,acceptance
2026-07-01,openfly_c,C,7475.0,-381.52,215.48,acceptance
2026-07-01,gx_bps,P,7450.0,473.48,473.48,time_stop
2026-07-01,gx_bcs,C,7540.0,63.48,63.48,time_stop
2026-07-02,eodic_p,P,7405.0,43.48,43.48,time_stop
2026-07-02,eodic_c,C,7560.0,100.98,100.98,time_stop
2026-07-02,eodfly_p,P,7485.0,-726.52,292.48,acceptance
2026-07-02,eodfly_c,C,7485.0,-316.52,1588.48,acceptance
2026-07-02,openic_p,P,7425.0,75.98,80.98,time_stop
2026-07-02,openic_c,C,7585.0,18.48,18.48,time_stop
2026-07-02,openfly_p,P,7505.0,-76.52,-1382.52,acceptance
2026-07-02,openfly_c,C,7505.0,-391.52,1093.48,acceptance
2026-07-02,gx_bps,P,7450.0,-766.52,178.48,acceptance
2026-07-02,gx_bcs,C,7500.0,-391.52,1218.48,acceptance
2026-07-06,eodic_p,P,7405.0,18.48,18.48,time_stop
2026-07-06,eodic_c,C,7560.0,115.98,140.98,time_stop
2026-07-06,eodfly_p,P,7485.0,253.48,253.48,time_stop
2026-07-06,eodfly_c,C,7485.0,228.48,-606.52,acceptance
2026-07-06,openic_p,P,7440.0,63.48,63.48,time_stop
2026-07-06,openic_c,C,7595.0,18.48,18.48,time_stop
2026-07-06,openfly_p,P,7520.0,-276.52,828.48,acceptance
2026-07-06,openfly_c,C,7520.0,-214.02,-804.52,acceptance
2026-07-06,gx_bps,P,7450.0,80.98,80.98,time_stop
2026-07-06,gx_bcs,C,7500.0,283.48,-971.52,acceptance
2026-07-07,eodic_p,P,7460.0,55.98,60.98,time_stop
2026-07-07,eodic_c,C,7610.0,0.98,0.98,time_stop
2026-07-07,eodfly_p,P,7535.0,-216.52,-1656.52,acceptance
2026-07-07,eodfly_c,C,7535.0,913.48,913.48,time_stop
2026-07-07,openic_p,P,7460.0,55.98,60.98,time_stop
2026-07-07,openic_c,C,7610.0,0.98,0.98,time_stop
2026-07-07,openfly_p,P,7535.0,-216.52,-1656.52,acceptance
2026-07-07,openfly_c,C,7535.0,913.48,913.48,time_stop
2026-07-07,gx_bps,P,7500.0,-671.52,263.48,acceptance
2026-07-07,gx_bcs,C,7550.0,500.98,500.98,time_stop
2026-07-08,eodic_p,P,7415.0,358.48,358.48,time_stop
2026-07-08,eodic_c,C,7590.0,-1.52,-1.52,time_stop
2026-07-08,eodfly_p,P,7505.0,228.48,-405.52,acceptance
2026-07-08,eodfly_c,C,7505.0,263.48,268.48,time_stop
2026-07-08,openic_p,P,7370.0,105.98,105.98,time_stop
2026-07-08,openic_c,C,7545.0,33.48,33.48,time_stop
2026-07-08,openfly_p,P,7460.0,-126.52,943.48,acceptance
2026-07-08,openfly_c,C,7460.0,-91.52,-1212.52,acceptance
2026-07-08,gx_bps,P,7475.0,253.48,1228.48,acceptance
2026-07-08,gx_bcs,C,7525.0,105.98,105.98,time_stop
2026-07-09,eodic_p,P,7405.0,75.98,75.98,time_stop
2026-07-09,eodic_c,C,7560.0,33.48,38.48,time_stop
2026-07-09,eodfly_p,P,7485.0,763.48,763.48,time_stop
2026-07-09,eodfly_c,C,7485.0,-351.52,-1271.52,acceptance
2026-07-09,openic_p,P,7410.0,90.98,90.98,time_stop
2026-07-09,openic_c,C,7570.0,15.98,15.98,time_stop
2026-07-09,openfly_p,P,7490.0,853.48,853.48,time_stop
2026-07-09,openfly_c,C,7490.0,-461.52,-1386.52,acceptance
2026-07-09,gx_bps,P,7475.0,608.48,608.48,time_stop
2026-07-09,gx_bcs,C,7500.0,-471.52,-1621.52,acceptance
2026-07-10,eodic_p,P,7470.0,50.98,50.98,time_stop
2026-07-10,eodic_c,C,7620.0,10.98,10.98,time_stop
2026-07-10,eodfly_p,P,7545.0,-321.52,683.48,acceptance
2026-07-10,eodfly_c,C,7545.0,-86.52,-1336.52,acceptance
2026-07-10,openic_p,P,7475.0,60.98,60.98,time_stop
2026-07-10,openic_c,C,7625.0,3.48,3.48,time_stop
2026-07-10,openfly_p,P,7550.0,-136.52,793.48,acceptance
2026-07-10,openfly_c,C,7550.0,-101.52,-1476.52,acceptance
2026-07-10,gx_bps,P,7500.0,148.48,148.48,time_stop
2026-07-10,gx_bcs,C,7550.0,-101.52,-1476.52,acceptance
2026-07-13,eodic_p,P,7495.0,73.48,93.48,time_stop
2026-07-13,eodic_c,C,7655.0,-1.52,-1.52,time_stop
2026-07-13,eodfly_p,P,7575.0,-106.52,-1241.52,acceptance
2026-07-13,eodfly_c,C,7575.0,510.98,510.98,time_stop
2026-07-13,openic_p,P,7480.0,55.98,55.98,time_stop
2026-07-13,openic_c,C,7635.0,-1.52,-1.52,time_stop
2026-07-13,openfly_p,P,7560.0,-46.52,-1676.52,acceptance
2026-07-13,openfly_c,C,7560.0,913.48,913.48,time_stop
2026-07-13,gx_bps,P,7525.0,-581.52,-710.02,acceptance
2026-07-13,gx_bcs,C,7600.0,113.48,113.48,time_stop
2026-07-14,eodic_p,P,7435.0,55.98,55.98,time_stop
2026-07-14,eodic_c,C,7595.0,98.48,98.48,time_stop
2026-07-14,eodfly_p,P,7515.0,593.48,593.48,time_stop
2026-07-14,eodfly_c,C,7515.0,-196.52,-1091.52,acceptance
2026-07-14,openic_p,P,7450.0,88.48,88.48,time_stop
2026-07-14,openic_c,C,7615.0,28.48,28.48,time_stop
2026-07-14,openfly_p,P,7530.0,858.48,863.48,time_stop
2026-07-14,openfly_c,C,7530.0,-71.52,-280.52,acceptance
2026-07-14,gx_bps,P,7500.0,388.48,388.48,time_stop
2026-07-14,gx_bcs,C,7550.0,120.98,658.48,acceptance
2026-07-15,eodic_p,P,7465.0,8.48,8.48,time_stop
2026-07-15,eodic_c,C,7620.0,33.48,33.48,time_stop
2026-07-15,eodfly_p,P,7545.0,-809.02,310.98,acceptance
2026-07-15,eodfly_c,C,7545.0,-16.52,-761.52,acceptance
2026-07-15,openic_p,P,7495.0,40.98,40.98,time_stop
2026-07-15,openic_c,C,7650.0,-6.52,-6.52,time_stop
2026-07-15,openfly_p,P,7570.0,-86.52,748.48,acceptance
2026-07-15,openfly_c,C,7570.0,60.98,788.48,acceptance
2026-07-15,gx_bps,P,7500.0,48.48,48.48,time_stop
2026-07-15,gx_bcs,C,7550.0,-1.52,-621.52,acceptance
2026-07-16,eodic_p,P,7495.0,58.48,98.48,time_stop
2026-07-16,eodic_c,C,7650.0,-6.52,-6.52,time_stop
2026-07-16,eodfly_p,P,7570.0,-536.52,-1396.52,acceptance
2026-07-16,eodfly_c,C,7570.0,653.48,653.48,time_stop
2026-07-16,openic_p,P,7480.0,53.48,58.48,time_stop
2026-07-16,openic_c,C,7635.0,-1.52,-1.52,time_stop
2026-07-16,openfly_p,P,7555.0,-396.52,-1379.52,acceptance
2026-07-16,openfly_c,C,7555.0,13.48,1098.48,acceptance
2026-07-16,gx_bps,P,7550.0,-446.52,-979.52,acceptance
2026-07-16,gx_bcs,C,7600.0,100.98,100.98,time_stop
