ts_et,und
08:30:07,7417.02
08:31:11,7408.80
08:32:15,7406.85
08:33:20,7407.90
08:34:24,7406.00
08:35:28,7411.25
08:36:32,7408.70
08:37:36,7408.30
08:38:40,7406.65
09:39:19,7404.80
08:39:44,7402.95
09:40:19,7402.65
08:40:48,7405.95
09:41:19,7404.35
08:41:52,7403.60
09:42:19,7401.45
08:42:56,7396.40
09:43:19,7394.55
08:43:57,7391.00
09:44:25,7393.10
08:45:01,7395.10
09:45:25,7394.40
08:46:05,7390.55
09:46:25,7387.05
08:47:09,7387.85
09:47:25,7386.65
08:48:13,7390.15
09:48:25,7390.90
08:49:17,7396.40
09:49:25,7398.05
08:50:21,7405.00
09:50:26,7402.95
08:51:25,7395.20
09:51:26,7395.40
09:52:26,7399.60
08:52:29,7399.20
09:53:26,7392.20
08:53:33,7393.85
09:54:26,7397.50
08:54:37,7396.65
09:55:26,7393.65
08:55:41,7392.35
09:56:26,7391.90
08:56:46,7392.90
09:57:25,7392.55
08:57:50,7391.95
09:58:26,7389.75
08:58:54,7388.70
09:59:26,7389.50
08:59:58,7388.40
10:00:26,7394.70
09:01:02,7399.35
10:01:26,7395.45
09:02:06,7397.80
10:02:26,7400.50
09:03:10,7397.20
10:03:26,7397.75
09:04:14,7398.70
10:04:26,7397.55
09:05:18,7398.10
10:05:26,7401.25
09:06:22,7400.45
10:06:26,7401.10
10:07:26,7401.85
09:07:26,7401.20
10:08:26,7393.65
09:08:30,7392.90
10:09:26,7397.30
09:09:35,7397.60
10:10:26,7395.65
09:10:39,7399.30
10:11:26,7399.45
09:11:43,7398.20
10:12:26,7398.70
09:12:47,7393.30
10:13:26,7392.15
09:13:51,7392.25
10:14:26,7388.80
09:14:55,7389.80
10:15:26,7394.65
09:15:59,7394.65
10:16:26,7391.90
09:17:03,7391.95
10:17:26,7391.10
09:18:07,7392.65
10:18:26,7391.35
09:19:11,7392.80
10:19:26,7392.85
09:20:15,7392.10
10:20:26,7393.15
09:21:19,7388.15
10:21:26,7390.50
09:22:23,7392.10
10:22:26,7391.90
10:23:26,7395.45
09:23:27,7396.50
10:24:26,7400.10
09:24:31,7399.85
10:25:26,7398.95
09:25:36,7397.85
10:26:26,7396.40
09:26:40,7398.15
10:27:26,7397.80
09:27:44,7400.75
10:28:26,7396.85
09:28:48,7398.20
10:29:26,7399.75
09:29:52,7401.00
10:30:26,7404.15
09:30:56,7398.40
10:31:26,7402.35
09:32:00,7401.00
10:32:26,7401.95
09:33:04,7401.05
10:33:26,7400.30
09:34:08,7402.60
10:34:26,7399.40
09:35:12,7396.80
10:35:26,7398.45
09:36:16,7405.80
10:36:26,7406.55
09:37:20,7406.85
10:37:26,7408.30
09:38:25,7406.80
10:38:26,7406.75
10:39:26,7398.55
09:39:29,7398.05
10:40:26,7399.05
09:40:33,7398.40
10:41:26,7404.35
09:41:37,7406.50
10:42:26,7405.70
09:42:41,7404.35
10:43:26,7407.15
09:43:45,7408.65
10:44:26,7408.55
09:44:49,7408.50
10:45:26,7407.90
09:45:53,7403.00
10:46:26,7406.20
09:46:57,7406.80
10:47:26,7408.25
09:48:01,7411.00
10:48:32,7413.30
09:49:06,7415.80
10:49:32,7417.30
09:50:10,7417.05
10:50:32,7416.95
09:51:15,7418.60
10:51:32,7420.30
09:52:19,7418.05
10:52:32,7416.15
09:53:23,7420.65
10:53:32,7419.70
09:54:27,7417.25
10:54:32,7418.00
09:55:31,7417.30
10:55:32,7417.20
10:56:32,7417.85
09:56:35,7418.05
10:57:32,7413.35
09:57:39,7413.45
10:58:32,7412.95
09:58:43,7412.20
10:59:32,7411.20
09:59:47,7410.45
11:00:32,7413.90
10:00:51,7413.70
11:01:32,7413.20
10:01:56,7412.80
11:02:32,7412.65
10:03:00,7411.95
11:03:32,7410.20
10:04:04,7407.15
11:04:32,7406.35
10:05:08,7405.60
11:05:32,7406.25
10:06:12,7410.90
11:06:32,7411.70
10:07:16,7406.30
11:07:32,7405.85
10:08:20,7408.05
11:08:32,7407.85
10:09:24,7409.10
11:09:32,7410.20
10:10:28,7415.10
11:10:32,7413.25
11:11:32,7408.75
10:11:32,7409.45
11:12:32,7418.35
10:12:36,7418.25
11:13:32,7417.05
10:13:41,7416.50
11:14:32,7419.55
10:14:45,7418.65
11:15:32,7418.05
10:15:49,7417.80
11:16:32,7420.15
10:16:58,7420.55
11:17:32,7420.15
10:18:02,7421.35
11:18:32,7427.75
10:19:06,7427.70
11:19:32,7428.15
10:20:10,7430.65
11:20:32,7432.85
10:21:15,7434.10
11:21:38,7433.30
10:22:19,7435.70
11:22:38,7433.95
10:23:23,7433.95
11:23:38,7433.75
10:24:27,7435.15
11:24:38,7435.15
10:25:32,7438.50
11:25:38,7437.45
10:26:36,7440.60
11:26:38,7440.85
11:27:38,7438.70
10:27:40,7439.80
11:28:38,7435.65
10:28:44,7435.40
11:29:38,7435.90
10:29:48,7435.05
11:30:38,7438.55
10:30:52,7437.50
11:31:38,7435.40
10:31:56,7434.75
11:32:38,7435.70
10:33:00,7435.65
11:33:38,7436.95
10:34:04,7438.10
11:34:38,7437.60
10:35:08,7437.00
11:35:38,7437.75
10:36:12,7439.50
11:36:38,7440.60
10:37:16,7439.90
11:37:38,7440.20
10:38:21,7440.90
11:38:38,7441.30
10:39:25,7441.05
11:39:38,7441.30
10:40:29,7439.45
11:40:38,7438.50
10:41:33,7440.90
11:41:38,7441.35
10:42:37,7440.00
11:42:38,7440.05
11:43:38,7442.40
10:43:41,7442.30
11:44:38,7443.85
10:44:45,7444.10
11:45:38,7445.35
10:45:49,7445.60
11:46:38,7445.95
10:46:53,7445.95
11:47:38,7445.75
10:47:58,7445.85
11:48:38,7446.75
10:49:02,7447.55
11:49:38,7447.50
10:50:06,7447.35
11:50:38,7443.75
10:51:10,7442.75
11:51:38,7443.35
10:52:14,7443.25
11:52:38,7442.65
10:53:18,7445.00
11:53:38,7446.45
10:54:22,7445.85
11:54:38,7445.15
10:55:26,7443.45
11:55:38,7442.65
10:56:30,7443.00
11:56:38,7443.95
10:57:34,7445.15
11:57:38,7445.20
11:58:38,7445.15
10:58:38,7445.25
11:59:38,7445.85
10:59:42,7445.85
12:00:38,7445.60
11:00:47,7446.00
12:01:38,7446.60
11:01:51,7446.15
12:02:38,7444.30
11:02:55,7444.20
12:03:38,7445.20
11:03:59,7445.05
12:04:38,7443.70
11:05:03,7444.00
12:05:38,7444.85
11:06:07,7443.95
12:06:38,7445.15
11:07:11,7443.25
12:07:38,7442.25
11:08:15,7441.20
12:08:38,7441.05
11:09:19,7440.65
12:09:38,7440.65
11:10:23,7439.85
12:10:38,7439.85
11:11:27,7441.90
12:11:38,7440.85
11:12:32,7440.80
12:12:38,7441.30
11:13:36,7440.50
12:13:38,7439.65
12:14:38,7439.05
11:14:40,7439.10
12:15:38,7439.30
11:15:45,7439.60
12:16:38,7438.60
11:16:50,7438.25
12:17:38,7438.40
11:17:54,7439.20
12:18:38,7438.60
11:18:58,7438.05
12:19:38,7440.65
11:20:02,7442.90
12:20:38,7442.10
11:21:06,7443.45
12:21:38,7442.50
11:22:11,7442.60
12:22:38,7441.30
11:23:15,7439.40
12:23:38,7438.80
11:24:19,7438.05
12:24:38,7438.15
11:25:23,7438.60
12:25:38,7439.40
11:26:27,7439.35
12:26:38,7439.15
11:27:31,7438.15
12:27:38,7437.45
11:28:35,7438.60
12:28:38,7438.30
12:29:38,7437.70
11:29:40,7437.65
12:30:38,7434.60
11:30:44,7434.35
12:31:38,7434.55
11:31:48,7434.10
12:32:38,7435.75
11:32:52,7436.70
12:33:38,7435.90
11:33:56,7435.35
12:34:38,7436.95
11:35:00,7435.30
12:35:38,7437.10
11:36:04,7436.45
12:36:38,7435.65
11:37:13,7435.50
12:37:38,7435.30
11:38:17,7437.40
12:38:38,7437.70
11:39:21,7439.80
12:39:38,7440.10
11:40:25,7442.25
12:40:38,7441.75
11:41:29,7441.75
12:41:38,7442.25
11:42:33,7442.75
12:42:38,7442.00
11:43:37,7443.95
12:43:38,7443.90
12:44:38,7444.00
11:44:41,7443.90
12:45:38,7442.40
11:45:45,7442.80
12:46:38,7440.15
11:46:49,7439.35
12:47:38,7441.65
11:47:54,7442.00
12:48:38,7439.85
11:48:58,7439.80
12:49:38,7442.15
11:50:02,7442.15
12:50:38,7444.60
11:51:06,7446.70
12:51:38,7448.00
11:52:10,7449.35
12:52:38,7448.95
11:53:14,7449.45
12:53:38,7450.02
11:54:18,7449.68
12:54:38,7450.10
11:55:22,7449.40
12:55:38,7449.45
11:56:26,7449.43
12:56:38,7450.45
11:57:30,7450.95
12:57:39,7450.35
11:58:34,7449.45
12:58:39,7449.75
11:59:38,7450.23
12:59:39,7449.80
13:00:39,7451.05
12:00:42,7450.85
13:01:39,7451.38
12:01:46,7451.48
13:02:39,7447.75
12:02:50,7446.60
13:03:39,7446.60
12:03:55,7445.85
13:04:39,7446.35
12:04:59,7445.70
13:05:39,7447.10
12:06:03,7446.05
13:06:39,7445.25
12:07:07,7445.55
13:07:39,7444.45
12:08:11,7445.35
13:08:39,7443.25
12:09:15,7441.95
13:09:39,7440.25
12:10:19,7437.25
13:10:39,7437.30
12:11:23,7439.15
13:11:39,7438.70
12:12:27,7442.60
13:12:39,7440.55
12:13:31,7438.60
13:13:39,7437.45
12:14:35,7436.60
13:14:39,7437.25
13:15:39,7438.35
12:15:40,7438.70
13:16:39,7437.95
12:16:44,7438.25
13:17:39,7436.45
12:17:48,7436.20
13:18:39,7435.80
12:18:52,7436.45
13:19:39,7436.95
12:19:56,7437.65
13:20:39,7436.70
12:21:00,7444.00
13:21:39,7441.75
12:22:04,7440.45
13:22:39,7438.80
12:23:08,7440.20
13:23:39,7440.65
12:24:12,7441.30
13:24:39,7439.90
12:25:16,7437.85
13:25:39,7436.60
12:26:20,7438.10
13:26:39,7437.60
12:27:24,7440.15
13:27:39,7439.40
12:28:29,7441.25
13:28:39,7440.05
12:29:33,7439.80
13:29:39,7438.80
12:30:37,7437.05
13:30:39,7436.75
13:31:39,7435.80
12:31:46,7436.00
13:32:39,7435.80
12:32:50,7436.05
13:33:39,7440.40
12:33:54,7440.25
13:34:39,7441.75
12:34:58,7441.50
13:35:39,7442.15
12:36:02,7441.20
13:36:39,7441.20
12:37:06,7441.20
13:37:39,7441.50
12:38:10,7440.00
13:38:39,7440.50
12:39:14,7440.25
13:39:39,7438.55
12:40:18,7439.55
13:40:39,7439.00
12:41:23,7438.60
13:41:39,7437.30
12:42:27,7436.35
13:42:39,7436.35
12:43:31,7433.90
13:43:39,7432.70
12:44:35,7431.10
13:44:39,7431.45
13:45:39,7431.55
12:45:39,7432.45
13:46:39,7432.55
12:46:43,7432.50
13:47:39,7431.70
12:47:47,7432.00
13:48:39,7433.50
12:48:51,7434.20
13:49:39,7435.60
