localSymbol,action,our_ts_et,our_sec,ib_exec_sec,delta_s
SPXW  260812P07740000,BUY,2026-08-12 15:50:32,57032.0,57030,2.0
SPXW  260812P07715000,SELL,2026-08-12 15:51:09,57069.0,57058,11.0
SPXW  260813P07650000,BUY,2026-08-13 09:31:11,34271.0,34270,1.0
SPXW  260813P07675000,SELL,2026-08-13 09:31:13,34273.0,34273,0.0
SPXW  260818P07640000,BUY,2026-08-18 09:31:10,34270.0,34269,1.0
SPXW  260818P07665000,SELL,2026-08-18 09:31:13,34273.0,34272,1.0
SPXW  260818C07850000,BUY,2026-08-18 09:32:06,34326.0,34325,1.0
SPXW  260818C07825000,SELL,2026-08-18 09:32:29,34349.0,34338,11.0
SPXW  260818C07770000,BUY,2026-08-18 09:33:43,34423.0,34422,1.0
SPXW  260818C07745000,SELL,2026-08-18 09:33:46,34426.0,34425,1.0
SPXW  260818C07735000,BUY,2026-08-18 09:35:59,34559.0,34557,2.0
SPXW  260818C07710000,SELL,2026-08-18 09:36:29,34589.0,34588,1.0
SPXW  260819P07615000,BUY,2026-08-19 10:06:04,36364.0,36353,11.0
SPXW  260819P07640000,SELL,2026-08-19 10:06:05,36365.0,36364,1.0
SPXW  260819C07820000,BUY,2026-08-19 10:06:57,36417.0,36416,1.0
SPXW  260819C07795000,SELL,2026-08-19 10:06:58,36418.0,36417,1.0
SPXW  260819C07740000,BUY,2026-08-19 10:08:27,36507.0,36506,1.0
SPXW  260819C07715000,SELL,2026-08-19 10:08:28,36508.0,36507,1.0
SPXW  260820P07685000,BUY,2026-08-20 09:31:48,34308.0,34307,1.0
SPXW  260820P07710000,SELL,2026-08-20 09:31:49,34309.0,34308,1.0
SPXW  260820P07635000,BUY,2026-08-20 15:46:57,56817.0,56816,1.0
SPXW  260821C07700000,BUY,2026-08-21 09:33:52,34432.0,34431,1.0
SPXW  260821C07675000,SELL,2026-08-21 09:33:54,34434.0,34434,0.0
SPXW  260824C07700000,BUY,2026-08-24 09:32:02,34322.0,34321,1.0
SPXW  260825C07775000,BUY,2026-08-25 10:06:03,36363.0,36362,1.0
SPXW  260825C07750000,SELL,2026-08-25 10:06:04,36364.0,36363,1.0
SPXW  260826P07650000,BUY,2026-08-26 09:31:49,34309.0,34308,1.0
SPXW  260827C07700000,BUY,2026-08-27 09:32:30,34350.0,34339,11.0
SPXW  260827C07675000,SELL,2026-08-27 09:32:42,34362.0,34352,10.0
SPXW  260827C07730000,BUY,2026-08-27 10:06:47,36407.0,36407,0.0
SPXW  260827P07650000,BUY,2026-08-27 10:08:49,36529.0,36528,1.0
SPXW  260827P07675000,SELL,2026-08-27 10:09:05,36545.0,36535,10.0
SPXW  260827C07750000,BUY,2026-08-27 10:10:00,36600.0,36599,1.0
SPXW  260827C07725000,SELL,2026-08-27 10:10:12,36612.0,36611,1.0
SPXW  260827C07730000,BUY,2026-08-27 10:11:08,36668.0,36668,0.0
SPXW  260827C07705000,SELL,2026-08-27 10:11:09,36669.0,36669,0.0
SPXW  260827P07675000,BUY,2026-08-27 15:48:04,56884.0,56882,2.0
SPXW  260828C07825000,BUY,2026-08-28 09:31:40,34300.0,34299,1.0
SPXW  260828C07800000,SELL,2026-08-28 09:31:42,34302.0,34301,1.0
SPXW  260828C07760000,BUY,2026-08-28 10:07:32,36452.0,36452,0.0
SPXW  260828C07735000,SELL,2026-08-28 10:07:35,36455.0,36453,2.0
SPXW  260831P07615000,BUY,2026-08-31 09:31:02,34262.0,34261,1.0
SPXW  260831P07640000,SELL,2026-08-31 09:31:22,34282.0,34282,0.0
SPXW  260831C07735000,BUY,2026-08-31 09:33:20,34400.0,34390,10.0
SPXW  260831C07710000,SELL,2026-08-31 09:33:42,34422.0,34421,1.0
SPXW  260904C07840000,BUY,2026-09-04 09:31:54,34314.0,34303,11.0
SPXW  260904C07815000,SELL,2026-09-04 09:31:55,34315.0,34314,1.0
