date,strat,short_k,right,entry_et,credit,booked_stop,booked_pnl,desk_exit,parity_stop,parity_trig,parity_pnl,dfeed_stop,dfeed_trig,dfeed_pnl
2026-08-04,eodfly_p,7600.0,P,09:33:00,1.55,False,162.4,16:00,False,,151.74,False,,151.74
2026-08-04,eodfly_c,7600.0,C,09:34:00,20.5,True,-101.3,08:49,True,09:44:00,-76.52,True,09:45:09,-156.52
2026-08-04,openfly_c,7660.0,C,10:07:00,11.0,True,-271.3,09:18,True,10:17:00,-226.52,True,10:18:19,
2026-08-04,openfly_p,7660.0,P,10:09:00,,False,567.4,16:00,False,,,False,,
2026-08-05,eodfly_p,7735.0,P,10:28:00,,True,-781.3,11:08,True,12:07:00,,True,12:07:39,
2026-08-05,openfly_c,7780.0,C,10:34:00,8.3,False,817.4,16:00,False,,826.74,False,,826.74
2026-08-05,openfly_p,7780.0,P,10:35:00,10.9,True,-131.3,09:47,True,10:45:00,-196.52,True,10:46:08,-166.52
2026-08-06,eodfly_p,7725.0,P,09:43:00,8.0,True,-471.3,10:25,True,11:25:00,-326.52,True,11:25:31,-306.52
2026-08-06,eodfly_c,7725.0,C,09:44:00,11.6,True,-131.3,08:54,True,09:54:00,-116.52,True,09:54:41,-136.52
2026-08-06,openfly_p,7735.0,P,10:06:00,8.4,True,-41.3,09:35,True,10:36:00,-6.52,True,10:36:21,-36.52
2026-08-06,openfly_c,7735.0,C,10:06:00,9.2,True,-181.3,09:17,True,10:17:00,-66.52,True,10:18:10,-166.52
2026-08-07,eodfly_p,7710.0,P,09:31:00,5.1,False,497.4,16:00,False,,506.74,False,,506.74
2026-08-07,eodfly_c,7710.0,C,09:31:00,15.1,True,-211.3,08:43,True,09:41:00,-206.52,True,09:41:55,-236.52
2026-08-07,openfly_p,7730.0,P,09:32:00,7.8,False,787.4,16:00,False,,776.74,False,,776.74
2026-08-07,openfly_c,7730.0,C,09:33:00,11.8,True,-31.3,08:43,True,09:43:00,-26.52,True,09:44:03,-186.52
2026-08-10,eodfly_p,7760.0,P,10:01:00,7.8,True,118.7,10:41,True,11:42:00,128.48,True,12:12:51,273.48
2026-08-10,eodfly_c,7760.0,C,10:01:00,7.25,True,-201.3,09:17,True,10:17:00,-271.52,True,10:16:03,-261.52
2026-08-10,openfly_p,7760.0,P,10:02:00,6.9,True,73.7,10:42,True,11:42:00,38.48,True,12:12:51,183.48
2026-08-10,openfly_c,7760.0,C,10:03:00,7.8,True,-176.3,09:17,True,10:17:00,-216.52,True,10:16:03,-206.52
2026-08-11,eodfly_p,7755.0,P,09:31:00,5.9,True,-231.3,10:17,True,09:56:00,-216.52,True,09:56:49,-186.52
2026-08-11,eodfly_c,7755.0,C,09:32:00,10.2,True,58.7,09:07,True,10:07:00,-56.52,True,10:08:35,23.48
2026-08-11,openfly_p,7765.0,P,09:32:00,9.6,True,-41.3,08:44,True,09:42:00,3.48,True,09:42:56,-46.52
2026-08-11,openfly_c,7765.0,C,09:33:00,6.85,False,682.4,16:00,False,,681.74,False,,681.74
2026-08-12,eodfly_p,7730.0,P,09:31:00,3.2,False,412.4,16:00,False,,316.74,False,,316.74
2026-08-12,eodfly_c,7730.0,C,09:31:00,17.4,True,-21.3,08:42,True,09:41:00,203.48,True,09:41:50,133.48
2026-08-12,openfly_p,7740.0,P,10:06:00,6.5,False,628.7,14:51,False,,646.74,False,,646.74
