date,strat,short_k,right,entry_et,credit,booked_stop,booked_pnl,desk_exit,parity_stop,parity_trig,parity_pnl,dfeed_stop,dfeed_trig,dfeed_pnl
2026-09-01,eodfly_p,7685.0,P,09:31:00,21.4,True,-141.3,08:41,True,09:41:00,-126.52,True,09:41:58,-176.52
2026-09-01,eodfly_c,7685.0,C,09:31:00,0.7,False,72.4,16:00,False,,66.74,False,,66.74
2026-09-01,openfly_p,7640.0,P,10:05:00,7.7,True,-36.3,11:41,True,12:41:00,8.48,True,12:53:41,-51.52
2026-09-01,openfly_c,7640.0,C,10:06:00,8.25,True,-306.3,09:18,True,10:16:00,-371.52,True,10:17:14,-401.52
2026-09-02,eodfly_p,7630.0,P,09:31:00,6.3,False,637.4,16:00,False,,626.74,False,,626.74
2026-09-02,eodfly_c,7630.0,C,09:31:00,11.1,True,-231.3,08:41,True,09:41:00,-186.52,True,09:41:48,-246.52
2026-09-02,openfly_p,7655.0,P,10:06:00,7.3,False,717.4,16:00,False,,726.74,False,,726.74
2026-09-02,openfly_c,7655.0,C,10:06:00,7.8,True,-601.3,09:24,True,10:24:00,-646.52,True,10:24:34,-616.52
2026-09-03,eodfly_p,7665.0,P,09:31:00,1.9,False,202.4,16:00,False,,186.74,False,,186.74
2026-09-03,openfly_p,7700.0,P,09:34:00,5.8,True,-191.3,09:14,False,,576.74,False,,576.74
2026-09-03,openfly_c,7700.0,C,09:34:00,12.0,True,-291.3,08:48,True,09:44:00,-106.52,True,09:45:11,-266.52
2026-09-03,eodfly_c,7665.0,C,09:37:00,20.1,True,-161.3,08:49,True,09:47:00,-246.52,True,09:48:23,-256.52
2026-09-04,eodfly_p,7750.0,P,09:32:00,10.6,True,-131.3,08:43,True,09:42:00,-96.52,True,09:42:56,-136.52
2026-09-04,eodfly_c,7750.0,C,09:32:00,6.25,False,662.4,16:00,False,,621.74,False,,621.74
2026-09-04,openfly_p,7735.0,P,10:06:00,6.7,True,-281.3,09:18,True,10:18:00,-316.52,True,10:18:12,-326.52
2026-09-04,openfly_c,7735.0,C,10:06:00,8.65,False,827.4,16:00,False,,861.74,False,,861.74
2026-09-08,eodfly_p,7720.0,P,09:32:00,13.0,True,-566.52,08:47,True,09:42:00,-506.52,True,09:43:00,-556.52
2026-09-08,eodfly_c,7720.0,C,09:33:00,3.4,False,336.74,16:00,False,,336.74,False,,336.74
2026-09-08,openfly_p,7705.0,P,09:34:00,7.4,True,-486.52,08:48,True,09:44:00,-536.52,True,09:45:08,-546.52
2026-09-08,openfly_c,7705.0,C,09:35:00,7.6,False,686.74,16:00,False,,756.74,False,,756.74
