trade_id,strategy_id,source,symbol,entry_dt,exit_dt,dte,structure,legs,credit,exit_cost,fill_model,slippage,pnl,roc,collateral,hold_days,win,vix,vix_rank,er10,adx,gex_regime,hvl_side,dow,event,commentary,grade,max_gain,max_loss,pop,close_reason,entry_valid,entry_lag_min,feed_age_s,entry_note,day
auto_20260810_090109,eodic_p,auto_trigger,SPXW,2026-08-10 09:01:00,2026-08-10 16:00,0,vertical 25pt,"[{""side"": ""buy"", ""right"": ""P"", ""strike"": 7655.0, ""expiry"": ""20260810"", ""qty"": 1}, {""side"": ""sell"", ""right"": ""P"", ""strike"": 7680.0, ""expiry"": ""20260810"", ""qty"": 1}]",0.1,0.0,cash_settle,,7.4,0.002971887550200803,2490.0,0.0,True,,,,,unknown,,Mon,,"AUTO-TRIGGER [eodic_p] fired: reached 08:30, regime unknown. credit 0.10 = 0% of width, short 78pt OTM. Projected C premarket. Path —.",D,10.0,2490.0,0.85,expired,True,31.2,5.0,late fill +31min (fixed strike; fill only),2026-08-10
auto_20260810_090137,eodfly_p,auto_trigger,SPXW,2026-08-10 09:01:00,2026-08-10 10:41,0,vertical 25pt,"[{""side"": ""buy"", ""right"": ""P"", ""strike"": 7735.0, ""expiry"": ""20260810"", ""qty"": 1}, {""side"": ""sell"", ""right"": ""P"", ""strike"": 7760.0, ""expiry"": ""20260810"", ""qty"": 1}]",7.7,6.5,paper_fill,,118.70000000000002,0.06861271676300579,1730.0,0.0,True,,,,,unknown,,Mon,,"AUTO-TRIGGER [eodfly_p] fired: reached 08:30, regime unknown. credit 7.70 = 31% of width, short -2pt ITM. Projected C premarket. Path —.",C,770.0,1730.0,0.49,level ACCEPTED: spot 7758 held below the 7760 short strike for 10min (>10) — the wall we sold did not hold,True,31.6,3.0,late fill +32min (fixed strike; fill only),2026-08-10
auto_20260810_090158,eodfly_c,auto_trigger,SPXW,2026-08-10 09:01:00,2026-08-10 09:17,0,vertical 25pt,"[{""side"": ""buy"", ""right"": ""C"", ""strike"": 7785.0, ""expiry"": ""20260810"", ""qty"": 1}, {""side"": ""sell"", ""right"": ""C"", ""strike"": 7760.0, ""expiry"": ""20260810"", ""qty"": 1}]",7.9,9.9,paper_fill,,-201.3,-0.11771929824561403,1710.0000000000002,0.0,False,,,,,unknown,,Mon,,"AUTO-TRIGGER [eodfly_c] fired: reached 08:30, regime unknown. credit 7.90 = 32% of width, short 2pt OTM. Projected C premarket. Path —.",C,790.0,1710.0,0.51,level ACCEPTED: spot 7765 held above the 7760 short strike for 10min (>10) — the wall we sold did not hold,True,32.0,4.0,late fill +32min (fixed strike; fill only),2026-08-10
auto_20260810_090219,openic_p,auto_trigger,SPXW,2026-08-10 09:02:00,2026-08-10 16:00,0,vertical 25pt,"[{""side"": ""buy"", ""right"": ""P"", ""strike"": 7655.0, ""expiry"": ""20260810"", ""qty"": 1}, {""side"": ""sell"", ""right"": ""P"", ""strike"": 7680.0, ""expiry"": ""20260810"", ""qty"": 1}]",0.1,0.0,cash_settle,,7.4,0.002971887550200803,2490.0,0.0,True,,,,,unknown,,Mon,,"AUTO-TRIGGER [openic_p] fired: reached 08:30, regime unknown. credit 0.10 = 0% of width, short 78pt OTM. Projected C premarket. Path —.",D,10.0,2490.0,0.85,expired,True,32.3,1.0,late fill +32min (fixed strike; fill only),2026-08-10
auto_20260810_090247,openfly_p,auto_trigger,SPXW,2026-08-10 09:02:00,2026-08-10 10:42,0,vertical 25pt,"[{""side"": ""buy"", ""right"": ""P"", ""strike"": 7735.0, ""expiry"": ""20260810"", ""qty"": 1}, {""side"": ""sell"", ""right"": ""P"", ""strike"": 7760.0, ""expiry"": ""20260810"", ""qty"": 1}]",7.1,6.35,paper_fill,,73.7,0.04117318435754191,1789.9999999999998,0.0,True,,,,,unknown,,Mon,,"AUTO-TRIGGER [openfly_p] fired: reached 08:30, regime unknown. credit 7.10 = 28% of width, short -2pt ITM. Projected C premarket. Path —.",C,710.0,1790.0,0.49,level ACCEPTED: spot 7758 held below the 7760 short strike for 11min (>10) — the wall we sold did not hold,True,32.8,3.0,late fill +33min (fixed strike; fill only),2026-08-10
auto_20260810_090308,openfly_c,auto_trigger,SPXW,2026-08-10 09:03:00,2026-08-10 09:17,0,vertical 25pt,"[{""side"": ""buy"", ""right"": ""C"", ""strike"": 7785.0, ""expiry"": ""20260810"", ""qty"": 1}, {""side"": ""sell"", ""right"": ""C"", ""strike"": 7760.0, ""expiry"": ""20260810"", ""qty"": 1}]",7.9,9.65,paper_fill,,-176.3,-0.10309941520467836,1710.0000000000002,0.0,False,,,,,unknown,,Mon,,"AUTO-TRIGGER [openfly_c] fired: reached 08:30, regime unknown. credit 7.90 = 32% of width, short 2pt OTM. Projected C premarket. Path —.",C,790.0,1710.0,0.51,level ACCEPTED: spot 7765 held above the 7760 short strike for 10min (>10) — the wall we sold did not hold,True,33.1,4.0,late fill +33min (fixed strike; fill only),2026-08-10
auto_20260810_090329,gx_bps,auto_trigger,SPXW,2026-08-10 09:03:00,2026-08-10 16:00,0,vertical 25pt,"[{""side"": ""buy"", ""right"": ""P"", ""strike"": 7705.0, ""expiry"": ""20260810"", ""qty"": 1}, {""side"": ""sell"", ""right"": ""P"", ""strike"": 7730.0, ""expiry"": ""20260810"", ""qty"": 1}]",1.5,0.0,cash_settle,,147.4,0.06272340425531915,2350.0,0.0,True,,,,,unknown,,Mon,,"AUTO-TRIGGER [gx_bps] fired: reached 08:30, regime unknown. credit 1.50 = 6% of width, short 28pt OTM. Projected C premarket. Path —.",B,150.0,2350.0,0.64,expired,True,33.5,1.0,late fill +34min (fixed strike; fill only),2026-08-10
auto_20260810_090350,gx_bcs,auto_trigger,SPXW,2026-08-10 09:03:00,2026-08-10 16:00,0,vertical 25pt,"[{""side"": ""buy"", ""right"": ""C"", ""strike"": 7800.0, ""expiry"": ""20260810"", ""qty"": 1}, {""side"": ""sell"", ""right"": ""C"", ""strike"": 7775.0, ""expiry"": ""20260810"", ""qty"": 1}]",3.1,0.0,cash_settle,,307.4,0.14036529680365295,2190.0,0.0,True,,,,,unknown,,Mon,,"AUTO-TRIGGER [gx_bcs] fired: reached 08:30, regime unknown. credit 3.10 = 12% of width, short 17pt OTM. Projected C premarket. Path —.",B,310.0,2190.0,0.59,expired,True,33.8,3.0,late fill +34min (fixed strike; fill only),2026-08-10
auto_20260811_083044,eodic_p,auto_trigger,SPXW,2026-08-11 08:30:00,2026-08-11 16:00,0,vertical 25pt,"[{""side"": ""buy"", ""right"": ""P"", ""strike"": 7650.0, ""expiry"": ""20260811"", ""qty"": 1}, {""side"": ""sell"", ""right"": ""P"", ""strike"": 7675.0, ""expiry"": ""20260811"", ""qty"": 1}]",0.15,0.0,cash_settle,,12.4,0.004989939637826962,2485.0,0.0,True,,,,,unknown,,Tue,,"AUTO-TRIGGER [eodic_p] fired: reached 08:30, regime unknown. credit 0.15 = 1% of width, short 88pt OTM. Projected C premarket. Path —.",D,15.0,2485.0,0.88,expired,True,0.7,3.0,ok,2026-08-11
auto_20260811_083142,eodfly_p,auto_trigger,SPXW,2026-08-11 08:31:00,2026-08-11 10:17,0,vertical 25pt,"[{""side"": ""buy"", ""right"": ""P"", ""strike"": 7730.0, ""expiry"": ""20260811"", ""qty"": 1}, {""side"": ""sell"", ""right"": ""P"", ""strike"": 7755.0, ""expiry"": ""20260811"", ""qty"": 1}]",6.6,8.9,paper_fill,,-231.30000000000007,-0.1257065217391305,1839.9999999999998,0.0,False,,,,,unknown,,Tue,,"AUTO-TRIGGER [eodfly_p] fired: reached 08:30, regime unknown. credit 6.60 = 26% of width, short 8pt OTM. Projected C premarket. Path —.",C,660.0,1840.0,0.54,level ACCEPTED: spot 7749 held below the 7755 short strike for 10min (>10) — the wall we sold did not hold,True,1.7,3.0,ok,2026-08-11
