level,fires,false_recover,true_saves,net,worst_after
-1000,5,2,3,-715,-1000
-1250,3,1,2,210,-1250
-1500,2,2,0,-190,-1500
-1750,2,2,0,-690,-1750
-2000,1,1,0,-625,-2000
-2250,0,0,0,0,-1435
-2500,0,0,0,0,-1435
-2750,0,0,0,0,-1435
-3000,0,0,0,0,-1435
-3250,0,0,0,0,-1435
-3500,0,0,0,0,-1435
-3750,0,0,0,0,-1435
-4000,0,0,0,0,-1435
-4250,0,0,0,0,-1435
-4500,0,0,0,0,-1435
-4750,0,0,0,0,-1435
-5000,0,0,0,0,-1435
-5250,0,0,0,0,-1435
-5500,0,0,0,0,-1435
-5750,0,0,0,0,-1435
-6000,0,0,0,0,-1435
