day,day_pnl,regime,day_type,signal,hi_events,event_day
2026-08-04,-1334.0,POSITIVE,unknown,CAUTION,1,True
2026-08-05,-600.0,POSITIVE,CHOP,CAUTION,0,False
2026-08-06,-386.0,POSITIVE,unknown,CAUTION,1,True
2026-08-07,1367.0,,unknown,unknown,0,False
2026-08-10,284.0,POSITIVE,RANGE,GO,0,False
2026-08-11,970.0,POSITIVE,CHOP,CAUTION,0,False
2026-08-12,1231.0,NEGATIVE,HIVOL,WAIT,11,True
2026-08-13,126.0,POSITIVE,CHOP,CAUTION,0,False
2026-08-14,434.0,POSITIVE,HIVOL,CAUTION,1,True
2026-08-17,1031.0,POSITIVE,CHOP,CAUTION,0,False
2026-08-18,1168.0,NEGATIVE,TREND,CAUTION,0,False
2026-08-19,2026.0,NEGATIVE,HIVOL,CAUTION,1,True
2026-08-20,452.0,NEGATIVE,TREND,CAUTION,0,False
2026-08-21,748.0,NEGATIVE,TREND,CAUTION,0,False
2026-08-24,-499.0,NEGATIVE,TREND,CAUTION,0,False
2026-08-25,254.0,NEGATIVE,HIVOL,CAUTION,1,True
2026-08-26,-425.0,POSITIVE,HIVOL,WAIT,6,True
2026-08-27,498.0,NEGATIVE,HIVOL,WAIT,2,True
2026-08-28,-1344.0,POSITIVE,HIVOL,CAUTION,1,True
2026-08-31,301.0,POSITIVE,CHOP,CAUTION,0,False
2026-09-01,254.0,NEGATIVE,HIVOL,CAUTION,1,True
2026-09-02,592.0,NEGATIVE,HIVOL,CAUTION,1,True
2026-09-03,-1407.0,POSITIVE,CHOP,CAUTION,0,False
2026-09-04,1567.0,POSITIVE,HIVOL,WAIT,4,True
