day,move,forecast,pnl,call,put,n
20260806,-14.2,unknown,-386,-220,-165,10
20260807,18.2,unknown,1367,-28,1395,8
20260810,2.0,RANGE,284,-70,355,8
20260811,-39.5,CHOP,970,1136,-165,9
20260812,-19.5,HIVOL,1231,150,1081,9
20260813,29.2,CHOP,125,-941,1067,9
20260814,-27.0,HIVOL,434,887,-453,8
20260817,-35.8,CHOP,1031,1510,-479,7
20260818,-12.0,TREND,1168,1137,31,8
