ts_et,spot,expiry,strike,right,bid,ask
2026-09-03 09:30:38,7700.65,20260903,7565.0,P,0.2,0.25
2026-09-03 09:30:38,7700.65,20260903,7565.0,C,135.3,142.6
2026-09-03 09:30:38,7700.65,20260903,7590.0,P,0.3,0.35
2026-09-03 09:30:38,7700.65,20260903,7590.0,C,110.4,113.6
2026-09-03 09:30:38,7700.65,20260903,7605.0,P,0.45,0.5
2026-09-03 09:30:38,7700.65,20260903,7605.0,C,95.5,98.4
2026-09-03 09:30:38,7700.65,20260903,7610.0,P,0.5,0.6
2026-09-03 09:30:38,7700.65,20260903,7610.0,C,90.3,93.7
2026-09-03 09:30:38,7700.65,20260903,7615.0,P,0.6,0.65
2026-09-03 09:30:38,7700.65,20260903,7615.0,C,85.5,89.1
2026-09-03 09:30:38,7700.65,20260903,7620.0,P,0.7,0.75
2026-09-03 09:30:38,7700.65,20260903,7620.0,C,81.0,82.0
2026-09-03 09:30:38,7700.65,20260903,7625.0,P,0.8,0.9
2026-09-03 09:30:38,7700.65,20260903,7625.0,C,75.6,78.9
2026-09-03 09:30:38,7700.65,20260903,7630.0,P,0.95,1.0
2026-09-03 09:30:38,7700.65,20260903,7630.0,C,71.4,72.9
2026-09-03 09:30:38,7700.65,20260903,7635.0,P,1.15,1.2
2026-09-03 09:30:38,7700.65,20260903,7635.0,C,66.4,68.2
2026-09-03 09:30:38,7700.65,20260903,7640.0,P,1.4,1.45
2026-09-03 09:30:38,7700.65,20260903,7640.0,C,60.7,61.7
2026-09-03 09:30:38,7700.65,20260903,7645.0,P,1.65,1.75
2026-09-03 09:30:38,7700.65,20260903,7645.0,C,56.0,57.0
2026-09-03 09:30:38,7700.65,20260903,7650.0,P,2.0,2.05
2026-09-03 09:30:38,7700.65,20260903,7650.0,C,51.3,52.3
2026-09-03 09:30:38,7700.65,20260903,7655.0,P,2.35,2.5
2026-09-03 09:30:38,7700.65,20260903,7655.0,C,46.7,47.7
2026-09-03 09:30:38,7700.65,20260903,7660.0,P,3.1,3.3
2026-09-03 09:30:38,7700.65,20260903,7660.0,C,40.2,41.5
2026-09-03 09:30:38,7700.65,20260903,7665.0,P,3.6,3.7
2026-09-03 09:30:38,7700.65,20260903,7665.0,C,36.0,36.8
2026-09-03 09:30:38,7700.65,20260903,7670.0,P,4.4,4.6
2026-09-03 09:30:38,7700.65,20260903,7670.0,C,31.7,32.3
2026-09-03 09:30:38,7700.65,20260903,7675.0,P,4.9,5.1
2026-09-03 09:30:38,7700.65,20260903,7675.0,C,30.2,30.6
2026-09-03 09:30:38,7700.65,20260903,7680.0,P,6.0,6.1
2026-09-03 09:30:38,7700.65,20260903,7680.0,C,26.2,26.6
2026-09-03 09:30:38,7700.65,20260903,7685.0,P,7.2,7.3
2026-09-03 09:30:38,7700.65,20260903,7685.0,C,22.5,22.7
2026-09-03 09:30:38,7700.65,20260903,7690.0,P,8.7,8.8
2026-09-03 09:30:38,7700.65,20260903,7690.0,C,18.9,19.1
2026-09-03 09:30:38,7700.65,20260903,7695.0,P,10.3,10.5
2026-09-03 09:30:38,7700.65,20260903,7695.0,C,15.7,15.9
2026-09-03 09:30:38,7700.65,20260903,7700.0,P,12.5,12.7
