run,tag,market,level,dir,cells_pos,is_exp,oos_exp,verdict,n,win_pct,avg_win,avg_loss,pf,expectancy,total,maxdd,max_consec_loss,best,worst,sharpe_tr,months
2026-07-15 14:04,futures_panel_v1,ES,cr,res,36,341,438,SURVIVES,19,89.5,430,-125,29.25,372,7062,-125,1,438,-125,2.15,10
2026-07-15 14:04,futures_panel_v1,ES,ps,sup,29,-62,212,fragile,13,53.8,438,-462,1.1,22,288,-925,2,438,-462,0.05,6
2026-07-15 14:04,futures_panel_v1,ES,cr0,res,36,287,117,SURVIVES,62,75.8,433,-438,3.31,229,14200,-1388,3,438,-462,0.62,11
2026-07-15 14:04,futures_panel_v1,ES,ps0,sup,36,198,195,SURVIVES,68,73.5,434,-462,2.61,197,13362,-975,2,438,-462,0.5,11
2026-07-15 14:04,futures_panel_v1,NQ,cr,res,36,417,-84,fragile,36,63.9,879,-861,1.8,250,9010,-3911,5,1007,-1064,0.28,6
2026-07-15 14:04,futures_panel_v1,NQ,ps,sup,36,186,748,SURVIVES,26,69.2,963,-1000,2.17,359,9334,-3193,3,1007,-1064,0.39,7
2026-07-15 14:04,futures_panel_v1,NQ,cr0,res,35,415,-202,fragile,41,58.5,909,-754,1.7,220,9011,-3627,6,1007,-1064,0.25,6
2026-07-15 14:04,futures_panel_v1,NQ,ps0,sup,23,137,-90,fragile,51,54.9,986,-1064,1.13,62,3140,-5840,4,1007,-1064,0.06,6
2026-07-15 14:04,futures_panel_v1,GC,cr,res,36,99,231,SURVIVES,22,63.6,560,-592,1.66,141,3106,-1185,3,560,-592,0.25,8
2026-07-15 14:04,futures_panel_v1,GC,ps,sup,36,80,246,SURVIVES,35,62.9,560,-592,1.6,132,4627,-2498,3,560,-592,0.24,11
2026-07-15 14:04,futures_panel_v1,CL,cr,res,6,-84,-53,REJECT,17,35.3,226,-239,0.52,-75,-1271,-1245,4,226,-239,-0.34,9
