run,tag,market,level,dir,cells_pos,is_exp,oos_exp,verdict,n,win_pct,avg_win,avg_loss,pf,expectancy,total,maxdd,max_consec_loss,best,worst,sharpe_tr,months
2026-07-15 14:18,VIRGIN_FIRST_TOUCH,ES,cr,res,27,281,138,fragile,11,72.7,422,-238,4.74,242,2662,-462,1,438,-462,0.79,7
2026-07-15 14:18,VIRGIN_FIRST_TOUCH,ES,cr0,res,28,179,31,fragile,29,62.1,432,-391,1.99,133,3862,-1388,3,438,-462,0.33,11
2026-07-15 14:18,VIRGIN_FIRST_TOUCH,ES,ps0,sup,28,78,-77,fragile,44,54.5,438,-462,1.14,28,1250,-3238,7,438,-462,0.06,11
2026-07-15 14:18,VIRGIN_FIRST_TOUCH,NQ,cr,res,8,-21,-214,REJECT,25,48.0,761,-861,0.82,-83,-2065,-4026,5,1007,-1064,-0.09,6
2026-07-15 14:18,VIRGIN_FIRST_TOUCH,NQ,ps,sup,33,178,593,SURVIVES,15,66.7,1007,-1064,1.89,316,4747,-3251,2,1007,-1064,0.32,6
2026-07-15 14:18,VIRGIN_FIRST_TOUCH,NQ,cr0,res,18,389,-553,REJECT,24,50.0,929,-778,1.19,75,1805,-5430,7,1007,-1064,0.08,6
2026-07-15 14:18,VIRGIN_FIRST_TOUCH,NQ,ps0,sup,2,65,-500,REJECT,33,45.5,1007,-1064,0.79,-123,-4056,-7796,5,1007,-1064,-0.12,6
2026-07-15 14:18,VIRGIN_FIRST_TOUCH,GC,cr,res,32,176,272,SURVIVES,13,69.2,560,-592,2.13,206,2674,-592,2,560,-592,0.39,7
2026-07-15 14:18,VIRGIN_FIRST_TOUCH,GC,ps,sup,23,56,-16,fragile,24,54.2,560,-592,1.12,32,768,-2962,5,560,-592,0.06,10
2026-07-15 14:18,VIRGIN_FIRST_TOUCH,CL,cr,res,7,-6,-239,REJECT,11,36.4,226,-239,0.54,-70,-768,-981,4,226,-239,-0.31,7
