ts_et,msg,detail
2026-07-16 09:32:16,levels loaded,"{""cr"": 7700.0, ""cr0"": 7625.0, ""ps0"": 7575.0, ""ps"": 7550.0, ""hvl"": 7575.0}"
2026-07-16 09:32:16,engine armed,"{""rules"": [[""lvlfade_cr_ES"", 7700.0], [""lvlfade_cr0_ES"", 7625.0], [""lvlfade_ps0_ES"", 7575.0]]}"
2026-07-16 16:00:02,engine done,"{""states"": {""lvlfade_cr_ES"": ""armed"", ""lvlfade_cr0_ES"": ""armed"", ""lvlfade_ps0_ES"": ""armed""}}"
2026-07-17 09:32:17,levels loaded,"{""cr"": 7700.0, ""cr0"": 7600.0, ""ps0"": 7550.0, ""ps"": 7550.0, ""hvl"": 7575.0}"
2026-07-17 09:32:17,engine armed,"{""rules"": [[""lvlfade_cr_ES"", 7700.0], [""lvlfade_cr0_ES"", 7600.0], [""lvlfade_ps0_ES"", 7550.0]]}"
2026-07-17 16:00:03,engine done,"{""states"": {""lvlfade_cr_ES"": ""armed"", ""lvlfade_cr0_ES"": ""armed"", ""lvlfade_ps0_ES"": ""armed""}}"
2026-07-18 09:32:20,levels loaded,"{""cr"": 7800.0, ""cr0"": 7580.0, ""ps0"": 7470.0, ""ps"": 7470.0, ""hvl"": 7575.0}"
2026-07-18 09:32:20,engine armed,"{""rules"": [[""lvlfade_cr_ES"", 7800.0], [""lvlfade_cr0_ES"", 7580.0], [""lvlfade_ps0_ES"", 7470.0]]}"
2026-07-18 16:00:01,engine done,"{""states"": {""lvlfade_cr_ES"": ""armed"", ""lvlfade_cr0_ES"": ""armed"", ""lvlfade_ps0_ES"": ""armed""}}"
2026-07-19 09:32:19,levels loaded,"{""cr"": 7800.0, ""cr0"": 7580.0, ""ps0"": 7470.0, ""ps"": 7470.0, ""hvl"": 7575.0}"
2026-07-19 09:32:19,engine armed,"{""rules"": [[""lvlfade_cr_ES"", 7800.0], [""lvlfade_cr0_ES"", 7580.0], [""lvlfade_ps0_ES"", 7470.0]]}"
2026-07-20 09:32:15,levels loaded,"{""cr"": 7800.0, ""cr0"": 7580.0, ""ps0"": 7470.0, ""ps"": 7470.0, ""hvl"": 7575.0}"
2026-07-20 09:32:15,engine armed,"{""rules"": [[""lvlfade_cr_ES"", 7800.0], [""lvlfade_cr0_ES"", 7580.0], [""lvlfade_ps0_ES"", 7470.0]]}"
2026-07-20 16:00:00,engine done,"{""states"": {""lvlfade_cr_ES"": ""armed"", ""lvlfade_cr0_ES"": ""armed"", ""lvlfade_ps0_ES"": ""armed""}}"
2026-07-21 09:32:15,levels loaded,"{""cr"": 7800.0, ""cr0"": 7550.0, ""ps0"": 7500.0, ""ps"": 7400.0, ""hvl"": 7520.0}"
2026-07-21 09:32:15,engine armed,"{""rules"": [[""lvlfade_cr_ES"", 7800.0], [""lvlfade_cr0_ES"", 7550.0], [""lvlfade_ps0_ES"", 7500.0]]}"
2026-07-21 12:38:28,ENTRY,"{""rule"": ""lvlfade_cr0_ES"", ""level"": 7550.0, ""es_est"": 7549.07}"
