time,year,rev,side,R,tick_fav,confirm_bar,breadth_agree,breadth_slope,trin_exhaust,vix_gate,score
2021-07-07 13:50:00,2021,Trap,1,-8.25,False,False,False,False,False,False,0
2021-07-07 14:35:00,2021,Trap,1,-1.0,False,False,False,True,False,False,0
2021-07-08 09:30:00,2021,Trap,1,1.4655172413793103,False,False,False,True,False,False,0
2021-07-08 10:10:00,2021,Trap,1,1.5,False,False,False,True,False,False,0
2021-07-08 11:35:00,2021,BO,1,-1.0,False,False,False,False,False,False,0
2021-07-08 12:50:00,2021,Trap,-1,2.0,False,False,True,True,False,True,1
2021-07-08 14:15:00,2021,BO,-1,-1.0,False,False,True,True,False,True,1
2021-07-08 14:25:00,2021,Trap,1,-1.0,False,False,False,True,False,False,0
2021-07-08 14:50:00,2021,BO,-1,-1.0,False,False,True,True,False,True,1
2021-07-08 15:00:00,2021,OB,1,0.8533333333333334,False,False,False,True,False,False,0
2021-07-09 13:25:00,2021,BO,1,2.0,False,False,True,True,False,False,1
2021-07-09 13:40:00,2021,OB,1,2.0,False,False,True,False,False,False,1
2021-07-09 14:55:00,2021,Trap,1,-1.0,False,False,True,False,False,False,1
2021-07-12 10:05:00,2021,Trap,-1,2.0,False,False,True,True,False,True,1
2021-07-12 10:40:00,2021,BO,-1,-1.0,False,False,True,False,False,True,1
2021-07-12 11:00:00,2021,IB,1,0.0,False,False,False,True,False,False,0
2021-07-12 11:20:00,2021,Trap,1,-1.0,False,False,False,True,False,False,0
2021-07-12 12:50:00,2021,BO,-1,-1.0,False,False,True,False,False,True,1
2021-07-12 14:40:00,2021,OB,-1,-1.0,False,False,True,True,False,True,1
2021-07-13 09:05:00,2021,Trap,-1,-1.0,False,False,True,True,False,True,1
2021-07-13 12:10:00,2021,OB,-1,2.0,False,False,True,False,False,True,1
2021-07-13 12:40:00,2021,IB,-1,-0.03571428571428571,False,False,True,True,False,True,1
2021-07-13 13:45:00,2021,BO,-1,-3.076923076923077,False,False,True,True,False,True,1
2021-07-13 14:10:00,2021,IB,-1,-4.105263157894737,False,False,True,True,False,True,1
2021-07-14 08:50:00,2021,IB,-1,2.0,False,False,False,False,False,True,0
2021-07-14 09:30:00,2021,IB,-1,2.0,False,False,False,True,False,True,0
2021-07-14 09:50:00,2021,BO,1,-1.0,False,False,True,False,False,False,1
2021-07-14 10:30:00,2021,Trap,-1,-0.05714285714285714,False,False,True,True,False,True,1
2021-07-14 13:15:00,2021,Trap,1,-1.0,False,False,False,True,False,False,0
2021-07-14 13:30:00,2021,IB,-1,-1.0,False,False,True,False,False,True,1
2021-07-14 14:05:00,2021,IB,1,-1.0,False,False,False,True,False,False,0
2021-07-14 14:20:00,2021,BO,-1,2.814814814814815,False,False,True,False,False,True,1
2021-07-14 14:45:00,2021,Trap,-1,2.909090909090909,False,False,True,True,False,True,1
2021-07-15 08:35:00,2021,OB,-1,-0.35802469135802467,False,True,True,False,False,True,2
2021-07-15 08:50:00,2021,Trap,1,0.022727272727272728,False,False,False,False,False,False,0
2021-07-15 09:40:00,2021,IB,1,-1.0,False,False,False,False,False,False,0
2021-07-15 10:05:00,2021,Trap,-1,-1.0,False,False,True,True,False,True,1
2021-07-15 10:50:00,2021,Trap,-1,2.0,False,False,True,False,False,True,1
2021-07-15 12:35:00,2021,Trap,-1,-1.0,False,False,True,True,False,True,1
2021-07-15 15:00:00,2021,BO,1,-1.0,False,False,False,True,False,False,0
2021-07-16 08:45:00,2021,BO,-1,2.0,False,False,False,False,False,True,0
2021-07-16 09:30:00,2021,OB,-1,-0.5333333333333333,False,False,True,True,False,True,1
2021-07-16 10:05:00,2021,Trap,-1,-1.0,False,False,True,True,False,True,1
2021-07-16 10:55:00,2021,Trap,1,-0.5357142857142857,False,False,False,True,False,False,0
2021-07-16 12:30:00,2021,BO,-1,2.0,False,False,True,True,False,True,1
2021-07-16 13:05:00,2021,Trap,-1,2.0,False,False,True,True,False,True,1
2021-07-16 13:30:00,2021,IB,-1,2.0,False,False,True,True,False,True,1
2021-07-16 14:05:00,2021,Trap,-1,-1.0,False,False,True,True,False,True,1
2021-07-16 14:15:00,2021,Trap,1,-1.0,False,False,False,False,True,False,1
2021-07-19 08:55:00,2021,IB,-1,-0.16470588235294117,False,False,True,False,False,True,1
2021-07-19 09:30:00,2021,IB,1,-0.40384615384615385,False,False,False,True,False,False,0
2021-07-19 09:45:00,2021,Trap,1,-1.0,False,False,False,True,False,False,0
2021-07-19 10:05:00,2021,Trap,1,-1.0,False,False,False,True,False,False,0
2021-07-19 13:40:00,2021,OB,-1,-1.0,False,False,True,True,False,True,1
2021-07-19 14:10:00,2021,Trap,1,-1.0,False,False,False,True,False,False,0
2021-07-19 14:20:00,2021,Trap,-1,-1.0,False,False,True,True,False,True,1
2021-07-19 14:55:00,2021,OB,1,1.36,False,False,False,True,False,False,0
2021-07-20 08:50:00,2021,OB,1,1.4545454545454546,False,False,True,False,False,False,1
2021-07-20 09:20:00,2021,Trap,1,1.7551020408163265,False,False,True,True,False,False,1
2021-07-20 11:10:00,2021,Trap,-1,-1.0,False,False,False,True,False,True,0
2021-07-20 11:50:00,2021,IB,1,-1.0,False,False,True,True,False,False,1
2021-07-20 12:10:00,2021,OB,-1,-0.675,False,False,False,True,False,True,0
2021-07-20 12:35:00,2021,Trap,1,-1.0,False,False,True,True,False,False,1
2021-07-20 12:45:00,2021,Trap,-1,-1.0,False,False,False,False,False,True,0
2021-07-20 13:40:00,2021,Trap,-1,-1.0,False,False,False,True,False,True,0
2021-07-20 14:00:00,2021,Trap,-1,-1.0,False,False,False,False,False,True,0
2021-07-21 09:40:00,2021,Trap,1,0.5263157894736842,False,False,True,False,False,False,1
2021-07-21 10:15:00,2021,IB,-1,-1.0,False,False,False,False,True,True,1
2021-07-21 13:20:00,2021,BO,-1,-1.0,False,False,False,True,True,True,1
2021-07-21 13:30:00,2021,IB,1,2.0,False,False,True,True,False,False,1
2021-07-21 14:30:00,2021,IB,-1,-1.0,False,False,False,True,True,True,1
2021-07-21 15:00:00,2021,OB,1,-0.046511627906976744,False,False,True,False,False,False,1
2021-07-22 08:45:00,2021,Trap,1,-1.0,False,False,False,False,False,False,0
2021-07-22 10:25:00,2021,Trap,1,-1.0,False,False,False,False,True,False,1
2021-07-22 11:10:00,2021,OB,-1,-1.0,False,False,True,True,False,True,1
2021-07-22 12:55:00,2021,Trap,1,2.0,False,False,False,True,False,False,0
2021-07-22 14:00:00,2021,Trap,1,-1.0,False,False,False,True,False,False,0
2021-07-22 14:10:00,2021,IB,-1,-1.0,False,False,True,False,False,True,1
2021-07-22 15:00:00,2021,Trap,1,7.9,False,False,False,False,False,False,0
2021-07-23 08:50:00,2021,Trap,1,-1.0,False,False,False,False,True,False,1
2021-07-23 09:00:00,2021,BO,-1,-1.0,False,False,True,False,False,True,1
2021-07-23 10:20:00,2021,Trap,1,2.0,False,False,False,False,True,False,1
2021-07-23 11:00:00,2021,IB,-1,-1.0,False,False,True,True,False,True,1
2021-07-23 11:30:00,2021,Trap,-1,-1.0,False,False,True,False,False,True,1
2021-07-23 14:35:00,2021,BO,1,0.0,False,False,False,True,True,False,1
2021-07-26 08:40:00,2021,OB,1,0.0,False,False,False,False,True,False,1
2021-07-26 14:40:00,2021,OB,-1,-1.0,False,False,False,False,False,True,0
2021-07-26 15:00:00,2021,BO,1,-3.4761904761904763,False,False,True,True,False,False,1
2021-07-27 09:25:00,2021,Trap,1,-1.0,False,False,False,True,False,False,0
2021-07-27 11:05:00,2021,IB,-1,0.5,False,False,True,True,False,True,1
2021-07-27 12:20:00,2021,BO,-1,-1.0,False,False,True,False,False,True,1
2021-07-27 13:00:00,2021,IB,-1,-1.0,False,False,True,False,False,True,1
2021-07-28 08:40:00,2021,Trap,-1,-0.5882352941176471,False,False,False,False,True,True,1
2021-07-28 09:45:00,2021,IB,-1,0.022222222222222223,False,False,False,True,False,True,0
2021-07-28 10:40:00,2021,OB,1,-1.0,False,False,True,True,False,False,1
2021-07-28 11:45:00,2021,OB,-1,-1.0,False,False,False,True,True,True,1
2021-07-28 12:20:00,2021,BO,-1,-1.0,False,False,False,False,True,True,1
2021-07-28 14:25:00,2021,Trap,-1,-2.227272727272727,False,False,False,True,True,True,1
2021-07-28 14:55:00,2021,IB,-1,2.0,False,False,False,True,False,True,0
2021-07-29 08:35:00,2021,IB,1,0.32926829268292684,False,True,True,False,False,False,2
2021-07-29 10:55:00,2021,Trap,-1,-1.0,False,False,False,True,False,True,0
2021-07-29 12:30:00,2021,IB,1,-1.0,False,False,True,False,False,False,1
2021-07-29 12:40:00,2021,IB,-1,2.0,False,False,False,True,False,True,0
2021-07-29 13:25:00,2021,BO,-1,2.0,False,False,False,True,False,True,0
2021-07-29 14:35:00,2021,Trap,-1,-1.0,False,False,False,True,False,True,0
2021-07-29 15:05:00,2021,BO,-1,3.8,False,False,False,False,False,True,0
2021-07-30 08:40:00,2021,Trap,1,-0.6571428571428571,False,False,True,False,False,False,1
2021-07-30 09:50:00,2021,Trap,-1,-0.6521739130434783,False,False,True,True,False,True,1
2021-07-30 11:20:00,2021,BO,1,-0.3157894736842105,False,False,False,False,False,False,0
2021-07-30 12:25:00,2021,Trap,-1,-1.0,False,False,True,True,False,True,1
2021-07-30 12:35:00,2021,IB,1,-1.0,False,False,False,True,False,False,0
