strike,call_oi,put_oi,call_gex,put_gex,tot_gamma
6975.0,4818,21986,5.21,-22.495,4.853904
7000.0,549328,728180,606.934,-872.554,259.199602
7025.0,7954,17302,9.817,-20.167,5.253111
7050.0,19298,29722,30.13,-44.681,13.106496
7075.0,6057,16293,10.919,-24.784,6.254999
7100.0,33845,81299,41.41,-151.273,33.757208
7125.0,8077,21579,16.068,-39.893,9.804173
7150.0,23463,60599,53.595,-122.729,30.891196
7175.0,8253,36158,18.905,-54.35,12.834041
7200.0,57903,122892,137.066,-286.427,74.194173
7225.0,9000,29037,22.027,-52.64,13.081337
7250.0,29419,46747,81.423,-106.468,32.917643
7275.0,8124,26555,22.881,-58.854,14.319512
7300.0,71814,118232,237.632,-381.153,108.408453
7325.0,15985,23679,48.027,-68.087,20.342647
7350.0,37258,56337,140.733,-222.944,63.714604
7375.0,16849,23798,76.791,-96.1,30.289833
7400.0,85286,109391,399.79,-524.588,161.946844
7425.0,15917,23220,91.352,-127.116,38.274687
7450.0,99092,99788,325.846,-372.227,122.299408
7475.0,21415,25914,118.857,-219.896,59.348058
7500.0,175713,153592,761.29,-772.196,268.659845
7525.0,22576,15601,194.098,-197.751,68.650219
7550.0,65595,80900,606.953,-1125.143,303.455429
7575.0,30206,16192,498.89,-151.799,113.997859
7600.0,105364,51301,768.686,-318.952,190.549321
7625.0,39621,4742,300.429,-23.53,56.756014
7650.0,42518,7131,383.525,-53.296,76.529064
7675.0,16534,1352,129.358,-7.216,23.927213
7700.0,91755,11338,305.329,-48.321,61.957901
7725.0,17333,971,72.297,-1.638,12.953045
7750.0,34894,828,148.108,-2.965,26.4672
7775.0,21531,675,84.241,-2.091,15.124973
7800.0,71903,10806,248.58,-39.629,50.492957
7825.0,8718,147,29.229,-0.497,5.207893
7850.0,26715,3134,99.099,-9.794,19.077669
7875.0,12059,155,43.392,-0.561,7.700329
7900.0,46046,2629,132.02,-7.522,24.447072
7925.0,4188,42,8.501,-0.135,1.513145
