strike,call_oi,put_oi,call_gex,put_gex,tot_gamma
6950.0,16796,35576,30.567,-57.797,15.560936
6975.0,4967,19417,9.51,-28.778,6.742541
7000.0,709130,760952,1136.35,-1207.23,412.704792
7025.0,4069,10331,8.26,-18.725,4.751957
7050.0,14230,22809,29.79,-45.195,13.204936
7075.0,6078,17523,10.994,-25.354,6.401021
7100.0,33839,82327,70.965,-156.84,40.11652
7125.0,8049,21359,16.016,-43.073,10.40573
7150.0,23416,60644,54.517,-128.81,32.283922
7175.0,8252,28961,19.02,-57.411,13.459643
7200.0,55658,113517,134.178,-241.848,66.218185
7225.0,7881,23617,17.872,-50.237,11.993947
7250.0,24315,38335,62.683,-91.726,27.191434
7275.0,7406,17844,19.67,-41.952,10.851663
7300.0,66099,107647,216.747,-334.801,97.127632
7325.0,14080,24318,42.155,-71.14,19.951152
7350.0,33188,52981,124.868,-214.627,59.78508
7375.0,14346,24876,41.408,-99.758,24.859308
7400.0,61839,85200,347.27,-518.172,152.404522
7425.0,10434,18485,84.019,-158.653,42.734477
7450.0,53571,60863,540.844,-612.398,203.08606
7475.0,19563,22030,212.098,-289.085,88.258427
7500.0,124728,159889,1450.867,-1523.975,523.870077
7525.0,16717,22782,340.424,-414.5,132.942081
7550.0,91483,85283,1340.086,-1080.313,426.232712
7575.0,29428,17936,482.015,-172.585,115.275083
7600.0,146073,110768,1562.807,-1136.418,475.333882
7625.0,21684,5753,197.627,-35.944,41.131895
7650.0,45216,12218,332.243,-66.194,70.164683
7675.0,23680,4230,119.439,-16.238,23.892744
7700.0,79086,18606,360.953,-80.127,77.674243
7725.0,19145,1682,68.092,-7.739,13.353854
7750.0,42130,2674,161.199,-8.908,29.955882
7775.0,22129,717,78.628,-2.111,14.218152
7800.0,88452,11012,319.231,-39.629,63.195288
7825.0,19019,171,36.237,-0.515,6.471906
7850.0,41600,3387,75.731,-10.035,15.103367
7875.0,15378,201,48.125,-0.602,8.58085
7900.0,72327,2713,203.631,-8.578,37.370097
