date,ns,side,px,sz,ratio,hold
2026-07-22,1784709000042000000,support,7527.5,18,0.6206896551724138,0
2026-07-22,1784709000042000000,resistance,7528.0,22,0.7586206896551724,0
2026-07-22,1784709003039000000,support,7531.25,19,0.6551724137931034,0
2026-07-22,1784709003039000000,resistance,7531.75,17,0.5862068965517241,1
2026-07-22,1784709006007000000,support,7530.5,20,0.6896551724137931,0
2026-07-22,1784709006007000000,resistance,7531.0,17,0.5862068965517241,0
2026-07-22,1784709009007000000,support,7528.75,21,0.7241379310344828,0
2026-07-22,1784709009007000000,resistance,7529.25,25,0.8620689655172413,0
2026-07-22,1784709012051000000,support,7528.75,11,0.3793103448275862,0
2026-07-22,1784709012051000000,resistance,7529.0,16,0.5517241379310345,0
2026-07-22,1784709015007000000,support,7527.0,26,0.896551724137931,0
2026-07-22,1784709015007000000,resistance,7527.5,15,0.5172413793103449,0
2026-07-22,1784709018024000000,support,7528.0,22,0.7586206896551724,0
2026-07-22,1784709018024000000,resistance,7528.5,19,0.6551724137931034,0
2026-07-22,1784709021006000000,support,7527.0,25,0.8620689655172413,0
2026-07-22,1784709021006000000,resistance,7527.5,17,0.5862068965517241,0
2026-07-22,1784709024031000000,support,7526.25,29,1.0,0
2026-07-22,1784709024031000000,resistance,7526.75,33,1.1379310344827587,0
2026-07-22,1784709027019000000,support,7526.0,29,1.0,0
2026-07-22,1784709027019000000,resistance,7526.5,22,0.7586206896551724,0
2026-07-22,1784709030015000000,support,7525.5,18,0.6206896551724138,1
2026-07-22,1784709030015000000,resistance,7525.75,26,0.896551724137931,0
2026-07-22,1784709033004000000,support,7526.5,15,0.5172413793103449,0
2026-07-22,1784709033004000000,resistance,7526.75,15,0.5172413793103449,0
2026-07-22,1784709036023000000,support,7525.25,11,0.3793103448275862,1
2026-07-22,1784709036023000000,resistance,7525.5,12,0.41379310344827586,0
2026-07-22,1784709039045000000,support,7527.0,22,0.7586206896551724,1
2026-07-22,1784709039045000000,resistance,7527.5,14,0.4827586206896552,0
2026-07-22,1784709042042000000,support,7527.5,43,1.4827586206896552,1
2026-07-22,1784709042042000000,resistance,7528.0,16,0.5517241379310345,0
2026-07-22,1784709045011000000,support,7528.75,25,0.8620689655172413,1
2026-07-22,1784709045011000000,resistance,7529.25,4,0.13793103448275862,0
2026-07-22,1784709048040000000,support,7529.75,27,0.9310344827586207,1
2026-07-22,1784709048040000000,resistance,7530.0,12,0.41379310344827586,0
2026-07-22,1784709051020000000,support,7530.75,28,0.9655172413793104,0
2026-07-22,1784709051020000000,resistance,7531.0,20,0.6896551724137931,0
2026-07-22,1784709054058000000,support,7530.25,31,1.0689655172413792,1
2026-07-22,1784709054058000000,resistance,7530.5,14,0.4827586206896552,0
2026-07-22,1784709057025000000,support,7529.75,23,0.7931034482758621,1
2026-07-22,1784709057025000000,resistance,7530.0,18,0.6206896551724138,0
2026-07-22,1784709060021000000,support,7530.25,28,0.9655172413793104,1
2026-07-22,1784709060021000000,resistance,7530.75,15,0.5172413793103449,0
2026-07-22,1784709063047000000,support,7530.75,26,0.896551724137931,0
2026-07-22,1784709063047000000,resistance,7531.25,2,0.06896551724137931,0
2026-07-22,1784709066003000000,support,7532.25,21,0.7241379310344828,0
2026-07-22,1784709066003000000,resistance,7532.5,18,0.6206896551724138,0
2026-07-22,1784709069024000000,support,7531.5,25,0.8620689655172413,0
2026-07-22,1784709069024000000,resistance,7532.0,22,0.7586206896551724,0
2026-07-22,1784709072039000000,support,7531.0,14,0.4827586206896552,0
2026-07-22,1784709072039000000,resistance,7531.25,16,0.5517241379310345,0
2026-07-22,1784709075051000000,support,7531.0,29,1.0,0
2026-07-22,1784709075051000000,resistance,7531.5,20,0.6896551724137931,0
2026-07-22,1784709078025000000,support,7531.0,18,0.6206896551724138,0
2026-07-22,1784709078025000000,resistance,7531.25,27,0.9310344827586207,0
2026-07-22,1784709081031000000,support,7531.25,18,0.6206896551724138,0
2026-07-22,1784709081031000000,resistance,7531.5,10,0.3448275862068966,0
2026-07-22,1784709084040000000,support,7531.0,18,0.6206896551724138,0
2026-07-22,1784709084040000000,resistance,7531.25,16,0.5517241379310345,0
2026-07-22,1784709087020000000,support,7530.5,20,0.6896551724137931,1
2026-07-22,1784709087020000000,resistance,7530.75,25,0.8620689655172413,0
2026-07-22,1784709090015000000,support,7530.25,37,1.2758620689655173,1
