group,dir,stop_abr,tgt,n,pf,net,per_yr
2E_NEUTRAL,S,3.0,2A,439,0.76,-44448.125000000044,-8081.47727272728
2E_NEUTRAL,S,3.0,3A,439,0.81,-38926.696428571464,-7077.581168831175
2E_NEUTRAL,S,3.0,4A,439,0.83,-36580.9375,-6651.079545454545
2E_NEUTRAL,S,3.0,6A,439,0.87,-28921.785714285732,-5258.506493506497
2E_NEUTRAL,S,3.0,TRAIL,439,0.68,-62745.0,-11408.181818181818
fade,S,0.5,EOD,156,1.0,29.709821428577925,5.401785714286896
fade,S,0.5,1A,156,0.61,-8497.633928571422,-1545.0243506493496
fade,S,0.5,2A,156,0.65,-8877.321428571422,-1614.0584415584403
fade,S,0.5,3A,156,0.7,-7916.383928571422,-1439.3425324675313
fade,S,0.5,4A,156,0.77,-6254.665178571422,-1137.2118506493496
fade,S,0.5,6A,156,0.97,-925.7589285714221,-168.31980519480402
fade,S,0.5,TRAIL,156,0.29,-14767.5,-2685.0
fade,S,1.0,EOD,156,0.95,-2162.142857142844,-393.11688311688073
fade,S,1.0,1A,156,0.79,-6535.357142857156,-1188.2467532467556
fade,S,1.0,2A,156,0.88,-4554.776785714266,-828.1412337662302
fade,S,1.0,3A,156,0.85,-6640.267857142844,-1207.3214285714262
fade,S,1.0,4A,156,0.82,-8237.142857142844,-1497.6623376623354
fade,S,1.0,6A,156,0.96,-1929.3303571428442,-350.7873376623353
fade,S,1.0,TRAIL,156,0.58,-12205.0,-2219.090909090909
fade,S,1.5,EOD,156,1.09,5659.84375,1029.0625
fade,S,1.5,1A,156,0.8,-7142.388392857156,-1298.6160714285738
fade,S,1.5,2A,156,0.9,-4932.120535714266,-896.7491883116847
fade,S,1.5,3A,156,0.92,-4698.75,-854.3181818181819
fade,S,1.5,4A,156,0.96,-2644.84375,-480.8806818181818
fade,S,1.5,6A,156,1.11,6755.9375,1228.3522727272727
fade,S,1.5,TRAIL,156,0.66,-12992.5,-2362.2727272727275
fade,S,2.0,EOD,156,1.1,7154.375,1300.7954545454545
fade,S,2.0,1A,156,0.93,-2449.419642857156,-445.34902597402834
fade,S,2.0,2A,156,1.02,1187.4107142857338,215.8928571428607
fade,S,2.0,3A,156,0.97,-1673.75,-304.3181818181818
fade,S,2.0,4A,156,0.99,-783.125,-142.38636363636363
fade,S,2.0,6A,156,1.12,8473.125,1540.5681818181818
fade,S,2.0,TRAIL,156,0.78,-10355.0,-1882.7272727272727
fade,S,3.0,EOD,156,1.27,19176.25,3486.590909090909
fade,S,3.0,1A,156,1.0,116.20535714284415,21.12824675324439
fade,S,3.0,2A,156,1.11,6063.973214285734,1102.540584415588
fade,S,3.0,3A,156,1.11,7070.0,1285.4545454545455
fade,S,3.0,4A,156,1.17,11324.6875,2059.034090909091
fade,S,3.0,6A,156,1.28,19829.375,3605.340909090909
fade,S,3.0,TRAIL,156,0.78,-15105.0,-2746.3636363636365
fade,L,0.5,EOD,179,0.94,-1775.3571428571104,-322.7922077922019
fade,L,0.5,1A,179,0.77,-5143.995535714266,-935.271915584412
fade,L,0.5,2A,179,0.9,-2557.7232142856883,-465.0405844155797
fade,L,0.5,3A,179,1.08,2335.5803571428896,424.6509740259799
fade,L,0.5,4A,179,1.18,5056.67410714289,919.3952922077981
fade,L,0.5,6A,179,1.1,2941.8303571428896,534.8782467532527
fade,L,0.5,TRAIL,179,0.27,-16157.5,-2937.7272727272725
fade,L,1.0,EOD,179,0.86,-7051.026785714312,-1282.004870129875
fade,L,1.0,1A,179,0.8,-6725.357142857156,-1222.79220779221
fade,L,1.0,2A,179,0.92,-3580.491071428578,-650.9983766233778
fade,L,1.0,3A,179,0.89,-5019.776785714312,-912.686688311693
fade,L,1.0,4A,179,0.94,-2910.4017857143117,-529.1639610389658
fade,L,1.0,6A,179,0.95,-2269.7767857143117,-412.68668831169305
fade,L,1.0,TRAIL,179,0.63,-13045.0,-2371.818181818182
fade,L,1.5,EOD,179,0.86,-8705.602678571422,-1582.8368506493496
fade,L,1.5,1A,179,0.84,-6132.5,-1115.0
fade,L,1.5,2A,179,0.98,-945.4464285714221,-171.89935064934946
fade,L,1.5,3A,179,0.94,-3697.008928571422,-672.1834415584403
fade,L,1.5,4A,179,0.93,-4460.290178571422,-810.9618506493495
fade,L,1.5,6A,179,0.97,-2075.915178571422,-377.4391233766222
fade,L,1.5,TRAIL,179,0.73,-11532.5,-2096.818181818182
fade,L,2.0,EOD,179,1.26,17255.892857142844,3137.4350649350627
fade,L,2.0,1A,179,0.94,-2584.2857142856883,-469.87012987012514
fade,L,2.0,2A,179,1.15,8210.803571428578,1492.873376623378
fade,L,2.0,3A,179,1.12,7502.76785714289,1364.1396103896163
fade,L,2.0,4A,179,1.06,3912.142857142844,711.2987012986989
fade,L,2.0,6A,179,1.14,9324.642857142844,1695.389610389608
fade,L,2.0,TRAIL,179,0.63,-21107.5,-3837.7272727272725
fade,L,3.0,EOD,179,1.13,11209.6875,2038.125
fade,L,3.0,1A,179,0.8,-9792.098214285688,-1780.3814935064888
fade,L,3.0,2A,179,1.03,2215.491071428578,402.8165584415596
fade,L,3.0,3A,179,0.98,-1825.3571428571104,-331.883116883111
fade,L,3.0,4A,179,0.97,-2596.785714285734,-472.1428571428607
fade,L,3.0,6A,179,1.02,1857.008928571422,337.63798701298583
fade,L,3.0,TRAIL,179,0.86,-10220.0,-1858.1818181818182
