group,dir,stop_abr,tgt,n,pf,net,per_yr
2E_all,L,0.5,3A,1296,0.81,-37451.54017857138,-6809.370941558432
2E_all,L,0.5,4A,1296,0.83,-33315.937499999956,-6057.443181818174
2E_all,L,0.5,6A,1296,0.89,-23081.00446428569,-4196.546266233761
2E_all,L,0.5,TRAIL,1296,0.32,-106155.0,-19300.909090909092
2E_all,L,1.0,EOD,1296,1.04,14293.437500000044,2598.806818181826
2E_all,L,1.0,1A,1296,0.87,-27948.97321428569,-5081.631493506488
2E_all,L,1.0,2A,1296,0.92,-23381.562499999956,-4251.193181818174
2E_all,L,1.0,3A,1296,0.94,-18328.883928571333,-3332.5243506493334
2E_all,L,1.0,4A,1296,0.99,-3044.7321428571104,-553.5876623376564
2E_all,L,1.0,6A,1296,1.04,14441.20535714289,2625.6737012987073
2E_all,L,1.0,TRAIL,1296,0.51,-112717.5,-20494.090909090908
2E_all,L,1.5,EOD,1296,1.09,36839.531250000044,6698.096590909099
2E_all,L,1.5,1A,1296,0.91,-22159.57589285711,-4029.0137987012927
2E_all,L,1.5,2A,1296,0.96,-15185.468749999955,-2760.99431818181
2E_all,L,1.5,3A,1296,0.98,-8196.852678571331,-1490.336850649333
2E_all,L,1.5,4A,1296,1.02,7320.11160714289,1330.929383116889
2E_all,L,1.5,6A,1296,1.07,30166.205357142888,5484.764610389616
2E_all,L,1.5,TRAIL,1296,0.72,-83280.0,-15141.818181818182
2E_all,L,2.0,EOD,1296,1.1,47101.249999999956,8563.863636363629
2E_all,L,2.0,1A,1296,0.97,-7709.910714285734,-1401.8019480519515
2E_all,L,2.0,2A,1296,0.96,-18211.250000000044,-3311.1363636363717
2E_all,L,2.0,3A,1296,0.96,-17647.63392857142,-3208.660714285713
2E_all,L,2.0,4A,1296,1.0,870.8928571427987,158.3441558441452
2E_all,L,2.0,6A,1296,1.07,34014.6428571428,6184.4805194805085
2E_all,L,2.0,TRAIL,1296,0.85,-55630.0,-10114.545454545454
2E_all,L,3.0,EOD,1296,1.09,52797.67857142858,9599.577922077924
2E_all,L,3.0,1A,1296,0.98,-5886.026785714312,-1070.186688311693
2E_all,L,3.0,2A,1296,0.96,-16728.214285714268,-3041.4935064935034
2E_all,L,3.0,3A,1296,0.98,-12529.776785714223,-2278.1412337662223
2E_all,L,3.0,4A,1296,1.01,6373.571428571422,1158.8311688311676
2E_all,L,3.0,6A,1296,1.08,46328.25892857142,8423.319805194804
2E_all,L,3.0,TRAIL,1296,0.93,-32967.5,-5994.090909090909
2E_all,S,0.5,EOD,1318,0.82,-40367.56696428573,-7339.5576298701335
2E_all,S,0.5,1A,1318,0.85,-25558.97321428569,-4647.086038961034
2E_all,S,0.5,2A,1318,0.88,-23036.540178571464,-4188.461850649357
2E_all,S,0.5,3A,1318,0.89,-22781.071428571464,-4142.012987012993
2E_all,S,0.5,4A,1318,0.87,-28705.625,-5219.204545454545
2E_all,S,0.5,6A,1318,0.84,-36169.91071428573,-6576.347402597406
2E_all,S,0.5,TRAIL,1318,0.43,-97877.5,-17795.909090909092
2E_all,S,1.0,EOD,1318,0.89,-42388.214285714355,-7706.948051948065
2E_all,S,1.0,1A,1318,0.82,-43456.071428571464,-7901.103896103902
2E_all,S,1.0,2A,1318,0.88,-37163.66071428583,-6757.029220779241
2E_all,S,1.0,3A,1318,0.87,-45227.276785714355,-8223.141233766246
2E_all,S,1.0,4A,1318,0.88,-43466.785714285776,-7903.051948051959
2E_all,S,1.0,6A,1318,0.88,-44844.464285714355,-8153.538961038974
2E_all,S,1.0,TRAIL,1318,0.54,-113565.0,-20648.18181818182
2E_all,S,1.5,EOD,1318,0.94,-30608.750000000047,-5565.227272727281
2E_all,S,1.5,1A,1318,0.88,-34930.625,-6351.022727272727
2E_all,S,1.5,2A,1318,0.92,-32170.022321428667,-5849.094967532485
2E_all,S,1.5,3A,1318,0.91,-38635.98214285721,-7024.724025974038
2E_all,S,1.5,4A,1318,0.93,-32165.89285714289,-5848.344155844162
2E_all,S,1.5,6A,1318,0.94,-27653.281250000047,-5027.869318181827
2E_all,S,1.5,TRAIL,1318,0.65,-113140.0,-20570.909090909092
2E_all,S,2.0,EOD,1318,0.88,-68479.7321428571,-12450.860389610381
2E_all,S,2.0,1A,1318,0.82,-57603.616071428536,-10473.384740259733
2E_all,S,2.0,2A,1318,0.86,-64891.785714285725,-11798.506493506495
2E_all,S,2.0,3A,1318,0.86,-73360.08928571426,-13338.198051948048
2E_all,S,2.0,4A,1318,0.88,-67296.24999999994,-12235.681818181807
2E_all,S,2.0,6A,1318,0.89,-63364.10714285711,-11520.746753246747
2E_all,S,2.0,TRAIL,1318,0.74,-106802.5,-19418.636363636364
2E_all,S,3.0,EOD,1318,0.87,-82875.93750000006,-15068.352272727283
2E_all,S,3.0,1A,1318,0.79,-78550.26785714284,-14281.86688311688
2E_all,S,3.0,2A,1318,0.82,-95033.30357142867,-17278.782467532485
2E_all,S,3.0,3A,1318,0.84,-99595.35714285722,-18108.246753246767
2E_all,S,3.0,4A,1318,0.85,-93344.0178571429,-16971.63961038962
2E_all,S,3.0,6A,1318,0.86,-93571.25000000004,-17012.954545454555
2E_all,S,3.0,TRAIL,1318,0.76,-132802.5,-24145.909090909092
2E_BULL,L,0.5,EOD,469,1.19,11891.160714285734,2162.0292207792245
2E_BULL,L,0.5,1A,469,0.84,-7860.066964285688,-1429.1030844155796
2E_BULL,L,0.5,2A,469,0.85,-8544.10714285711,-1553.4740259740202
2E_BULL,L,0.5,3A,469,0.96,-2414.0848214285325,-438.9245129870059
2E_BULL,L,0.5,4A,469,1.06,3423.191964285734,622.3985389610425
2E_BULL,L,0.5,6A,469,1.2,12148.191964285734,2208.762175324679
2E_BULL,L,0.5,TRAIL,469,0.31,-34495.0,-6271.818181818182
2E_BULL,L,1.0,EOD,469,1.18,17908.125,3256.0227272727275
2E_BULL,L,1.0,1A,469,0.93,-4789.642857142844,-870.8441558441535
