entry_id,Date,dir,regime,variant,book,net,R
2021-06-18_14L2,2021-06-18,L,BEAR,base,T1,-505.0,10.0
2021-06-18_14L2,2021-06-18,L,BEAR,base,T2,-505.0,10.0
2021-06-18_14L2,2021-06-18,L,BEAR,noslip,T1,-492.5,9.75
2021-06-18_14L2,2021-06-18,L,BEAR,noslip,T2,-492.5,9.75
2021-06-18_14L2,2021-06-18,L,BEAR,retest,T1,-442.5,8.75
2021-06-18_14L2,2021-06-18,L,BEAR,retest,T2,-442.5,8.75
2021-06-18_14L2,2021-06-18,L,BEAR,closec,T1,-692.5,13.75
2021-06-18_14L2,2021-06-18,L,BEAR,closec,T2,-692.5,13.75
2021-06-18_14L2,2021-06-18,L,BEAR,bemove,T2,-505.0,10.0
2021-06-18_14L2,2021-06-18,L,BEAR,tstop12,T1,-505.0,10.0
2021-06-18_14L2,2021-06-18,L,BEAR,tstop12,T2,-505.0,10.0
2021-06-18_57S2,2021-06-18,S,BULL,base,T1,170.0,3.5
2021-06-18_57S2,2021-06-18,S,BULL,base,T2,345.0,3.5
2021-06-18_57S2,2021-06-18,S,BULL,noslip,T1,157.5,3.25
2021-06-18_57S2,2021-06-18,S,BULL,noslip,T2,320.0,3.25
2021-06-18_57S2,2021-06-18,S,BULL,retest,T1,107.5,2.25
2021-06-18_57S2,2021-06-18,S,BULL,retest,T2,220.0,2.25
2021-06-18_57S2,2021-06-18,S,BULL,bemove,T2,345.0,3.5
2021-06-18_57S2,2021-06-18,S,BULL,tstop12,T1,170.0,3.5
2021-06-18_57S2,2021-06-18,S,BULL,tstop12,T2,345.0,3.5
2021-06-21_26L2,2021-06-21,L,BULL,base,T1,-180.0,3.5
2021-06-21_26L2,2021-06-21,L,BULL,base,T2,-180.0,3.5
2021-06-21_26L2,2021-06-21,L,BULL,noslip,T1,-167.5,3.25
2021-06-21_26L2,2021-06-21,L,BULL,noslip,T2,-167.5,3.25
2021-06-21_26L2,2021-06-21,L,BULL,retest,T1,107.5,2.25
2021-06-21_26L2,2021-06-21,L,BULL,retest,T2,-117.5,2.25
2021-06-21_26L2,2021-06-21,L,BULL,closec,T1,-205.0,4.0
2021-06-21_26L2,2021-06-21,L,BULL,closec,T2,-205.0,4.0
2021-06-21_26L2,2021-06-21,L,BULL,bemove,T2,-180.0,3.5
2021-06-21_26L2,2021-06-21,L,BULL,tstop12,T1,-67.5,3.5
2021-06-21_26L2,2021-06-21,L,BULL,tstop12,T2,-67.5,3.5
2021-06-21_37L2,2021-06-21,L,BULL,base,T1,-167.5,3.25
2021-06-21_37L2,2021-06-21,L,BULL,base,T2,-167.5,3.25
2021-06-21_37L2,2021-06-21,L,BULL,noslip,T1,-155.0,3.0
2021-06-21_37L2,2021-06-21,L,BULL,noslip,T2,-155.0,3.0
2021-06-21_37L2,2021-06-21,L,BULL,retest,T1,95.0,2.0
2021-06-21_37L2,2021-06-21,L,BULL,retest,T2,-105.0,2.0
2021-06-21_37L2,2021-06-21,L,BULL,bemove,T2,-167.5,3.25
2021-06-21_37L2,2021-06-21,L,BULL,tstop12,T1,-167.5,3.25
2021-06-21_37L2,2021-06-21,L,BULL,tstop12,T2,-167.5,3.25
2021-06-21_62L2,2021-06-21,L,BULL,base,T1,-167.5,3.25
2021-06-21_62L2,2021-06-21,L,BULL,base,T2,-167.5,3.25
2021-06-21_62L2,2021-06-21,L,BULL,noslip,T1,-155.0,3.0
2021-06-21_62L2,2021-06-21,L,BULL,noslip,T2,-155.0,3.0
2021-06-21_62L2,2021-06-21,L,BULL,retest,T1,-105.0,2.0
2021-06-21_62L2,2021-06-21,L,BULL,retest,T2,-105.0,2.0
2021-06-21_62L2,2021-06-21,L,BULL,bemove,T2,-167.5,3.25
2021-06-21_62L2,2021-06-21,L,BULL,tstop12,T1,-167.5,3.25
2021-06-21_62L2,2021-06-21,L,BULL,tstop12,T2,-167.5,3.25
2021-06-22_10L2,2021-06-22,L,NEUTRAL,base,T1,182.5,3.75
2021-06-22_10L2,2021-06-22,L,NEUTRAL,base,T2,370.0,3.75
2021-06-22_10L2,2021-06-22,L,NEUTRAL,noslip,T1,170.0,3.5
2021-06-22_10L2,2021-06-22,L,NEUTRAL,noslip,T2,345.0,3.5
2021-06-22_10L2,2021-06-22,L,NEUTRAL,retest,T1,120.0,2.5
2021-06-22_10L2,2021-06-22,L,NEUTRAL,retest,T2,245.0,2.5
2021-06-22_10L2,2021-06-22,L,NEUTRAL,closec,T1,232.5,4.75
2021-06-22_10L2,2021-06-22,L,NEUTRAL,closec,T2,470.0,4.75
2021-06-22_10L2,2021-06-22,L,NEUTRAL,bemove,T2,370.0,3.75
2021-06-22_10L2,2021-06-22,L,NEUTRAL,tstop12,T1,182.5,3.75
2021-06-22_10L2,2021-06-22,L,NEUTRAL,tstop12,T2,370.0,3.75
2021-06-22_31L2,2021-06-22,L,BULL,base,T1,145.0,3.0
2021-06-22_31L2,2021-06-22,L,BULL,base,T2,295.0,3.0
2021-06-22_31L2,2021-06-22,L,BULL,noslip,T1,132.5,2.75
2021-06-22_31L2,2021-06-22,L,BULL,noslip,T2,270.0,2.75
2021-06-22_31L2,2021-06-22,L,BULL,retest,T1,82.5,1.75
2021-06-22_31L2,2021-06-22,L,BULL,retest,T2,170.0,1.75
2021-06-22_31L2,2021-06-22,L,BULL,closec,T1,170.0,3.5
2021-06-22_31L2,2021-06-22,L,BULL,closec,T2,345.0,3.5
2021-06-22_31L2,2021-06-22,L,BULL,bemove,T2,-5.0,3.0
2021-06-22_31L2,2021-06-22,L,BULL,tstop12,T1,7.5,3.0
2021-06-22_31L2,2021-06-22,L,BULL,tstop12,T2,7.5,3.0
2021-06-22_66L2,2021-06-22,L,BULL,base,T1,207.5,4.25
2021-06-22_66L2,2021-06-22,L,BULL,base,T2,420.0,4.25
2021-06-22_66L2,2021-06-22,L,BULL,noslip,T1,195.0,4.0
2021-06-22_66L2,2021-06-22,L,BULL,noslip,T2,395.0,4.0
2021-06-22_66L2,2021-06-22,L,BULL,retest,T1,145.0,3.0
2021-06-22_66L2,2021-06-22,L,BULL,retest,T2,-155.0,3.0
2021-06-22_66L2,2021-06-22,L,BULL,closec,T1,207.5,4.25
2021-06-22_66L2,2021-06-22,L,BULL,closec,T2,420.0,4.25
2021-06-22_66L2,2021-06-22,L,BULL,bemove,T2,420.0,4.25
2021-06-22_66L2,2021-06-22,L,BULL,tstop12,T1,207.5,4.25
2021-06-22_66L2,2021-06-22,L,BULL,tstop12,T2,420.0,4.25
2021-06-22_81L2,2021-06-22,L,BULL,base,T1,-155.0,3.0
2021-06-22_81L2,2021-06-22,L,BULL,base,T2,-155.0,3.0
2021-06-22_81L2,2021-06-22,L,BULL,noslip,T1,-142.5,2.75
2021-06-22_81L2,2021-06-22,L,BULL,noslip,T2,-142.5,2.75
2021-06-22_81L2,2021-06-22,L,BULL,bemove,T2,-17.5,3.0
2021-06-22_81L2,2021-06-22,L,BULL,tstop12,T1,-17.5,3.0
2021-06-22_81L2,2021-06-22,L,BULL,tstop12,T2,-17.5,3.0
2021-06-23_11S2,2021-06-23,S,NEUTRAL,base,T1,157.5,3.25
2021-06-23_11S2,2021-06-23,S,NEUTRAL,base,T2,320.0,3.25
2021-06-23_11S2,2021-06-23,S,NEUTRAL,noslip,T1,145.0,3.0
2021-06-23_11S2,2021-06-23,S,NEUTRAL,noslip,T2,295.0,3.0
2021-06-23_11S2,2021-06-23,S,NEUTRAL,retest,T1,95.0,2.0
2021-06-23_11S2,2021-06-23,S,NEUTRAL,retest,T2,195.0,2.0
2021-06-23_11S2,2021-06-23,S,NEUTRAL,bemove,T2,-5.0,3.25
2021-06-23_11S2,2021-06-23,S,NEUTRAL,tstop12,T1,157.5,3.25
2021-06-23_11S2,2021-06-23,S,NEUTRAL,tstop12,T2,320.0,3.25
2021-06-23_57L2,2021-06-23,L,NEUTRAL,base,T1,-130.0,2.5
2021-06-23_57L2,2021-06-23,L,NEUTRAL,base,T2,-130.0,2.5
2021-06-23_57L2,2021-06-23,L,NEUTRAL,noslip,T1,-117.5,2.25
2021-06-23_57L2,2021-06-23,L,NEUTRAL,noslip,T2,-117.5,2.25
2021-06-23_57L2,2021-06-23,L,NEUTRAL,retest,T1,-67.5,1.25
2021-06-23_57L2,2021-06-23,L,NEUTRAL,retest,T2,-67.5,1.25
2021-06-23_57L2,2021-06-23,L,NEUTRAL,bemove,T2,-130.0,2.5
2021-06-23_57L2,2021-06-23,L,NEUTRAL,tstop12,T1,-130.0,2.5
2021-06-23_57L2,2021-06-23,L,NEUTRAL,tstop12,T2,-130.0,2.5
2021-06-24_8L2,2021-06-24,L,NEUTRAL,base,T1,-217.5,4.25
2021-06-24_8L2,2021-06-24,L,NEUTRAL,base,T2,-217.5,4.25
2021-06-24_8L2,2021-06-24,L,NEUTRAL,noslip,T1,195.0,4.0
2021-06-24_8L2,2021-06-24,L,NEUTRAL,noslip,T2,-205.0,4.0
2021-06-24_8L2,2021-06-24,L,NEUTRAL,retest,T1,145.0,3.0
2021-06-24_8L2,2021-06-24,L,NEUTRAL,retest,T2,-155.0,3.0
2021-06-24_8L2,2021-06-24,L,NEUTRAL,bemove,T2,-217.5,4.25
2021-06-24_8L2,2021-06-24,L,NEUTRAL,tstop12,T1,-5.0,4.25
2021-06-24_8L2,2021-06-24,L,NEUTRAL,tstop12,T2,-5.0,4.25
2021-06-24_19L2,2021-06-24,L,BULL,base,T1,-130.0,2.5
2021-06-24_19L2,2021-06-24,L,BULL,base,T2,-130.0,2.5
2021-06-24_19L2,2021-06-24,L,BULL,noslip,T1,-117.5,2.25
2021-06-24_19L2,2021-06-24,L,BULL,noslip,T2,-117.5,2.25
2021-06-24_19L2,2021-06-24,L,BULL,retest,T1,57.5,1.25
2021-06-24_19L2,2021-06-24,L,BULL,retest,T2,-67.5,1.25
2021-06-24_19L2,2021-06-24,L,BULL,bemove,T2,-130.0,2.5
2021-06-24_19L2,2021-06-24,L,BULL,tstop12,T1,-130.0,2.5
2021-06-24_19L2,2021-06-24,L,BULL,tstop12,T2,-130.0,2.5
2021-06-24_30S2,2021-06-24,S,NEUTRAL,base,T1,-167.5,3.25
2021-06-24_30S2,2021-06-24,S,NEUTRAL,base,T2,-167.5,3.25
2021-06-24_30S2,2021-06-24,S,NEUTRAL,noslip,T1,-155.0,3.0
2021-06-24_30S2,2021-06-24,S,NEUTRAL,noslip,T2,-155.0,3.0
2021-06-24_30S2,2021-06-24,S,NEUTRAL,retest,T1,-105.0,2.0
2021-06-24_30S2,2021-06-24,S,NEUTRAL,retest,T2,-105.0,2.0
2021-06-24_30S2,2021-06-24,S,NEUTRAL,bemove,T2,-167.5,3.25
2021-06-24_30S2,2021-06-24,S,NEUTRAL,tstop12,T1,-167.5,3.25
2021-06-24_30S2,2021-06-24,S,NEUTRAL,tstop12,T2,-167.5,3.25
2021-06-24_52S2,2021-06-24,S,NEUTRAL,base,T1,-105.0,2.0
2021-06-24_52S2,2021-06-24,S,NEUTRAL,base,T2,-105.0,2.0
2021-06-24_52S2,2021-06-24,S,NEUTRAL,noslip,T1,82.5,1.75
2021-06-24_52S2,2021-06-24,S,NEUTRAL,noslip,T2,-92.5,1.75
2021-06-24_52S2,2021-06-24,S,NEUTRAL,retest,T1,-42.5,0.75
2021-06-24_52S2,2021-06-24,S,NEUTRAL,retest,T2,-42.5,0.75
2021-06-24_52S2,2021-06-24,S,NEUTRAL,closec,T1,-130.0,2.5
2021-06-24_52S2,2021-06-24,S,NEUTRAL,closec,T2,-130.0,2.5
2021-06-24_52S2,2021-06-24,S,NEUTRAL,bemove,T2,-105.0,2.0
2021-06-24_52S2,2021-06-24,S,NEUTRAL,tstop12,T1,-105.0,2.0
2021-06-24_52S2,2021-06-24,S,NEUTRAL,tstop12,T2,-105.0,2.0
2021-06-24_63S2,2021-06-24,S,BULL,base,T1,82.5,1.75
2021-06-24_63S2,2021-06-24,S,BULL,base,T2,170.0,1.75
2021-06-24_63S2,2021-06-24,S,BULL,noslip,T1,70.0,1.5
2021-06-24_63S2,2021-06-24,S,BULL,noslip,T2,145.0,1.5
2021-06-24_63S2,2021-06-24,S,BULL,retest,T1,20.0,0.5
2021-06-24_63S2,2021-06-24,S,BULL,retest,T2,45.0,0.5
2021-06-24_63S2,2021-06-24,S,BULL,bemove,T2,-5.0,1.75
2021-06-24_63S2,2021-06-24,S,BULL,tstop12,T1,82.5,1.75
2021-06-24_63S2,2021-06-24,S,BULL,tstop12,T2,170.0,1.75
2021-06-25_23L2,2021-06-25,L,BULL,base,T1,-105.0,2.0
2021-06-25_23L2,2021-06-25,L,BULL,base,T2,-105.0,2.0
2021-06-25_23L2,2021-06-25,L,BULL,noslip,T1,-92.5,1.75
2021-06-25_23L2,2021-06-25,L,BULL,noslip,T2,-92.5,1.75
2021-06-25_23L2,2021-06-25,L,BULL,retest,T1,32.5,0.75
2021-06-25_23L2,2021-06-25,L,BULL,retest,T2,70.0,0.75
2021-06-25_23L2,2021-06-25,L,BULL,bemove,T2,-105.0,2.0
2021-06-25_23L2,2021-06-25,L,BULL,tstop12,T1,57.5,2.0
2021-06-25_23L2,2021-06-25,L,BULL,tstop12,T2,57.5,2.0
2021-06-25_77L2,2021-06-25,L,BULL,base,T1,120.0,2.5
2021-06-25_77L2,2021-06-25,L,BULL,base,T2,-130.0,2.5
2021-06-25_77L2,2021-06-25,L,BULL,noslip,T1,107.5,2.25
2021-06-25_77L2,2021-06-25,L,BULL,noslip,T2,220.0,2.25
2021-06-25_77L2,2021-06-25,L,BULL,retest,T1,57.5,1.25
2021-06-25_77L2,2021-06-25,L,BULL,retest,T2,120.0,1.25
2021-06-25_77L2,2021-06-25,L,BULL,bemove,T2,-5.0,2.5
2021-06-25_77L2,2021-06-25,L,BULL,tstop12,T1,120.0,2.5
2021-06-25_77L2,2021-06-25,L,BULL,tstop12,T2,-130.0,2.5
2021-06-28_13L2,2021-06-28,L,BULL,base,T1,-117.5,2.25
2021-06-28_13L2,2021-06-28,L,BULL,base,T2,-117.5,2.25
2021-06-28_13L2,2021-06-28,L,BULL,noslip,T1,-105.0,2.0
2021-06-28_13L2,2021-06-28,L,BULL,noslip,T2,-105.0,2.0
2021-06-28_13L2,2021-06-28,L,BULL,retest,T1,-55.0,1.0
2021-06-28_13L2,2021-06-28,L,BULL,retest,T2,-55.0,1.0
2021-06-28_13L2,2021-06-28,L,BULL,bemove,T2,-117.5,2.25
2021-06-28_13L2,2021-06-28,L,BULL,tstop12,T1,-117.5,2.25
2021-06-28_13L2,2021-06-28,L,BULL,tstop12,T2,-117.5,2.25
2021-06-28_37S2,2021-06-28,S,BEAR,base,T1,145.0,3.0
2021-06-28_37S2,2021-06-28,S,BEAR,base,T2,-155.0,3.0
2021-06-28_37S2,2021-06-28,S,BEAR,noslip,T1,132.5,2.75
2021-06-28_37S2,2021-06-28,S,BEAR,noslip,T2,-142.5,2.75
2021-06-28_37S2,2021-06-28,S,BEAR,retest,T1,82.5,1.75
2021-06-28_37S2,2021-06-28,S,BEAR,retest,T2,170.0,1.75
2021-06-28_37S2,2021-06-28,S,BEAR,bemove,T2,-5.0,3.0
2021-06-28_37S2,2021-06-28,S,BEAR,tstop12,T1,145.0,3.0
2021-06-28_37S2,2021-06-28,S,BEAR,tstop12,T2,145.0,3.0
2021-06-28_61L2,2021-06-28,L,BULL,base,T1,95.0,2.0
2021-06-28_61L2,2021-06-28,L,BULL,base,T2,195.0,2.0
2021-06-28_61L2,2021-06-28,L,BULL,noslip,T1,82.5,1.75
2021-06-28_61L2,2021-06-28,L,BULL,noslip,T2,170.0,1.75
2021-06-28_61L2,2021-06-28,L,BULL,retest,T1,32.5,0.75
2021-06-28_61L2,2021-06-28,L,BULL,retest,T2,70.0,0.75
2021-06-28_61L2,2021-06-28,L,BULL,closec,T1,82.5,1.75
2021-06-28_61L2,2021-06-28,L,BULL,closec,T2,170.0,1.75
2021-06-28_61L2,2021-06-28,L,BULL,bemove,T2,-5.0,2.0
2021-06-28_61L2,2021-06-28,L,BULL,tstop12,T1,95.0,2.0
2021-06-28_61L2,2021-06-28,L,BULL,tstop12,T2,195.0,2.0
2021-06-29_9S2,2021-06-29,S,NEUTRAL,base,T1,-117.5,2.25
2021-06-29_9S2,2021-06-29,S,NEUTRAL,base,T2,-117.5,2.25
2021-06-29_9S2,2021-06-29,S,NEUTRAL,noslip,T1,-105.0,2.0
2021-06-29_9S2,2021-06-29,S,NEUTRAL,noslip,T2,-105.0,2.0
2021-06-29_9S2,2021-06-29,S,NEUTRAL,retest,T1,45.0,1.0
2021-06-29_9S2,2021-06-29,S,NEUTRAL,retest,T2,95.0,1.0
2021-06-29_9S2,2021-06-29,S,NEUTRAL,bemove,T2,-117.5,2.25
2021-06-29_9S2,2021-06-29,S,NEUTRAL,tstop12,T1,-117.5,2.25
2021-06-29_9S2,2021-06-29,S,NEUTRAL,tstop12,T2,-117.5,2.25
2021-06-29_73S2,2021-06-29,S,BULL,base,T1,-92.5,1.75
2021-06-29_73S2,2021-06-29,S,BULL,base,T2,-92.5,1.75
2021-06-29_73S2,2021-06-29,S,BULL,noslip,T1,70.0,1.5
2021-06-29_73S2,2021-06-29,S,BULL,noslip,T2,-80.0,1.5
2021-06-29_73S2,2021-06-29,S,BULL,retest,T1,20.0,0.5
2021-06-29_73S2,2021-06-29,S,BULL,retest,T2,45.0,0.5
2021-06-29_73S2,2021-06-29,S,BULL,bemove,T2,-92.5,1.75
2021-06-29_73S2,2021-06-29,S,BULL,tstop12,T1,-92.5,1.75
2021-06-29_73S2,2021-06-29,S,BULL,tstop12,T2,-92.5,1.75
2021-06-30_20S2,2021-06-30,S,BULL,base,T1,182.5,3.75
2021-06-30_20S2,2021-06-30,S,BULL,base,T2,-192.5,3.75
2021-06-30_20S2,2021-06-30,S,BULL,noslip,T1,170.0,3.5
2021-06-30_20S2,2021-06-30,S,BULL,noslip,T2,-180.0,3.5
2021-06-30_20S2,2021-06-30,S,BULL,retest,T1,120.0,2.5
2021-06-30_20S2,2021-06-30,S,BULL,retest,T2,245.0,2.5
2021-06-30_20S2,2021-06-30,S,BULL,bemove,T2,-5.0,3.75
2021-06-30_20S2,2021-06-30,S,BULL,tstop12,T1,70.0,3.75
2021-06-30_20S2,2021-06-30,S,BULL,tstop12,T2,70.0,3.75
2021-06-30_54S2,2021-06-30,S,BEAR,base,T1,-92.5,1.75
2021-06-30_54S2,2021-06-30,S,BEAR,base,T2,-92.5,1.75
2021-06-30_54S2,2021-06-30,S,BEAR,noslip,T1,-80.0,1.5
2021-06-30_54S2,2021-06-30,S,BEAR,noslip,T2,-80.0,1.5
2021-06-30_54S2,2021-06-30,S,BEAR,retest,T1,20.0,0.5
2021-06-30_54S2,2021-06-30,S,BEAR,retest,T2,-30.0,0.5
2021-06-30_54S2,2021-06-30,S,BEAR,bemove,T2,-92.5,1.75
2021-06-30_54S2,2021-06-30,S,BEAR,tstop12,T1,-92.5,1.75
2021-06-30_54S2,2021-06-30,S,BEAR,tstop12,T2,-92.5,1.75
2021-06-30_68L2,2021-06-30,L,NEUTRAL,base,T1,95.0,2.0
2021-06-30_68L2,2021-06-30,L,NEUTRAL,base,T2,195.0,2.0
2021-06-30_68L2,2021-06-30,L,NEUTRAL,noslip,T1,82.5,1.75
2021-06-30_68L2,2021-06-30,L,NEUTRAL,noslip,T2,170.0,1.75
2021-06-30_68L2,2021-06-30,L,NEUTRAL,retest,T1,32.5,0.75
2021-06-30_68L2,2021-06-30,L,NEUTRAL,retest,T2,70.0,0.75
2021-06-30_68L2,2021-06-30,L,NEUTRAL,bemove,T2,-5.0,2.0
2021-06-30_68L2,2021-06-30,L,NEUTRAL,tstop12,T1,95.0,2.0
2021-06-30_68L2,2021-06-30,L,NEUTRAL,tstop12,T2,195.0,2.0
2021-07-01_8L2,2021-07-01,L,BULL,base,T1,-242.5,4.75
2021-07-01_8L2,2021-07-01,L,BULL,base,T2,-242.5,4.75
2021-07-01_8L2,2021-07-01,L,BULL,noslip,T1,-230.0,4.5
2021-07-01_8L2,2021-07-01,L,BULL,noslip,T2,-230.0,4.5
2021-07-01_8L2,2021-07-01,L,BULL,retest,T1,170.0,3.5
2021-07-01_8L2,2021-07-01,L,BULL,retest,T2,-180.0,3.5
2021-07-01_8L2,2021-07-01,L,BULL,closec,T1,-267.5,5.25
2021-07-01_8L2,2021-07-01,L,BULL,closec,T2,-267.5,5.25
2021-07-01_8L2,2021-07-01,L,BULL,bemove,T2,-242.5,4.75
2021-07-01_8L2,2021-07-01,L,BULL,tstop12,T1,57.5,4.75
2021-07-01_8L2,2021-07-01,L,BULL,tstop12,T2,57.5,4.75
2021-07-01_16L2,2021-07-01,L,BULL,base,T1,-155.0,3.0
2021-07-01_16L2,2021-07-01,L,BULL,base,T2,-155.0,3.0
2021-07-01_16L2,2021-07-01,L,BULL,noslip,T1,-142.5,2.75
2021-07-01_16L2,2021-07-01,L,BULL,noslip,T2,-142.5,2.75
2021-07-01_16L2,2021-07-01,L,BULL,retest,T1,82.5,1.75
2021-07-01_16L2,2021-07-01,L,BULL,retest,T2,-92.5,1.75
