dir,regime,with_trend,net,adr,hold,wide,mae_pts,eod_move,fill_hour,entry_px,Date,yr,gap,vix_prev,sma20,above
L,BULL,True,-280.0,17.77,18,5.25,21.0,-10.5,9,1690.0,2010-07-06,2010,1.154,30.12,1726.4,False
S,BEAR,True,-305.0,18.85,50,5.75,6.5,-5.5,11,1726.25,2010-07-12,2010,0.072,24.98,1723.525,True
L,BULL,True,-280.0,17.35,14,5.25,9.5,-2.0,11,1748.5,2010-07-14,2010,0.1,24.56,1722.05,True
S,BEAR,True,-267.5,16.48,35,5.0,12.5,-7.25,10,1738.5,2010-07-15,2010,0.014,24.89,1721.1125,True
L,BULL,True,1020.0,18.05,66,5.5,0.75,20.75,9,1715.25,2010-07-20,2010,0.625,25.97,1715.3625,False
L,BULL,True,407.5,18.05,15,5.5,0.75,8.5,13,1727.5,2010-07-20,2010,0.625,25.97,1715.3625,True
S,BEAR,True,707.5,18.32,51,5.5,3.25,14.5,10,1733.75,2010-07-21,2010,0.259,23.93,1714.875,True
L,BULL,True,-117.5,17.27,55,5.25,5.0,-2.0,10,1746.0,2010-07-22,2010,0.843,25.64,1713.7125,True
L,BULL,True,170.0,17.48,22,5.25,3.75,3.75,13,1752.75,2010-07-23,2010,0.072,24.63,1714.625,True
S,BEAR,True,-30.0,18.48,48,5.5,2.0,-0.25,11,1766.5,2010-07-27,2010,0.411,22.73,1717.8875,True
S,BEAR,True,-292.5,18.5,10,5.5,11.0,-3.25,11,1749.0,2010-07-29,2010,0.427,24.25,1725.6,True
L,BULL,True,232.5,19.0,55,5.75,5.0,5.0,10,1750.75,2010-07-30,2010,0.585,24.13,1729.3375,True
L,BULL,True,132.5,16.32,37,5.0,2.5,3.0,12,1777.25,2010-08-04,2010,0.113,22.63,1743.825,True
S,BEAR,True,-192.5,14.85,54,4.5,3.75,-3.5,10,1775.75,2010-08-05,2010,0.421,22.21,1747.1,True
L,BULL,True,-217.5,13.38,21,4.0,5.5,-5.25,13,1736.5,2010-08-13,2010,0.115,25.73,1755.425,False
L,BULL,True,-217.5,12.97,23,4.0,10.0,-10.0,13,1751.5,2010-08-18,2010,0.057,24.33,1757.125,False
S,BEAR,True,220.0,13.47,58,4.0,2.25,4.75,10,1731.25,2010-08-19,2010,0.029,24.59,1758.2375,False
S,BEAR,True,-217.5,13.47,35,4.0,7.0,0.0,11,1726.5,2010-08-19,2010,0.029,24.59,1758.2375,False
S,BEAR,True,-242.5,14.72,22,4.5,6.25,-5.75,11,1720.75,2010-08-20,2010,0.043,26.44,1757.3625,False
S,BEAR,True,245.0,14.03,48,4.25,3.25,5.25,11,1726.25,2010-08-23,2010,0.217,25.49,1755.8625,False
S,BEAR,True,607.5,17.07,42,5.0,1.75,12.5,11,1712.75,2010-08-30,2010,0.218,24.45,1743.8125,False
S,BEAR,True,520.0,17.07,20,5.0,0.75,10.75,13,1711.0,2010-08-30,2010,0.218,24.45,1743.8125,False
S,BEAR,True,-55.0,17.52,25,5.25,1.25,-0.75,13,1707.25,2010-08-31,2010,0.074,27.21,1739.975,False
L,BULL,True,70.0,17.2,18,5.25,2.5,1.75,13,1757.0,2010-09-03,2010,0.559,23.19,1732.8625,True
L,BULL,True,-42.5,15.5,30,4.75,4.5,-0.5,12,1755.25,2010-09-08,2010,0.086,23.8,1729.5625,True
L,BULL,True,107.5,13.88,53,4.25,2.75,2.5,10,1762.5,2010-09-10,2010,0.171,22.81,1731.4625,True
S,BEAR,True,-192.5,11.9,28,3.5,4.5,-2.5,12,1768.75,2010-09-13,2010,0.297,21.99,1733.15,True
S,BEAR,True,-180.0,10.82,12,3.25,3.25,2.75,13,1773.5,2010-09-14,2010,0.099,21.21,1735.075,True
S,BEAR,True,-5.0,11.6,48,3.5,2.5,0.25,11,1785.25,2010-09-22,2010,0.07,22.35,1750.8125,True
L,BULL,True,-192.5,11.85,30,3.5,11.5,-8.25,11,1783.75,2010-09-23,2010,0.532,22.51,1754.525,True
L,BULL,True,132.5,12.78,37,3.75,2.25,3.0,12,1793.75,2010-09-28,2010,0.112,22.54,1766.8375,True
S,BEAR,True,-217.5,13.43,9,4.0,6.25,-2.75,10,1793.25,2010-09-29,2010,0.125,22.6,1771.275,True
L,BULL,True,-217.5,13.43,26,4.0,5.5,-0.5,12,1796.5,2010-09-29,2010,0.125,22.6,1771.275,True
S,BEAR,True,-230.0,14.4,40,4.25,4.75,-4.25,11,1785.25,2010-10-04,2010,0.181,22.5,1778.3625,True
L,BULL,True,245.0,14.2,58,4.25,0.25,5.25,10,1804.75,2010-10-05,2010,0.489,23.53,1779.8375,True
S,BEAR,True,-30.0,14.5,61,4.25,2.25,-0.25,10,1810.75,2010-10-06,2010,0.028,21.76,1783.0,True
S,BEAR,True,-192.5,13.95,24,4.25,4.0,-3.5,13,1808.25,2010-10-07,2010,0.235,21.49,1785.8125,True
L,BULL,True,232.5,13.8,74,4.25,4.0,5.0,9,1810.5,2010-10-08,2010,0.041,21.56,1788.4875,True
L,BULL,True,157.5,13.28,61,4.0,1.75,3.5,10,1830.25,2010-10-18,2010,0.123,19.03,1803.775,True
L,BULL,True,-105.0,12.9,36,3.75,3.5,-1.75,12,1831.75,2010-10-20,2010,0.041,20.63,1807.35,True
L,BULL,True,-217.5,13.72,3,4.0,17.25,-8.75,10,1839.5,2010-10-21,2010,0.232,19.79,1809.6,True
S,BEAR,True,-217.5,13.72,6,4.0,5.0,-3.25,13,1827.5,2010-10-21,2010,0.232,19.79,1809.6,True
S,BEAR,True,207.5,13.62,56,4.0,0.5,4.5,10,1842.75,2010-10-25,2010,0.3,18.78,1814.275,True
S,BEAR,True,57.5,13.62,37,4.0,3.5,1.5,12,1839.75,2010-10-25,2010,0.3,18.78,1814.275,True
L,BULL,True,95.0,14.07,41,4.25,3.25,2.25,11,1836.0,2010-10-26,2010,0.367,19.85,1816.55,True
S,BEAR,True,-217.5,13.32,43,4.0,7.75,-6.25,10,1827.75,2010-10-27,2010,0.49,20.22,1818.625,True
S,BEAR,True,-217.5,13.43,2,4.0,6.25,-3.0,12,1831.0,2010-10-28,2010,0.368,20.71,1820.525,True
L,BULL,True,-205.0,12.5,9,3.75,15.75,-6.5,9,1844.5,2010-11-01,2010,0.313,21.2,1824.625,True
S,BEAR,True,-205.0,12.12,15,3.75,10.5,-10.25,12,1842.5,2010-11-03,2010,0.041,21.57,1828.95,True
S,BEAR,True,357.5,11.4,37,3.5,1.25,7.5,12,1873.25,2010-11-09,2010,0.173,18.29,1840.0875,True
L,BULL,True,57.5,12.78,59,3.75,3.0,1.5,10,1851.5,2010-11-18,2010,0.587,21.76,1848.75,True
S,BEAR,True,-217.5,13.1,49,4.0,7.0,-5.75,10,1846.5,2010-11-22,2010,0.324,18.04,1850.7,False
S,BEAR,True,-217.5,13.1,9,4.0,12.0,-10.75,12,1841.5,2010-11-22,2010,0.324,18.04,1850.7,False
L,BULL,True,-230.0,13.97,14,4.25,4.75,-1.75,9,1834.5,2010-11-23,2010,0.783,18.37,1851.4,False
L,BULL,True,270.0,11.9,50,3.5,0.5,5.75,11,1872.25,2010-12-02,2010,0.121,21.36,1852.9125,True
S,BEAR,True,-205.0,12.55,60,3.75,7.5,-5.75,9,1873.0,2010-12-03,2010,0.346,19.39,1853.1375,True
S,BEAR,True,95.0,10.03,32,3.0,0.75,2.25,12,1893.0,2010-12-15,2010,0.132,17.61,1863.5125,True
S,BEAR,True,-117.5,6.38,3,2.0,3.5,-2.5,13,1921.5,2011-01-04,2011,0.247,17.61,1901.075,True
S,BEAR,True,-130.0,7.67,15,2.25,5.5,-3.75,12,1922.0,2011-01-07,2011,0.104,17.4,1908.2875,True
S,BEAR,True,120.0,9.45,33,2.75,1.0,2.75,12,1940.5,2011-01-19,2011,0.243,15.87,1925.6875,True
L,BULL,True,107.5,9.78,29,3.0,0.25,2.5,12,1931.75,2011-01-20,2011,0.181,17.31,1927.125,True
L,BULL,True,107.5,11.68,24,3.5,2.75,2.5,13,1938.75,2011-01-31,2011,0.311,20.04,1937.525,True
S,BEAR,True,-205.0,12.15,7,3.75,9.0,-6.5,10,1955.25,2011-02-03,2011,0.077,17.3,1941.6625,True
L,BULL,True,-155.0,9.57,2,2.75,21.25,-17.5,9,1990.0,2011-02-22,2011,0.176,16.43,1970.675,True
S,BEAR,True,70.0,9.57,21,2.75,1.75,1.75,13,1974.25,2011-02-22,2011,0.176,16.43,1970.675,True
S,BEAR,True,-192.5,11.95,20,3.5,8.5,-2.25,11,1958.5,2011-02-24,2011,0.038,22.13,1972.6,False
S,BEAR,True,-192.5,11.97,15,3.5,7.25,-4.75,13,1980.25,2011-02-28,2011,0.253,19.22,1975.3375,True
S,BEAR,True,720.0,12.28,42,3.75,1.0,14.75,11,1974.25,2011-03-01,2011,0.252,18.35,1977.525,False
S,BEAR,True,157.5,14.88,40,4.5,2.75,3.5,11,1968.0,2011-03-02,2011,0.102,21.01,1977.4625,False
L,BULL,True,-167.5,17.68,37,5.25,3.25,-3.0,12,1976.75,2011-03-09,2011,0.088,19.82,1979.275,False
L,BULL,True,257.5,16.52,36,5.0,2.5,5.5,12,1959.5,2011-03-11,2011,0.192,21.88,1977.8625,False
L,BULL,True,-105.0,16.85,44,5.0,4.25,-1.75,11,1979.0,2011-03-25,2011,0.139,18.0,1961.575,True
L,BULL,True,307.5,15.82,44,4.75,0.25,6.5,11,1976.25,2011-03-29,2011,0.114,19.44,1960.7625,True
S,BEAR,True,57.5,12.12,63,3.75,1.75,1.5,9,1998.75,2011-04-21,2011,0.238,15.07,1983.9875,True
L,BULL,True,-155.0,9.55,4,2.75,10.0,-7.0,10,2031.25,2011-05-02,2011,0.111,14.75,1993.65,True
S,BEAR,True,-167.5,9.82,5,3.0,3.5,1.5,10,2020.0,2011-05-03,2011,0.148,15.99,1995.175,True
S,BEAR,True,-167.5,9.62,46,3.0,3.5,1.0,9,2010.5,2011-05-04,2011,0.012,16.7,1996.3125,True
S,BEAR,True,-167.5,9.62,27,3.0,5.75,-1.25,11,2008.25,2011-05-04,2011,0.012,16.7,1996.3125,True
S,BEAR,True,-167.5,9.62,4,3.0,8.25,-3.75,11,2005.75,2011-05-04,2011,0.012,16.7,1996.3125,True
L,BULL,True,20.0,9.62,24,3.0,0.75,0.75,13,2008.75,2011-05-04,2011,0.012,16.7,1996.3125,True
L,BULL,True,-192.5,11.4,1,3.5,16.25,-13.0,11,2014.5,2011-05-06,2011,0.475,18.2,1997.4125,True
S,BEAR,True,145.0,11.4,29,3.5,3.0,3.25,12,2004.75,2011-05-06,2011,0.475,18.2,1997.4125,True
S,BEAR,True,-205.0,12.88,12,3.75,9.5,-5.75,9,2003.25,2011-05-09,2011,0.1,18.4,1997.7375,True
L,BULL,True,195.0,13.35,59,4.0,1.5,4.25,10,2016.0,2011-05-10,2011,0.212,17.16,1998.65,True
S,BEAR,True,32.5,14.93,35,4.5,3.25,1.0,12,2001.75,2011-05-13,2011,0.05,16.03,2003.8125,False
S,BEAR,True,-267.5,16.27,22,5.0,6.75,-4.5,11,1987.25,2011-05-17,2011,0.163,18.24,2005.3,False
L,BULL,True,70.0,16.48,23,5.0,3.75,1.75,13,2006.5,2011-05-19,2011,0.224,16.23,2008.025,False
S,BEAR,True,-255.0,15.62,15,4.75,8.5,3.25,10,1998.25,2011-05-20,2011,0.162,15.52,2008.6875,False
S,BEAR,True,-255.0,15.62,12,4.75,6.75,5.0,10,2000.0,2011-05-20,2011,0.162,15.52,2008.6875,False
S,BEAR,True,57.5,14.7,42,4.5,4.0,1.5,11,1981.25,2011-05-24,2011,0.24,18.27,2007.7625,False
L,BULL,True,-155.0,14.7,16,4.5,4.0,-2.75,13,1982.5,2011-05-24,2011,0.24,18.27,2007.7625,False
S,BEAR,True,-205.0,12.82,7,3.75,3.75,7.25,10,1959.0,2011-06-06,2011,0.0,17.95,1995.1875,False
S,BEAR,True,145.0,14.1,70,4.25,2.0,3.25,9,1941.0,2011-06-13,2011,0.155,18.86,1979.5625,False
L,BULL,True,-17.5,14.22,39,4.25,3.75,0.0,11,1944.5,2011-06-20,2011,0.207,21.85,1964.825,False
L,BULL,True,-42.5,14.12,36,4.25,1.5,-0.5,12,1959.0,2011-06-21,2011,0.309,19.99,1962.9875,False
L,BULL,True,-230.0,14.35,36,4.25,9.5,-9.5,11,1960.25,2011-06-22,2011,0.064,18.86,1961.925,False
L,BULL,True,245.0,15.57,64,4.75,2.25,5.25,9,1942.75,2011-06-27,2011,0.026,21.1,1955.0125,False
L,BULL,True,120.0,15.53,26,4.75,4.25,2.75,13,2004.75,2011-07-05,2011,0.037,15.87,1955.3375,True
L,BULL,True,-205.0,12.22,67,3.75,5.75,-4.0,9,1985.75,2011-07-12,2011,0.327,18.39,1971.2,True
S,BEAR,True,-217.5,13.35,10,4.0,8.0,-7.0,10,1978.75,2011-07-15,2011,0.253,20.8,1977.275,True
L,BULL,True,157.5,13.72,22,4.0,0.5,3.5,13,1989.25,2011-07-19,2011,0.418,20.95,1981.0625,True
L,BULL,True,232.5,14.28,58,4.25,3.25,5.0,10,2009.0,2011-07-21,2011,0.376,19.09,1984.875,True
L,BULL,True,-242.5,14.62,12,4.5,7.25,-6.75,13,2004.25,2011-07-26,2011,0.037,19.35,1994.8125,True
S,BEAR,True,1120.0,17.15,46,5.25,1.25,22.75,11,1941.5,2011-08-02,2011,0.333,23.66,1990.45,False
L,BULL,True,-305.0,18.88,3,5.75,6.25,1.5,13,1924.0,2011-08-03,2011,0.221,24.79,1986.0125,False
S,BEAR,True,-330.0,20.9,4,6.25,6.25,22.25,11,1893.25,2011-08-04,2011,0.779,23.38,1981.9375,False
S,BEAR,True,-442.5,28.2,1,8.5,10.75,45.5,10,1828.5,2011-08-08,2011,1.793,32.0,1967.125,False
L,BULL,True,-630.0,40.62,3,12.25,33.25,-23.25,13,1818.25,2011-08-10,2011,1.302,35.06,1949.8375,False
S,BEAR,True,70.0,46.95,66,14.0,8.0,1.75,9,1850.0,2011-08-12,2011,0.584,39.0,1933.45,False
L,BULL,True,182.5,46.65,31,14.0,0.75,4.0,12,1863.75,2011-08-15,2011,0.514,36.36,1926.575,False
S,BEAR,True,-455.0,44.92,32,13.5,13.0,-8.75,12,1854.5,2011-08-16,2011,0.388,31.87,1921.3875,False
L,BULL,True,507.5,28.0,53,8.5,1.0,10.5,10,1836.0,2011-08-26,2011,0.342,39.76,1855.2625,False
L,BULL,True,57.5,28.0,42,8.5,7.5,1.5,11,1845.0,2011-08-26,2011,0.342,39.76,1855.2625,False
L,BULL,True,470.0,30.77,44,9.25,0.5,9.75,11,1869.75,2011-08-29,2011,0.785,35.59,1849.4,True
L,BULL,True,-167.5,31.02,45,9.25,6.0,-3.0,11,1879.0,2011-08-30,2011,0.306,32.28,1845.825,True
S,BEAR,True,220.0,30.85,21,9.25,4.25,4.75,13,1877.25,2011-09-01,2011,0.079,31.62,1841.925,True
L,BULL,True,670.0,27.35,38,8.25,0.25,13.75,12,1822.0,2011-09-06,2011,0.413,33.92,1842.3,False
L,BULL,True,795.0,26.1,66,7.75,1.75,16.25,9,1854.25,2011-09-07,2011,0.94,37.0,1841.95,True
S,BEAR,True,70.0,25.98,16,7.75,2.25,1.75,13,1859.5,2011-09-08,2011,0.495,33.38,1845.725,True
S,BEAR,True,-267.5,24.45,49,7.25,6.0,-5.0,11,1900.25,2011-09-16,2011,0.132,31.97,1849.5125,True
L,BULL,True,457.5,24.48,43,7.25,3.0,9.5,11,1881.0,2011-09-19,2011,1.168,30.98,1855.025,True
S,BEAR,True,1945.0,24.35,70,7.25,1.25,39.25,9,1888.75,2011-09-21,2011,0.066,32.86,1862.7625,True
L,BULL,True,-417.5,26.75,9,8.0,8.0,18.75,11,1832.75,2011-09-26,2011,0.521,41.25,1861.475,False
S,BEAR,True,357.5,28.07,20,8.5,5.75,7.5,13,1850.25,2011-09-28,2011,0.107,37.71,1859.45,False
S,BEAR,True,-130.0,27.55,61,8.25,6.0,-2.25,10,1848.5,2011-09-29,2011,0.828,41.08,1857.075,False
S,BEAR,True,-30.0,27.55,35,8.25,2.0,-0.25,12,1850.5,2011-09-29,2011,0.828,41.08,1857.075,False
S,BEAR,True,-430.0,27.55,8,8.25,18.25,-16.5,13,1834.25,2011-09-29,2011,0.828,41.08,1857.075,False
S,BEAR,True,720.0,29.12,15,8.75,3.75,14.75,13,1830.5,2011-09-30,2011,1.0,38.84,1855.9875,False
L,BULL,True,495.0,35.92,54,10.75,7.0,10.25,10,1818.25,2011-10-05,2011,0.332,40.82,1851.5,False
L,BULL,True,-492.5,31.95,28,9.5,13.5,-12.75,12,1903.5,2011-10-12,2011,0.584,32.86,1853.0125,True
L,BULL,True,1170.0,24.48,58,7.25,2.5,23.75,10,1892.75,2011-10-18,2011,0.053,33.39,1853.7125,True
L,BULL,True,-355.0,22.85,4,6.75,14.5,2.0,9,1900.5,2011-10-20,2011,0.092,34.44,1857.625,True
L,BULL,True,232.5,22.85,23,6.75,0.25,5.0,13,1897.5,2011-10-20,2011,0.092,34.44,1857.625,True
L,BULL,True,-342.5,22.0,24,6.5,9.5,3.5,10,1924.75,2011-10-21,2011,0.867,34.78,1861.8375,True
S,BEAR,True,-342.5,21.73,26,6.5,19.75,-15.25,10,1916.25,2011-10-26,2011,0.651,32.22,1874.275,True
L,BULL,True,457.5,22.38,40,6.75,1.5,9.5,11,1967.25,2011-10-27,2011,1.709,29.86,1878.7125,True
L,BULL,True,-367.5,23.1,5,7.0,13.75,-1.0,13,1918.5,2011-11-01,2011,1.637,29.96,1900.9875,True
L,BULL,True,132.5,20.02,18,6.0,1.25,3.0,13,1945.75,2011-11-03,2011,0.661,32.74,1911.4625,True
S,BEAR,True,-330.0,20.65,25,6.25,13.25,-10.75,10,1933.5,2011-11-04,2011,0.436,30.5,1916.325,True
L,BULL,True,-330.0,20.65,8,6.25,6.25,1.0,13,1943.25,2011-11-04,2011,0.436,30.5,1916.325,True
L,BULL,True,232.5,21.57,15,6.5,1.5,5.0,13,1961.75,2011-11-08,2011,0.333,29.85,1924.3625,True
L,BULL,True,-342.5,21.77,15,6.5,23.75,-20.75,11,1940.0,2011-11-09,2011,1.513,27.48,1928.5375,True
S,BEAR,True,157.5,21.77,16,6.5,4.25,3.5,13,1922.75,2011-11-09,2011,1.513,27.48,1928.5375,False
L,BULL,True,-342.5,21.82,12,6.5,6.5,-0.75,13,1932.0,2011-11-10,2011,0.873,36.16,1929.9625,True
L,BULL,True,-42.5,20.93,56,6.25,4.25,-0.5,10,1955.75,2011-11-11,2011,0.777,32.81,1931.9625,True
S,BEAR,True,120.0,21.07,63,6.25,2.5,2.75,9,1948.25,2011-11-14,2011,0.281,30.04,1934.0625,True
L,BULL,True,-180.0,20.32,23,6.0,3.75,-3.25,13,1950.5,2011-11-15,2011,0.296,31.13,1936.9375,True
L,BULL,True,-317.5,20.38,7,6.0,23.75,-23.25,13,1947.75,2011-11-16,2011,0.565,31.22,1938.475,True
L,BULL,True,-342.5,21.45,23,6.5,23.75,-15.25,9,1923.75,2011-11-17,2011,0.078,33.51,1939.675,False
S,BEAR,True,207.5,21.48,57,6.5,2.25,4.5,10,1911.5,2011-11-18,2011,0.223,34.51,1939.975,False
S,BEAR,True,32.5,21.48,35,6.5,5.75,1.0,12,1908.0,2011-11-18,2011,0.223,34.51,1939.975,False
S,BEAR,True,-330.0,20.9,64,6.25,6.5,-0.5,9,1883.75,2011-11-21,2011,0.918,32.0,1938.9125,False
S,BEAR,True,-330.0,20.9,18,6.25,11.0,-5.0,11,1879.25,2011-11-21,2011,0.918,32.0,1938.9125,False
S,BEAR,True,-330.0,20.43,37,6.25,6.75,6.25,9,1882.0,2011-11-22,2011,0.146,32.91,1936.0875,False
S,BEAR,True,-317.5,19.65,49,6.0,6.25,3.25,10,1857.25,2011-11-23,2011,0.4,31.97,1933.925,False
L,BULL,True,-292.5,18.45,35,5.5,6.5,-2.75,10,1892.0,2011-11-29,2011,0.186,32.13,1914.6625,False
S,BEAR,True,257.5,15.22,47,4.5,3.0,5.5,11,1943.0,2011-12-02,2011,0.645,27.41,1913.15,True
S,BEAR,True,7.5,15.68,21,4.75,2.75,0.5,13,1949.25,2011-12-05,2011,0.968,27.52,1912.8125,True
S,BEAR,True,-255.0,16.0,19,4.75,6.0,5.25,12,1934.0,2011-12-08,2011,0.562,28.67,1913.7125,True
S,BEAR,True,-67.5,19.73,60,6.0,4.5,-1.0,10,1914.0,2011-12-15,2011,0.629,26.04,1910.875,True
S,BEAR,True,70.0,19.73,20,6.0,2.75,1.75,13,1914.75,2011-12-16,2011,0.3,25.11,1911.2,True
L,BULL,True,220.0,20.2,26,6.0,0.5,4.75,13,1934.75,2011-12-20,2011,0.96,24.92,1912.375,True
S,BEAR,True,-330.0,20.85,11,6.25,7.5,-4.25,13,1935.0,2011-12-21,2011,0.077,23.22,1915.5625,True
S,BEAR,True,120.0,16.7,46,5.0,2.0,2.75,11,1950.0,2011-12-28,2011,0.025,21.91,1934.4875,True
S,BEAR,True,-230.0,14.5,13,4.25,4.75,-0.25,12,1975.0,2012-01-03,2012,1.048,23.4,1939.4625,True
L,BULL,True,157.5,13.78,35,4.25,0.5,3.5,12,1972.75,2012-01-04,2012,0.228,22.97,1941.35,True
S,BEAR,True,32.5,11.22,32,3.25,2.0,1.0,12,1990.25,2012-01-10,2012,0.708,21.07,1947.575,True
L,BULL,True,107.5,10.82,25,3.25,1.5,2.5,13,1988.5,2012-01-11,2012,0.176,20.69,1949.375,True
S,BEAR,True,-180.0,10.93,16,3.25,6.75,-6.75,10,1988.5,2012-01-12,2012,0.176,21.05,1952.3,True
L,BULL,True,307.5,11.03,59,3.25,2.0,6.5,10,1999.25,2012-01-18,2012,0.025,22.2,1968.0125,True
S,BEAR,True,-217.5,13.55,32,4.0,5.0,-3.25,10,2007.75,2012-01-31,2012,0.335,19.4,1998.4875,True
L,BULL,True,70.0,13.03,16,4.0,0.5,1.75,13,2024.0,2012-02-02,2012,0.111,18.55,2002.625,True
L,BULL,True,57.5,13.25,30,4.0,1.25,1.5,12,2040.75,2012-02-06,2012,0.208,17.1,2008.375,True
L,BULL,True,170.0,10.45,44,3.25,1.0,3.75,11,2048.75,2012-02-13,2012,0.416,20.79,2022.7875,True
L,BULL,True,-67.5,9.95,19,3.0,2.75,-1.0,13,2059.75,2012-02-22,2012,0.121,18.19,2040.45,True
S,BEAR,True,-5.0,10.18,23,3.0,2.25,0.25,13,2071.75,2012-03-02,2012,0.132,17.26,2057.925,True
S,BEAR,True,157.5,10.95,62,3.25,1.5,3.5,10,2048.0,2012-03-06,2012,0.762,18.05,2060.625,False
L,BULL,True,-180.0,11.03,41,3.25,4.0,-0.75,10,2075.75,2012-03-09,2012,0.085,17.95,2061.65,True
S,BEAR,True,-180.0,11.22,64,3.25,3.25,-2.75,9,2072.0,2012-03-12,2012,0.096,17.11,2063.2375,True
L,BULL,True,-67.5,10.32,16,3.0,2.75,-1.0,13,2107.0,2012-03-21,2012,0.024,15.58,2078.2375,True
S,BEAR,True,-130.0,10.07,50,3.0,2.5,-2.25,11,2095.0,2012-03-22,2012,0.51,15.13,2080.6,True
L,BULL,True,157.5,9.8,27,3.0,0.5,3.5,12,2099.0,2012-03-23,2012,0.036,15.57,2082.15,True
S,BEAR,True,-180.0,10.53,20,3.25,11.0,-9.25,11,2097.0,2012-03-29,2012,0.379,15.47,2090.7625,True
S,BEAR,True,107.5,12.85,16,3.75,1.75,2.5,13,2101.0,2012-04-05,2012,0.202,16.44,2102.775,False
L,BULL,True,-242.5,15.1,40,4.5,5.0,1.75,10,2076.5,2012-04-24,2012,0.048,18.97,2093.7625,False
S,BEAR,True,-192.5,11.72,5,3.5,8.0,-6.0,9,2099.75,2012-05-02,2012,0.308,16.6,2089.4,True
L,BULL,True,57.5,11.72,35,3.5,1.25,1.5,12,2104.25,2012-05-02,2012,0.308,16.6,2089.4,True
L,BULL,True,-42.5,13.45,45,4.0,3.0,-0.5,11,2059.75,2012-05-09,2012,0.629,19.05,2086.775,False
L,BULL,True,-242.5,14.85,25,4.5,7.75,-2.0,12,2067.5,2012-05-10,2012,0.498,20.08,2086.1125,False
S,BEAR,True,-242.5,15.28,10,4.5,9.5,1.0,9,2043.5,2012-05-14,2012,0.607,19.89,2083.925,False
L,BULL,True,-255.0,15.7,11,4.75,15.0,-12.0,11,2048.75,2012-05-15,2012,0.024,21.87,2082.45,False
L,BULL,True,532.5,17.12,54,5.25,0.5,11.0,10,2013.0,2012-05-21,2012,0.275,25.1,2069.1125,False
L,BULL,True,-292.5,18.25,6,5.5,16.75,-9.25,10,2032.5,2012-05-22,2012,0.074,22.01,2066.7625,False
S,BEAR,True,-292.5,18.65,41,5.5,10.0,-9.5,11,2021.75,2012-05-24,2012,0.222,22.33,2060.4375,False
S,BEAR,True,-280.0,17.6,35,5.25,10.5,-9.75,11,2032.0,2012-05-29,2012,0.222,21.76,2048.875,False
L,BULL,True,-192.5,16.65,31,5.0,3.75,-3.5,12,2017.75,2012-05-31,2012,0.136,24.14,2041.075,False
S,BEAR,True,270.0,16.43,22,5.0,2.75,5.75,13,1987.75,2012-06-01,2012,0.881,24.06,2037.075,False
L,BULL,True,670.0,15.25,51,4.5,1.0,13.75,10,2023.75,2012-06-08,2012,0.247,21.72,2020.5,True
L,BULL,True,-317.5,19.9,11,6.0,14.25,-8.75,12,2018.25,2012-06-13,2012,0.359,22.09,2016.6,True
L,BULL,True,395.0,20.43,44,6.25,3.5,8.25,11,2018.0,2012-06-14,2012,0.1,24.27,2015.525,True
L,BULL,True,445.0,20.3,46,6.0,1.5,9.25,11,2029.5,2012-06-15,2012,0.123,21.68,2016.35,True
S,BEAR,True,657.5,18.75,37,5.5,0.25,13.5,12,2032.25,2012-06-21,2012,0.024,17.24,2021.9375,True
L,BULL,True,195.0,17.65,32,5.25,1.25,4.25,12,2012.25,2012-06-26,2012,0.212,20.38,2020.3625,False
L,BULL,True,157.5,16.1,9,4.75,1.25,3.5,11,2065.75,2012-07-03,2012,0.049,16.8,2027.7875,True
S,BEAR,True,-205.0,12.25,33,3.75,7.5,-7.5,11,2045.5,2012-07-06,2012,0.63,17.5,2035.6875,True
S,BEAR,True,520.0,11.72,49,3.5,0.25,10.75,11,2046.75,2012-07-10,2012,0.22,17.98,2038.9,True
L,BULL,True,-80.0,13.18,47,4.0,2.75,-1.25,11,2049.0,2012-07-16,2012,0.183,16.74,2041.8875,True
S,BEAR,True,-217.5,12.97,3,4.0,14.75,-12.5,10,2046.25,2012-07-17,2012,0.305,17.11,2042.2,True
S,BEAR,True,-242.5,15.28,17,4.5,4.5,-0.75,10,2072.0,2012-07-19,2012,0.157,16.16,2043.4375,True
S,BEAR,True,-242.5,15.4,35,4.5,7.0,-2.75,9,2032.5,2012-07-25,2012,0.308,20.47,2050.3125,False
S,BEAR,True,-242.5,15.4,22,4.5,8.5,-4.25,10,2031.0,2012-07-25,2012,0.308,20.47,2050.3125,False
S,BEAR,True,-242.5,15.2,4,4.5,19.0,-16.5,9,2066.5,2012-07-27,2012,0.377,17.53,2052.3375,True
S,BEAR,True,-92.5,15.53,42,4.75,3.0,-1.5,11,2079.5,2012-07-30,2012,0.156,16.7,2053.55,True
L,BULL,True,82.5,15.53,28,4.75,1.25,2.0,12,2079.0,2012-07-30,2012,0.156,16.7,2053.55,True
S,BEAR,True,470.0,15.68,60,4.75,1.25,9.75,10,2082.25,2012-07-31,2012,0.06,18.03,2054.675,True
L,BULL,True,45.0,15.43,38,4.75,3.75,1.25,12,2088.75,2012-08-03,2012,0.836,17.57,2055.0,True
L,BULL,True,270.0,12.28,62,3.75,3.0,5.75,10,2097.0,2012-08-10,2012,0.286,15.28,2068.6375,True
