side,h,N,N_base,mean_bp,median_bp,up%,t,excess_bp,src,tf,event,null_N,null_mean_bp,edge_vs_null_bp
long,1,21,4154,-1.1,1.3,52.4,-0.08,-5.1,real2010,daily,compress_bo,268.0,-1.5,0.4
long,3,21,4152,-14.2,11.3,57.1,-0.62,-25.9,real2010,daily,compress_bo,268.0,5.3,-19.5
long,5,21,4150,-11.7,17.7,57.1,-0.42,-31.0,real2010,daily,compress_bo,268.0,15.6,-27.3
long,10,21,4145,-11.6,64.4,57.1,-0.28,-49.9,real2010,daily,compress_bo,268.0,-4.6,-7.0
long,20,21,4135,71.3,67.8,61.9,1.31,-5.7,real2010,daily,compress_bo,266.0,34.8,36.5
short,1,18,4154,-6.2,-7.2,44.4,-0.3,-2.3,real2010,daily,compress_bo,197.0,-8.6,2.4
short,3,18,4152,-38.2,-47.4,33.3,-1.69,-26.5,real2010,daily,compress_bo,197.0,-18.9,-19.3
short,5,18,4150,-19.8,-36.5,38.9,-0.86,-0.5,real2010,daily,compress_bo,197.0,-22.1,2.3
short,10,18,4145,-49.2,-109.1,27.8,-1.05,-10.9,real2010,daily,compress_bo,197.0,-29.5,-19.7
short,20,18,4135,-82.0,-106.9,38.9,-1.0,-5.0,real2010,daily,compress_bo,197.0,-40.5,-41.5
long,1,49,4154,14.1,19.5,63.3,1.2,10.2,real2010,daily,kelt_pull,1565.0,4.7,9.4
long,3,49,4152,32.2,50.6,71.4,1.99,20.6,real2010,daily,kelt_pull,1565.0,8.8,23.4
long,5,49,4150,31.6,49.1,67.3,1.5,12.3,real2010,daily,kelt_pull,1563.0,20.4,11.2
long,10,49,4145,57.2,80.7,63.3,2.34,18.9,real2010,daily,kelt_pull,1562.0,36.8,20.4
long,20,49,4135,67.9,131.3,63.3,1.75,-9.1,real2010,daily,kelt_pull,1559.0,71.3,-3.4
short,1,36,4154,12.3,-4.9,44.4,0.71,16.3,real2010,daily,kelt_pull,1106.0,3.7,8.6
short,3,36,4152,13.4,42.8,58.3,0.53,25.1,real2010,daily,kelt_pull,1106.0,-1.5,14.9
short,5,36,4150,-16.0,-42.8,38.9,-0.49,3.3,real2010,daily,kelt_pull,1106.0,-4.9,-11.1
short,10,36,4145,-47.1,-23.7,50.0,-0.87,-8.8,real2010,daily,kelt_pull,1106.0,-9.6,-37.5
