[400/4145] rows=413 (24s)
[800/4145] rows=771 (51s)
[1200/4145] rows=1191 (77s)
[1600/4145] rows=1709 (104s)
[2000/4145] rows=2127 (131s)
[2400/4145] rows=2770 (159s)
[2800/4145] rows=3432 (187s)
[3200/4145] rows=4145 (216s)
[3600/4145] rows=4887 (244s)
[4000/4145] rows=5622 (271s)
DONE 280s -> target_emit_20260727.csv (5903 trades)
