Date,book,dir,fill_bar,net
2022-05-11,FADE-S,S,35,3045.0
2022-05-16,WT-L,L,20,457.5
2022-05-16,WT-L,L,40,7.5
2022-05-19,WT-S,S,14,-1542.5
2022-05-25,FADE-L,L,8,895.0
2022-05-25,WT-L,L,54,1095.0
2022-05-26,FADE-L,L,16,370.0
2022-05-26,WT-L,L,51,-717.5
2022-06-01,FADE-L,L,54,-417.5
2022-06-02,FADE-S,S,10,-1192.5
2022-06-02,WT-L,L,16,3732.5
2022-06-02,WT-L,L,26,2745.0
2022-06-08,FADE-S,S,14,1357.5
2022-06-09,WT-S,S,29,3632.5
2022-06-14,WT-S,S,19,907.5
2022-06-14,FADE-S,S,59,-30.0
2022-06-21,FADE-L,L,15,-530.0
2022-06-21,FADE-S,S,53,-67.5
2022-06-28,WT-S,S,36,1832.5
2022-06-28,WT-S,S,53,1170.0
2022-07-07,FADE-L,L,12,732.5
2022-07-08,FADE-L,L,18,-980.0
2022-07-08,FADE-L,L,55,-55.0
2022-07-12,FADE-L,L,15,-967.5
2022-07-20,FADE-L,L,15,-955.0
2022-07-21,WT-L,L,43,107.5
2022-07-22,WT-S,S,31,520.0
2022-07-22,FADE-S,S,54,-755.0
2022-07-26,FADE-S,S,8,557.5
2022-07-27,FADE-L,L,51,1857.5
2022-07-27,FADE-L,L,61,1620.0
2022-07-28,WT-L,L,33,1432.5
2022-07-28,WT-L,L,59,495.0
2022-08-02,WT-L,L,24,-992.5
2022-08-04,WT-L,L,7,-980.0
2022-08-08,FADE-S,S,11,1607.5
2022-08-08,FADE-L,L,60,157.5
2022-08-12,FADE-S,S,42,-742.5
2022-08-16,FADE-S,S,42,-730.0
2022-08-19,FADE-S,S,14,220.0
2022-08-23,FADE-L,L,62,-567.5
2022-08-24,WT-S,S,58,-342.5
2022-08-30,WT-S,S,23,-5.0
2022-08-30,WT-S,S,65,-842.5
2022-08-31,FADE-S,S,11,1257.5
2022-09-07,WT-L,L,27,1695.0
2022-09-08,WT-S,S,47,-880.0
2022-09-09,FADE-L,L,9,482.5
2022-09-14,FADE-S,S,9,-1017.5
2022-09-14,FADE-S,S,48,-5.0
2022-09-14,WT-S,S,62,-555.0
2022-09-21,WT-L,L,8,-980.0
2022-09-28,WT-L,L,20,1970.0
2022-09-28,WT-L,L,42,945.0
2022-09-28,WT-L,L,53,1082.5
2022-09-30,FADE-S,S,18,-1005.0
2022-09-30,FADE-S,S,49,1670.0
2022-10-03,WT-L,L,25,1245.0
2022-10-03,WT-L,L,24,995.0
2022-10-06,WT-L,L,54,-1130.0
2022-10-10,FADE-S,S,33,-192.5
2022-10-11,FADE-S,S,12,-1242.5
2022-10-11,FADE-S,S,47,1695.0
2022-10-12,WT-S,S,10,370.0
2022-10-12,FADE-S,S,37,432.5
2022-10-20,WT-L,L,15,-1267.5
2022-10-20,WT-S,S,48,382.5
2022-10-21,WT-S,S,22,-1305.0
2022-10-21,FADE-S,S,35,-1305.0
2022-10-21,FADE-L,L,54,820.0
2022-10-26,FADE-L,L,18,-1342.5
2022-10-27,WT-S,S,62,2070.0
2022-11-02,WT-S,S,16,-1155.0
2022-11-02,FADE-L,L,48,-1155.0
2022-11-07,FADE-L,L,13,1370.0
2022-11-08,WT-L,L,32,-1180.0
2022-11-09,FADE-S,S,42,1795.0
2022-11-11,WT-L,L,18,-1205.0
2022-11-14,FADE-L,L,17,-1142.5
2022-11-16,WT-S,S,9,-80.0
2022-11-16,WT-S,S,26,-30.0
2022-11-16,FADE-L,L,61,170.0
2022-11-22,FADE-S,S,12,-917.5
2022-11-23,WT-L,L,20,-880.0
2022-11-29,FADE-L,L,9,-617.5
2022-11-30,WT-S,S,14,-567.5
2022-11-30,FADE-S,S,37,-567.5
2022-12-01,FADE-S,S,30,-742.5
2022-12-05,FADE-L,L,11,-755.0
