Date,book,dir,fill_bar,net
2024-08-26,WT-S,S,20,457.5
2024-08-26,WT-S,S,56,-392.5
2024-08-27,WT-L,L,16,107.5
2024-08-27,FADE-L,L,29,407.5
2024-08-28,WT-S,S,59,-767.5
2024-08-29,WT-L,L,39,-792.5
2024-08-29,FADE-L,L,50,-792.5
2024-08-30,WT-S,S,30,-817.5
2024-09-04,FADE-S,S,44,682.5
2024-09-06,WT-S,S,33,282.5
2024-09-06,FADE-S,S,55,-905.0
2024-09-10,FADE-S,S,6,-580.0
2024-09-13,FADE-L,L,14,-355.0
2024-09-17,WT-S,S,48,-292.5
2024-09-18,WT-L,L,49,-1067.5
2024-09-18,FADE-S,S,54,-1067.5
2024-09-18,FADE-S,S,61,1195.0
2024-09-23,WT-S,S,39,-417.5
2024-09-24,FADE-S,S,10,-917.5
2024-09-24,WT-L,L,49,182.5
2024-09-25,WT-S,S,25,245.0
2024-09-25,WT-S,S,47,-355.0
2024-09-27,WT-S,S,42,520.0
2024-09-30,FADE-L,L,34,-692.5
2024-10-01,FADE-S,S,11,-730.0
2024-10-02,WT-L,L,7,945.0
2024-10-02,WT-L,L,19,-755.0
2024-10-02,WT-L,L,27,-755.0
2024-10-02,WT-L,L,36,-755.0
2024-10-03,FADE-L,L,24,-705.0
2024-10-03,WT-L,L,34,-705.0
2024-10-03,FADE-S,S,58,-705.0
2024-10-03,FADE-S,S,64,-705.0
2024-10-08,WT-L,L,22,720.0
2024-10-09,WT-L,L,34,95.0
2024-10-10,FADE-L,L,14,-805.0
2024-10-11,WT-L,L,17,-30.0
2024-10-15,WT-S,S,20,1270.0
2024-10-15,WT-S,S,33,1245.0
2024-10-18,WT-L,L,49,-55.0
2024-10-22,FADE-S,S,27,-667.5
2024-10-24,FADE-L,L,11,-705.0
2024-10-25,WT-S,S,33,1682.5
2024-10-29,WT-L,L,16,782.5
2024-10-29,WT-L,L,49,407.5
2024-10-30,FADE-S,S,14,1632.5
2024-10-30,WT-S,S,58,1182.5
2024-11-04,WT-L,L,16,-767.5
2024-11-04,WT-L,L,57,-767.5
2024-11-07,FADE-L,L,60,382.5
2024-11-08,WT-L,L,57,-417.5
2024-11-11,FADE-L,L,8,-755.0
2024-11-11,FADE-S,S,23,220.0
2024-11-12,WT-S,S,12,357.5
2024-11-13,WT-L,L,43,-780.0
2024-11-13,WT-L,L,49,-780.0
2024-11-14,FADE-S,S,9,1720.0
2024-11-14,WT-L,L,26,-780.0
2024-11-14,FADE-S,S,52,1145.0
2024-11-15,FADE-S,S,17,45.0
2024-11-18,FADE-L,L,11,432.5
2024-11-21,WT-L,L,53,-405.0
2024-11-22,WT-S,S,27,-817.5
2024-11-26,WT-S,S,13,-855.0
2024-11-29,FADE-L,L,26,32.5
2024-12-03,FADE-S,S,16,-680.0
2024-12-03,WT-L,L,48,370.0
2024-12-04,FADE-S,S,26,-605.0
2024-12-05,FADE-S,S,18,-542.5
2024-12-09,WT-L,L,40,-455.0
2024-12-10,WT-L,L,11,-417.5
2024-12-10,WT-S,S,34,582.5
2024-12-11,WT-L,L,15,82.5
2024-12-12,FADE-S,S,52,882.5
2024-12-13,FADE-S,S,31,-455.0
2024-12-16,WT-L,L,20,-230.0
2024-12-16,FADE-S,S,54,545.0
2024-12-17,WT-L,L,34,-467.5
2024-12-18,WT-S,S,33,10470.0
2024-12-20,FADE-L,L,18,995.0
2024-12-31,WT-S,S,29,357.5
2025-01-03,WT-S,S,16,-1467.5
2025-01-03,WT-S,S,42,-505.0
2025-01-08,FADE-S,S,8,-1130.0
2025-01-08,FADE-L,L,47,220.0
2025-01-14,WT-S,S,24,-1155.0
2025-01-14,FADE-L,L,38,1557.5
2025-01-14,WT-L,L,57,-1155.0
2025-01-21,FADE-S,S,15,-930.0
2025-01-21,WT-L,L,49,220.0
2025-01-22,FADE-S,S,59,357.5
2025-01-24,FADE-L,L,22,-767.5
2025-01-24,WT-S,S,49,395.0
2025-01-28,WT-S,S,26,-705.0
2025-01-29,FADE-S,S,14,607.5
2025-01-30,FADE-S,S,11,-717.5
2025-01-31,FADE-S,S,30,3532.5
2025-01-31,FADE-S,S,45,3620.0
2025-02-05,WT-S,S,17,-917.5
2025-02-05,FADE-S,S,40,-917.5
2025-02-06,FADE-S,S,13,-142.5
2025-02-07,FADE-S,S,15,1582.5
2025-02-10,WT-L,L,14,-155.0
2025-02-10,WT-L,L,17,-292.5
2025-02-11,WT-L,L,25,295.0
2025-02-11,WT-L,L,55,257.5
2025-02-13,WT-L,L,25,1345.0
2025-02-14,WT-L,L,9,-380.0
2025-02-14,WT-L,L,13,-192.5
2025-02-14,FADE-L,L,29,-205.0
2025-02-14,WT-L,L,63,-155.0
2025-02-18,WT-S,S,32,-692.5
2025-02-18,WT-S,S,60,-692.5
2025-02-21,WT-S,S,20,3095.0
2025-02-21,WT-S,S,53,782.5
2025-02-24,FADE-S,S,16,-692.5
2025-02-25,WT-S,S,21,-742.5
2025-02-25,FADE-L,L,35,795.0
2025-02-26,WT-L,L,16,-817.5
2025-02-26,WT-L,L,29,-817.5
2025-02-28,FADE-S,S,45,-942.5
2025-03-03,WT-L,L,14,-1092.5
2025-03-03,WT-S,S,56,2357.5
2025-03-05,WT-S,S,25,-1492.5
2025-03-07,WT-S,S,20,-1692.5
2025-03-13,WT-S,S,35,-242.5
2025-03-13,FADE-S,S,50,-1892.5
2025-03-14,FADE-L,L,10,2195.0
2025-03-18,WT-S,S,24,-705.0
2025-03-18,FADE-L,L,47,82.5
2025-03-19,WT-L,L,34,-1517.5
2025-03-25,FADE-S,S,31,-580.0
2025-03-26,WT-S,S,20,2482.5
2025-03-26,WT-S,S,39,970.0
2025-03-26,WT-S,S,54,-167.5
2025-03-27,FADE-S,S,39,482.5
2025-03-28,WT-S,S,52,432.5
2025-04-01,WT-S,S,64,-1205.0
2025-04-15,FADE-L,L,9,-2517.5
2025-04-15,WT-S,S,51,557.5
2025-04-24,WT-L,L,19,2445.0
2025-04-24,WT-L,L,29,2257.5
2025-04-29,WT-S,S,47,-917.5
2025-05-07,WT-L,L,12,-1380.0
2025-05-07,WT-S,S,65,-1380.0
2025-05-13,FADE-S,S,34,82.5
2025-05-14,FADE-L,L,7,-105.0
2025-05-14,FADE-L,L,16,-80.0
2025-05-14,WT-S,S,57,-92.5
2025-05-16,FADE-L,L,9,-955.0
2025-05-16,FADE-L,L,24,1445.0
2025-05-20,FADE-S,S,7,145.0
2025-05-20,FADE-S,S,25,370.0
2025-05-20,FADE-L,L,42,-967.5
2025-05-22,WT-L,L,14,-5.0
2025-05-27,WT-L,L,28,1295.0
2025-05-27,WT-L,L,47,670.0
2025-05-27,WT-L,L,59,357.5
2025-05-28,WT-L,L,48,-892.5
2025-05-28,FADE-S,S,57,982.5
2025-05-30,FADE-L,L,13,-955.0
2025-05-30,WT-S,S,45,-955.0
2025-06-02,FADE-L,L,17,1895.0
2025-06-05,FADE-L,L,13,-892.5
2025-06-05,WT-S,S,64,1182.5
2025-06-10,FADE-L,L,10,-905.0
2025-06-11,WT-L,L,8,-867.5
2025-06-11,WT-L,L,16,-867.5
2025-06-11,WT-S,S,26,1270.0
2025-06-11,FADE-L,L,47,-867.5
2025-06-11,WT-S,S,64,182.5
2025-06-12,FADE-L,L,31,382.5
2025-06-16,FADE-S,S,58,-355.0
2025-06-17,WT-S,S,59,-5.0
2025-06-26,FADE-L,L,16,457.5
2025-06-26,WT-L,L,63,-80.0
2025-06-30,WT-L,L,48,395.0
2025-07-01,FADE-L,L,8,-767.5
2025-07-02,WT-L,L,20,657.5
2025-07-02,WT-L,L,35,445.0
2025-07-02,WT-L,L,42,282.5
2025-07-03,FADE-L,L,13,120.0
2025-07-07,FADE-S,S,16,1145.0
2025-07-08,FADE-L,L,51,-67.5
2025-07-08,FADE-S,S,63,-117.5
2025-07-09,WT-S,S,10,-80.0
2025-07-10,WT-L,L,60,-605.0
2025-07-14,FADE-S,S,36,-567.5
2025-07-15,FADE-S,S,16,1545.0
2025-07-16,FADE-L,L,12,-605.0
2025-07-17,FADE-L,L,15,1045.0
2025-07-18,FADE-S,S,17,-230.0
2025-07-18,WT-S,S,46,-330.0
2025-07-21,FADE-L,L,17,-680.0
2025-07-21,WT-L,L,47,-680.0
2025-07-22,FADE-L,L,12,632.5
2025-07-25,WT-L,L,25,570.0
2025-07-25,WT-L,L,45,95.0
2025-07-25,WT-L,L,54,-80.0
2025-07-25,WT-L,L,64,-180.0
2025-07-28,FADE-L,L,8,-642.5
2025-07-28,WT-S,S,61,-505.0
2025-07-29,WT-S,S,36,370.0
2025-07-30,FADE-L,L,26,-592.5
2025-07-31,FADE-S,S,10,3632.5
2025-08-05,WT-S,S,22,-767.5
2025-08-06,FADE-L,L,6,-805.0
2025-08-06,FADE-L,L,21,707.5
2025-08-11,WT-S,S,20,-917.5
2025-08-11,FADE-S,S,44,807.5
2025-08-11,WT-S,S,61,495.0
2025-08-12,WT-L,L,46,445.0
2025-08-12,WT-L,L,63,232.5
2025-08-13,FADE-S,S,14,-455.0
2025-08-14,FADE-L,L,9,-55.0
2025-08-14,WT-L,L,53,-142.5
2025-08-19,WT-S,S,22,695.0
2025-08-19,FADE-S,S,60,-542.5
2025-08-20,WT-L,L,42,720.0
2025-08-21,FADE-L,L,11,-742.5
2025-08-22,FADE-L,L,17,-680.0
2025-08-26,FADE-S,S,8,-730.0
2025-08-26,WT-L,L,17,1470.0
2025-08-26,FADE-L,L,28,1420.0
2025-08-26,WT-L,L,39,1170.0
2025-08-27,FADE-L,L,19,20.0
2025-09-03,FADE-S,S,29,-742.5
2025-09-04,WT-L,L,30,1557.5
2025-09-04,WT-L,L,34,1470.0
2025-09-04,WT-L,L,60,1045.0
2025-09-05,FADE-S,S,17,-717.5
2025-09-08,WT-S,S,45,-280.0
2025-09-08,WT-S,S,63,-317.5
2025-09-09,WT-L,L,15,720.0
2025-09-10,FADE-L,L,10,-680.0
2025-09-11,WT-L,L,32,-5.0
2025-09-12,WT-L,L,42,-317.5
2025-09-16,WT-S,S,28,-192.5
2025-09-17,WT-L,L,27,-605.0
2025-09-19,FADE-S,S,13,-642.5
2025-09-19,WT-L,L,47,657.5
2025-09-19,WT-L,L,57,482.5
2025-09-23,WT-S,S,20,1507.5
2025-09-24,WT-S,S,46,-255.0
2025-09-29,FADE-S,S,6,282.5
2025-09-29,FADE-S,S,44,-530.0
2025-09-30,WT-L,L,12,957.5
2025-09-30,WT-L,L,39,-742.5
2025-10-02,WT-S,S,26,-755.0
2025-10-02,WT-L,L,47,395.0
2025-10-03,WT-L,L,23,-742.5
2025-10-03,FADE-S,S,40,1595.0
2025-10-06,FADE-L,L,15,382.5
2025-10-07,WT-S,S,38,-230.0
2025-10-10,WT-S,S,6,9345.0
2025-10-10,WT-S,S,17,9432.5
2025-10-10,WT-S,S,34,-705.0
2025-10-10,FADE-S,S,57,-705.0
2025-10-16,WT-S,S,39,-1167.5
2025-10-17,FADE-S,S,41,-1292.5
2025-10-20,FADE-L,L,11,907.5
2025-10-21,FADE-L,L,15,-505.0
2025-10-22,FADE-S,S,10,1307.5
2025-10-23,FADE-L,L,15,707.5
2025-10-29,FADE-S,S,46,732.5
2025-10-31,FADE-L,L,21,-817.5
2025-11-05,FADE-S,S,20,-842.5
2025-11-05,WT-L,L,46,-842.5
2025-11-06,WT-S,S,12,1632.5
2025-11-06,FADE-L,L,54,-817.5
2025-11-07,WT-S,S,26,-867.5
2025-11-11,FADE-S,S,12,-1042.5
2025-11-12,WT-S,S,16,-530.0
2025-11-13,WT-L,L,30,-1005.0
2025-11-17,FADE-L,L,11,-1167.5
2025-11-19,FADE-S,S,51,-1317.5
2025-11-19,FADE-S,S,57,-1317.5
2025-11-21,WT-L,L,35,-1567.5
2025-11-21,FADE-S,S,60,1670.0
2025-11-24,FADE-L,L,11,1720.0
2025-11-26,FADE-L,L,11,907.5
2025-12-02,FADE-L,L,30,220.0
2025-12-03,WT-L,L,19,770.0
2025-12-03,WT-L,L,57,-142.5
2025-12-04,FADE-S,S,8,-755.0
2025-12-05,WT-S,S,39,-255.0
2025-12-08,WT-S,S,59,-605.0
2025-12-12,WT-L,L,50,-742.5
2025-12-15,WT-L,L,24,-842.5
2025-12-15,FADE-S,S,45,-230.0
2025-12-15,WT-L,L,60,7.5
2025-12-16,FADE-L,L,16,-867.5
2025-12-17,WT-L,L,9,-905.0
2025-12-17,WT-S,S,28,345.0
2025-12-17,WT-S,S,32,157.5
2025-12-17,WT-S,S,48,82.5
2025-12-17,WT-S,S,54,-430.0
2025-12-19,WT-L,L,42,45.0
2025-12-19,FADE-L,L,60,-105.0
2025-12-22,WT-L,L,36,107.5
2025-12-23,WT-L,L,12,1120.0
2025-12-23,FADE-S,S,52,-67.5
2025-12-26,WT-S,S,16,195.0
2025-12-26,FADE-L,L,42,57.5
2025-12-30,FADE-S,S,14,-755.0
2026-01-02,FADE-S,S,20,-680.0
2026-01-02,WT-S,S,54,-680.0
2026-01-05,WT-L,L,7,-67.5
2026-01-05,WT-L,L,17,-405.0
2026-01-07,WT-L,L,39,-605.0
2026-01-12,WT-L,L,27,370.0
2026-01-14,WT-S,S,20,-730.0
2026-01-16,FADE-S,S,35,432.5
2026-01-16,WT-S,S,65,607.5
2026-01-21,FADE-L,L,12,-767.5
2026-01-21,FADE-L,L,40,3045.0
2026-01-22,FADE-L,L,14,-217.5
2026-01-27,FADE-S,S,11,-817.5
2026-01-29,WT-L,L,43,1995.0
2026-01-29,WT-L,L,63,1057.5
2026-02-03,WT-S,S,15,945.0
2026-02-03,WT-S,S,28,595.0
2026-02-04,WT-S,S,34,-1092.5
2026-02-04,FADE-L,L,53,1320.0
2026-02-09,FADE-L,L,6,1757.5
2026-02-09,WT-S,S,65,532.5
2026-02-10,FADE-L,L,58,-655.0
2026-02-12,FADE-L,L,31,-1367.5
2026-02-12,WT-S,S,38,1482.5
2026-02-12,WT-S,S,47,-1367.5
2026-02-13,WT-L,L,21,-1417.5
2026-02-17,WT-L,L,58,-705.0
2026-02-18,WT-S,S,58,382.5
2026-02-20,FADE-L,L,11,-1205.0
2026-02-23,FADE-S,S,32,-580.0
2026-02-23,FADE-S,S,57,-605.0
2026-02-25,WT-L,L,35,532.5
2026-02-25,WT-L,L,49,507.5
2026-03-04,WT-L,L,28,-80.0
2026-03-05,WT-S,S,32,170.0
2026-03-05,FADE-S,S,52,-1230.0
2026-03-13,FADE-S,S,17,2245.0
2026-03-13,FADE-L,L,60,-1042.5
2026-03-17,FADE-L,L,14,-1405.0
2026-03-17,WT-S,S,35,20.0
2026-03-18,FADE-S,S,30,3170.0
2026-03-19,FADE-L,L,18,-1305.0
2026-03-19,FADE-S,S,40,-1305.0
2026-04-01,FADE-L,L,13,-155.0
2026-04-07,WT-L,L,58,-1492.5
2026-04-09,WT-L,L,34,-392.5
2026-04-10,WT-S,S,47,-267.5
2026-04-13,FADE-L,L,14,3045.0
2026-04-13,WT-L,L,49,1932.5
2026-04-14,FADE-L,L,15,1332.5
2026-04-15,WT-L,L,54,820.0
2026-04-15,WT-L,L,57,507.5
2026-04-16,FADE-L,L,14,957.5
2026-04-20,WT-S,S,27,-555.0
2026-04-21,WT-S,S,27,432.5
2026-04-21,WT-S,S,33,257.5
2026-04-22,WT-L,L,16,145.0
2026-04-23,FADE-L,L,21,-930.0
2026-04-27,WT-S,S,8,-630.0
2026-04-27,WT-L,L,45,370.0
2026-04-29,FADE-L,L,12,-855.0
2026-04-29,WT-S,S,40,-855.0
2026-04-29,WT-S,S,45,-855.0
2026-04-29,WT-S,S,63,-855.0
2026-05-01,FADE-L,L,52,-930.0
2026-05-04,WT-S,S,35,-892.5
2026-05-07,WT-L,L,13,-917.5
2026-05-07,WT-S,S,51,-917.5
2026-05-08,FADE-L,L,49,-867.5
2026-05-13,WT-L,L,16,2170.0
2026-05-13,WT-L,L,23,1832.5
2026-05-13,WT-L,L,53,170.0
2026-05-14,FADE-L,L,13,907.5
2026-05-18,FADE-L,L,44,-917.5
2026-05-18,WT-L,L,50,-917.5
2026-05-19,FADE-L,L,30,-230.0
2026-05-20,WT-L,L,29,282.5
2026-05-21,FADE-S,S,63,-142.5
2026-05-22,FADE-S,S,31,695.0
2026-05-22,FADE-S,S,56,507.5
2026-05-28,WT-L,L,28,732.5
2026-05-28,WT-L,L,57,457.5
2026-06-01,WT-L,L,60,-505.0
2026-06-02,FADE-L,L,12,732.5
2026-06-03,WT-S,S,33,557.5
2026-06-04,FADE-L,L,10,1420.0
2026-06-10,FADE-L,L,36,-1292.5
2026-06-12,FADE-L,L,16,620.0
2026-06-16,WT-S,S,17,1570.0
2026-06-17,WT-S,S,48,4132.5
2026-06-22,FADE-L,L,8,-1530.0
2026-06-22,WT-S,S,21,-417.5
2026-06-24,WT-S,S,8,-1280.0
2026-06-24,FADE-S,S,25,957.5
2026-06-24,WT-S,S,54,-1280.0
2026-06-25,FADE-L,L,16,-1205.0
2026-07-01,WT-L,L,30,-1217.5
2026-07-01,WT-S,S,62,1057.5
2026-07-02,WT-S,S,24,282.5
2026-07-02,WT-S,S,49,-1130.0
2026-07-06,WT-L,L,22,832.5
2026-07-06,WT-L,L,35,470.0
2026-07-07,FADE-S,S,6,382.5
2026-07-09,FADE-L,L,22,957.5
