Date,book,cnt,adr_eod,swing
2021-07-06,2ES,1,-292.5,-230.0
2021-07-06,2ES,1,-292.5,-292.5
2021-07-06,2EL,1,182.5,182.5
2021-07-06,2EL,1,182.5,182.5
2021-07-07,2ES,1,-292.5,-292.5
2021-07-09,2EL,1,320.0,320.0
2021-07-13,2ES,3,382.5,-55.0
2021-07-13,2ES,1,357.5,-80.0
2021-07-13,2ES,1,270.0,270.0
2021-07-13,2ES,2,357.5,357.5
2021-07-14,2ES,1,-417.5,-330.0
2021-07-14,2ES,1,-417.5,-417.5
2021-07-14,2ES,1,32.5,-155.0
2021-07-14,2ES,2,95.0,-92.5
2021-07-14,2ES,3,-417.5,-317.5
2021-07-14,2ES,3,120.0,-92.5
2021-07-14,2ES,3,107.5,-192.5
2021-07-15,2EL,3,-442.5,-442.5
2021-07-15,2EL,3,-442.5,-442.5
2021-07-15,2EL,3,-442.5,-442.5
2021-07-16,2ES,1,895.0,895.0
2021-07-20,2EL,1,-130.0,-92.5
2021-07-20,2EL,1,-155.0,-67.5
2021-08-02,2ES,2,1132.5,-242.5
2021-08-02,2ES,1,1295.0,1295.0
2021-08-02,2ES,1,357.5,-292.5
2021-08-02,2ES,2,545.0,545.0
2021-08-02,2ES,3,470.0,-30.0
2021-08-02,2ES,1,295.0,-205.0
2021-08-02,2ES,3,445.0,445.0
2021-08-10,2EL,1,-530.0,-530.0
2021-08-10,2EL,1,-530.0,-530.0
2021-08-10,2ES,3,257.5,-67.5
2021-08-10,2ES,3,295.0,295.0
2021-08-17,2ES,1,-530.0,-42.5
2021-08-17,2ES,1,-530.0,-292.5
2021-08-17,2ES,2,-530.0,-517.5
2021-08-17,2ES,3,-530.0,-355.0
2021-08-18,2EL,1,-542.5,-542.5
2021-08-20,2EL,1,295.0,-80.0
2021-08-20,2EL,1,270.0,-105.0
2021-08-20,2EL,1,157.5,-367.5
2021-08-20,2ES,1,-555.0,-117.5
2021-08-20,2ES,2,-555.0,-67.5
2021-08-20,2EL,1,-92.5,-42.5
2021-08-20,2EL,1,-105.0,-305.0
2021-08-20,2EL,2,120.0,-180.0
2021-08-20,2EL,3,207.5,207.5
2021-08-24,2EL,1,-230.0,-142.5
2021-08-24,2ES,1,-5.0,-155.0
2021-08-24,2ES,1,132.5,-117.5
2021-08-25,2EL,1,-67.5,-55.0
2021-08-25,2EL,2,-80.0,-67.5
2021-08-25,2EL,1,-92.5,-80.0
2021-08-26,2ES,1,445.0,-255.0
2021-08-26,2ES,2,-505.0,-442.5
2021-08-26,2ES,1,-505.0,-505.0
2021-08-26,2ES,1,307.5,307.5
2021-08-26,2ES,2,307.5,307.5
2021-08-27,2EL,1,620.0,620.0
2021-08-27,2EL,2,232.5,232.5
2021-08-27,2EL,3,282.5,282.5
2021-08-27,2EL,1,157.5,157.5
2021-08-27,2EL,1,-130.0,-67.5
2021-08-27,2EL,2,-142.5,-80.0
2021-08-27,2ES,1,20.0,-130.0
2021-08-30,2EL,1,-192.5,-42.5
2021-08-30,2EL,2,-205.0,-67.5
2021-08-30,2EL,3,-167.5,-42.5
2021-08-30,2EL,3,-267.5,-42.5
2021-08-30,2EL,3,-242.5,-55.0
2021-08-30,2EL,3,-205.0,-80.0
2021-08-31,2EL,2,195.0,-67.5
2021-08-31,2EL,3,195.0,-105.0
2021-09-02,2EL,3,-417.5,-42.5
2021-09-02,2EL,3,-417.5,-92.5
2021-09-02,2EL,3,-417.5,-205.0
2021-09-03,2EL,1,-167.5,-80.0
2021-09-07,2EL,3,-305.0,-55.0
2021-09-07,2EL,3,-305.0,-217.5
2021-09-08,2ES,2,-330.0,-55.0
2021-09-08,2ES,3,-330.0,-330.0
2021-09-08,2ES,3,-330.0,-292.5
2021-09-14,2EL,3,-417.5,-417.5
2021-09-14,2ES,1,182.5,182.5
2021-09-14,2ES,1,-280.0,-42.5
2021-09-14,2ES,1,-355.0,-155.0
2021-09-15,2EL,3,1495.0,1495.0
2021-09-15,2EL,3,1520.0,1520.0
2021-09-15,2EL,3,1420.0,1420.0
2021-09-16,2ES,1,-505.0,-292.5
2021-09-16,2ES,2,-505.0,-142.5
2021-09-16,2ES,3,-505.0,-117.5
2021-09-16,2ES,3,-505.0,-55.0
2021-09-16,2ES,3,-505.0,-505.0
2021-09-16,2EL,1,45.0,-55.0
2021-09-16,2EL,2,7.5,-92.5
