entry_id,Date,dir,regime,hour,fx4p_t8p,fx4p_eod,sb1_t8p,sb1_eod,er10,adx14,sb_ibs_o,sb_dirok,sb_rngx,ema_side_ok,warm
2021-07-09_38L2,2021-07-09,L,BULL,12,395.0,382.5,395.0,382.5,0.133,51.2,1.0,True,0.6410256410256411,True,True
2021-07-09_75L2,2021-07-09,L,BULL,14,-205.0,-80.0,-42.5,-42.5,0.059,37.9,0.6,True,0.6410256410256411,True,True
2021-07-12_19S2,2021-07-12,S,BULL,10,-205.0,-205.0,-67.5,-67.5,0.32,,0.7142857142857143,False,0.7608695652173914,False,True
2021-07-13_12S2,2021-07-13,S,BULL,09,-205.0,-205.0,-92.5,-92.5,0.551,,0.2222222222222222,False,0.6474820143884892,False,True
2021-07-13_61S2,2021-07-13,S,BEAR,13,395.0,345.0,395.0,345.0,0.05,36.5,0.3076923076923077,False,0.7262569832402235,True,True
2021-07-14_12S2,2021-07-14,S,NEUTRAL,09,395.0,507.5,395.0,507.5,0.432,,0.7142857142857143,True,0.5147058823529412,True,True
2021-07-14_40S2,2021-07-14,S,BEAR,11,-205.0,-205.0,-167.5,-167.5,0.863,31.4,0.1999999999999999,False,1.0714285714285714,False,True
2021-07-14_67L2,2021-07-14,L,BEAR,14,-205.0,-205.0,-67.5,-67.5,0.158,12.6,0.8571428571428571,True,0.6930693069306931,True,True
2021-07-14_77S2,2021-07-14,S,NEUTRAL,14,-205.0,-55.0,-230.0,-55.0,0.31,15.1,0.1999999999999999,False,1.3793103448275863,True,True
2021-07-15_14L2,2021-07-15,L,BEAR,09,-205.0,-205.0,-280.0,-280.0,0.08,,0.7083333333333334,True,1.1162790697674418,True,True
2021-07-16_17L2,2021-07-16,L,BEAR,09,-205.0,-205.0,-192.5,-192.5,0.259,,0.7647058823529411,True,0.7391304347826086,False,True
2021-07-19_12L2,2021-07-19,L,BEAR,09,-205.0,-205.0,395.0,-392.5,0.486,,0.8181818181818182,True,0.8571428571428571,False,True
2021-07-19_53S2,2021-07-19,S,BEAR,12,-205.0,-205.0,-305.0,-305.0,0.098,31.5,0.9230769230769232,True,1.1016949152542372,True,True
2021-07-20_12S2,2021-07-20,S,BULL,09,-205.0,-205.0,-192.5,-192.5,0.697,,0.0588235294117647,False,0.5246913580246914,False,True
2021-07-20_65L2,2021-07-20,L,NEUTRAL,13,-205.0,-205.0,-142.5,-142.5,0.161,31.2,0.6153846153846154,False,1.1607142857142858,True,True
2021-07-20_77L2,2021-07-20,L,BULL,14,-205.0,-205.0,-92.5,-92.5,0.04,23.2,0.8888888888888888,True,0.7258064516129032,True,True
2021-08-02_7S2,2021-08-02,S,BEAR,09,-205.0,-205.0,-155.0,-155.0,,,0.5,False,0.5793103448275861,True,False
2021-08-02_13S2,2021-08-02,S,NEUTRAL,09,395.0,1270.0,395.0,1270.0,0.091,,0.8125,True,0.893854748603352,True,True
2021-08-02_40S2,2021-08-02,S,BEAR,11,395.0,532.5,-117.5,-117.5,0.0,42.2,0.5454545454545454,True,0.6508875739644971,True,True
2021-08-02_59S2,2021-08-02,S,BEAR,13,395.0,482.5,395.0,482.5,0.161,32.6,0.1666666666666666,False,0.5128205128205129,True,True
2021-08-09_11L2,2021-08-09,L,BEAR,09,395.0,295.0,395.0,295.0,0.127,,0.7272727272727273,True,0.6285714285714286,False,False
2021-08-09_31S2,2021-08-09,S,NEUTRAL,12,-205.0,-205.0,-42.5,-42.5,0.316,11.5,0.1999999999999999,False,0.7042253521126761,False,True
2021-08-10_21S2,2021-08-10,S,NEUTRAL,10,-205.0,-205.0,-142.5,-142.5,0.525,,1.0,True,0.718232044198895,True,True
2021-08-11_15L2,2021-08-11,L,BEAR,09,-205.0,-205.0,-117.5,-117.5,0.024,,0.6363636363636364,False,1.1340206185567012,True,True
2021-08-16_14L2,2021-08-16,L,BEAR,09,-205.0,-205.0,395.0,1820.0,0.14,,0.391304347826087,False,1.1794871794871795,False,True
2021-08-16_52S2,2021-08-16,S,BULL,12,-205.0,-205.0,-55.0,-55.0,0.806,40.8,0.3333333333333333,False,0.8108108108108107,False,True
2021-08-17_13S2,2021-08-17,S,BULL,09,-205.0,-205.0,-305.0,-305.0,0.141,,0.2307692307692307,False,1.0655737704918034,True,True
2021-08-17_50S2,2021-08-17,S,BEAR,12,395.0,-205.0,395.0,-167.5,0.015,31.4,0.4666666666666667,True,0.6493506493506493,True,True
2021-08-17_80S2,2021-08-17,S,NEUTRAL,15,-205.0,7.5,-367.5,7.5,0.192,23.2,0.967741935483871,True,1.5422885572139302,False,True
2021-08-18_14S2,2021-08-18,S,BULL,09,395.0,2570.0,395.0,2570.0,0.293,,0.2307692307692307,False,0.8333333333333334,False,True
2021-08-18_67S2,2021-08-18,S,NEUTRAL,14,395.0,1745.0,395.0,1745.0,0.008,17.5,0.2777777777777778,False,0.694980694980695,True,True
2021-08-19_11S2,2021-08-19,S,BULL,09,395.0,-205.0,395.0,-492.5,0.301,,0.4634146341463414,False,1.0353535353535352,False,False
2021-08-20_24S2,2021-08-20,S,BEAR,10,-205.0,-205.0,-80.0,-80.0,0.239,,0.375,False,0.5517241379310345,False,True
2021-08-20_31L2,2021-08-20,L,BEAR,11,395.0,345.0,395.0,345.0,0.182,28.9,0.95,True,1.30718954248366,True,True
2021-08-20_55L2,2021-08-20,L,BULL,13,-205.0,-205.0,-92.5,-92.5,0.375,22.4,0.3333333333333333,False,1.0465116279069768,False,True
2021-08-23_13S2,2021-08-23,S,BULL,09,-205.0,-205.0,-155.0,-155.0,0.547,,1.0,True,0.9859154929577464,False,True
2021-08-24_34S2,2021-08-24,S,NEUTRAL,11,-205.0,-205.0,-42.5,-42.5,0.152,22.2,1.0,True,0.617283950617284,True,True
2021-08-24_54L2,2021-08-24,L,BULL,12,-205.0,-205.0,-67.5,-67.5,0.4,18.4,1.0,True,1.5555555555555556,True,True
2021-08-25_8S2,2021-08-25,S,BULL,09,-205.0,-205.0,-105.0,-105.0,,,0.6,True,0.7692307692307693,False,False
2021-08-25_42L2,2021-08-25,L,BULL,12,-205.0,-92.5,-67.5,-67.5,0.172,40.6,0.8571428571428571,True,1.1666666666666667,True,True
2021-08-25_49L2,2021-08-25,L,NEUTRAL,12,-205.0,-67.5,-55.0,-55.0,0.048,36.1,0.1666666666666666,False,0.9836065573770492,True,True
2021-08-25_69S2,2021-08-25,S,BEAR,14,-205.0,-205.0,-42.5,-42.5,0.355,21.7,0.6,False,0.8771929824561403,True,True
2021-08-26_17S2,2021-08-26,S,BEAR,09,-205.0,-205.0,-205.0,-205.0,0.9,,0.7222222222222222,False,0.8530805687203791,True,True
2021-08-26_29L2,2021-08-26,L,BEAR,10,-205.0,-205.0,-142.5,-142.5,0.419,53.1,0.4615384615384615,False,0.6565656565656566,False,True
2021-08-26_38L2,2021-08-26,L,BEAR,11,-205.0,-205.0,-117.5,-117.5,0.565,29.2,1.0,True,1.1224489795918366,True,True
2021-08-26_63S2,2021-08-26,S,BEAR,13,395.0,295.0,395.0,295.0,0.388,21.7,0.0999999999999999,False,0.8771929824561403,True,True
2021-08-26_74S2,2021-08-26,S,BEAR,14,-205.0,82.5,-142.5,-142.5,0.158,24.7,0.4615384615384615,False,0.8783783783783783,True,True
2021-08-27_22L2,2021-08-27,L,BULL,10,-205.0,-205.0,-55.0,-55.0,0.176,,0.6666666666666666,False,0.4838709677419354,True,True
2021-08-27_50L2,2021-08-27,L,BULL,12,-205.0,-205.0,-55.0,-55.0,0.68,43.2,0.6666666666666666,True,1.1320754716981132,True,True
2021-08-27_63S2,2021-08-27,S,BEAR,13,-205.0,95.0,-55.0,-55.0,0.111,26.0,1.0,True,1.0,True,True
2021-08-27_76L2,2021-08-27,L,NEUTRAL,14,-205.0,-205.0,-117.5,-117.5,0.2,22.7,0.8181818181818182,True,1.6923076923076923,True,True
2021-08-30_28L2,2021-08-30,L,BULL,10,-205.0,-205.0,-67.5,-67.5,0.02,,0.8571428571428571,True,0.7142857142857142,True,True
2021-08-31_16L2,2021-08-31,L,BULL,09,-205.0,-205.0,-105.0,-105.0,0.429,,0.4,False,0.591715976331361,True,True
2021-08-31_29S2,2021-08-31,S,NEUTRAL,10,395.0,70.0,395.0,70.0,0.551,14.7,0.1999999999999999,False,0.4545454545454545,False,True
2021-08-31_54S2,2021-08-31,S,NEUTRAL,12,-205.0,-205.0,-30.0,-30.0,0.061,25.6,0.75,True,0.4878048780487805,True,True
2021-09-01_11S2,2021-09-01,S,NEUTRAL,09,-205.0,-205.0,-117.5,-117.5,0.184,,0.6363636363636364,True,0.6707317073170732,True,False
2021-09-02_15L2,2021-09-02,L,NEUTRAL,09,-205.0,-205.0,-130.0,-130.0,0.085,,0.25,False,1.0434782608695652,True,True
2021-09-03_16L2,2021-09-03,L,BEAR,09,395.0,320.0,395.0,320.0,0.045,,1.0,True,0.718562874251497,True,True
2021-09-03_37S2,2021-09-03,S,BULL,12,-205.0,-205.0,-42.5,-42.5,0.282,8.1,0.6,True,0.6493506493506493,True,True
2021-09-03_65L2,2021-09-03,L,BULL,14,-205.0,-117.5,-42.5,-42.5,0.158,21.7,0.6,False,0.9615384615384616,True,True
2021-09-03_73L2,2021-09-03,L,BULL,14,-205.0,-205.0,-105.0,-105.0,0.22,22.9,0.2,False,1.6129032258064515,True,True
2021-09-07_13L2,2021-09-07,L,BEAR,09,-205.0,-205.0,-105.0,-105.0,0.391,,0.4,False,0.591715976331361,False,True
2021-09-07_69S2,2021-09-07,S,BULL,14,395.0,457.5,395.0,457.5,0.143,15.2,0.875,True,1.0126582278481011,True,True
2021-09-08_29S2,2021-09-08,S,BEAR,10,-205.0,-205.0,-280.0,-280.0,0.392,31.4,0.9583333333333334,True,1.2307692307692308,True,True
2021-09-10_12L2,2021-09-10,L,BEAR,09,-205.0,-205.0,-180.0,-180.0,0.686,,0.6875,True,0.7619047619047619,False,True
2021-09-10_55L2,2021-09-10,L,BEAR,13,-205.0,-205.0,-92.5,-92.5,0.387,27.4,1.0,True,0.8181818181818182,False,True
2021-09-13_13L2,2021-09-13,L,BEAR,09,-205.0,-205.0,-242.5,-242.5,0.413,,0.9047619047619048,True,0.75,False,True
2021-09-14_13L2,2021-09-14,L,BEAR,09,-205.0,-205.0,-342.5,-342.5,0.464,,1.0,True,1.124031007751938,False,True
2021-09-14_55S2,2021-09-14,S,NEUTRAL,13,395.0,282.5,395.0,282.5,0.294,43.9,0.8181818181818181,True,0.7857142857142857,True,True
2021-09-14_77S2,2021-09-14,S,NEUTRAL,14,-205.0,-205.0,-380.0,-380.0,0.027,35.9,0.84375,True,1.7582417582417582,True,True
2021-09-15_13L2,2021-09-15,L,NEUTRAL,09,-205.0,-205.0,-180.0,-180.0,0.204,,0.0625,False,0.5423728813559322,True,True
2021-09-15_54S2,2021-09-15,S,BULL,14,-205.0,-205.0,-80.0,-80.0,0.257,50.2,0.5,False,0.7339449541284403,False,True
2021-09-16_22S2,2021-09-16,S,BEAR,10,-205.0,-205.0,-192.5,-192.5,0.262,,0.2941176470588235,False,0.7423580786026202,True,True
2021-09-16_61L2,2021-09-16,L,BULL,13,395.0,-5.0,395.0,-5.0,0.67,24.7,0.5625,False,1.0596026490066226,True,True
2021-09-16_81L2,2021-09-16,L,BULL,15,-205.0,7.5,-105.0,7.5,0.469,21.6,0.9,True,0.7246376811594203,False,True
2021-09-17_11L2,2021-09-17,L,BEAR,09,-205.0,-205.0,-255.0,-255.0,0.675,,0.8636363636363636,True,0.842911877394636,False,False
2021-09-17_52S2,2021-09-17,S,NEUTRAL,13,395.0,507.5,395.0,507.5,0.592,26.3,0.6875,True,1.0389610389610389,True,True
2021-09-17_58S2,2021-09-17,S,BEAR,13,-205.0,-205.0,-280.0,-280.0,0.269,28.3,0.9583333333333334,True,1.3636363636363635,True,True
2021-09-20_13L2,2021-09-20,L,NEUTRAL,09,-205.0,-205.0,-505.0,-505.0,0.471,,0.9285714285714286,True,1.1731843575418994,False,True
2021-09-21_13L2,2021-09-21,L,BEAR,09,-205.0,-205.0,-467.5,-467.5,0.28,,0.9487179487179488,True,0.9330143540669856,False,True
2021-09-21_47L2,2021-09-21,L,NEUTRAL,12,-205.0,-205.0,-217.5,-217.5,0.6,20.3,0.9473684210526316,True,0.9223300970873786,False,True
2021-09-21_69L2,2021-09-21,L,NEUTRAL,14,-205.0,-205.0,-205.0,-205.0,0.603,26.7,0.2222222222222222,False,0.7407407407407407,True,True
2021-09-22_17L2,2021-09-22,L,BULL,09,395.0,-205.0,395.0,-192.5,0.2,,0.7647058823529411,False,0.8900523560209423,True,True
2021-09-22_52S2,2021-09-22,S,NEUTRAL,12,395.0,-205.0,395.0,-92.5,0.39,25.3,0.4444444444444444,False,0.75,True,True
2021-09-22_68L2,2021-09-22,L,BEAR,14,395.0,145.0,395.0,145.0,0.369,26.7,0.6,False,0.7853403141361256,False,True
2021-09-23_16L2,2021-09-23,L,BEAR,09,395.0,132.5,395.0,-105.0,0.574,,0.1,False,0.4694835680751174,True,True
2021-09-23_29L2,2021-09-23,L,NEUTRAL,10,395.0,-205.0,395.0,-142.5,0.171,59.1,0.6153846153846154,False,0.7926829268292683,True,True
2021-09-23_65L2,2021-09-23,L,BEAR,13,-205.0,-205.0,-92.5,-92.5,0.758,27.6,0.3333333333333333,False,0.989010989010989,False,True
2021-09-24_13S2,2021-09-24,S,BULL,09,395.0,-205.0,395.0,-305.0,0.032,,0.8461538461538461,True,0.8843537414965987,False,True
2021-09-27_8L2,2021-09-27,L,BULL,09,395.0,-205.0,395.0,-305.0,,,0.6538461538461539,False,0.8921568627450981,True,False
2021-09-27_19L2,2021-09-27,L,BULL,10,-205.0,-205.0,-130.0,-130.0,0.215,,0.0833333333333333,False,0.7843137254901961,True,True
2021-09-27_53L2,2021-09-27,L,NEUTRAL,14,-205.0,-205.0,-167.5,-167.5,0.519,11.5,1.0,True,1.2,True,True
2021-09-27_63L2,2021-09-27,L,NEUTRAL,13,-205.0,-205.0,-117.5,-117.5,0.175,13.8,0.3636363636363636,False,1.0891089108910892,True,True
2021-09-28_16L2,2021-09-28,L,NEUTRAL,09,-205.0,-205.0,-255.0,-255.0,0.449,,0.4545454545454545,False,0.5583756345177665,False,True
2021-09-29_11L2,2021-09-29,L,NEUTRAL,09,-205.0,-205.0,-205.0,-205.0,0.448,,0.8333333333333334,True,0.5202312138728323,True,False
2021-09-29_32S2,2021-09-29,S,BULL,11,395.0,-205.0,395.0,-167.5,0.218,19.9,0.0666666666666666,False,0.7853403141361256,True,True
2021-09-29_40S2,2021-09-29,S,NEUTRAL,11,-205.0,-205.0,-230.0,-230.0,0.389,19.2,0.75,True,0.9569377990430624,True,True
2021-09-29_63L2,2021-09-29,L,NEUTRAL,13,-205.0,-205.0,-142.5,-142.5,0.62,22.1,0.3076923076923077,False,0.6878306878306879,True,True
2021-09-30_20L2,2021-09-30,L,BEAR,10,-205.0,-205.0,-342.5,-342.5,0.482,,0.7931034482758621,True,0.9177215189873418,False,True
2021-10-01_15L2,2021-10-01,L,BEAR,09,-205.0,-205.0,-455.0,-455.0,0.461,,0.0263157894736842,False,0.9793814432989691,False,True
2021-10-01_35L2,2021-10-01,L,BULL,11,395.0,1495.0,395.0,1495.0,0.18,16.1,0.6086956521739131,False,0.9019607843137256,True,True
2021-10-01_77L2,2021-10-01,L,BULL,14,-205.0,-205.0,-405.0,-405.0,0.1,35.2,0.2352941176470588,False,1.6267942583732058,True,True
