Date,src,book,net
2022-03-14,REAL,WT-L,-1367.5
2022-03-14,PROXY,WT-L,-1367.5
2022-03-14,PROXY,WT-L,-1367.5
2022-03-23,REAL,WT-L,-1255.0
2022-03-23,PROXY,WT-L,-1255.0
2022-03-30,REAL,WT-S,207.5
2022-03-30,PROXY,WT-S,207.5
2022-03-31,PROXY,WT-S,1395.0
2022-04-07,REAL,WT-S,-855.0
2022-04-07,REAL,WT-S,-855.0
2022-04-07,REAL,WT-S,-855.0
2022-04-07,PROXY,WT-S,-855.0
2022-04-07,PROXY,WT-S,-855.0
2022-04-07,PROXY,WT-S,-855.0
2022-04-13,REAL,WT-L,1557.5
2022-04-13,REAL,WT-L,907.5
2022-04-13,REAL,WT-L,295.0
2022-04-13,PROXY,WT-L,1557.5
2022-04-13,PROXY,WT-L,907.5
2022-04-13,PROXY,WT-L,295.0
2022-04-13,PROXY,WT-S,-942.5
2022-04-14,REAL,WT-S,1832.5
2022-04-14,PROXY,WT-S,1832.5
2022-04-27,REAL,WT-S,-1317.5
2022-04-27,PROXY,WT-S,-1317.5
2022-04-29,REAL,WT-S,3407.5
2022-04-29,PROXY,WT-S,3407.5
2022-05-04,REAL,WT-L,-1567.5
2022-05-04,PROXY,WT-L,-1567.5
2022-05-16,REAL,WT-L,457.5
2022-05-16,REAL,WT-L,7.5
2022-05-16,PROXY,WT-L,457.5
2022-05-16,PROXY,WT-L,7.5
2022-05-19,REAL,WT-S,-1542.5
2022-05-19,PROXY,WT-S,-1542.5
2022-05-25,REAL,WT-L,1095.0
2022-05-25,PROXY,WT-L,1095.0
2022-05-26,REAL,WT-L,-717.5
2022-05-26,PROXY,WT-L,-717.5
2022-06-02,REAL,WT-L,3732.5
2022-06-02,REAL,WT-L,2745.0
2022-06-02,PROXY,WT-L,3732.5
2022-06-08,PROXY,WT-L,-1105.0
2022-06-09,REAL,WT-S,3632.5
2022-06-09,PROXY,WT-S,3632.5
2022-06-14,REAL,WT-S,907.5
2022-06-14,PROXY,WT-S,907.5
2022-06-28,REAL,WT-S,1832.5
2022-06-28,REAL,WT-S,1170.0
2022-06-28,PROXY,WT-S,1832.5
2022-06-28,PROXY,WT-S,1170.0
2022-07-21,REAL,WT-L,107.5
2022-07-21,PROXY,WT-L,107.5
2022-07-22,REAL,WT-S,520.0
2022-07-22,PROXY,WT-S,520.0
2022-07-28,REAL,WT-L,1432.5
2022-07-28,REAL,WT-L,495.0
2022-07-28,PROXY,WT-L,1432.5
2022-07-28,PROXY,WT-L,495.0
2022-08-02,REAL,WT-L,-992.5
2022-08-02,PROXY,WT-L,-992.5
2022-08-04,REAL,WT-L,-980.0
2022-08-04,PROXY,WT-L,-980.0
2022-08-24,REAL,WT-S,-342.5
2022-08-24,PROXY,WT-S,-342.5
2022-08-30,REAL,WT-S,-5.0
2022-08-30,REAL,WT-S,-842.5
2022-08-30,PROXY,WT-S,-5.0
2022-08-30,PROXY,WT-S,-842.5
2022-09-07,REAL,WT-L,1695.0
2022-09-07,PROXY,WT-L,1695.0
2022-09-08,REAL,WT-S,-880.0
2022-09-08,PROXY,WT-S,-880.0
2022-09-14,REAL,WT-S,-555.0
2022-09-14,PROXY,WT-S,-555.0
2022-09-21,REAL,WT-L,-980.0
2022-09-21,PROXY,WT-L,-980.0
2022-09-28,REAL,WT-L,1970.0
2022-09-28,REAL,WT-L,945.0
2022-09-28,REAL,WT-L,1082.5
2022-09-28,PROXY,WT-L,1970.0
2022-09-28,PROXY,WT-L,945.0
2022-09-28,PROXY,WT-L,1082.5
2022-10-03,REAL,WT-L,1245.0
2022-10-03,REAL,WT-L,995.0
2022-10-03,PROXY,WT-L,1245.0
2022-10-03,PROXY,WT-L,995.0
2022-10-06,REAL,WT-L,-1130.0
2022-10-06,PROXY,WT-L,-1130.0
2022-10-12,REAL,WT-S,370.0
2022-10-12,PROXY,WT-S,370.0
2022-10-20,REAL,WT-L,-1267.5
2022-10-20,REAL,WT-S,382.5
2022-10-20,PROXY,WT-L,-1267.5
2022-10-20,PROXY,WT-S,382.5
2022-10-21,REAL,WT-S,-1305.0
2022-10-21,PROXY,WT-S,-1305.0
2022-10-27,REAL,WT-S,2070.0
2022-10-27,PROXY,WT-S,2070.0
2022-11-02,REAL,WT-S,-1155.0
2022-11-02,PROXY,WT-S,-1155.0
2022-11-08,REAL,WT-L,-1180.0
2022-11-08,PROXY,WT-L,-1180.0
2022-11-09,PROXY,WT-L,-1180.0
2022-11-11,REAL,WT-L,-1205.0
2022-11-11,PROXY,WT-L,1270.0
2022-11-11,PROXY,WT-L,-1205.0
2022-11-16,REAL,WT-S,-80.0
2022-11-16,REAL,WT-S,-30.0
2022-11-16,PROXY,WT-S,-80.0
2022-11-16,PROXY,WT-S,-30.0
2022-11-23,REAL,WT-L,-880.0
2022-11-23,PROXY,WT-L,-880.0
2022-11-30,REAL,WT-S,-567.5
2022-11-30,PROXY,WT-S,-567.5
2022-12-05,REAL,WT-S,1032.5
2022-12-05,REAL,WT-S,357.5
2022-12-05,PROXY,WT-S,1032.5
2022-12-05,PROXY,WT-S,357.5
2022-12-06,REAL,WT-S,707.5
2022-12-06,REAL,WT-S,807.5
2022-12-06,REAL,WT-S,270.0
2022-12-06,PROXY,WT-S,707.5
2022-12-06,PROXY,WT-S,807.5
2022-12-06,PROXY,WT-S,270.0
2022-12-09,REAL,WT-S,-917.5
2022-12-09,REAL,WT-L,-917.5
2022-12-09,REAL,WT-L,-917.5
2022-12-09,PROXY,WT-S,-917.5
2022-12-09,PROXY,WT-L,-917.5
2022-12-09,PROXY,WT-L,-917.5
2022-12-12,REAL,WT-S,-967.5
2022-12-12,PROXY,WT-S,-967.5
2022-12-19,REAL,WT-S,945.0
2022-12-19,REAL,WT-S,970.0
2022-12-19,PROXY,WT-S,1445.0
2022-12-19,PROXY,WT-S,945.0
2022-12-19,PROXY,WT-S,970.0
2022-12-28,REAL,WT-S,1795.0
2022-12-28,PROXY,WT-S,1795.0
2023-01-11,REAL,WT-L,1132.5
2023-01-11,PROXY,WT-L,1132.5
2023-01-12,REAL,WT-S,-917.5
2023-01-12,PROXY,WT-S,-917.5
2023-01-17,REAL,WT-L,-855.0
2023-01-17,PROXY,WT-L,-855.0
2023-01-18,REAL,WT-S,982.5
2023-01-18,PROXY,WT-L,-780.0
2023-01-18,PROXY,WT-S,982.5
2023-01-19,REAL,WT-L,-480.0
2023-01-19,PROXY,WT-L,-480.0
2023-01-20,REAL,WT-L,2482.5
2023-01-20,REAL,WT-L,1895.0
2023-01-20,PROXY,WT-L,2482.5
2023-01-20,PROXY,WT-L,1895.0
2023-01-31,REAL,WT-L,1295.0
2023-01-31,REAL,WT-L,1057.5
2023-01-31,PROXY,WT-L,1295.0
2023-01-31,PROXY,WT-L,1057.5
2023-02-06,PROXY,WT-L,-80.0
2023-02-07,REAL,WT-L,-892.5
2023-02-07,PROXY,WT-L,-892.5
2023-02-10,PROXY,WT-S,-267.5
