Date,dir,net
2022-03-25,L,-205.0
2022-03-25,L,-205.0
2022-03-28,S,-205.0
2022-03-28,L,1820.0
2022-03-30,S,-205.0
2022-03-31,L,-205.0
2022-03-31,S,2182.5
2022-04-01,L,-205.0
2022-04-01,L,-205.0
2022-04-04,L,-205.0
2022-04-04,L,-205.0
2022-04-05,S,-205.0
2022-04-06,S,-205.0
2022-04-07,S,-205.0
2022-04-07,S,-205.0
2022-04-08,S,-205.0
2022-04-12,L,-205.0
2022-04-12,L,-205.0
2022-04-12,L,-205.0
2022-04-13,L,-205.0
2022-04-14,S,-205.0
2022-04-18,L,-205.0
2022-04-18,L,-205.0
2022-04-25,L,-205.0
2022-04-26,S,-205.0
2022-04-26,S,-205.0
2022-04-27,L,-205.0
2022-04-28,L,-205.0
2022-04-28,L,-205.0
2022-04-28,L,-205.0
2022-04-28,L,-205.0
2022-05-03,S,-205.0
2022-05-04,S,-205.0
2022-05-04,S,-205.0
2022-05-04,S,-205.0
2022-05-04,L,-205.0
2022-05-04,L,-205.0
2022-05-05,S,3320.0
2022-05-05,L,-205.0
2022-05-05,L,-205.0
2022-05-06,L,-205.0
2022-05-09,S,2420.0
2022-05-09,L,-205.0
2022-05-09,L,-205.0
2022-05-10,S,-205.0
2022-05-10,S,2207.5
2022-05-10,S,-205.0
2022-05-10,S,-205.0
2022-05-11,L,-205.0
2022-05-11,L,-205.0
2022-05-11,L,-205.0
2022-05-16,L,-205.0
2022-05-17,S,-205.0
2022-05-17,S,-205.0
2022-05-17,L,-205.0
2022-05-18,S,5482.5
2022-05-18,S,-205.0
2022-05-18,S,3532.5
2022-05-19,L,-205.0
2022-05-23,L,1657.5
2022-05-23,L,-205.0
2022-05-23,L,-205.0
2022-05-23,L,-205.0
2022-05-23,L,-205.0
2022-05-24,S,-205.0
2022-05-25,S,-205.0
2022-05-25,S,-205.0
2022-05-25,S,-205.0
2022-05-25,L,-205.0
2022-05-26,L,-205.0
2022-05-26,L,-205.0
2022-05-27,L,-205.0
2022-05-31,S,-205.0
2022-06-01,S,-205.0
2022-06-01,S,-205.0
2022-06-01,S,-205.0
2022-06-02,L,-205.0
2022-06-02,L,2057.5
2022-06-02,L,-205.0
2022-06-03,S,-205.0
2022-06-06,S,-205.0
2022-06-07,L,1082.5
