Date,dir,variant,net
2021-09-17,S,retest2,282.5
2021-09-17,S,retest6,332.5
2021-09-22,L,base,195.0
2021-09-22,L,be1.0,-17.5
2021-09-22,L,be0.5,-17.5
2021-09-22,L,tight6,105.0
2021-09-22,L,scale2x,195.0
2021-09-22,L,retest2,170.0
2021-09-22,L,retest6,220.0
2021-09-27,L,base,-205.0
2021-09-27,L,be1.0,-205.0
2021-09-27,L,be0.5,-17.5
2021-09-27,L,tight6,151.9
2021-09-27,L,scale2x,-205.0
2021-09-27,L,retest2,-230.0
2021-09-27,L,retest6,-180.0
2021-09-27,L,base,-392.5
2021-09-27,L,be1.0,-392.5
2021-09-27,L,be0.5,-392.5
2021-09-27,L,tight6,-192.5
2021-09-27,L,scale2x,-392.5
2021-09-27,L,retest2,-417.5
2021-09-27,L,retest6,-367.5
2021-10-01,L,base,1482.5
2021-10-01,L,be1.0,1482.5
2021-10-01,L,be0.5,1482.5
2021-10-01,L,tight6,11.2
2021-10-01,L,scale2x,1520.0
2021-10-01,L,retest2,1457.5
2021-10-01,L,retest6,1507.5
2021-10-04,S,base,-867.5
2021-10-04,S,be1.0,-867.5
2021-10-04,S,be0.5,-17.5
2021-10-04,S,tight6,76.2
2021-10-04,S,scale2x,-867.5
2021-10-04,S,retest2,-867.5
2021-10-04,S,retest6,-867.5
2021-10-05,L,base,-867.5
2021-10-05,L,be1.0,-867.5
2021-10-05,L,be0.5,-867.5
2021-10-05,L,tight6,-213.8
2021-10-05,L,scale2x,-867.5
2021-10-05,L,retest2,-867.5
2021-10-05,L,retest6,-867.5
2021-10-14,L,base,357.5
2021-10-14,L,be1.0,357.5
2021-10-14,L,be0.5,357.5
2021-10-14,L,tight6,-155.0
2021-10-14,L,scale2x,357.5
2021-10-14,L,retest2,332.5
2021-10-14,L,retest6,382.5
2021-10-18,L,retest2,370.0
2021-10-18,L,base,257.5
2021-10-18,L,be1.0,257.5
2021-10-18,L,be0.5,257.5
2021-10-18,L,tight6,-16.3
2021-10-18,L,scale2x,257.5
2021-10-18,L,retest2,232.5
2021-10-18,L,retest6,282.5
2021-10-19,L,base,982.5
2021-10-19,L,be1.0,982.5
2021-10-19,L,be0.5,982.5
2021-10-19,L,tight6,86.1
2021-10-19,L,scale2x,982.5
2021-10-19,L,retest2,957.5
2021-10-19,L,retest6,1007.5
2021-10-19,L,base,757.5
2021-10-19,L,be1.0,757.5
2021-10-19,L,be0.5,757.5
2021-10-19,L,tight6,98.7
2021-10-19,L,scale2x,757.5
2021-10-19,L,retest2,732.5
2021-10-19,L,retest6,782.5
2021-10-19,L,base,520.0
2021-10-19,L,be1.0,520.0
2021-10-19,L,be0.5,520.0
2021-10-19,L,tight6,520.0
2021-10-19,L,scale2x,520.0
2021-10-19,L,retest2,495.0
2021-10-19,L,retest6,545.0
2021-10-19,L,base,332.5
2021-10-19,L,be1.0,332.5
2021-10-19,L,be0.5,332.5
2021-10-19,L,tight6,-30.0
2021-10-19,L,scale2x,332.5
2021-10-19,L,retest2,307.5
2021-10-19,L,retest6,357.5
2021-10-19,L,base,345.0
2021-10-19,L,be1.0,345.0
2021-10-19,L,be0.5,345.0
2021-10-19,L,tight6,-2.5
2021-10-19,L,scale2x,345.0
2021-10-19,L,retest2,320.0
2021-10-19,L,retest6,370.0
2021-10-20,L,base,-67.5
2021-10-20,L,be1.0,-67.5
2021-10-20,L,be0.5,-67.5
2021-10-20,L,tight6,27.5
2021-10-20,L,scale2x,-67.5
2021-10-20,L,retest2,-92.5
2021-10-20,L,retest6,-42.5
2021-10-21,L,base,720.0
2021-10-21,L,be1.0,720.0
2021-10-21,L,be0.5,720.0
2021-10-21,L,tight6,82.5
2021-10-21,L,scale2x,720.0
2021-10-21,L,retest2,695.0
2021-10-21,L,retest6,745.0
2021-10-22,S,base,332.5
2021-10-22,S,be1.0,-17.5
2021-10-22,S,be0.5,-17.5
2021-10-22,S,tight6,332.5
2021-10-22,S,scale2x,757.5
2021-10-22,S,retest2,307.5
2021-10-22,S,retest6,357.5
2021-10-22,S,base,-617.5
2021-10-22,S,be1.0,-617.5
2021-10-22,S,be0.5,-617.5
2021-10-22,S,tight6,-380.0
2021-10-22,S,scale2x,-617.5
2021-10-22,S,retest2,-617.5
2021-10-22,S,retest6,-617.5
2021-10-25,L,base,470.0
2021-10-25,L,be1.0,470.0
2021-10-25,L,be0.5,470.0
2021-10-25,L,tight6,287.5
2021-10-25,L,scale2x,470.0
2021-10-25,L,retest2,445.0
2021-10-27,S,base,-505.0
2021-10-27,S,be1.0,-505.0
2021-10-27,S,be0.5,-505.0
2021-10-27,S,tight6,-247.5
2021-10-27,S,scale2x,-505.0
2021-10-27,S,retest2,-505.0
2021-10-27,S,retest6,-505.0
2021-10-27,L,base,-505.0
2021-10-27,L,be1.0,-505.0
2021-10-27,L,be0.5,-505.0
2021-10-27,L,tight6,-205.0
2021-10-27,L,scale2x,-505.0
2021-10-27,L,retest2,-505.0
2021-10-27,L,retest6,-505.0
2021-10-28,L,base,-480.0
2021-10-28,L,be1.0,-480.0
2021-10-28,L,be0.5,-480.0
2021-10-28,L,tight6,-127.5
2021-10-28,L,scale2x,-480.0
2021-10-28,L,retest2,-480.0
2021-10-28,L,retest6,-480.0
2021-10-29,S,base,-467.5
2021-10-29,S,be1.0,-467.5
2021-10-29,S,be0.5,-467.5
2021-10-29,S,tight6,-230.0
2021-10-29,S,scale2x,-467.5
2021-10-29,S,retest2,-467.5
2021-10-29,S,retest6,-467.5
2021-10-29,L,base,645.0
2021-10-29,L,be1.0,645.0
2021-10-29,L,be0.5,645.0
2021-10-29,L,tight6,-33.7
2021-10-29,L,scale2x,645.0
2021-10-29,L,retest2,620.0
2021-10-29,L,retest6,670.0
2021-10-29,L,base,-467.5
2021-10-29,L,be1.0,-467.5
2021-10-29,L,be0.5,-467.5
2021-10-29,L,tight6,-5.0
2021-10-29,L,scale2x,-467.5
2021-10-29,L,retest2,-467.5
2021-10-29,L,retest6,-467.5
2021-11-04,L,base,-505.0
2021-11-04,L,be1.0,-505.0
2021-11-04,L,be0.5,-505.0
2021-11-04,L,tight6,-367.5
2021-11-04,L,scale2x,-505.0
2021-11-04,L,retest2,-505.0
2021-11-04,L,retest6,-505.0
2021-11-04,S,base,-505.0
2021-11-04,S,be1.0,-505.0
2021-11-04,S,be0.5,-505.0
2021-11-04,S,tight6,-505.0
2021-11-04,S,scale2x,-505.0
2021-11-04,S,retest2,-505.0
2021-11-04,S,retest6,-505.0
2021-11-05,S,base,307.5
2021-11-05,S,be1.0,307.5
2021-11-05,S,be0.5,-17.5
2021-11-05,S,tight6,-105.0
2021-11-05,S,scale2x,307.5
2021-11-05,S,retest2,282.5
2021-11-05,S,retest6,332.5
2021-11-09,S,base,-467.5
2021-11-09,S,be1.0,-467.5
2021-11-09,S,be0.5,-17.5
2021-11-09,S,tight6,-305.0
2021-11-09,S,scale2x,-467.5
2021-11-09,S,retest2,-467.5
2021-11-09,S,retest6,-467.5
2021-11-15,S,base,-17.5
2021-11-15,S,be1.0,-17.5
2021-11-15,S,be0.5,-17.5
2021-11-15,S,tight6,-155.0
2021-11-15,S,scale2x,-17.5
