engine,entry_dt,exit_dt,why,entry,exit,pts,pnl,window
daily,2021-11-26 00:00:00,2021-11-29 00:00:00,target,5421.5,5496.5,74.75,368.75,A: 2021-06-17..2026-07-02
daily,2021-12-01 00:00:00,2021-12-02 00:00:00,target,5350.0,5425.0,74.75,368.75,A: 2021-06-17..2026-07-02
daily,2022-01-05 00:00:00,2022-01-07 00:00:00,stop,5542.25,5507.25,-35.25,-181.25,A: 2021-06-17..2026-07-02
daily,2022-01-18 00:00:00,2022-01-19 00:00:00,stop,5427.25,5392.25,-35.25,-181.25,A: 2021-06-17..2026-07-02
daily,2022-08-22 00:00:00,2022-08-24 00:00:00,stop,4989.25,4954.25,-35.25,-181.25,A: 2021-06-17..2026-07-02
daily,2023-02-21 00:00:00,2023-02-24 00:00:00,stop,4795.75,4760.75,-35.25,-181.25,A: 2021-06-17..2026-07-02
daily,2023-02-28 00:00:00,2023-03-02 00:00:00,stop,4757.5,4722.5,-35.25,-181.25,A: 2021-06-17..2026-07-02
daily,2023-04-26 00:00:00,2023-04-27 00:00:00,target,4839.25,4914.25,74.75,368.75,A: 2021-06-17..2026-07-02
daily,2023-05-04 00:00:00,2023-05-05 00:00:00,target,4828.25,4903.25,74.75,368.75,A: 2021-06-17..2026-07-02
daily,2023-06-23 00:00:00,2023-06-27 00:00:00,sma5,5098.25,5124.5,26.0,125.0,A: 2021-06-17..2026-07-02
daily,2023-08-02 00:00:00,2023-08-04 00:00:00,stop,5244.25,5209.25,-35.25,-181.25,A: 2021-06-17..2026-07-02
daily,2023-08-09 00:00:00,2023-08-14 00:00:00,sma5,5203.0,5216.25,13.0,60.0,A: 2021-06-17..2026-07-02
daily,2023-08-15 00:00:00,2023-08-16 00:00:00,stop,5162.25,5127.25,-35.25,-181.25,A: 2021-06-17..2026-07-02
daily,2023-08-17 00:00:00,2023-08-21 00:00:00,sma5,5088.25,5119.25,30.75,148.75,A: 2021-06-17..2026-07-02
daily,2024-01-03 00:00:00,2024-01-05 00:00:00,stop,5356.75,5321.75,-35.25,-181.25,A: 2021-06-17..2026-07-02
daily,2024-01-31 00:00:00,2024-02-01 00:00:00,target,5479.75,5554.75,74.75,368.75,A: 2021-06-17..2026-07-02
daily,2024-04-04 00:00:00,2024-04-05 00:00:00,target,5741.5,5816.5,74.75,368.75,A: 2021-06-17..2026-07-02
daily,2024-04-12 00:00:00,2024-04-15 00:00:00,stop,5711.0,5676.0,-35.25,-181.25,A: 2021-06-17..2026-07-02
daily,2024-04-16 00:00:00,2024-04-17 00:00:00,stop,5639.0,5604.0,-35.25,-181.25,A: 2021-06-17..2026-07-02
daily,2024-04-18 00:00:00,2024-04-19 00:00:00,stop,5592.5,5557.5,-35.25,-181.25,A: 2021-06-17..2026-07-02
daily,2024-05-29 00:00:00,2024-05-31 00:00:00,stop,5814.5,5779.5,-35.25,-181.25,A: 2021-06-17..2026-07-02
daily,2024-07-19 00:00:00,2024-07-23 00:00:00,target,6028.75,6103.75,74.75,368.75,A: 2021-06-17..2026-07-02
daily,2024-07-24 00:00:00,2024-07-25 00:00:00,stop,5959.25,5924.25,-35.25,-181.25,A: 2021-06-17..2026-07-02
daily,2024-07-30 00:00:00,2024-07-31 00:00:00,target,5928.0,6003.0,74.75,368.75,A: 2021-06-17..2026-07-02
daily,2024-09-03 00:00:00,2024-09-05 00:00:00,stop,6014.5,5979.5,-35.25,-181.25,A: 2021-06-17..2026-07-02
daily,2024-10-31 00:00:00,2024-11-05 00:00:00,target,6154.0,6229.0,74.75,368.75,A: 2021-06-17..2026-07-02
daily,2024-12-18 00:00:00,2024-12-20 00:00:00,stop,6281.25,6246.25,-35.25,-181.25,A: 2021-06-17..2026-07-02
daily,2025-02-21 00:00:00,2025-02-24 00:00:00,stop,6371.5,6336.5,-35.25,-181.25,A: 2021-06-17..2026-07-02
daily,2025-06-19 00:00:00,2025-06-20 00:00:00,target,6213.25,6288.25,74.75,368.75,A: 2021-06-17..2026-07-02
daily,2025-08-01 00:00:00,2025-08-04 00:00:00,target,6498.25,6573.25,74.75,368.75,A: 2021-06-17..2026-07-02
daily,2025-10-10 00:00:00,2025-10-13 00:00:00,target,6730.5,6805.5,74.75,368.75,A: 2021-06-17..2026-07-02
daily,2025-11-06 00:00:00,2025-11-07 00:00:00,stop,6943.25,6908.25,-35.25,-181.25,A: 2021-06-17..2026-07-02
daily,2025-11-18 00:00:00,2025-11-19 00:00:00,target,6806.25,6881.25,74.75,368.75,A: 2021-06-17..2026-07-02
daily,2025-12-17 00:00:00,2025-12-18 00:00:00,target,6906.5,6981.5,74.75,368.75,A: 2021-06-17..2026-07-02
daily,2026-01-20 00:00:00,2026-01-21 00:00:00,target,6957.5,7032.5,74.75,368.75,A: 2021-06-17..2026-07-02
daily,2026-06-05 00:00:00,2026-06-08 00:00:00,target,7435.5,7510.5,74.75,368.75,A: 2021-06-17..2026-07-02
daily,2026-06-10 00:00:00,2026-06-11 00:00:00,target,7334.5,7409.5,74.75,368.75,A: 2021-06-17..2026-07-02
daily,2026-06-23 00:00:00,2026-06-24 00:00:00,stop,7445.5,7410.5,-35.25,-181.25,A: 2021-06-17..2026-07-02
4h,2021-07-13 13:00:00,2021-07-14 01:00:00,sma5,5192.5,5195.5,2.75,8.75,A: 2021-06-17..2026-07-02
4h,2021-07-15 09:00:00,2021-07-15 21:00:00,sma5,5166.25,5183.25,16.75,78.75,A: 2021-06-17..2026-07-02
4h,2021-07-16 09:00:00,2021-07-19 17:00:00,sma5,5170.25,5107.0,-63.5,-322.5,A: 2021-06-17..2026-07-02
4h,2021-07-27 09:00:00,2021-07-27 17:00:00,sma5,5201.0,5225.75,24.5,117.5,A: 2021-06-17..2026-07-02
4h,2021-07-29 17:00:00,2021-07-30 05:00:00,sma5,5208.5,5231.5,22.75,108.75,A: 2021-06-17..2026-07-02
4h,2021-08-03 05:00:00,2021-08-03 09:00:00,sma5,5201.5,5239.5,37.75,183.75,A: 2021-06-17..2026-07-02
4h,2021-08-16 05:00:00,2021-08-16 09:00:00,sma5,5271.0,5293.5,22.25,106.25,A: 2021-06-17..2026-07-02
4h,2021-09-01 17:00:00,2021-09-02 01:00:00,sma5,5351.75,5362.0,10.0,45.0,A: 2021-06-17..2026-07-02
4h,2021-09-07 05:00:00,2021-09-09 05:00:00,sma5,5354.5,5354.75,0.0,-5.0,A: 2021-06-17..2026-07-02
4h,2021-10-08 13:00:00,2021-10-11 05:00:00,sma5,5223.0,5241.0,17.75,83.75,A: 2021-06-17..2026-07-02
4h,2021-10-27 01:00:00,2021-10-27 05:00:00,sma5,5402.5,5417.5,14.75,68.75,A: 2021-06-17..2026-07-02
4h,2021-10-27 13:00:00,2021-10-28 05:00:00,sma5,5390.25,5415.0,24.5,117.5,A: 2021-06-17..2026-07-02
4h,2021-11-09 05:00:00,2021-11-09 21:00:00,sma5,5516.75,5514.25,-2.75,-18.75,A: 2021-06-17..2026-07-02
4h,2021-11-10 09:00:00,2021-11-11 01:00:00,sma5,5489.25,5499.0,9.5,42.5,A: 2021-06-17..2026-07-02
4h,2021-11-22 13:00:00,2021-11-23 05:00:00,sma5,5526.5,5532.75,6.0,25.0,A: 2021-06-17..2026-07-02
4h,2021-12-09 13:00:00,2021-12-10 01:00:00,sma5,5511.0,5522.75,11.5,52.5,A: 2021-06-17..2026-07-02
4h,2021-12-13 13:00:00,2021-12-14 17:00:00,sma5,5513.75,5482.0,-32.0,-165.0,A: 2021-06-17..2026-07-02
4h,2021-12-16 21:00:00,2021-12-17 09:00:00,sma5,5502.0,5496.0,-6.25,-36.25,A: 2021-06-17..2026-07-02
4h,2022-01-05 09:00:00,2022-01-06 09:00:00,sma5,5616.75,5548.5,-68.5,-347.5,A: 2021-06-17..2026-07-02
4h,2022-02-02 21:00:00,2022-02-03 13:00:00,sma5,5383.0,5372.25,-11.0,-60.0,A: 2021-06-17..2026-07-02
4h,2022-02-10 17:00:00,2022-02-11 05:00:00,sma5,5332.5,5346.25,13.5,62.5,A: 2021-06-17..2026-07-02
4h,2022-03-23 13:00:00,2022-03-23 21:00:00,sma5,5298.25,5318.25,19.75,93.75,A: 2021-06-17..2026-07-02
4h,2022-03-31 09:00:00,2022-04-01 01:00:00,sma5,5428.25,5402.0,-26.5,-137.5,A: 2021-06-17..2026-07-02
4h,2022-04-01 05:00:00,2022-04-01 13:00:00,sma5,5382.25,5387.75,5.25,21.25,A: 2021-06-17..2026-07-02
4h,2022-04-05 09:00:00,2022-04-07 01:00:00,sma5,5389.0,5337.75,-51.5,-262.5,A: 2021-06-17..2026-07-02
4h,2022-05-31 01:00:00,2022-05-31 09:00:00,sma5,4978.5,5014.25,35.5,172.5,A: 2021-06-17..2026-07-02
4h,2022-06-02 05:00:00,2022-06-02 09:00:00,sma5,4933.25,5002.0,68.5,337.5,A: 2021-06-17..2026-07-02
4h,2022-06-06 17:00:00,2022-06-07 09:00:00,sma5,4951.25,4982.25,30.75,148.75,A: 2021-06-17..2026-07-02
4h,2022-06-08 17:00:00,2022-06-09 01:00:00,sma5,4954.25,4976.0,21.5,102.5,A: 2021-06-17..2026-07-02
4h,2022-06-27 17:00:00,2022-06-27 21:00:00,sma5,4738.25,4748.75,10.25,46.25,A: 2021-06-17..2026-07-02
4h,2022-07-10 21:00:00,2022-07-11 09:00:00,sma5,4716.25,4722.0,5.5,22.5,A: 2021-06-17..2026-07-02
4h,2022-07-11 17:00:00,2022-07-12 05:00:00,sma5,4682.25,4695.0,12.5,57.5,A: 2021-06-17..2026-07-02
4h,2022-07-26 05:00:00,2022-07-26 17:00:00,sma5,4789.0,4793.25,4.0,15.0,A: 2021-06-17..2026-07-02
4h,2022-08-01 17:00:00,2022-08-02 09:00:00,sma5,4945.75,4950.0,4.0,15.0,A: 2021-06-17..2026-07-02
4h,2022-08-09 05:00:00,2022-08-10 01:00:00,sma5,4965.0,4977.75,12.5,57.5,A: 2021-06-17..2026-07-02
4h,2022-08-17 01:00:00,2022-08-18 01:00:00,sma5,5128.0,5124.75,-3.5,-22.5,A: 2021-06-17..2026-07-02
4h,2022-08-19 01:00:00,2022-08-23 01:00:00,sma5,5095.5,4995.5,-100.25,-506.25,A: 2021-06-17..2026-07-02
4h,2022-10-19 05:00:00,2022-10-19 21:00:00,sma5,4531.5,4525.5,-6.25,-36.25,A: 2021-06-17..2026-07-02
4h,2022-10-27 05:00:00,2022-10-28 05:00:00,sma5,4655.5,4669.5,13.75,63.75,A: 2021-06-17..2026-07-02
4h,2022-11-01 13:00:00,2022-11-01 21:00:00,sma5,4685.25,4700.75,15.25,71.25,A: 2021-06-17..2026-07-02
4h,2022-11-02 05:00:00,2022-11-03 21:00:00,sma5,4667.25,4557.75,-109.75,-553.75,A: 2021-06-17..2026-07-02
4h,2022-11-09 05:00:00,2022-11-10 01:00:00,sma5,4624.75,4592.0,-33.0,-170.0,A: 2021-06-17..2026-07-02
