Date,eod,reg,cut
2023-04-27,1557.5,1257.5,True
2023-04-27,1520.0,1220.0,True
2023-04-28,-605.0,-405.0,True
2023-05-02,-592.5,-380.0,True
2023-05-08,-492.5,-205.0,True
2023-05-11,-505.0,-392.5,True
2023-05-12,-630.0,-505.0,True
2023-05-19,95.0,95.0,False
2023-05-22,195.0,-280.0,True
2023-05-24,-630.0,-267.5,True
2023-05-26,-605.0,-180.0,True
2023-06-05,707.5,-292.5,True
2023-06-06,-605.0,-342.5,True
2023-06-07,1095.0,670.0,True
2023-06-07,270.0,-155.0,True
2023-06-09,-580.0,-530.0,True
2023-06-13,-592.5,-342.5,True
2023-06-13,-592.5,-92.5,True
2023-06-15,670.0,670.0,False
2023-06-20,-592.5,-592.5,False
2023-06-26,245.0,-230.0,True
2023-06-28,-592.5,-205.0,True
2023-06-29,-555.0,-242.5,True
2023-07-17,-180.0,-42.5,True
2023-07-25,307.5,95.0,True
2023-07-25,132.5,-80.0,True
2023-08-01,-80.0,-167.5,True
2023-08-07,595.0,-92.5,True
2023-08-14,507.5,-267.5,True
2023-08-22,-730.0,-242.5,True
2023-08-23,445.0,520.0,True
2023-08-25,1070.0,282.5,True
2023-08-28,-217.5,-380.0,True
2023-08-28,-792.5,-792.5,False
2023-08-31,257.5,-167.5,True
2023-09-12,-505.0,-55.0,True
2023-09-13,-455.0,-417.5,True
2023-09-15,545.0,545.0,False
2023-09-15,-155.0,-155.0,False
2023-09-19,345.0,-142.5,True
2023-09-20,2757.5,-130.0,True
2023-09-20,-505.0,-80.0,True
2023-09-20,2370.0,2370.0,False
2023-09-22,-555.0,-555.0,False
2023-10-03,-755.0,-280.0,True
2023-10-04,-792.5,-42.5,True
2023-10-05,-780.0,-205.0,True
2023-10-06,82.5,-67.5,True
2023-10-11,-892.5,-205.0,True
2023-10-13,-330.0,-292.5,True
2023-10-19,-892.5,-705.0,True
2023-10-25,45.0,45.0,False
2023-10-27,-880.0,-180.0,True
2023-10-31,120.0,120.0,False
2023-11-06,-517.5,-317.5,True
