Date,dir,count,book,regime,fire_bar,sig_bar,fill,stop,R,net,Rpts
2021-06-18,L,1,T1,NEUTRAL,5,4,4970.75,4960.5,-1.0,-517.5,10.25
2021-06-18,L,1,T2,NEUTRAL,5,4,4970.75,4960.5,-1.0,-517.5,10.25
2021-06-18,L,1,T1,NEUTRAL,6,5,4974.5,4960.25,-1.0,-717.5,14.25
2021-06-18,L,1,T2,NEUTRAL,6,5,4974.5,4960.25,-1.0,-717.5,14.25
2021-06-18,L,2,T1,NEUTRAL,10,9,4974.75,4964.75,-1.0,-505.0,10.0
2021-06-18,L,2,T2,NEUTRAL,10,9,4974.75,4964.75,-1.0,-505.0,10.0
2021-06-21,L,1,T1,NEUTRAL,5,4,5007.5,5001.5,1.0,295.0,6.0
2021-06-21,L,1,T2,NEUTRAL,5,4,5007.5,5001.5,-1.0,-305.0,6.0
2021-06-21,L,1,T1,NEUTRAL,9,8,5007.75,5002.75,1.0,245.0,5.0
2021-06-21,L,1,T2,NEUTRAL,9,8,5007.75,5002.75,2.0,495.0,5.0
2021-06-21,L,1,T1,BULL,12,11,5013.5,5008.5,-1.0,-255.0,5.0
2021-06-21,L,1,T2,BULL,12,11,5013.5,5008.5,-1.0,-255.0,5.0
2021-06-21,L,2,T1,BULL,13,12,5015.25,5008.25,-1.0,-355.0,7.0
2021-06-21,L,2,T2,BULL,13,12,5015.25,5008.25,-1.0,-355.0,7.0
2021-06-22,L,1,T1,NEUTRAL,3,2,5018.75,5005.0,1.0,682.5,13.75
2021-06-22,L,1,T2,NEUTRAL,3,2,5018.75,5005.0,-1.0,-692.5,13.75
2021-06-22,L,1,T1,NEUTRAL,8,7,5030.0,5026.25,-1.0,-192.5,3.75
2021-06-22,L,1,T2,NEUTRAL,8,7,5030.0,5026.25,-1.0,-192.5,3.75
2021-06-22,L,2,T1,NEUTRAL,10,9,5030.0,5027.75,1.0,107.5,2.25
2021-06-22,L,2,T2,NEUTRAL,10,9,5030.0,5027.75,2.0,220.0,2.25
2021-06-23,S,1,T1,NEUTRAL,3,2,5037.0,5046.0,-1.0,-455.0,9.0
2021-06-23,S,1,T2,NEUTRAL,3,2,5037.0,5046.0,-1.0,-455.0,9.0
2021-06-23,S,1,T1,BEAR,5,4,5034.0,5042.5,-1.0,-430.0,8.5
2021-06-23,S,1,T2,BEAR,5,4,5034.0,5042.5,-1.0,-430.0,8.5
2021-06-23,S,1,T1,BEAR,7,6,5036.25,5039.75,1.0,170.0,3.5
2021-06-23,S,1,T2,BEAR,7,6,5036.25,5039.75,-1.0,-180.0,3.5
2021-06-23,L,1,T1,NEUTRAL,12,11,5039.75,5036.25,1.0,170.0,3.5
2021-06-23,L,1,T2,NEUTRAL,12,11,5039.75,5036.25,-1.0,-180.0,3.5
2021-06-24,S,1,T1,NEUTRAL,4,3,5053.5,5060.25,-1.0,-342.5,6.75
2021-06-24,S,1,T2,NEUTRAL,4,3,5053.5,5060.25,-1.0,-342.5,6.75
2021-06-24,S,1,T1,NEUTRAL,9,8,5053.25,5060.5,-1.0,-367.5,7.25
2021-06-24,S,1,T2,NEUTRAL,9,8,5053.25,5060.5,-1.0,-367.5,7.25
2021-06-24,S,2,T1,NEUTRAL,12,11,5057.0,5060.5,1.0,170.0,3.5
2021-06-24,S,2,T2,NEUTRAL,12,11,5057.0,5060.5,-1.0,-180.0,3.5
2021-06-25,S,1,T1,NEUTRAL,4,3,5063.0,5069.25,-1.0,-317.5,6.25
