Date,book,yr,d1,d2,d3,d4,d6,d8,d10,d12,d16,sb_atr,sb_pos,ema_ext,tod,stop_net
2021-07-09,2EL,2021,470.0,,,,,,,,,0.07534983857911733,0.1428571427755102,0.36069233748361385,10,470.0
2021-07-09,2EL,2021,332.5,345.0,357.5,370.0,,,,,,0.05382131328310011,0.9999999991999999,0.07772344264028856,11,332.5
2021-07-13,2ES,2021,295.0,307.5,320.0,332.5,357.5,382.5,,,,0.12560386477294685,0.3076923075976331,0.12329325841394324,13,295.0
2021-07-14,2ES,2021,32.5,45.0,57.5,70.0,95.0,120.0,145.0,170.0,,0.13888888892592594,0.19999999994666667,0.06028413594167095,11,32.5
2021-08-02,2ES,2021,1070.0,1082.5,1095.0,1107.5,1132.5,1157.5,1182.5,1207.5,1257.5,0.09408602153225806,0.49999999985714283,0.6506169475944251,9,1070.0
2021-08-02,2ES,2021,482.5,495.0,507.5,520.0,545.0,570.0,595.0,620.0,,0.07392473120967742,0.5454545452561983,0.07380186960500562,11,482.5
2021-08-02,2ES,2021,432.5,445.0,457.5,470.0,,,,,,0.04032258067204301,0.16666666655555554,9.191105917086123e-05,13,432.5
2021-08-17,2ES,2021,-530.0,-530.0,-530.0,-530.0,-530.0,-530.0,-530.0,-530.0,-530.0,0.11078286561299852,0.4666666665422222,0.13392224079555112,12,-530.0
2021-08-20,2ES,2021,-555.0,-555.0,-555.0,-555.0,-555.0,-555.0,-555.0,-555.0,-217.5,0.055286800304077406,0.3749999998125,0.058990130637187575,10,-555.0
2021-08-20,2EL,2021,57.5,70.0,82.5,95.0,120.0,145.0,170.0,195.0,245.0,0.06219765033863166,0.33333333318518515,0.015267538255810773,13,57.5
2021-08-24,2EL,2021,-255.0,-242.5,-230.0,-217.5,,,,,,0.05035971225899281,0.9999999994285714,0.07308557187547286,12,-255.0
2021-08-25,2EL,2021,-142.5,-130.0,-117.5,-105.0,-80.0,-55.0,,,,0.054390054421134426,0.8571428566530612,0.07061649701191057,11,-142.5
2021-08-26,2ES,2021,-505.0,-505.0,-505.0,-505.0,-505.0,-505.0,-505.0,332.5,382.5,0.13899613902702704,0.7222222220617284,0.3774806096745935,9,-505.0
2021-08-26,2ES,2021,245.0,257.5,270.0,282.5,307.5,,,,,0.07722007725096525,0.09999999996,0.10674654681309266,13,245.0
2021-08-27,2EL,2021,170.0,182.5,195.0,207.5,232.5,257.5,282.5,307.5,357.5,0.04480955940253921,0.6666666662222221,0.24095945789038922,10,170.0
2021-08-27,2EL,2021,82.5,,,,,,,,,0.059746079193427934,0.3749999998125,0.11672374878366346,11,82.5
2021-08-27,2EL,2021,-205.0,-192.5,-180.0,-167.5,-142.5,-117.5,-92.5,-67.5,-17.5,0.04480955940253921,0.6666666662222221,0.1209249452598706,12,-205.0
2021-08-27,2ES,2021,45.0,57.5,70.0,,,,,,,0.04480955940253921,0.9999999993333333,0.0016635582880235673,13,45.0
2021-08-30,2EL,2021,-267.5,-255.0,-242.5,-230.0,-205.0,-180.0,-155.0,-130.0,,0.04881450490934449,0.8571428566530612,0.13646594902863274,10,-267.5
