Date,sleeve,dir,net
2025-05-22,WT,L,-5.0
2025-05-27,WT,L,1295.0
2025-05-27,WT,L,670.0
2025-05-27,WT,L,357.5
2025-05-28,WT,L,-892.5
2025-05-28,FADE,S,-217.5
2025-05-30,FADE,L,-217.5
2025-05-30,WT,S,-955.0
2025-06-02,FADE,L,-217.5
2025-06-05,FADE,L,-217.5
2025-06-05,WT,S,1182.5
2025-06-10,FADE,L,-217.5
2025-06-11,WT,L,-867.5
2025-06-11,WT,L,-867.5
2025-06-11,WT,S,1270.0
2025-06-11,FADE,L,-217.5
2025-06-11,WT,S,182.5
2025-06-12,FADE,L,-217.5
2025-06-16,FADE,S,-217.5
2025-06-17,WT,S,-5.0
2025-06-26,FADE,L,-217.5
2025-06-26,WT,L,-80.0
2025-06-30,WT,L,395.0
2025-07-01,FADE,L,-217.5
2025-07-02,WT,L,657.5
2025-07-02,WT,L,445.0
2025-07-02,WT,L,282.5
2025-07-03,FADE,L,120.0
2025-07-07,FADE,S,1145.0
2025-07-08,FADE,L,-217.5
2025-07-08,FADE,S,-217.5
2025-07-09,WT,S,-80.0
2025-07-10,WT,L,-605.0
2025-07-14,FADE,S,-217.5
2025-07-15,FADE,S,-217.5
2025-07-16,FADE,L,-217.5
2025-07-17,FADE,L,1045.0
2025-07-18,FADE,S,-217.5
2025-07-18,WT,S,-330.0
2025-07-21,FADE,L,-217.5
2025-07-21,WT,L,-680.0
2025-07-22,FADE,L,-217.5
2025-07-25,WT,L,570.0
2025-07-25,WT,L,95.0
2025-07-25,WT,L,-80.0
2025-07-25,WT,L,-180.0
2025-07-28,FADE,L,-217.5
2025-07-28,WT,S,-505.0
2025-07-29,WT,S,370.0
2025-07-30,FADE,L,-217.5
2025-07-31,FADE,S,3632.5
2025-08-05,WT,S,-767.5
2025-08-06,FADE,L,-217.5
2025-08-06,FADE,L,707.5
2025-08-11,WT,S,-917.5
2025-08-11,FADE,S,807.5
2025-08-11,WT,S,495.0
2025-08-12,WT,L,445.0
2025-08-12,WT,L,232.5
2025-08-13,FADE,S,-217.5
2025-08-14,FADE,L,-217.5
2025-08-14,WT,L,-142.5
2025-08-19,WT,S,695.0
2025-08-19,FADE,S,-217.5
2025-08-20,WT,L,720.0
2025-08-21,FADE,L,-217.5
2025-08-22,FADE,L,-217.5
2025-08-26,FADE,S,-217.5
2025-08-26,WT,L,1470.0
2025-08-26,FADE,L,1420.0
2025-08-26,WT,L,1170.0
2025-08-27,FADE,L,-217.5
2025-09-03,FADE,S,-217.5
2025-09-04,WT,L,1557.5
2025-09-04,WT,L,1470.0
2025-09-04,WT,L,1045.0
2025-09-05,FADE,S,-217.5
2025-09-08,WT,S,-280.0
2025-09-08,WT,S,-317.5
2025-09-09,WT,L,720.0
2025-09-10,FADE,L,-217.5
2025-09-11,WT,L,-5.0
2025-09-12,WT,L,-317.5
2025-09-16,WT,S,-192.5
2025-09-17,WT,L,-605.0
2025-09-19,FADE,S,-217.5
2025-09-19,WT,L,657.5
2025-09-19,WT,L,482.5
2025-09-23,WT,S,1507.5
2025-09-24,WT,S,-255.0
2025-09-29,FADE,S,-217.5
2025-09-29,FADE,S,-217.5
2025-09-30,WT,L,957.5
2025-09-30,WT,L,-742.5
2025-10-02,WT,S,-755.0
2025-10-02,WT,L,395.0
2025-10-03,WT,L,-742.5
2025-10-03,FADE,S,1595.0
2025-10-06,FADE,L,-217.5
2025-10-07,WT,S,-230.0
2025-10-10,WT,S,9345.0
2025-10-10,WT,S,9432.5
2025-10-10,WT,S,-705.0
2025-10-10,FADE,S,-217.5
2025-10-16,WT,S,-1167.5
2025-10-17,FADE,S,-217.5
2025-10-20,FADE,L,907.5
2025-10-21,FADE,L,-217.5
2025-10-22,FADE,S,1307.5
2025-10-23,FADE,L,-217.5
2025-10-29,FADE,S,-217.5
2025-10-31,FADE,L,-217.5
2025-11-05,FADE,S,-217.5
2025-11-05,WT,L,-842.5
2025-11-06,WT,S,1632.5
2025-11-06,FADE,L,-217.5
2025-11-07,WT,S,-867.5
2025-11-11,FADE,S,-217.5
2025-11-12,WT,S,-530.0
2025-11-13,WT,L,-1005.0
2025-11-17,FADE,L,-217.5
2025-11-19,FADE,S,-217.5
2025-11-19,FADE,S,-217.5
2025-11-21,WT,L,-1567.5
2025-11-21,FADE,S,-217.5
2025-11-24,FADE,L,-217.5
2025-11-26,FADE,L,907.5
2025-12-02,FADE,L,-217.5
2025-12-03,WT,L,770.0
2025-12-03,WT,L,-142.5
2025-12-04,FADE,S,-217.5
2025-12-05,WT,S,-255.0
2025-12-08,WT,S,-605.0
2025-12-12,WT,L,-742.5
2025-12-15,WT,L,-842.5
2025-12-15,FADE,S,-217.5
2025-12-15,WT,L,7.5
2025-12-16,FADE,L,-217.5
2025-12-17,WT,L,-905.0
2025-12-17,WT,S,345.0
2025-12-17,WT,S,157.5
2025-12-17,WT,S,82.5
2025-12-17,WT,S,-430.0
2025-12-19,WT,L,45.0
2025-12-19,FADE,L,-217.5
2025-12-22,WT,L,107.5
2025-12-23,WT,L,1120.0
2025-12-23,FADE,S,-217.5
2025-12-26,WT,S,195.0
2025-12-26,FADE,L,-217.5
2025-12-30,FADE,S,-217.5
2026-01-02,FADE,S,-217.5
2026-01-02,WT,S,-680.0
2026-01-05,WT,L,-67.5
2026-01-05,WT,L,-405.0
2026-01-07,WT,L,-605.0
2026-01-12,WT,L,370.0
2026-01-14,WT,S,-730.0
2026-01-16,FADE,S,-217.5
2026-01-16,WT,S,607.5
2026-01-21,FADE,L,-217.5
2026-01-21,FADE,L,-217.5
2026-01-22,FADE,L,-217.5
2026-01-27,FADE,S,-217.5
2026-01-29,WT,L,1995.0
2026-01-29,WT,L,1057.5
2026-02-03,WT,S,945.0
2026-02-03,WT,S,595.0
2026-02-04,WT,S,-1092.5
2026-02-04,FADE,L,-217.5
2026-02-09,FADE,L,-217.5
2026-02-09,WT,S,532.5
2026-02-10,FADE,L,-217.5
2026-02-12,FADE,L,-217.5
2026-02-12,WT,S,1482.5
2026-02-12,WT,S,-1367.5
2026-02-13,WT,L,-1417.5
2026-02-17,WT,L,-705.0
2026-02-18,WT,S,382.5
2026-02-20,FADE,L,-217.5
2026-02-23,FADE,S,-217.5
2026-02-23,FADE,S,-217.5
2026-02-25,WT,L,532.5
2026-02-25,WT,L,507.5
2026-03-04,WT,L,-80.0
2026-03-05,WT,S,170.0
2026-03-05,FADE,S,-217.5
2026-03-13,FADE,S,-217.5
2026-03-13,FADE,L,-217.5
2026-03-17,FADE,L,-217.5
2026-03-17,WT,S,20.0
2026-03-18,FADE,S,-217.5
2026-03-19,FADE,L,-217.5
2026-03-19,FADE,S,-217.5
2026-04-01,FADE,L,-217.5
2026-04-07,WT,L,-1492.5
2026-04-09,WT,L,-392.5
2026-04-10,WT,S,-267.5
2026-04-13,FADE,L,-217.5
2026-04-13,WT,L,1932.5
2026-04-14,FADE,L,-217.5
2026-04-15,WT,L,820.0
2026-04-15,WT,L,507.5
2026-04-16,FADE,L,957.5
2026-04-20,WT,S,-555.0
2026-04-21,WT,S,432.5
2026-04-21,WT,S,257.5
2026-04-22,WT,L,145.0
2026-04-23,FADE,L,-217.5
2026-04-27,WT,S,-630.0
2026-04-27,WT,L,370.0
2026-04-29,FADE,L,-217.5
2026-04-29,WT,S,-855.0
2026-04-29,WT,S,-855.0
2026-04-29,WT,S,-855.0
2026-05-01,FADE,L,-217.5
2026-05-04,WT,S,-892.5
2026-05-07,WT,L,-917.5
2026-05-07,WT,S,-917.5
2026-05-08,FADE,L,-217.5
2026-05-13,WT,L,2170.0
2026-05-13,WT,L,1832.5
2026-05-13,WT,L,170.0
2026-05-14,FADE,L,907.5
2026-05-18,FADE,L,-217.5
2026-05-18,WT,L,-917.5
2026-05-19,FADE,L,-217.5
2026-05-20,WT,L,282.5
2026-05-21,FADE,S,-217.5
2026-05-22,FADE,S,-217.5
2026-05-22,FADE,S,-217.5
2026-05-28,WT,L,732.5
2026-05-28,WT,L,457.5
2026-06-01,WT,L,-505.0
2026-06-02,FADE,L,732.5
2026-06-03,WT,S,557.5
2026-06-04,FADE,L,-217.5
2026-06-10,FADE,L,-217.5
2026-06-12,FADE,L,-217.5
2026-06-16,WT,S,1570.0
2026-06-17,WT,S,4132.5
2026-06-22,FADE,L,-217.5
2026-06-22,WT,S,-417.5
2026-06-24,WT,S,-1280.0
2026-06-24,FADE,S,-217.5
2026-06-24,WT,S,-1280.0
2026-06-25,FADE,L,-217.5
2026-07-01,WT,L,-1217.5
2026-07-01,WT,S,1057.5
2026-07-02,WT,S,282.5
2026-07-02,WT,S,-1130.0
2026-07-06,WT,L,832.5
2026-07-06,WT,L,470.0
2026-07-07,FADE,S,-217.5
2026-07-09,FADE,L,957.5
