Date,sleeve,dir,net
2022-08-08,FADE,S,-217.5
2022-08-08,FADE,L,-217.5
2022-08-12,FADE,S,-217.5
2022-08-16,FADE,S,-217.5
2022-08-19,FADE,S,-217.5
2022-08-23,FADE,L,-217.5
2022-08-24,WT,S,-342.5
2022-08-30,WT,S,-5.0
2022-08-30,WT,S,-842.5
2022-08-31,FADE,S,-217.5
2022-09-07,WT,L,1695.0
2022-09-08,WT,S,-880.0
2022-09-09,FADE,L,-217.5
2022-09-14,FADE,S,-217.5
2022-09-14,FADE,S,-5.0
2022-09-14,WT,S,-555.0
2022-09-21,WT,L,-980.0
2022-09-28,WT,L,1970.0
2022-09-28,WT,L,945.0
2022-09-28,WT,L,1082.5
2022-09-30,FADE,S,-217.5
2022-09-30,FADE,S,1670.0
2022-10-03,WT,L,1245.0
2022-10-03,WT,L,995.0
2022-10-06,WT,L,-1130.0
2022-10-10,FADE,S,-217.5
2022-10-11,FADE,S,-217.5
2022-10-11,FADE,S,-217.5
2022-10-12,WT,S,370.0
2022-10-12,FADE,S,-217.5
2022-10-20,WT,L,-1267.5
2022-10-20,WT,S,382.5
2022-10-21,WT,S,-1305.0
2022-10-21,FADE,S,-217.5
2022-10-21,FADE,L,-217.5
2022-10-26,FADE,L,-217.5
2022-10-27,WT,S,2070.0
2022-11-02,WT,S,-1155.0
2022-11-02,FADE,L,-217.5
2022-11-07,FADE,L,-217.5
2022-11-08,WT,L,-1180.0
2022-11-09,FADE,S,1795.0
2022-11-11,WT,L,-1205.0
2022-11-14,FADE,L,-217.5
2022-11-16,WT,S,-80.0
2022-11-16,WT,S,-30.0
2022-11-16,FADE,L,-217.5
2022-11-22,FADE,S,-217.5
2022-11-23,WT,L,-880.0
2022-11-29,FADE,L,-217.5
2022-11-30,WT,S,-567.5
2022-11-30,FADE,S,-217.5
2022-12-01,FADE,S,-217.5
2022-12-05,FADE,L,-217.5
2022-12-05,WT,S,1032.5
2022-12-05,WT,S,357.5
2022-12-06,WT,S,707.5
2022-12-06,WT,S,807.5
2022-12-06,WT,S,270.0
2022-12-07,FADE,L,-217.5
2022-12-08,FADE,S,-217.5
2022-12-09,WT,S,-917.5
2022-12-09,WT,L,-917.5
2022-12-09,WT,L,-917.5
2022-12-09,FADE,S,-217.5
2022-12-12,FADE,S,-217.5
2022-12-12,WT,S,-967.5
2022-12-14,FADE,L,-217.5
2022-12-19,WT,S,945.0
2022-12-19,WT,S,970.0
2022-12-23,FADE,L,-217.5
2022-12-27,FADE,L,-217.5
2022-12-28,WT,S,1795.0
2022-12-28,FADE,S,-217.5
2023-01-03,FADE,S,-217.5
2023-01-05,FADE,S,-217.5
2023-01-11,WT,L,1132.5
2023-01-11,FADE,S,-217.5
2023-01-12,WT,S,-917.5
2023-01-17,WT,L,-855.0
2023-01-18,WT,S,982.5
2023-01-19,WT,L,-480.0
2023-01-20,WT,L,2482.5
2023-01-20,WT,L,1895.0
2023-01-24,FADE,S,-217.5
2023-01-24,FADE,S,-217.5
2023-01-31,WT,L,1295.0
2023-01-31,WT,L,1057.5
2023-02-07,WT,L,-892.5
2023-02-07,FADE,L,-217.5
2023-02-08,FADE,S,-217.5
2023-02-08,FADE,S,-217.5
2023-02-15,FADE,L,-217.5
2023-02-15,FADE,L,-217.5
2023-02-15,WT,L,445.0
2023-02-17,FADE,L,-217.5
2023-02-17,WT,S,-867.5
2023-02-22,FADE,S,-217.5
2023-02-28,FADE,S,-217.5
2023-02-28,FADE,L,-217.5
2023-03-01,WT,S,-105.0
2023-03-02,WT,L,2032.5
2023-03-02,FADE,S,-217.5
2023-03-03,WT,L,1632.5
2023-03-03,WT,L,745.0
2023-03-06,WT,L,-680.0
2023-03-06,WT,L,-680.0
2023-03-06,FADE,S,507.5
2023-03-07,WT,S,-717.5
2023-03-07,FADE,S,1120.0
2023-03-08,FADE,S,-217.5
2023-03-10,FADE,S,-217.5
2023-03-16,FADE,L,4357.5
2023-03-20,FADE,L,-217.5
2023-03-20,WT,S,-192.5
2023-03-23,FADE,L,-217.5
2023-03-24,FADE,L,-217.5
2023-03-27,FADE,S,-217.5
2023-03-28,FADE,L,-217.5
2023-03-28,WT,S,-1030.0
2023-03-31,FADE,L,1895.0
2023-03-31,FADE,S,-217.5
2023-04-04,FADE,S,695.0
2023-04-05,FADE,L,495.0
2023-04-06,WT,L,1245.0
2023-04-06,WT,L,132.5
2023-04-06,WT,L,132.5
2023-04-11,WT,S,-555.0
2023-04-11,WT,L,-130.0
2023-04-12,FADE,L,-217.5
2023-04-12,WT,L,-542.5
2023-04-13,WT,L,1420.0
2023-04-17,WT,S,-642.5
2023-04-17,WT,S,-642.5
2023-04-18,FADE,S,-217.5
2023-04-21,FADE,S,-217.5
2023-04-24,WT,S,-567.5
2023-04-24,WT,L,495.0
2023-04-24,WT,L,295.0
2023-04-25,FADE,L,-217.5
2023-04-25,WT,S,-167.5
2023-04-27,WT,L,1557.5
2023-04-27,WT,L,1520.0
2023-04-28,WT,L,-605.0
2023-05-01,FADE,L,-217.5
2023-05-02,WT,S,-592.5
2023-05-02,FADE,L,-217.5
2023-05-03,FADE,S,-217.5
2023-05-04,FADE,S,-217.5
2023-05-08,WT,S,-492.5
2023-05-09,FADE,S,-217.5
2023-05-11,FADE,S,-217.5
2023-05-11,WT,S,-505.0
2023-05-12,WT,S,-630.0
2023-05-17,FADE,S,-217.5
2023-05-17,FADE,L,1145.0
2023-05-19,WT,S,95.0
2023-05-22,WT,S,195.0
2023-05-23,FADE,L,-217.5
2023-05-24,WT,S,-630.0
2023-05-26,WT,S,-605.0
2023-05-31,FADE,S,-217.5
2023-06-05,WT,S,707.5
2023-06-06,WT,S,-605.0
2023-06-07,WT,S,1095.0
2023-06-07,WT,S,270.0
2023-06-07,FADE,S,-217.5
2023-06-08,FADE,L,620.0
2023-06-09,WT,S,-580.0
2023-06-09,FADE,S,-217.5
2023-06-13,WT,S,-592.5
2023-06-13,WT,L,-592.5
2023-06-14,FADE,S,207.5
2023-06-15,WT,L,670.0
2023-06-16,FADE,L,-217.5
2023-06-16,FADE,S,820.0
2023-06-20,WT,S,-592.5
2023-06-20,FADE,S,420.0
2023-06-21,FADE,S,-217.5
2023-06-26,WT,S,245.0
2023-06-27,FADE,L,757.5
2023-06-28,WT,L,-592.5
2023-06-29,FADE,S,-217.5
2023-06-29,WT,S,-555.0
2023-07-05,FADE,L,-217.5
2023-07-10,FADE,S,-217.5
2023-07-14,FADE,L,-217.5
2023-07-17,WT,L,-180.0
2023-07-21,FADE,L,-217.5
2023-07-24,FADE,L,-217.5
2023-07-25,WT,L,307.5
2023-07-25,WT,L,132.5
2023-07-26,FADE,S,-217.5
2023-07-31,FADE,S,-217.5
2023-08-01,WT,S,-80.0
2023-08-01,FADE,L,-217.5
2023-08-03,FADE,L,870.0
2023-08-04,FADE,L,-217.5
2023-08-07,FADE,S,-217.5
2023-08-07,WT,L,595.0
2023-08-07,FADE,S,-217.5
2023-08-09,FADE,L,-217.5
2023-08-10,FADE,S,2307.5
2023-08-11,FADE,L,-217.5
2023-08-14,WT,L,507.5
2023-08-14,FADE,L,-217.5
2023-08-17,FADE,S,-217.5
2023-08-17,FADE,S,1770.0
2023-08-21,FADE,L,-217.5
2023-08-22,WT,S,-730.0
2023-08-23,WT,L,445.0
2023-08-24,FADE,S,2432.5
2023-08-25,WT,L,1070.0
2023-08-28,WT,S,-217.5
2023-08-28,WT,L,-792.5
2023-08-31,FADE,L,-217.5
2023-08-31,WT,S,257.5
2023-09-01,FADE,L,-217.5
2023-09-06,FADE,S,232.5
2023-09-12,WT,S,-505.0
2023-09-12,FADE,S,-217.5
2023-09-13,WT,S,-455.0
2023-09-13,FADE,L,-217.5
2023-09-13,FADE,S,82.5
2023-09-14,FADE,L,395.0
2023-09-15,WT,S,545.0
2023-09-15,WT,S,-155.0
2023-09-18,FADE,L,-217.5
2023-09-19,WT,L,345.0
2023-09-20,WT,S,2757.5
2023-09-20,WT,L,-505.0
2023-09-20,WT,S,2370.0
2023-09-22,WT,S,-555.0
2023-09-27,FADE,S,-217.5
2023-10-02,FADE,S,-217.5
2023-10-03,WT,L,-755.0
2023-10-04,WT,S,-792.5
2023-10-05,WT,S,-780.0
2023-10-06,WT,L,82.5
2023-10-10,FADE,L,-217.5
2023-10-11,WT,S,-892.5
2023-10-11,FADE,S,-217.5
2023-10-12,FADE,S,-217.5
2023-10-12,FADE,S,-217.5
2023-10-13,FADE,S,-217.5
2023-10-13,WT,L,-330.0
2023-10-18,FADE,S,-217.5
2023-10-19,FADE,S,-217.5
2023-10-19,WT,L,-892.5
2023-10-20,FADE,L,-217.5
2023-10-24,FADE,L,-217.5
2023-10-25,FADE,S,-217.5
2023-10-25,WT,S,45.0
2023-10-26,FADE,S,-217.5
2023-10-27,WT,L,-880.0
2023-10-31,FADE,S,-217.5
2023-10-31,FADE,S,-217.5
2023-10-31,WT,L,120.0
2023-11-03,FADE,S,-217.5
2023-11-06,WT,S,-517.5
2023-11-07,WT,L,-105.0
2023-11-08,FADE,S,-217.5
2023-11-09,FADE,S,-217.5
2023-11-09,FADE,S,870.0
2023-11-10,FADE,S,-217.5
2023-11-10,WT,L,582.5
2023-11-10,WT,L,520.0
2023-11-13,WT,L,-105.0
2023-11-16,FADE,S,-217.5
2023-11-17,WT,L,95.0
2023-11-20,FADE,S,-217.5
2023-11-21,FADE,L,7.5
2023-11-22,FADE,S,-217.5
2023-11-24,FADE,L,-217.5
2023-11-28,FADE,L,-217.5
2023-11-29,WT,S,-342.5
2023-11-30,WT,L,-367.5
2023-12-01,WT,S,-380.0
2023-12-01,WT,L,195.0
2023-12-05,FADE,S,-217.5
2023-12-05,WT,S,-392.5
2023-12-05,FADE,S,-217.5
2023-12-06,WT,S,945.0
2023-12-06,WT,S,782.5
2023-12-07,WT,L,-180.0
2023-12-08,WT,L,820.0
2023-12-12,WT,L,882.5
2023-12-12,WT,L,732.5
2023-12-14,FADE,S,-217.5
2023-12-14,FADE,L,70.0
2023-12-15,WT,L,-592.5
2023-12-15,WT,L,-592.5
2023-12-19,WT,L,132.5
2023-12-19,WT,L,170.0
2023-12-28,WT,S,32.5
2023-12-29,WT,L,-55.0
2024-01-03,FADE,S,-217.5
2024-01-03,FADE,S,-217.5
2024-01-05,WT,S,-567.5
2024-01-05,FADE,L,-217.5
2024-01-11,WT,L,732.5
2024-01-12,FADE,L,195.0
2024-01-16,WT,L,-580.0
2024-01-16,WT,S,-417.5
2024-01-16,FADE,S,-217.5
2024-01-18,WT,S,-592.5
2024-01-18,WT,S,-592.5
2024-01-19,WT,L,2082.5
2024-01-22,WT,S,270.0
2024-01-22,WT,S,70.0
2024-01-23,FADE,S,-217.5
2024-01-23,WT,S,-567.5
2024-01-26,FADE,L,-217.5
2024-02-01,WT,L,1795.0
2024-02-02,WT,L,982.5
2024-02-02,WT,L,-630.0
2024-02-07,FADE,S,-217.5
2024-02-08,WT,S,-205.0
2024-02-08,WT,L,170.0
2024-02-09,FADE,L,632.5
2024-02-12,FADE,L,-217.5
2024-02-14,WT,L,-667.5
2024-02-14,FADE,L,-217.5
2024-02-14,FADE,L,982.5
2024-02-15,FADE,L,-217.5
2024-02-15,WT,S,-642.5
2024-02-15,WT,L,495.0
2024-02-16,FADE,L,-217.5
2024-02-20,FADE,S,-217.5
2024-02-21,WT,S,-530.0
2024-02-21,FADE,L,-217.5
2024-02-23,FADE,S,907.5
2024-02-26,WT,S,607.5
2024-02-27,WT,L,-592.5
2024-02-27,FADE,L,-217.5
2024-02-29,WT,S,-505.0
2024-02-29,WT,S,-505.0
2024-03-01,FADE,S,-217.5
2024-03-01,WT,L,332.5
2024-03-04,WT,L,-330.0
2024-03-04,WT,L,-530.0
2024-03-04,FADE,L,-217.5
2024-03-05,FADE,S,-217.5
2024-03-06,WT,S,-580.0
2024-03-06,WT,S,-192.5
2024-03-06,WT,S,-242.5
2024-03-07,FADE,L,-217.5
2024-03-07,WT,L,-30.0
2024-03-07,WT,L,-580.0
2024-03-08,FADE,S,-217.5
2024-03-12,WT,L,-617.5
2024-03-12,WT,S,-617.5
2024-03-14,FADE,S,-217.5
2024-03-19,WT,L,1282.5
2024-03-20,WT,L,2495.0
2024-03-21,WT,L,-717.5
2024-03-21,WT,S,395.0
2024-03-21,FADE,S,-217.5
2024-03-22,WT,S,270.0
2024-03-26,FADE,L,-217.5
2024-03-26,FADE,L,-217.5
2024-03-26,WT,S,820.0
2024-03-27,FADE,S,-217.5
2024-03-27,FADE,S,-217.5
2024-03-28,FADE,L,-217.5
2024-03-28,FADE,L,-217.5
2024-04-01,WT,S,20.0
2024-04-01,WT,S,-505.0
2024-04-01,FADE,L,157.5
2024-04-03,FADE,L,-217.5
2024-04-08,FADE,S,207.5
2024-04-09,FADE,L,-217.5
2024-04-11,FADE,L,95.0
2024-04-16,FADE,L,-217.5
2024-04-16,WT,S,-967.5
2024-04-17,FADE,S,-217.5
2024-04-18,WT,S,1420.0
2024-04-18,WT,S,45.0
2024-04-19,FADE,S,-217.5
2024-04-22,WT,L,-967.5
2024-04-23,FADE,S,-217.5
2024-04-24,WT,S,-1017.5
2024-04-24,FADE,S,-217.5
2024-04-26,WT,L,-180.0
2024-04-29,FADE,L,-217.5
2024-04-30,WT,S,3632.5
2024-04-30,WT,S,2145.0
2024-04-30,FADE,S,1570.0
2024-05-01,WT,S,-967.5
2024-05-01,WT,S,-967.5
2024-05-06,FADE,L,-217.5
2024-05-06,WT,L,420.0
2024-05-09,WT,L,645.0
2024-05-09,FADE,S,-217.5
2024-05-10,WT,S,-167.5
2024-05-10,WT,S,-167.5
2024-05-10,FADE,S,-217.5
2024-05-13,WT,S,-17.5
2024-05-15,FADE,L,1207.5
2024-05-15,WT,L,195.0
2024-05-16,WT,S,1045.0
2024-05-17,FADE,L,-217.5
2024-05-17,FADE,S,-217.5
2024-05-20,FADE,L,-217.5
2024-05-21,WT,L,507.5
2024-05-21,FADE,S,-217.5
2024-05-22,FADE,L,-217.5
2024-05-24,WT,L,20.0
2024-05-30,FADE,L,-217.5
2024-05-30,WT,L,-517.5
2024-05-30,FADE,S,1420.0
2024-05-31,WT,S,-530.0
2024-05-31,WT,L,3370.0
2024-06-04,WT,S,-705.0
2024-06-04,WT,L,1232.5
2024-06-04,WT,L,807.5
2024-06-05,WT,L,820.0
2024-06-07,FADE,L,-217.5
2024-06-10,FADE,L,545.0
2024-06-10,FADE,S,-217.5
2024-06-11,WT,L,370.0
2024-06-13,WT,S,-780.0
2024-06-13,FADE,L,682.5
2024-06-14,FADE,L,-217.5
2024-06-17,FADE,L,2120.0
2024-06-24,WT,S,595.0
2024-06-24,WT,S,407.5
2024-06-25,FADE,L,-217.5
2024-06-26,FADE,S,-217.5
2024-06-27,FADE,L,-217.5
2024-06-27,FADE,L,695.0
2024-06-28,WT,L,-530.0
2024-07-01,WT,S,-592.5
2024-07-01,WT,S,-592.5
2024-07-01,FADE,S,-217.5
2024-07-02,FADE,L,1607.5
2024-07-03,WT,L,745.0
2024-07-05,WT,L,157.5
2024-07-08,FADE,L,-217.5
2024-07-08,WT,S,20.0
2024-07-08,WT,S,-142.5
2024-07-08,WT,S,-255.0
2024-07-10,WT,L,870.0
2024-07-10,WT,L,695.0
2024-07-11,FADE,L,-217.5
2024-07-12,FADE,L,-217.5
2024-07-15,WT,S,-605.0
2024-07-16,WT,S,-630.0
2024-07-18,FADE,S,595.0
2024-07-19,WT,S,1232.5
2024-07-19,WT,S,307.5
2024-07-25,WT,L,-892.5
2024-07-25,WT,S,2007.5
2024-07-29,FADE,S,-217.5
2024-07-30,WT,S,3045.0
2024-07-30,FADE,S,-217.5
2024-08-01,FADE,S,-217.5
2024-08-06,FADE,L,-217.5
2024-08-06,FADE,L,-217.5
2024-08-14,FADE,L,-217.5
2024-08-14,FADE,S,-217.5
2024-08-16,FADE,L,570.0
2024-08-19,FADE,S,-217.5
2024-08-19,FADE,L,-217.5
2024-08-20,WT,S,-367.5
2024-08-21,FADE,L,-217.5
2024-08-21,WT,S,-367.5
2024-08-21,FADE,S,-217.5
2024-08-22,WT,S,2170.0
2024-08-26,WT,S,457.5
2024-08-26,WT,S,-392.5
2024-08-27,WT,L,107.5
2024-08-27,FADE,L,-217.5
2024-08-28,WT,S,-767.5
2024-08-29,WT,L,-792.5
2024-08-29,FADE,L,-217.5
2024-08-30,WT,S,-817.5
2024-09-04,FADE,S,-217.5
2024-09-06,WT,S,282.5
2024-09-06,FADE,S,-217.5
2024-09-10,FADE,S,-217.5
2024-09-13,FADE,L,-217.5
2024-09-17,WT,S,-292.5
2024-09-18,WT,L,-1067.5
2024-09-18,FADE,S,-217.5
2024-09-18,FADE,S,-217.5
2024-09-23,WT,S,-417.5
2024-09-24,FADE,S,-217.5
2024-09-24,WT,L,182.5
2024-09-25,WT,S,245.0
2024-09-25,WT,S,-355.0
2024-09-27,WT,S,520.0
2024-09-30,FADE,L,-217.5
2024-10-01,FADE,S,-217.5
2024-10-02,WT,L,945.0
2024-10-02,WT,L,-755.0
2024-10-02,WT,L,-755.0
2024-10-02,WT,L,-755.0
2024-10-03,FADE,L,-217.5
2024-10-03,WT,L,-705.0
2024-10-03,FADE,S,-217.5
2024-10-03,FADE,S,-217.5
2024-10-08,WT,L,720.0
2024-10-09,WT,L,95.0
2024-10-10,FADE,L,-217.5
2024-10-11,WT,L,-30.0
2024-10-15,WT,S,1270.0
2024-10-15,WT,S,1245.0
2024-10-18,WT,L,-55.0
2024-10-22,FADE,S,-217.5
2024-10-24,FADE,L,-217.5
2024-10-25,WT,S,1682.5
2024-10-29,WT,L,782.5
2024-10-29,WT,L,407.5
2024-10-30,FADE,S,-217.5
2024-10-30,WT,S,1182.5
2024-11-04,WT,L,-767.5
2024-11-04,WT,L,-767.5
2024-11-07,FADE,L,-217.5
2024-11-08,WT,L,-417.5
2024-11-11,FADE,L,-217.5
2024-11-11,FADE,S,-217.5
2024-11-12,WT,S,357.5
2024-11-13,WT,L,-780.0
2024-11-13,WT,L,-780.0
2024-11-14,FADE,S,-217.5
2024-11-14,WT,L,-780.0
2024-11-14,FADE,S,-217.5
2024-11-15,FADE,S,-217.5
2024-11-18,FADE,L,432.5
2024-11-21,WT,L,-405.0
2024-11-22,WT,S,-817.5
2024-11-26,WT,S,-855.0
2024-11-29,FADE,L,32.5
2024-12-03,FADE,S,-217.5
2024-12-03,WT,L,370.0
2024-12-04,FADE,S,-217.5
2024-12-05,FADE,S,-217.5
2024-12-09,WT,L,-455.0
2024-12-10,WT,L,-417.5
2024-12-10,WT,S,582.5
2024-12-11,WT,L,82.5
2024-12-12,FADE,S,882.5
2024-12-13,FADE,S,-217.5
2024-12-16,WT,L,-230.0
2024-12-16,FADE,S,545.0
2024-12-17,WT,L,-467.5
2024-12-18,WT,S,10470.0
2024-12-20,FADE,L,995.0
2024-12-31,WT,S,357.5
2025-01-03,WT,S,-1467.5
2025-01-03,WT,S,-505.0
2025-01-08,FADE,S,-217.5
2025-01-08,FADE,L,-217.5
2025-01-14,WT,S,-1155.0
2025-01-14,FADE,L,-217.5
2025-01-14,WT,L,-1155.0
2025-01-21,FADE,S,-217.5
2025-01-21,WT,L,220.0
2025-01-22,FADE,S,-217.5
2025-01-24,FADE,L,-217.5
