DateTime,Open,High,Low,Close,Volume,tr,atr,atr_fast,atr_slow,kelt_mid,kelt_up,kelt_dn,kelt_pos,free_bar,pct_outside_20,macd_fast,macd_sig,macd_new_hi,macd_new_lo,macd_zero_cross,macd_drive,ma_slope,ma_slope_state,triple_ma,vol_ratio,compressed,ret,sigma_spike,ger,climax,dow_state,leg_count,retr_depth
2026-06-09 12:30:00,7390.0,7422.75,7384.75,7408.75,108205,38.0,36.3,47.6,33.5625,7446.9085811621535,7528.583581162154,7365.233581162153,0,0,0.2,-40.066666666666606,-25.166145833333417,0,0,0,0,-5.110500000000139,-1,-1,1.4182495344506518,0,0.0025032982646053803,0.7183442021564904,0.3777910834477366,0,-1,1062,1.9230769230769231
2026-06-09 13:00:00,7409.0,7434.75,7403.75,7434.25,76546,31.0,36.7,46.2,34.15625,7445.703002003853,7528.278002003853,7363.128002003853,0,0,0.2,-7.54166666666697,-26.084895833333405,0,0,0,0,-4.621500000000106,-1,-1,1.3526075022872828,0,0.0034418761599459557,1.0017542915015165,0.3851835285489785,0,-1,1062,1.9230769230769231
2026-06-09 13:30:00,7434.5,7454.75,7426.0,7450.75,87814,28.75,36.875,41.45,34.54375,7446.183668479676,7529.152418479676,7363.214918479676,0,0,0.2,20.225000000000364,-24.850520833333405,0,0,1,0,-4.115999999999895,-1,-1,1.199927628007961,0,0.002219457241819933,0.6264667849872956,0.3963293669377191,0,-1,1062,1.9230769230769231
2026-06-09 14:00:00,7450.5,7460.0,7415.0,7429.0,102751,45.0,38.175,38.4,35.44375,7444.547128624468,7530.4408786244685,7358.653378624468,0,0,0.2,33.55000000000018,-22.32916666666671,1,0,0,0,-3.9744999999998982,-1,-1,1.0834068065596896,0,-0.0029191692111532053,-0.8118257768539894,0.39998771300666114,0,-1,1062,1.9230769230769231
2026-06-09 14:30:00,7428.75,7456.75,7408.5,7453.25,215908,48.25,39.85,38.2,34.5625,7445.375973517376,7535.038473517377,7355.713473517376,0,0,0.2,40.58333333333303,-19.146354166666697,1,0,0,1,-3.9299999999999273,-1,-1,1.105244122965642,0,0.0032642347556872675,0.8969924496162173,0.4068587503887769,0,-1,1062,1.9230769230769231
2026-06-09 15:00:00,7453.0,7460.25,7444.75,7446.75,51127,15.5,39.625,33.7,34.25625,7445.506833182388,7534.663083182388,7356.350583182388,0,0,0.2,33.850000000000364,-16.19270833333337,0,0,0,1,-3.99950000000008,-1,-1,0.9837620872103631,0,-0.0008721027739576614,-0.23346211732770605,0.4118246006819814,0,-1,1062,1.9230769230769231
2026-06-10 08:30:00,7416.25,7451.75,7396.5,7439.25,168083,55.25,41.35,38.55,35.225,7444.910944307875,7537.948444307875,7351.873444307875,0,0,0.2,30.691666666666606,-13.2578125,0,0,0,0,-4.131000000000131,-1,-1,1.0943931866572036,0,-0.0010071507704703109,-0.2695940628762045,0.4171944962185436,0,-1,1062,1.9230769230769231
2026-06-10 09:00:00,7439.25,7466.0,7432.0,7454.0,107783,34.0,42.4125,39.6,35.4125,7445.776568659506,7541.204693659506,7350.348443659505,0,0,0.2,21.16666666666697,-10.790104166666652,0,0,0,0,-4.142000000000098,-1,-1,1.1182492057889164,0,0.0019827267533689685,0.5309641097209746,0.4202703564550256,0,-1,1062,1.9230769230769231
2026-06-10 09:30:00,7453.75,7461.25,7404.25,7410.5,116653,57.0,44.4125,42.0,36.26875,7442.416895453838,7542.3450204538385,7342.488770453838,0,0,0.2,2.9083333333328483,-10.429166666666674,0,0,0,0,-4.405499999999938,-1,-1,1.158021712907117,0,-0.005835792862892375,-1.5528021015484172,0.4143617502097857,0,-1,1062,1.9230769230769231
2026-06-10 10:00:00,7410.25,7426.0,7376.75,7396.0,130684,49.25,45.35,42.2,37.0,7437.996238743949,7540.0337387439495,7335.958738743949,0,0,0.2,-12.08333333333303,-11.433854166666663,0,0,1,0,-4.732499999999982,-1,0,1.1405405405405407,0,-0.0019566830848121164,-0.4950767966235622,0.41017390428185163,0,-1,1062,1.9230769230769231
2026-06-10 10:30:00,7396.0,7409.75,7366.25,7401.5,128258,43.5,46.8375,47.8,37.5,7434.52040648262,7539.90478148262,7329.136031482621,0,0,0.2,-28.858333333332666,-13.455729166666629,0,0,0,0,-5.044499999999971,-1,0,1.2746666666666666,0,0.0007436452136289073,0.18854318224399216,0.40645347053058084,0,-1,1062,1.9230769230769231
2026-06-10 11:00:00,7401.5,7407.25,7380.75,7388.5,60147,26.5,47.775,42.05,37.70625,7430.1375106271325,7537.631260627132,7322.643760627133,0,0,0.2,-31.616666666666788,-13.552083333333314,0,0,0,0,-5.3699999999999815,-1,0,1.1151997347919775,0,-0.0017564007295818307,-0.4445108606835612,0.4012778238571369,0,-1,1062,1.9230769230769231
2026-06-10 11:30:00,7388.5,7405.25,7375.75,7385.25,60998,29.5,45.3625,41.15,37.99375,7425.862509615025,7527.928134615026,7323.796884615025,0,0,0.2,-28.649999999999636,-11.696354166666595,0,0,0,0,-5.475000000000091,-1,0,1.0830728738279323,0,-0.0004398727752588094,-0.1110502452826435,0.37839255101032554,0,-1,1062,1.9230769230769231
2026-06-10 12:00:00,7385.25,7395.75,7368.5,7378.25,51854,27.25,43.875,35.2,37.6,7421.327984889785,7520.046734889785,7322.609234889785,0,0,0.2,-31.324999999999818,-8.758333333333269,0,0,0,0,-5.520500000000084,-1,0,0.9361702127659575,0,-0.0009478352120780853,-0.26770190165893737,0.3692627412286253,0,-1,1062,1.9230769230769231
2026-06-10 12:30:00,7378.0,7390.0,7360.25,7388.5,70626,29.75,41.7875,31.3,37.68125,7418.201510138377,7512.223385138377,7324.179635138376,0,0,0.2,-24.850000000000364,-5.40208333333328,0,0,0,0,-5.185999999999967,-1,0,0.8306518493945928,0,0.0013892183105750355,0.4021889840010827,0.3807912475035523,0,-1,1062,1.9230769230769231
2026-06-10 13:00:00,7388.5,7399.75,7374.75,7377.25,52757,25.0,39.175,27.6,37.35,7414.301366315674,7502.445116315675,7326.157616315674,0,0,0.15,-20.566666666666606,-2.6614583333332575,0,0,0,0,-4.668999999999869,-1,-1,0.7389558232931727,0,-0.0015226365297421607,-0.45269143844267695,0.4016935674058722,0,-1,1062,1.9230769230769231
2026-06-10 13:30:00,7377.5,7377.75,7351.75,7356.5,64942,26.0,38.575,27.5,37.2875,7408.79647428561,7495.59022428561,7322.00272428561,0,0,0.1,-19.54166666666697,-1.3786458333332803,0,0,0,0,-4.324499999999898,-1,-1,0.7375125712370096,0,-0.0028127012098003723,-1.0370599523534636,0.41658444042174525,0,-1,1062,1.9230769230769231
2026-06-10 14:00:00,7356.25,7363.5,7337.25,7342.5,74269,26.25,37.2625,26.85,37.0125,7402.482524353647,7486.323149353647,7318.641899353647,0,0,0.05,-23.725000000000364,-2.3901041666666174,0,0,0,0,-4.201999999999953,-1,-1,0.7254305977710233,0,-0.0019030789098076761,-0.6989652935733173,0.4226960102905405,0,-1,1063,0.6461538461538462
2026-06-10 14:30:00,7342.25,7362.0,7336.5,7337.25,167341,25.5,35.525,26.5,35.125,7396.269902986633,7476.201152986632,7316.338652986633,0,0,0.0,-29.733333333332666,-5.512499999999932,0,0,0,0,-4.371500000000014,-1,-1,0.7544483985765125,0,-0.0007150153217568844,-0.2642711094125948,0.41472917532370557,0,-1,1063,0.6461538461538462
2026-06-10 15:00:00,7337.25,7340.5,7322.75,7332.75,53486,17.75,33.95,24.1,34.9625,7390.220388416477,7466.607888416477,7313.8328884164775,0,0,0.0,-31.324999999999818,-9.567187499999932,0,0,0,0,-4.344499999999971,-1,-1,0.6893099749731856,0,-0.0006133088009813159,-0.2270706977334255,0.40145034595063533,0,-1,1063,0.6461538461538462
2026-06-11 08:30:00,7369.25,7396.75,7344.25,7378.5,188917,64.0,35.25,31.9,35.775,7389.104160948241,7468.416660948241,7309.791660948241,0,0,0.0,-17.024999999999636,-13.167708333333223,0,0,0,0,-3.994999999999982,-1,-1,0.8916841369671559,0,0.006239132658279578,2.6642431776594324,0.40034523117012794,0,-1,1063,0.6461538461538462
2026-06-11 09:00:00,7378.5,7397.0,7350.25,7369.25,153022,46.75,36.0375,36.05,36.36875,7387.21328847698,7468.29766347698,7306.1289134769795,0,0,0.0,-4.433333333333394,-15.560416666666583,0,0,0,0,-3.600500000000102,-1,-1,0.9912356074926963,0,-0.0012536423392288665,-0.46339747481685206,0.39078072586740276,0,-1,1063,0.6461538461538462
2026-06-11 09:30:00,7369.25,7381.5,7331.5,7336.75,95847,50.0,37.1,40.8,36.9875,7382.407261002982,7465.882261002982,7298.932261002981,0,0,0.0,1.75,-17.369270833333246,0,0,1,0,-3.439500000000135,-1,-1,1.1030753632984116,0,-0.004410218136173927,-1.71400050208122,0.3664878006425404,0,-1,1063,0.6461538461538462
2026-06-11 10:00:00,7336.75,7368.25,7324.25,7352.5,96174,44.0,37.05,44.5,37.6125,7379.558950431269,7462.9214504312695,7296.196450431269,0,0,0.0,-4.341666666667152,-18.96354166666663,0,0,1,0,-3.29300000000012,-1,-1,1.1831173147224994,0,0.0021467270930588533,0.813410406867715,0.35215379607816927,0,-1,1063,0.6461538461538462
