Date,book,filled,yr
2023-01-17,2EL,True,2023
2023-01-18,2ES,True,2023
2023-01-19,2EL,True,2023
2023-01-20,2EL,True,2023
2023-01-20,2EL,True,2023
2023-01-20,2EL,False,2023
2023-01-23,2EL,False,2023
2023-01-31,2EL,True,2023
2023-01-31,2EL,True,2023
2023-02-07,2EL,True,2023
2023-02-15,2EL,True,2023
2023-02-17,2ES,True,2023
2023-02-22,2EL,False,2023
2023-03-01,2ES,True,2023
2023-03-02,2EL,False,2023
2023-03-02,2EL,True,2023
2023-03-03,2EL,True,2023
2023-03-03,2EL,False,2023
2023-03-03,2EL,True,2023
2023-03-06,2EL,False,2023
2023-03-06,2EL,True,2023
2023-03-06,2EL,True,2023
2023-03-07,2ES,True,2023
2023-03-09,2ES,False,2023
2023-03-20,2ES,True,2023
2023-03-28,2ES,True,2023
2023-04-04,2ES,False,2023
2023-04-05,2ES,False,2023
2023-04-05,2EL,False,2023
2023-04-06,2EL,True,2023
2023-04-06,2EL,False,2023
2023-04-06,2EL,True,2023
2023-04-06,2EL,True,2023
2023-04-11,2ES,True,2023
2023-04-11,2EL,False,2023
2023-04-11,2EL,True,2023
2023-04-12,2EL,True,2023
2023-04-13,2EL,True,2023
2023-04-13,2EL,False,2023
2023-04-14,2ES,False,2023
2023-04-17,2ES,True,2023
2023-04-17,2ES,True,2023
2023-04-24,2ES,False,2023
2023-04-24,2ES,True,2023
2023-04-24,2EL,True,2023
2023-04-24,2EL,True,2023
2023-04-25,2ES,False,2023
2023-04-25,2ES,True,2023
2023-04-27,2EL,True,2023
2023-04-27,2EL,True,2023
2023-04-28,2EL,True,2023
2023-05-02,2ES,True,2023
2023-05-08,2ES,True,2023
2023-05-11,2ES,True,2023
2023-05-12,2ES,True,2023
2023-05-19,2ES,True,2023
2023-05-22,2ES,True,2023
2023-05-24,2ES,True,2023
2023-05-26,2ES,True,2023
2023-06-05,2ES,True,2023
2023-06-06,2ES,True,2023
2023-06-07,2ES,True,2023
2023-06-07,2ES,False,2023
2023-06-07,2ES,True,2023
2023-06-09,2ES,True,2023
2023-06-13,2ES,True,2023
2023-06-13,2EL,True,2023
2023-06-14,2EL,False,2023
2023-06-15,2EL,True,2023
2023-06-20,2ES,True,2023
2023-06-26,2ES,False,2023
2023-06-26,2ES,True,2023
2023-06-28,2EL,True,2023
2023-06-29,2EL,False,2023
2023-06-29,2ES,True,2023
2023-07-13,2EL,False,2023
2023-07-17,2EL,True,2023
2023-07-25,2EL,True,2023
2023-07-25,2EL,True,2023
2023-08-01,2ES,True,2023
2023-08-07,2EL,True,2023
2023-08-09,2EL,False,2023
2023-08-14,2EL,True,2023
2023-08-21,2EL,False,2023
2023-08-22,2ES,True,2023
2023-08-23,2EL,True,2023
2023-08-25,2EL,True,2023
2023-08-28,2ES,True,2023
2023-08-28,2EL,True,2023
2023-08-31,2ES,True,2023
2023-09-12,2ES,False,2023
2023-09-12,2ES,True,2023
2023-09-12,2ES,False,2023
2023-09-13,2ES,True,2023
2023-09-15,2ES,True,2023
2023-09-15,2ES,True,2023
2023-09-19,2ES,False,2023
2023-09-19,2EL,True,2023
2023-09-20,2ES,True,2023
2023-09-20,2EL,False,2023
2023-09-20,2EL,True,2023
2023-09-20,2ES,True,2023
2023-09-22,2ES,False,2023
2023-09-22,2ES,True,2023
2023-10-03,2EL,True,2023
2023-10-04,2ES,True,2023
2023-10-05,2ES,False,2023
2023-10-05,2ES,True,2023
2023-10-05,2EL,False,2023
2023-10-05,2EL,False,2023
2023-10-06,2EL,True,2023
2023-10-09,2EL,False,2023
2023-10-11,2ES,True,2023
2023-10-13,2EL,True,2023
2023-10-19,2EL,True,2023
2023-10-25,2ES,True,2023
2023-10-25,2ES,False,2023
2023-10-27,2EL,True,2023
2023-10-31,2EL,False,2023
2023-10-31,2EL,True,2023
2023-11-06,2ES,False,2023
2023-11-06,2ES,True,2023
2023-11-07,2EL,True,2023
2023-11-10,2EL,True,2023
2023-11-10,2EL,True,2023
2023-11-13,2EL,True,2023
2023-11-17,2EL,True,2023
2023-11-20,2EL,False,2023
2023-11-24,2ES,False,2023
2023-11-28,2EL,False,2023
2023-11-28,2EL,False,2023
2023-11-29,2ES,True,2023
2023-11-30,2EL,True,2023
2023-12-01,2ES,True,2023
2023-12-01,2EL,True,2023
2023-12-05,2ES,True,2023
2023-12-06,2ES,True,2023
2023-12-06,2ES,True,2023
2023-12-07,2EL,True,2023
2023-12-08,2EL,True,2023
2023-12-11,2EL,False,2023
2023-12-12,2EL,True,2023
2023-12-12,2EL,True,2023
2023-12-13,2ES,False,2023
2023-12-15,2EL,True,2023
2023-12-15,2EL,True,2023
2023-12-15,2ES,False,2023
2023-12-19,2EL,True,2023
2023-12-19,2EL,False,2023
2023-12-19,2EL,True,2023
2023-12-28,2ES,True,2023
2023-12-29,2ES,False,2023
2023-12-29,2ES,False,2023
2023-12-29,2EL,True,2023
2024-01-05,2ES,True,2024
2024-01-11,2ES,False,2024
2024-01-11,2EL,True,2024
2024-01-11,2EL,False,2024
2024-01-16,2EL,True,2024
2024-01-16,2ES,True,2024
2024-01-18,2ES,True,2024
2024-01-18,2ES,True,2024
2024-01-19,2EL,True,2024
2024-01-22,2ES,True,2024
2024-01-22,2ES,True,2024
2024-01-23,2ES,False,2024
