
== f2EL (fade of 2E-long = SHORT) — the tradeable sleeve  (n=105) ==
  stop       net(all)    PF |  net(skipON)    PF    n       DD | tr/te PF
  fx2          -1,375  0.88 |         +622  1.06   88   -5,758 | 0.83/1.33
  fx3            +750  1.05 |       +3,598  1.28   88   -4,690 | 1.46/1.08
  fx4          +6,875  1.35 |       +1,485  1.09   88   -4,448 | 1.12/1.05
  fx5          +2,838  1.12 |       -1,852  0.91   88   -6,135 | 0.91/0.90
  fx6            -288  0.99 |       -5,278  0.78   88   -7,910 | 0.77/0.78
  fx8          +6,800  1.20 |       +3,110  1.11   88   -9,242 | 1.29/0.92
  adr0.08      +2,310  1.10 |       +2,029  1.11   88   -4,675 | 0.99/1.24
  adr0.1       +5,322  1.20 |          -87  1.00   88   -5,142 | 0.98/1.01
  adr0.12      +5,131  1.17 |         +419  1.02   88   -6,663 | 1.18/0.85
  EOD         +11,825  1.20 |      +16,298  1.38   88  -10,772 | 1.31/1.50

== f2ES-long (fade of 2E-short = LONG) — memory says DEAD  (n=121) ==
  stop       net(all)    PF |  net(skipON)    PF    n       DD | tr/te PF
  fx2          -5,492  0.58 |       -4,318  0.64  111   -6,998 | 0.12/1.10
  fx3          -2,705  0.84 |       -1,030  0.93  111   -7,720 | 0.57/1.27
  fx4          -6,280  0.71 |       -4,392  0.78  111   -9,032 | 0.53/1.01
  fx5          -7,805  0.70 |       -5,468  0.77  111  -11,172 | 0.46/1.06
  fx6         -10,755  0.64 |       -7,968  0.71  111  -13,702 | 0.39/1.01
  fx8         -10,255  0.71 |       -6,568  0.79  111  -13,502 | 0.71/0.86
  adr0.08      -9,803  0.62 |       -7,058  0.69  111  -11,495 | 0.38/0.99
  adr0.1      -10,801  0.64 |       -7,688  0.72  111  -13,139 | 0.45/0.96
  adr0.12     -12,294  0.64 |       -8,575  0.72  111  -14,252 | 0.53/0.88
  EOD         -13,242  0.77 |       -7,992  0.84  111  -15,128 | 0.83/0.85

f2EL: 17 of 105 on skip-after-trend days; those at fx4 net $+5,390 PF 2.77
