table,exit,cut,n,win,PF,net,per_yr,avgW,avgL,payoff,exp,mdd,rdd
BY REVTYPE,eod,BO,442,38.009049773755656,1.2475212596086005,33327.5,6717.919081125828,999.8363095238095,-491.4051094890511,2.03464776864736,75.40158371040724,-12567.5,0.5345469728367478
BY REVTYPE,eod,Sneaky,702,32.193732193732195,1.050327839801524,9940.0,2003.634105960265,917.8982300884956,-414.9264705882353,2.2121949192279886,14.15954415954416,-17085.0,0.11727445747499357
BY REVTYPE,eod,IB,652,28.52760736196319,1.1048254084610287,18590.0,3747.239238410596,1053.4005376344087,-380.56330472103,2.768003442703438,28.512269938650306,-21845.0,0.17153761677320192
BY REVTYPE,eod,OB,411,35.523114355231144,0.8844300027078256,-16005.0,-3226.173427152318,838.9212328767123,-522.5943396226415,1.605301032312149,-38.941605839416056,-31562.5,-0.1022153957117566
BY REVTYPE,eod,Trap,1697,27.57807896287566,0.8881848638075619,-53735.0,-10831.516970198676,912.0405982905983,-391.0252237591538,2.332434182947636,-31.664702416028284,-80287.5,-0.13490913243280306
BY REVTYPE,2R,BO,442,42.76018099547511,1.2155513165916108,27402.5,5523.599958609272,817.6190476190476,-502.4802371541502,1.627166577236389,61.99660633484163,-8965.0,0.6161293874633879
BY REVTYPE,2R,Sneaky,702,37.60683760683761,1.038581953344613,7240.0,1459.387417218543,738.2291666666666,-428.43036529680364,1.7231018771399262,10.313390313390313,-19917.5,0.07327161627807421
BY REVTYPE,2R,IB,652,34.66257668711656,0.9265560732769742,-12097.5,-2438.5275248344374,675.3097345132743,-386.6607981220657,1.7465172000707565,-18.554447852760735,-17677.5,-0.1379452708151287
BY REVTYPE,2R,OB,411,37.95620437956204,0.8430563301728946,-21105.0,-4254.194950331126,726.7307692307693,-527.3529411764706,1.3780728473980008,-51.35036496350365,-30642.5,-0.13883315494268178
BY REVTYPE,2R,Trap,1697,34.94401885680613,0.9021464431827196,-43172.5,-8702.403766556292,671.2015177065767,-399.63315217391306,1.6795441370551811,-25.440483205657042,-70197.5,-0.12397028051648978
BY REVTYPE,3R,BO,442,39.366515837104075,1.2156807299325114,28602.5,5765.4873758278145,926.5373563218391,-494.8320895522388,1.8724277909305347,64.71153846153847,-7865.0,0.7330562461319535
BY REVTYPE,3R,Sneaky,702,34.18803418803419,1.0891153036583634,17252.5,3477.6355546357618,878.5416666666666,-419.0422077922078,2.096546959542349,24.576210826210826,-17870.0,0.1946074736785541
BY REVTYPE,3R,IB,652,31.74846625766871,0.9885505658999635,-1960.0,-395.0827814569537,817.524154589372,-384.69101123595505,2.125144936354994,-3.0061349693251533,-20352.5,-0.01941200252828663
BY REVTYPE,3R,OB,411,35.76642335766424,0.8933656139336561,-14755.0,-2974.207367549669,840.9183673469388,-524.1287878787879,1.6044117148196273,-35.900243309002434,-27817.5,-0.10691857167429385
BY REVTYPE,3R,Trap,1697,30.524454920447848,0.8962717107595141,-48285.0,-9732.944950331126,805.4247104247104,-394.82188295165395,2.039969781825226,-28.4531526222746,-69895.0,-0.1392509471397257
CANDIDATE SLEEVES,eod,A NEUT-only,1890,33.96825396825397,1.097298912607156,54537.5,10993.279180463576,958.0257009345794,-449.13060897435895,2.1330670450681164,28.855820105820104,-36280.0,0.3030121053049497
CANDIDATE SLEEVES,eod,B drop OB + Trap-only-NEUT,2548,32.574568288854,1.121712818824617,86885.0,17513.656870860927,964.7439759036145,-415.5136786961583,2.3218103888442077,34.09929356357928,-34025.0,0.5147290777622608
CANDIDATE SLEEVES,eod,C BO+Sneaky+IB,1796,32.29398663697104,1.1214100305696355,61857.5,12468.79242549669,985.0862068965517,-418.9905427631579,2.351094133056339,34.441815144766146,-25502.5,0.48892431822357374
CANDIDATE SLEEVES,eod,D NEUT + not-OB,1659,33.09222423146474,1.119539391413089,57355.0,11561.210678807947,978.4244080145719,-432.2522522522523,2.263549589195862,34.572031344183245,-33320.0,0.3469751104084018
CANDIDATE SLEEVES,eod,E <SMA20 + not-OB,1363,33.01540719002201,1.1279032524693144,61897.5,12476.855339403974,1212.9722222222222,-530.0547645125959,2.288390376676631,45.41269258987528,-26720.0,0.4669481788699092
CANDIDATE SLEEVES,eod,RAW all,3904,30.584016393442624,0.9930153737096274,-7882.5,-1588.8979718543046,938.5824958123953,-416.4391143911439,2.253828863277295,-2.0190829918032787,-75687.5,-0.020992871634738956
CANDIDATE SLEEVES,2R,A NEUT-only,1890,38.78306878306878,1.0326726766227117,17387.5,3504.847889072848,749.7407912687585,-459.9589455488332,1.6300167624181137,9.19973544973545,-28977.5,0.12095066479416264
CANDIDATE SLEEVES,2R,B drop OB + Trap-only-NEUT,2548,38.18681318681318,1.0560119380712554,37535.0,7566.036837748345,727.2970195272353,-425.4761904761905,1.7093718422016722,14.73116169544741,-31140.0,0.24296842767335725
CANDIDATE SLEEVES,2R,C BO+Sneaky+IB,1796,37.806236080178174,1.047017971939374,22545.0,4544.459850993378,739.3851251840942,-429.27260519247983,1.7224139538384107,12.552895322939866,-20660.0,0.21996417478186725
CANDIDATE SLEEVES,2R,D NEUT + not-OB,1659,38.21579264617239,1.04764710741526,21630.0,4360.020695364238,750.1458990536278,-442.890243902439,1.6937512383290878,13.037974683544304,-27007.5,0.16143740425304964
CANDIDATE SLEEVES,2R,E <SMA20 + not-OB,1363,39.17828319882612,1.0731558783798747,33035.0,6658.959023178808,907.5,-544.7165259348612,1.6660041632526519,24.236977256052825,-21815.0,0.305246803721238
CANDIDATE SLEEVES,2R,RAW all,3904,36.57786885245902,0.9604494073215863,-41732.5,-8412.13886589404,709.6883753501401,-426.1581179321486,1.6653170395856078,-10.68967725409836,-72307.5,-0.11633840010917318
CANDIDATE SLEEVES,3R,A NEUT-only,1890,35.87301587301587,1.0677097028661584,37337.5,7526.226200331126,868.3960176991151,-454.9793729372937,1.9086492033536637,19.755291005291006,-34955.0,0.2153118638343907
CANDIDATE SLEEVES,3R,B drop OB + Trap-only-NEUT,2548,34.73312401883831,1.0872219596384938,60897.5,12275.282491721855,857.7259887005649,-419.8376428141912,2.0429944846088306,23.900117739403452,-34400.0,0.3568396073174958
