table,exit,cut,n,win,PF,net,per_yr,avgW,avgL,payoff,exp,mdd,rdd
CANDIDATE SLEEVES,3R,C BO+Sneaky+IB,1796,34.57683741648107,1.0882488942501005,43895.0,8848.040149006623,871.6505636070854,-423.3191489361702,2.0590860720513176,24.440423162583517,-23115.0,0.3827834803809917
CANDIDATE SLEEVES,3R,D NEUT + not-OB,1659,35.201928872814946,1.080717869753365,38005.0,7660.776076158941,871.3056506849315,-437.98837209302326,1.9893351198371017,22.908378541289935,-33040.0,0.23186368269246188
CANDIDATE SLEEVES,3R,E <SMA20 + not-OB,1363,35.58327219369039,1.1155850433729435,54397.5,10965.05898178808,1082.5257731958764,-536.0222095671982,2.019553954807102,39.91012472487161,-26232.5,0.41799519610361496
CANDIDATE SLEEVES,3R,RAW all,3904,32.9405737704918,0.9826154467816557,-19145.0,-3859.1121688741723,841.461897356143,-420.6512605042017,2.0003788799956257,-4.903944672131147,-64257.5,-0.06005699208456869
REVTYPE x REGIME,eod,BO >SMA20,248,35.88709677419355,1.0062457155914388,410.0,82.64486754966887,742.1910112359551,-412.8616352201258,1.7976749301015593,1.653225806451613,-11572.5,0.0071414877986320045
REVTYPE x REGIME,eod,BO <SMA20,194,40.72164948453608,1.4770652173913044,32917.5,6635.274213576159,1290.0949367088608,-600.0,2.1501582278481015,169.6778350515464,-5755.0,1.1529581604823909
REVTYPE x REGIME,eod,BO BULL,88,37.5,1.1525620707871105,3610.0,727.6779801324503,826.439393939394,-430.22727272727275,1.9209367846451841,41.02272727272727,-5265.0,0.13821044257026596
REVTYPE x REGIME,eod,BO BEAR,97,38.144329896907216,0.9996611605252012,-10.0,-2.015728476821192,797.3648648648649,-491.875,1.621072152203029,-0.10309278350515463,-7882.5,-0.00025572197612701455
REVTYPE x REGIME,eod,BO NEUT,257,38.13229571984436,1.3648889161654596,29727.5,5992.256829470199,1134.6683673469388,-512.3899371069182,2.2144626292888585,115.67120622568093,-9952.5,0.6020855894971312
REVTYPE x REGIME,eod,Sneaky >SMA20,424,29.71698113207547,0.8979607761535661,-9807.5,-1976.9257036423842,684.9801587301587,-322.53355704697987,2.1237485023314497,-23.130896226415093,-21997.5,-0.0898704718100868
REVTYPE x REGIME,eod,Sneaky <SMA20,278,35.97122302158273,1.1947677285728375,19747.5,3980.5598096026492,1211.375,-569.6067415730337,2.126686556859651,71.0341726618705,-11365.0,0.3502472335770039
REVTYPE x REGIME,eod,Sneaky BULL,154,31.16883116883117,1.1343494975382749,4980.0,1003.8327814569536,875.9895833333334,-349.6933962264151,2.5050218070636903,32.33766233766234,-14525.0,0.06911069063386945
REVTYPE x REGIME,eod,Sneaky BEAR,179,35.19553072625698,1.172111065741119,8430.0,1699.259105960265,911.2698412698413,-422.2413793103448,2.1581727559677746,47.09497206703911,-5537.5,0.3068639469002736
REVTYPE x REGIME,eod,Sneaky NEUT,369,31.16531165311653,0.9688670569499584,-3470.0,-699.4577814569536,939.0217391304348,-438.8090551181102,2.1399324562199085,-9.40379403794038,-25787.5,-0.027123908151505716
REVTYPE x REGIME,eod,IB >SMA20,420,27.61904761904762,1.1270472983315476,12450.0,2509.581953642384,952.1120689655172,-322.3519736842105,2.9536411956275037,29.642857142857142,-14655.0,0.17124407735533156
REVTYPE x REGIME,eod,IB <SMA20,232,30.17241379310345,1.0773811399224928,6140.0,1237.6572847682119,1221.25,-489.79938271604937,2.4933677809634833,26.46551724137931,-9975.0,0.12407591827250244
REVTYPE x REGIME,eod,IB BULL,202,25.742574257425744,1.3486057955166757,15940.0,3213.07119205298,1185.8653846153845,-304.8333333333333,3.8902090255288724,78.91089108910892,-7215.0,0.44533211255065563
REVTYPE x REGIME,eod,IB BEAR,169,28.402366863905325,0.9303533245087058,-3420.0,-689.3791390728477,951.7708333333334,-405.8264462809917,2.3452656721990297,-20.236686390532544,-9115.0,-0.07563128239965416
REVTYPE x REGIME,eod,IB NEUT,281,30.604982206405694,1.0735646114225117,6070.0,1223.5471854304635,1030.0290697674418,-423.14102564102564,2.4342453398533697,21.601423487544483,-15735.0,0.07775959233749372
REVTYPE x REGIME,eod,OB >SMA20,249,34.93975903614458,0.8672533465542885,-8032.5,-1619.1338990066226,603.1896551724138,-373.51851851851853,1.6148855418597097,-32.25903614457831,-14460.0,-0.11197329868648842
REVTYPE x REGIME,eod,OB <SMA20,162,36.41975308641975,0.8977589689333462,-7972.5,-1607.0395281456954,1186.5254237288136,-757.0631067961165,1.5672741322056722,-49.21296296296296,-24170.0,-0.06648901647272219
REVTYPE x REGIME,eod,OB BULL,93,31.182795698924732,0.9831125209927225,-452.5,-91.21171357615894,908.3620689655172,-418.671875,2.1696276325356636,-4.865591397849462,-7530.0,-0.01211310937266387
REVTYPE x REGIME,eod,OB BEAR,87,27.586206896551722,0.5888951658461786,-12735.0,-2567.030215231788,760.1041666666666,-491.7063492063492,1.5458498103462188,-146.3793103448276,-18132.5,-0.141570672286325
REVTYPE x REGIME,eod,OB NEUT,231,40.25974025974026,0.9650932292634579,-2817.5,-567.9314983443709,837.6075268817204,-584.8913043478261,1.4320738240683568,-12.196969696969697,-14442.5,-0.039323628066080724
REVTYPE x REGIME,eod,Trap >SMA20,1038,25.722543352601157,0.7693384882340406,-56827.5,-11454.881001655629,709.8876404494382,-319.5428015564202,2.221572937934252,-54.74710982658959,-68285.0,-0.1677510580897068
REVTYPE x REGIME,eod,Trap <SMA20,659,30.500758725341427,1.013204385094096,3092.5,623.3640314569536,1180.5721393034826,-511.35917030567686,2.308694569020378,4.6927162367223065,-28617.5,0.0217826166316748
REVTYPE x REGIME,eod,Trap BULL,477,21.59329140461216,0.6910478245789818,-40085.0,-8080.047599337749,870.4854368932039,-346.9117647058824,2.5092416154615456,-84.03563941299791,-46182.5,-0.17495907755833376
REVTYPE x REGIME,eod,Trap BEAR,468,24.57264957264957,0.7359266719011368,-38677.5,-7796.333816225166,937.2826086956521,-414.91501416430594,2.258974914618272,-82.64423076923077,-42732.5,-0.18244506678114236
REVTYPE x REGIME,eod,Trap NEUT,752,33.244680851063826,1.1224677040516735,25027.5,5044.864445364238,917.55,-407.0916334661355,2.2539151497357603,33.28125,-17547.5,0.28749761763010334
