book,n,base_exp,base_pf,breakeven_ticks,Optimistic,Realistic,Conservative,Brutal
2E WT-Long (BULL),335,123.2089552238806,1.4058505408062931,9.856716417910448,129.4589552238806,110.7089552238806,98.2089552238806,79.4589552238806
2E WT-Short (BEAR),326,167.43098159509202,1.465264458935345,13.394478527607362,173.68098159509202,154.93098159509202,142.43098159509202,123.68098159509202
2E WT combined,661,145.01891074130106,1.4376755016779672,11.601512859304085,151.26891074130106,132.51891074130106,120.01891074130106,101.26891074130106
2E f2EL fade-short,112,57.5,1.3052494371371015,4.6,63.75,45.0,32.5,13.75
2E full 3-book,773,132.33829236739973,1.4260398771409235,10.587063389391979,138.58829236739973,119.83829236739975,107.33829236739975,88.58829236739975
