Date,yr,dir,net
2021-07-22,2021,L,432.5
2021-07-23,2021,L,295.0
2021-07-23,2021,L,-55.0
2021-07-27,2021,S,-567.5
2021-07-30,2021,L,107.5
2021-08-02,2021,S,1132.5
2021-08-02,2021,S,545.0
2021-08-05,2021,L,395.0
2021-08-12,2021,L,420.0
2021-08-12,2021,L,332.5
2021-08-13,2021,L,220.0
2021-08-17,2021,S,-355.0
2021-08-20,2021,S,-442.5
2021-08-20,2021,L,120.0
2021-08-25,2021,L,-80.0
2021-08-26,2021,S,-517.5
2021-08-26,2021,S,307.5
2021-08-27,2021,L,232.5
2021-08-27,2021,L,-142.5
2021-08-30,2021,L,-205.0
2021-08-31,2021,L,195.0
2021-09-08,2021,S,-330.0
2021-09-09,2021,S,-342.5
2021-10-08,2021,L,-880.0
2021-10-15,2021,L,257.5
2021-10-18,2021,L,282.5
2021-10-19,2021,L,1007.5
2021-10-19,2021,L,782.5
2021-10-19,2021,L,357.5
2021-10-20,2021,L,-42.5
2021-10-22,2021,S,357.5
2021-10-22,2021,S,-542.5
2021-10-27,2021,S,-505.0
2021-10-27,2021,L,-505.0
2021-10-28,2021,L,-480.0
2021-10-29,2021,S,-467.5
2021-11-04,2021,L,-505.0
2021-11-04,2021,S,-505.0
2021-11-05,2021,S,332.5
2021-11-09,2021,S,-467.5
2021-11-15,2021,S,7.5
2021-11-16,2021,L,-205.0
2021-11-16,2021,L,-492.5
2021-11-17,2021,S,-505.0
2021-11-18,2021,S,-467.5
2021-11-19,2021,L,-492.5
2021-11-24,2021,L,732.5
2021-11-24,2021,L,-555.0
2021-12-09,2021,S,895.0
2021-12-09,2021,S,882.5
2021-12-13,2021,S,357.5
2021-12-16,2021,S,2270.0
2021-12-16,2021,S,1482.5
2021-12-27,2021,L,1045.0
2021-12-29,2021,S,-17.5
2021-12-31,2021,S,157.5
2021-12-31,2021,S,145.0
2022-01-04,2022,S,882.5
2022-01-04,2022,S,-642.5
2022-01-05,2022,S,3457.5
2022-01-12,2022,S,-455.0
2022-01-12,2022,S,-317.5
2022-02-02,2022,L,-905.0
2022-03-18,2022,L,1370.0
2022-03-23,2022,L,-1167.5
2022-03-30,2022,S,207.5
2022-03-31,2022,S,1395.0
2022-04-07,2022,S,-855.0
2022-04-07,2022,S,-855.0
2022-04-07,2022,S,-855.0
2022-05-26,2022,L,-717.5
2022-05-30,2022,L,82.5
2022-06-02,2022,L,3732.5
2022-06-08,2022,L,-1105.0
2022-06-09,2022,S,3632.5
2022-07-21,2022,L,107.5
2022-07-22,2022,S,520.0
2022-07-28,2022,L,1432.5
2022-07-28,2022,L,495.0
2022-08-02,2022,L,-992.5
2022-08-04,2022,L,-980.0
2022-10-20,2022,L,-1267.5
2022-10-20,2022,S,382.5
2022-10-21,2022,S,-1305.0
2022-10-27,2022,S,2070.0
2022-11-02,2022,S,-1155.0
2022-11-08,2022,L,-1180.0
2022-11-09,2022,L,-1180.0
2022-11-11,2022,L,1270.0
2022-11-11,2022,L,-1205.0
2022-11-16,2022,S,-80.0
2022-11-16,2022,S,-30.0
2022-11-23,2022,L,-880.0
2022-11-30,2022,S,-567.5
2022-12-05,2022,S,1032.5
2022-12-05,2022,S,357.5
2023-01-11,2023,L,1132.5
2023-01-12,2023,S,-917.5
2023-01-16,2023,S,107.5
2023-01-17,2023,L,-855.0
2023-01-18,2023,L,-780.0
2023-01-18,2023,S,982.5
2023-01-19,2023,L,-480.0
2023-01-20,2023,L,2482.5
2023-01-20,2023,L,1895.0
2023-01-31,2023,L,1295.0
2023-01-31,2023,L,1057.5
