config,kept,n,total,avg,pf,win,dd,green,nyr
FULL Book B,D+G+H+E,908,125197.5,137.88270925110132,1.2670865755382639,44.052863436123346,-32825.0,5,6
-D (keep trend-fades),G+H+E,1487,51790.0,34.8285137861466,1.0659514182929546,41.156691324815064,-69017.5,3,6
-G (all gamma days),D+H+E,2128,97385.0,45.76362781954887,1.1099578561690044,42.4812030075188,-34352.5,4,6
-H (all hours),D+G+E,1171,130057.5,111.06532877882152,1.2407212893254917,45.00426985482493,-37260.0,5,6
-E (native 1R exit),D+G+H,908,-3327.5,-3.664647577092511,0.9894270258247476,51.431718061674005,-37515.0,1,6
-D-G (keep H+E),H+E,3599,-27770.0,-7.716032231175326,0.9817433850998543,41.344818005001386,-71955.0,2,6
-D-H (keep G+E),G+E,1896,54195.0,28.58386075949367,1.0606104663354405,42.616033755274266,-77922.5,4,6
-D-E (keep G+H),G+H,1487,-36460.0,-24.519166106254204,0.922513322671654,50.302622730329524,-66707.5,1,6
-G-H (keep D+E),D+E,2742,89240.0,32.545587162654996,1.0874886950468987,43.435448577680525,-44882.5,4,6
-G-E (keep D+H),D+H,2128,-33240.0,-15.6203007518797,0.9419436815286067,49.62406015037594,-68317.5,1,6
-H-E (keep D+G),D+G,1171,5057.5,4.318958155422716,1.0134226852005441,50.896669513236546,-36000.0,1,6
NONE (raw RevFT 1R),—,4582,-116497.5,-25.425032736796158,0.8883591558237762,48.865124399825405,-141657.5,1,6
