n,side,target,trades,pf,net,per_yr,win
6,WT,EOD,14,1.95,1017.5,201.97927989130434,57.14285714285714
6,WT,1.0R,14,3.04,730.0,144.90896739130434,71.42857142857143
6,WT,2.0R,14,4.64,1392.5,276.4188179347826,71.42857142857143
6,WT,3.0R,14,0.68,-320.0,-63.52173913043479,64.28571428571429
6,CT,EOD,170,1.51,4637.5,920.5689538043479,44.70588235294118
6,CT,1.0R,170,2.1,6062.5,1203.4391983695652,64.70588235294117
6,CT,2.0R,170,2.2,7712.5,1530.9731657608697,60.0
6,CT,3.0R,170,2.29,8875.0,1761.7357336956522,56.470588235294116
6,NEUT,EOD,75,1.56,3112.5,617.8481657608696,48.0
6,NEUT,1.0R,75,1.37,1650.0,327.5339673913044,60.0
6,NEUT,2.0R,75,1.72,3537.5,702.2129755434783,56.00000000000001
6,NEUT,3.0R,75,2.05,5262.5,1044.6348505434783,54.666666666666664
7,WT,EOD,14,1.95,1017.5,201.97927989130434,57.14285714285714
7,WT,1.0R,14,3.04,730.0,144.90896739130434,71.42857142857143
7,WT,2.0R,14,4.64,1392.5,276.4188179347826,71.42857142857143
7,WT,3.0R,14,0.68,-320.0,-63.52173913043479,64.28571428571429
7,CT,EOD,166,1.59,5057.5,1003.9412364130435,45.18072289156627
7,CT,1.0R,166,2.09,5857.5,1162.7455842391305,65.06024096385542
7,CT,2.0R,166,2.15,7195.0,1428.2466032608697,60.24096385542169
7,CT,3.0R,166,2.19,8045.0,1596.976222826087,56.62650602409639
7,NEUT,EOD,73,1.44,2372.5,470.9541440217391,47.94520547945205
7,NEUT,1.0R,73,1.23,972.5,193.04653532608697,60.273972602739725
7,NEUT,2.0R,73,1.59,2797.5,555.3189538043479,56.16438356164384
7,NEUT,3.0R,73,1.93,4522.5,897.7408288043479,54.794520547945204
8,WT,EOD,14,1.95,1017.5,201.97927989130434,57.14285714285714
8,WT,1.0R,14,3.04,730.0,144.90896739130434,71.42857142857143
8,WT,2.0R,14,4.64,1392.5,276.4188179347826,71.42857142857143
8,WT,3.0R,14,0.68,-320.0,-63.52173913043479,64.28571428571429
8,CT,EOD,165,1.6,5100.0,1012.3777173913044,45.45454545454545
8,CT,1.0R,165,2.09,5850.0,1161.256793478261,64.84848484848484
8,CT,2.0R,165,2.14,7162.5,1421.7951766304348,60.0
8,CT,3.0R,165,2.18,7987.5,1585.562160326087,56.36363636363636
8,NEUT,EOD,73,1.44,2372.5,470.9541440217391,47.94520547945205
8,NEUT,1.0R,73,1.23,972.5,193.04653532608697,60.273972602739725
8,NEUT,2.0R,73,1.59,2797.5,555.3189538043479,56.16438356164384
8,NEUT,3.0R,73,1.93,4522.5,897.7408288043479,54.794520547945204
9,WT,EOD,14,1.95,1017.5,201.97927989130434,57.14285714285714
9,WT,1.0R,14,3.04,730.0,144.90896739130434,71.42857142857143
9,WT,2.0R,14,4.64,1392.5,276.4188179347826,71.42857142857143
9,WT,3.0R,14,0.68,-320.0,-63.52173913043479,64.28571428571429
9,CT,EOD,165,1.6,5100.0,1012.3777173913044,45.45454545454545
9,CT,1.0R,165,2.09,5850.0,1161.256793478261,64.84848484848484
9,CT,2.0R,165,2.14,7162.5,1421.7951766304348,60.0
9,CT,3.0R,165,2.18,7987.5,1585.562160326087,56.36363636363636
9,NEUT,EOD,71,1.33,1807.5,358.79857336956525,46.478873239436616
9,NEUT,1.0R,71,1.16,707.5,140.44259510869566,59.154929577464785
9,NEUT,2.0R,71,1.47,2257.5,448.1260190217391,54.929577464788736
9,NEUT,3.0R,71,1.76,3707.5,735.9588994565217,53.52112676056338
10,WT,EOD,14,1.95,1017.5,201.97927989130434,57.14285714285714
10,WT,1.0R,14,3.04,730.0,144.90896739130434,71.42857142857143
10,WT,2.0R,14,4.64,1392.5,276.4188179347826,71.42857142857143
10,WT,3.0R,14,0.68,-320.0,-63.52173913043479,64.28571428571429
10,CT,EOD,165,1.6,5100.0,1012.3777173913044,45.45454545454545
10,CT,1.0R,165,2.09,5850.0,1161.256793478261,64.84848484848484
10,CT,2.0R,165,2.14,7162.5,1421.7951766304348,60.0
10,CT,3.0R,165,2.18,7987.5,1585.562160326087,56.36363636363636
10,NEUT,EOD,70,1.18,987.5,196.0241168478261,45.714285714285715
10,NEUT,1.0R,70,1.12,525.0,104.21535326086958,58.57142857142858
10,NEUT,2.0R,70,1.39,1875.0,372.1976902173913,54.285714285714285
10,NEUT,3.0R,70,1.64,3125.0,620.3294836956522,52.85714285714286
