side,h,N,N_base,mean_bp,median_bp,up%,t,excess_bp,src,tf,event
long,1,7,1304,29.4,20.6,85.7,2.13,25.7,real,daily,compress_bo
long,3,7,1302,3.5,4.3,57.1,0.1,-7.3,real,daily,compress_bo
long,5,7,1300,15.4,38.4,85.7,0.26,-2.4,real,daily,compress_bo
long,10,7,1295,24.3,43.5,57.1,0.34,-10.3,real,daily,compress_bo
long,20,7,1285,102.7,217.2,71.4,0.87,35.0,real,daily,compress_bo
short,1,7,1304,-47.8,-7.8,42.9,-1.11,-44.1,real,daily,compress_bo
short,3,7,1302,-100.4,-127.7,28.6,-2.21,-89.6,real,daily,compress_bo
short,5,7,1300,-41.2,-61.2,28.6,-1.16,-23.4,real,daily,compress_bo
short,10,7,1295,-37.2,-119.5,28.6,-0.4,-2.6,real,daily,compress_bo
short,20,7,1285,131.6,268.4,57.1,1.05,199.3,real,daily,compress_bo
long,1,18,1304,40.6,25.7,72.2,2.54,36.9,real,daily,kelt_pull
long,3,18,1302,39.1,53.1,72.2,1.38,28.4,real,daily,kelt_pull
long,5,18,1300,35.8,54.7,61.1,0.87,18.0,real,daily,kelt_pull
long,10,18,1295,73.2,171.1,61.1,1.2,38.6,real,daily,kelt_pull
long,20,18,1285,70.3,168.0,61.1,0.88,2.6,real,daily,kelt_pull
short,1,17,1304,-36.8,-21.6,23.5,-1.67,-33.1,real,daily,kelt_pull
short,3,17,1302,35.4,79.4,58.8,0.75,46.1,real,daily,kelt_pull
short,5,17,1300,37.4,46.2,58.8,0.6,55.1,real,daily,kelt_pull
short,10,17,1295,52.9,80.3,64.7,0.49,87.4,real,daily,kelt_pull
short,20,17,1285,-0.8,-47.0,35.3,-0.01,67.0,real,daily,kelt_pull
long,1,55,1304,11.4,14.3,61.8,1.73,7.7,real,daily,donch100
long,3,55,1302,4.3,5.6,54.5,0.38,-6.5,real,daily,donch100
long,5,55,1300,2.2,14.9,58.2,0.14,-15.5,real,daily,donch100
long,10,55,1295,26.2,40.0,58.2,1.3,-8.4,real,daily,donch100
long,20,55,1285,28.6,91.9,56.4,0.75,-39.1,real,daily,donch100
short,1,15,1304,60.9,7.8,53.3,1.39,64.6,real,daily,donch100
short,3,15,1302,16.2,4.0,53.3,0.24,26.9,real,daily,donch100
short,5,15,1300,-19.9,26.5,53.3,-0.33,-2.2,real,daily,donch100
short,10,15,1295,-151.2,-275.1,40.0,-1.68,-116.6,real,daily,donch100
short,20,15,1285,-284.4,-457.8,20.0,-2.07,-216.6,real,daily,donch100
long,1,45,1304,10.4,14.6,62.2,1.44,6.7,real,daily,donch260
long,3,45,1302,8.8,6.5,60.0,0.72,-2.0,real,daily,donch260
long,5,45,1300,11.0,19.7,62.2,0.7,-6.7,real,daily,donch260
long,10,45,1295,25.6,29.1,55.6,1.15,-9.0,real,daily,donch260
long,20,45,1285,54.3,124.1,62.2,1.37,-13.4,real,daily,donch260
short,1,3,1304,-4.0,7.8,66.7,-0.2,-0.3,real,daily,donch260
short,3,3,1302,-225.2,4.0,66.7,-0.94,-214.4,real,daily,donch260
short,5,3,1300,-310.8,-326.8,0.0,-2.24,-293.0,real,daily,donch260
short,10,3,1295,-203.6,-139.3,33.3,-1.06,-169.1,real,daily,donch260
short,20,3,1285,-624.0,-511.1,0.0,-2.86,-556.3,real,daily,donch260
long,1,81,8993,0.5,2.3,55.6,0.17,-0.1,real,60m,compress_bo
long,3,81,8991,-1.1,5.4,58.0,-0.3,-2.7,real,60m,compress_bo
long,5,81,8989,-1.5,6.3,56.8,-0.34,-4.2,real,60m,compress_bo
long,10,81,8984,-0.1,5.7,54.3,-0.02,-5.4,real,60m,compress_bo
long,20,81,8974,-4.8,6.3,54.3,-0.4,-15.1,real,60m,compress_bo
short,1,63,8993,-10.5,-7.2,36.5,-2.88,-10.0,real,60m,compress_bo
short,3,63,8991,-5.5,-2.0,39.7,-1.0,-3.9,real,60m,compress_bo
short,5,63,8989,-4.9,-1.2,47.6,-0.77,-2.3,real,60m,compress_bo
short,10,63,8984,-2.2,3.5,54.0,-0.22,3.0,real,60m,compress_bo
short,20,63,8974,-13.8,-18.7,46.0,-0.83,-3.5,real,60m,compress_bo
long,1,107,8993,-4.3,-2.5,41.1,-1.43,-4.9,real,60m,kelt_pull
long,3,107,8991,-6.2,-1.8,46.7,-1.45,-7.8,real,60m,kelt_pull
long,5,107,8989,-11.2,-2.1,46.7,-2.04,-13.8,real,60m,kelt_pull
long,10,107,8984,-5.9,-1.1,49.5,-0.7,-11.1,real,60m,kelt_pull
long,20,107,8974,-3.5,19.1,56.1,-0.27,-13.9,real,60m,kelt_pull
short,1,115,8993,-0.6,-6.6,43.5,-0.14,-0.1,real,60m,kelt_pull
short,3,115,8991,7.1,-7.9,43.5,0.94,8.7,real,60m,kelt_pull
short,5,115,8989,5.2,-1.0,48.7,0.59,7.9,real,60m,kelt_pull
short,10,114,8984,-7.2,-10.2,45.6,-0.68,-1.9,real,60m,kelt_pull
short,20,114,8974,-7.9,-22.3,42.1,-0.58,2.5,real,60m,kelt_pull
long,1,159,17941,-3.5,0.9,50.9,-2.03,-3.7,real,30m,compress_bo
long,3,159,17939,-4.0,1.5,52.2,-1.21,-4.8,real,30m,compress_bo
long,5,159,17937,-1.7,0.5,50.9,-0.43,-3.0,real,30m,compress_bo
long,10,159,17932,-5.7,0.5,50.9,-1.03,-8.4,real,30m,compress_bo
long,20,159,17922,-8.3,3.7,52.8,-1.09,-13.6,real,30m,compress_bo
short,1,138,17941,2.7,0.2,50.0,1.48,2.9,real,30m,compress_bo
short,3,138,17939,0.9,-1.5,46.4,0.24,1.7,real,30m,compress_bo
short,5,138,17937,-0.8,-1.6,47.8,-0.18,0.5,real,30m,compress_bo
short,10,138,17932,-2.0,-0.7,49.3,-0.38,0.6,real,30m,compress_bo
short,20,138,17922,-2.2,-2.7,47.1,-0.3,3.1,real,30m,compress_bo
long,1,217,17941,-2.2,1.0,53.9,-1.34,-2.5,real,30m,kelt_pull
long,3,217,17939,2.4,2.4,53.0,0.89,1.6,real,30m,kelt_pull
long,5,217,17937,-1.4,0.0,49.8,-0.43,-2.7,real,30m,kelt_pull
long,10,217,17932,-0.1,3.6,51.6,-0.02,-2.8,real,30m,kelt_pull
long,20,217,17922,2.4,8.0,55.8,0.41,-2.8,real,30m,kelt_pull
short,1,232,17941,1.0,1.2,53.0,0.52,1.3,real,30m,kelt_pull
short,3,232,17939,-0.7,-0.5,48.7,-0.24,0.1,real,30m,kelt_pull
short,5,232,17937,-3.8,-2.8,48.7,-1.07,-2.4,real,30m,kelt_pull
short,10,232,17932,-2.9,-6.3,46.6,-0.54,-0.2,real,30m,kelt_pull
short,20,232,17922,-6.7,-16.5,44.8,-0.86,-1.4,real,30m,kelt_pull
