dir,regime,with_trend,net,adr,hold,wide,mae_pts,eod_move,fill_hour,entry_px,Date,yr,gap,vix_prev,net_wt,net_fade,sma20,skip_after
S,BEAR,True,-367.5,23.27,41,7.0,23.75,-18.0,10,5217.0,2023-11-30,2023,0.029,12.98,-367.5,0.0,5145.325,True
S,BEAR,True,-417.5,26.65,6,8.0,21.0,-14.5,10,5220.0,2023-12-04,2023,0.698,12.63,-417.5,0.0,5168.5,True
L,BULL,True,-417.5,26.65,6,8.0,10.75,-2.5,12,5237.0,2023-12-04,2023,0.698,12.63,-417.5,0.0,5168.5,True
S,BEAR,True,-417.5,26.65,15,8.0,11.25,-4.75,13,5229.75,2023-12-04,2023,0.698,12.63,-417.5,0.0,5168.5,True
L,BULL,True,-180.0,27.65,18,8.25,4.5,-3.25,13,5251.75,2023-12-07,2023,0.398,12.97,-180.0,0.0,5195.0875,True
L,BULL,True,1795.0,38.23,31,11.5,7.5,36.25,12,5516.0,2024-02-01,2024,0.205,14.35,1795.0,-0.0,5450.1375,True
L,BULL,True,982.5,40.62,58,12.25,2.0,20.0,10,5566.5,2024-02-02,2024,0.203,13.88,982.5,-0.0,5460.9125,True
L,BULL,True,-630.0,40.62,5,12.25,14.5,5.25,11,5581.25,2024-02-02,2024,0.203,13.88,-630.0,-0.0,5460.9125,True
S,BEAR,True,-580.0,37.52,4,11.25,23.75,-1.75,9,5718.75,2024-03-06,2024,0.505,14.46,-580.0,0.0,5661.175,True
S,BEAR,True,-192.5,37.52,22,11.25,8.75,-3.5,13,5717.0,2024-03-06,2024,0.505,14.46,-192.5,0.0,5661.175,True
S,BEAR,True,-242.5,37.52,17,11.25,8.5,-4.5,13,5716.0,2024-03-06,2024,0.505,14.46,-242.5,0.0,5661.175,True
L,BULL,True,20.0,37.23,51,11.25,10.75,0.75,10,5864.5,2024-05-24,2024,0.313,12.77,20.0,-0.0,5771.025,True
S,BEAR,True,-592.5,38.12,7,11.5,29.75,-22.25,9,5985.75,2024-07-01,2024,0.087,12.44,-592.5,0.0,5967.4375,True
S,BEAR,True,-592.5,38.12,8,11.5,19.0,-11.5,10,5996.5,2024-07-01,2024,0.087,12.44,-592.5,0.0,5967.4375,True
S,BEAR,True,1082.5,39.4,53,11.75,1.5,22.0,10,6183.25,2024-07-15,2024,0.354,12.46,1082.5,-0.0,6054.0375,True
S,BEAR,True,-605.0,39.4,7,11.75,15.0,-4.5,12,6156.75,2024-07-15,2024,0.354,12.46,-605.0,0.0,6054.0375,True
L,BULL,True,945.0,49.4,73,14.75,1.25,19.25,9,6162.0,2024-10-02,2024,0.182,19.26,945.0,-0.0,6107.25,True
L,BULL,True,-755.0,49.4,30,14.75,15.0,2.75,10,6178.5,2024-10-02,2024,0.182,19.26,-755.0,-0.0,6107.25,True
L,BULL,True,-755.0,49.4,14,14.75,21.5,-3.75,10,6185.0,2024-10-02,2024,0.182,19.26,-755.0,0.0,6107.25,True
L,BULL,True,-755.0,49.4,5,14.75,19.0,-1.25,11,6182.5,2024-10-02,2024,0.182,19.26,-755.0,0.0,6107.25,True
L,BULL,True,-830.0,53.95,1,16.25,25.25,-4.75,10,6370.25,2025-02-03,2025,1.428,16.43,-830.0,0.0,6364.2875,True
L,BULL,True,-830.0,53.95,2,16.25,30.0,-10.0,10,6375.5,2025-02-03,2025,1.428,16.43,-830.0,0.0,6364.2875,True
L,BULL,True,-5.0,64.53,66,19.25,15.25,0.25,9,6149.25,2025-05-22,2025,0.041,20.87,-5.0,-0.0,6030.8375,True
S,BEAR,True,-280.0,46.67,35,14.0,6.25,-5.25,12,6737.25,2025-09-08,2025,0.242,15.18,-280.0,0.0,6700.3625,True
S,BEAR,True,-317.5,46.67,17,14.0,7.0,-6.0,13,6736.5,2025-09-08,2025,0.242,15.18,-317.5,0.0,6700.3625,True
S,BEAR,True,-980.0,64.58,6,19.25,66.25,-62.75,10,6978.0,2025-11-10,2025,0.796,19.08,-980.0,0.0,6971.925,True
L,BULL,True,-742.5,48.62,4,14.5,35.75,-15.25,12,7028.5,2025-12-12,2025,0.233,14.85,-742.5,0.0,6965.9375,True
L,BULL,True,45.0,55.17,20,16.5,4.25,1.25,13,7000.75,2025-12-15,2025,0.517,15.74,45.0,-0.0,6969.4625,True
L,BULL,True,-67.5,41.95,73,12.5,5.5,-1.0,9,7065.5,2026-01-05,2026,0.445,14.51,-67.5,0.0,7034.1875,True
L,BULL,True,-405.0,41.95,63,12.5,12.25,-7.75,9,7072.25,2026-01-05,2026,0.445,14.51,-405.0,0.0,7034.1875,True
