side,h,N,N_base,mean_bp,median_bp,up%,t,excess_bp,src,tf,event,rep
long,1,0,1304,,,,,,null_shuffle,daily,compress_bo,0
long,3,0,1302,,,,,,null_shuffle,daily,compress_bo,0
long,5,0,1300,,,,,,null_shuffle,daily,compress_bo,0
long,10,0,1295,,,,,,null_shuffle,daily,compress_bo,0
long,20,0,1285,,,,,,null_shuffle,daily,compress_bo,0
short,1,0,1304,,,,,,null_shuffle,daily,compress_bo,0
short,3,0,1302,,,,,,null_shuffle,daily,compress_bo,0
short,5,0,1300,,,,,,null_shuffle,daily,compress_bo,0
short,10,0,1295,,,,,,null_shuffle,daily,compress_bo,0
short,20,0,1285,,,,,,null_shuffle,daily,compress_bo,0
long,1,17,1304,83.1,14.6,70.6,1.54,79.4,null_shuffle,daily,kelt_pull,0
long,3,17,1302,58.1,8.9,52.9,1.25,47.0,null_shuffle,daily,kelt_pull,0
long,5,17,1300,83.0,36.1,76.5,1.73,64.6,null_shuffle,daily,kelt_pull,0
long,10,17,1295,131.1,114.1,52.9,1.76,95.4,null_shuffle,daily,kelt_pull,0
long,20,17,1285,136.8,92.2,52.9,1.21,65.5,null_shuffle,daily,kelt_pull,0
short,1,11,1304,-10.8,-4.4,45.5,-0.41,-7.1,null_shuffle,daily,kelt_pull,0
short,3,11,1302,-20.7,-47.7,45.5,-0.43,-9.5,null_shuffle,daily,kelt_pull,0
short,5,11,1300,-25.0,7.8,54.5,-0.42,-6.6,null_shuffle,daily,kelt_pull,0
short,10,11,1295,28.7,74.2,63.6,0.3,64.4,null_shuffle,daily,kelt_pull,0
short,20,11,1285,-26.5,19.2,54.5,-0.23,44.8,null_shuffle,daily,kelt_pull,0
long,1,41,1304,-4.2,-11.2,46.3,-0.27,-7.9,null_shuffle,daily,donch100,0
long,3,41,1302,29.3,-13.2,48.8,0.98,18.2,null_shuffle,daily,donch100,0
long,5,41,1300,47.9,56.0,56.1,1.31,29.4,null_shuffle,daily,donch100,0
long,10,41,1295,62.8,39.8,56.1,1.29,27.1,null_shuffle,daily,donch100,0
